player,position,opponent,expected_points,salary,ex_ppd,week,TEAM,OPP,MATCHUP,Start_Sit,Online_proj,rk_rec,yds_rec,tgt_rec,day_rec,g_number_rec,date_rec,age_rec,team_rec,home_away_rec,opp_rec,result_rec,tgt_2_rec,rec_rec,yds_2_rec,y_r_rec,td_rec,ctch_percent_rec,y_tgt_rec,x1_rec,pos_rec,draft_rec,rk_rus,yds_rus,att_rus,day_rus,g_number_rus,date_rus,age_rus,team_rus,home_away_rus,opp_rus,result_rus,att_2_rus,yds_2_rus,y_a_rus,td_rus,x1_rus,pos_rus,draft_rus,points,FPPG
Josh Jacobs,RB,TEN,12.712903234504584,18,0.7062724019169214,3,LV,at TEN,2 out of 5 stars,C,9,97,31,5,Sun,3,2022-09-25,24-226,LVR,away,TEN,L 22-24,5,5,31,6.2,0,100,6.2,1,RB,1-24,18,66,13,NA,3,2022-09-25,24-226,LVR,away,TEN,L 22-24,13,66,5.1,0,4,NA,1-24,12.2,8.2
Javonte Williams,RB,SF,11.481061165130145,22,0.5218664165968246,3,DEN,vs. SF,2 out of 5 stars,A-,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,58,15,NA,3,2022-09-25,22-153,DEN,home,SFO,W 11-10,15,58,3.9,0,1,NA,2-35,5.800000000000001,11.6
Devin Singletary,RB,MIA,7.4230442735375135,15,0.49486961823583425,3,BUF,at MIA,3 out of 5 stars,C,9.4,28,78,11,Sun,3,2022-09-25,25-022,BUF,away,MIA,L 19-21,11,9,78,8.7,1,81.8,7.1,4,RB,3-74,70,13,9,NA,3,2022-09-25,25-022,BUF,away,MIA,L 19-21,9,13,1.4,0,1,NA,3-74,19.6,5.2
David Montgomery,RB,HOU,15.384587377053798,18,0.854699298725211,3,CHI,vs. HOU,4 out of 5 stars,B+,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,11,3,NA,3,2022-09-25,25-110,CHI,home,HOU,W 23-20,3,11,3.7,0,0,NA,3-73,1.1,10.6
AJ Dillon,RB,TB,10.725606024856866,18,0.595867001380937,3,GB,at TB,3 out of 5 stars,B,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,32,12,NA,3,2022-09-25,24-146,GNB,away,TAM,W 14-12,12,32,2.7,0,2,NA,2-62,3.2,12.4
Darrel Williams,RB,LAR,8.227000212909068,15,0.5484666808606046,3,ARI,vs. LAR,2 out of 5 stars,F,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,7,1,NA,3,2022-09-25,27-163,ARI,home,LAR,L 12-20,1,7,7,0,0,NA,0,0.7000000000000001,13.2
D Andre Swift,RB,MIN,18.196858573439,24,0.7582024405599582,3,DET,at MIN,4 out of 5 stars,A,13.6,153,15,4,Sun,3,2022-09-25,23-254,DET,away,MIN,L 24-28,4,3,15,5,0,75,3.8,1,RB,2-35,42,31,7,NA,3,2022-09-25,23-254,DET,away,MIN,L 24-28,7,31,4.4,0,0,NA,2-35,6.1,20.4
James Robinson,RB,LAC,13.731488586453128,20,0.6865744293226564,3,JAC,at LAC,4 out of 5 stars,B-,10.9,148,16,3,Sun,3,2022-09-25,24-047,JAX,away,LAC,W 38-10,3,3,16,5.3,0,100,5.3,1,RB,0,7,100,17,NA,3,2022-09-25,24-047,JAX,away,LAC,W 38-10,17,100,5.9,1,4,NA,0,19.1,17.1
Tony Pollard,RB,NYG,10.60330386727076,15,0.7068869244847172,3,DAL,at NYG,4 out of 5 stars,C,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,105,13,NA,3,2022-09-26,25-149,DAL,away,NYG,W 23-16,13,105,8.1,0,5,NA,4-128,10.5,10.5
Michael Carter,RB,CIN,10.178100346994,14,0.7270071676424285,3,NYJ,vs. CIN,3 out of 5 stars,C,10,195,7,2,Sun,3,2022-09-25,23-141,NYJ,home,CIN,L 12-27,2,1,7,7,0,50,3.5,0,RB,4-107,34,39,11,NA,3,2022-09-25,23-141,NYJ,home,CIN,L 12-27,11,39,3.5,0,2,NA,4-107,5.1000000000000005,10.5
Rashaad Penny,RB,ATL,9.570999594988155,18,0.5317221997215642,3,SEA,vs. ATL,4 out of 5 stars,C,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,66,14,NA,3,2022-09-25,26-235,SEA,home,ATL,L 23-27,14,66,4.7,0,5,NA,1-27,6.6000000000000005,4.6
Saquon Barkley,RB,DAL,13.211798064490129,29,0.45557924360310786,3,NYG,vs. DAL,2 out of 5 stars,A,16.5,63,45,4,Mon,3,2022-09-26,25-229,NYG,home,DAL,L 16-23,4,4,45,11.3,0,100,11.3,0,RB,1-2,11,81,14,NA,3,2022-09-26,25-229,NYG,home,DAL,L 16-23,14,81,5.8,1,2,NA,1-2,20.6,20.4
Rhamondre Stevenson,RB,BAL,7.293535393367439,15,0.48623569289116264,3,NE,vs. BAL,3 out of 5 stars,C,8.9,105,28,5,Sun,3,2022-09-25,24-214,NWE,home,BAL,L 26-37,5,4,28,7,0,80,5.6,1,RB,4-120,16,73,12,NA,3,2022-09-25,24-214,NWE,home,BAL,L 26-37,12,73,6.1,1,5,NA,4-120,18.1,4.6
Chase Edmonds,RB,BUF,8.059710126201434,14,0.5756935804429596,3,MIA,vs. BUF,3 out of 5 stars,C-,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,21,6,NA,3,2022-09-25,26-165,MIA,home,BUF,W 21-19,6,21,3.5,2,2,NA,4-134,14.1,6.6
Clyde Edwards Helaire,RB,IND,12.429169480576782,17,0.7311276165045166,3,KC,at IND,3 out of 5 stars,B,11.6,79,39,5,Sun,3,2022-09-25,23-167,KAN,away,IND,L 17-20,5,5,39,7.8,0,100,7.8,1,RB,1-32,107,0,7,NA,3,2022-09-25,23-167,KAN,away,IND,L 17-20,7,0,0,1,1,NA,1-32,12.4,17.4
Alexander Mattison,RB,DET,6.656184484453888,14,0.4754417488895634,3,MIN,vs. DET,5 out of 5 stars,F,4.6,147,16,1,Sun,3,2022-09-25,24-098,MIN,home,DET,W 28-24,1,1,16,16,0,100,16,0,RB,3-102,44,28,7,NA,3,2022-09-25,24-098,MIN,home,DET,W 28-24,7,28,4,1,2,NA,3-102,10.9,3.2
Jamaal Williams,RB,MIN,9.935937008234257,15,0.6623958005489503,3,DET,at MIN,4 out of 5 stars,C-,8.1,137,20,2,Sun,3,2022-09-25,27-175,DET,away,MIN,L 24-28,2,2,20,10,0,100,10,1,RB,4-134,9,87,20,NA,3,2022-09-25,27-175,DET,away,MIN,L 24-28,20,87,4.4,2,6,NA,4-134,23.700000000000003,11
Miles Sanders,RB,WAS,9.785864570363987,17,0.5756390923743522,3,PHI,at WAS,2 out of 5 stars,B,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,46,15,NA,3,2022-09-25,25-147,PHI,away,WAS,W 24-8,15,46,3.1,0,2,NA,2-53,4.6000000000000005,13.8
