player,position,opponent,expected_points,salary,ex_ppd,week,TEAM,OPP,MATCHUP,Start_Sit,Online_proj,rate_pas,att_pas,day_pas,g_number_pas,date_pas,age_pas,team_pas,home_away_pas,opp_pas,result_pas,cmp_pas,att_2_pas,inc_pas,cmp_percent_pas,yds_pas,td_pas,int_pas,pick6_pas,td_percent_pas,int_percent_pas,rate_2_pas,sk_pas,yds_2_pas,sk_percent_pas,y_a_pas,ay_a_pas,any_a_pas,y_c_pas,pos_pas,draft_pas,rk_rus,yds_rus,att_rus,day_rus,g_number_rus,age_rus,team_rus,home_away_rus,opp_rus,result_rus,att_2_rus,yds_2_rus,y_a_rus,td_rus,x1_rus,pos_rus,draft_rus,points,FPPG
Lamar Jackson,QB,NE,20.993317916369055,38,0.552455734641291,3,BAL,at NE,1 out of 5 stars,A-,21.7,110.3,29,Sun,3,NA,25-261,BAL,away,NWE,W 37-26,18,29,11,62.1,218,4,1,0,13.8,3.4,110.3,4,12,12.12,7.5,8.72,7.3,12.1,QB,1-32,5,107,11,Sun,3,25-261,BAL,away,NWE,W 37-26,11,107,9.7,1,6,QB,1-32,40.42,31.9
Jimmy Garoppolo,QB,DEN,14.194615077293184,24,0.591442294887216,3,SF,at DEN,3 out of 5 stars,D-,15.3,81.3,29,Sun,3,NA,30-327,SFO,away,DEN,L 10-11,18,29,11,62.1,211,1,1,0,3.4,3.4,81.3,4,32,12.12,7.3,6.41,4.67,11.7,QB,2-62,109,0,1,Sun,3,30-327,SFO,away,DEN,L 10-11,1,0,0,0,0,QB,2-62,11.44,16.7
Mac Jones,QB,BAL,17.653218030946586,20,0.8826609015473293,3,NE,vs. BAL,4 out of 5 stars,F,15,62.1,32,Sun,3,NA,24-020,NWE,home,BAL,L 26-37,22,32,10,68.8,321,0,3,0,0,9.4,62.1,3,19,8.57,10,5.81,4.77,14.6,QB,1-15,41,31,5,Sun,3,24-020,NWE,home,BAL,L 26-37,5,31,6.2,1,2,QB,1-15,18.939999999999998,11.6
Matt Ryan,QB,KC,12.413589910552624,23,0.5397213004588098,3,IND,vs. KC,3 out of 5 stars,F,15.2,105.9,37,Sun,3,NA,37-131,IND,home,KAN,W 20-17,27,37,10,73,222,2,0,0,5.4,0,105.9,5,45,11.9,6,7.08,5.17,8.2,QB,1-3,98,4,3,Sun,3,37-131,IND,home,KAN,W 20-17,3,4,1.3,0,1,QB,1-3,17.28,10.5
Trevor Lawrence,QB,LAC,16.013104334111585,22,0.7278683788232538,3,JAC,at LAC,4 out of 5 stars,D+,15.6,115.5,39,Sun,3,NA,22-354,JAX,away,LAC,W 38-10,28,39,11,71.8,262,3,0,0,7.7,0,115.5,0,0,0,6.7,8.26,8.26,9.4,QB,1-1,86,7,3,Sun,3,22-354,JAX,away,LAC,W 38-10,3,7,2.3,0,1,QB,1-1,23.18,16.4
Jared Goff,QB,MIN,15.616979490509989,20,0.7808489745254994,3,DET,at MIN,4 out of 5 stars,C+,16.6,79,41,Sun,3,NA,27-346,DET,away,MIN,L 24-28,25,41,16,61,277,1,1,0,2.4,2.4,79,0,0,0,6.8,6.15,6.15,11.1,QB,1-1,80,8,2,Sun,3,27-346,DET,away,MIN,L 24-28,2,8,4,0,0,QB,1-1,14.88,21.3
Tua Tagovailoa,QB,BUF,14.890439957439929,27,0.5514977762014789,3,MIA,vs. BUF,1 out of 5 stars,B-,17.6,123.8,18,Sun,3,NA,24-207,MIA,home,BUF,W 21-19,13,18,5,72.2,186,1,0,0,5.6,0,123.8,1,7,5.26,10.3,11.44,10.47,14.3,QB,1-5,115,0,1,Sun,3,24-207,MIA,home,BUF,W 21-19,1,0,0,0,0,QB,1-5,11.440000000000001,27.8
Baker Mayfield,QB,NO,12.153188034904518,23,0.5283994797784574,3,CAR,vs. NO,2 out of 5 stars,F,14.6,83.7,25,Sun,3,NA,27-164,CAR,home,NOR,W 22-14,12,25,13,48,170,1,0,0,4,0,83.7,3,22,10.71,6.8,7.6,6,14.2,QB,1-1,119,-1,1,Sun,3,27-164,CAR,home,NOR,W 22-14,1,-1,-1,0,0,QB,1-1,10.7,16.2
Daniel Jones,QB,DAL,14.929355907656108,24,0.6220564961523378,3,NYG,vs. DAL,2 out of 5 stars,F,15.1,57.9,37,Mon,3,NA,25-122,NYG,home,DAL,L 16-23,20,37,17,54.1,196,0,1,0,0,2.7,57.9,5,27,11.9,5.3,4.08,2.95,9.8,QB,1-6,13,79,9,Mon,3,25-122,NYG,home,DAL,L 16-23,9,79,8.8,0,7,QB,1-6,14.74,15.1
Davis Mills,QB,CHI,12.82641692727724,22,0.5830189512398746,3,HOU,at CHI,4 out of 5 stars,F,14.3,70.4,32,Sun,3,NA,23-339,HOU,away,CHI,L 20-23,20,32,12,62.5,245,1,2,0,3.1,6.3,70.4,1,8,3.03,7.7,5.47,5.06,12.3,QB,3-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,11.3
Justin Fields,QB,HOU,15.335732529575608,24,0.6389888553989836,3,CHI,vs. HOU,4 out of 5 stars,D+,15.8,27.7,17,Sun,3,NA,23-204,CHI,home,HOU,W 23-20,8,17,9,47.1,106,0,2,0,0,11.8,27.7,5,24,22.73,6.2,0.94,-0.36,13.3,QB,1-11,26,47,8,Sun,3,23-204,CHI,home,HOU,W 23-20,8,47,5.9,0,2,QB,1-11,6.940000000000001,12.2
Jameis Winston,QB,CAR,14.10574561585086,27,0.5224350228092911,3,NO,at CAR,4 out of 5 stars,D-,15.4,76.6,41,Sun,3,NA,28-262,NOR,away,CAR,L 14-22,25,41,16,61,353,1,2,0,2.4,4.9,76.6,1,11,2.38,8.6,6.9,6.48,14.1,QB,1-1,95,5,2,Sun,3,28-262,NOR,away,CAR,L 14-22,2,5,2.5,0,0,QB,1-1,16.62,16.2
Andy Dalton,QB,CAR,8.877972641593052,20,0.44389863207965263,3,NO,at CAR,4 out of 5 stars,F,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6
Jacoby Brissett,QB,PIT,13.986586534149849,21,0.6660279301976118,3,CLE,vs. PIT,2 out of 5 stars,F,13.6,109.6,31,Thu,3,NA,29-285,CLE,home,PIT,W 29-17,21,31,10,67.7,220,2,0,0,6.5,0,109.6,2,15,6.06,7.1,8.39,7.42,10.5,QB,3-91,71,11,3,Thu,3,29-285,CLE,home,PIT,W 29-17,3,11,3.7,0,3,QB,3-91,17.9,15.1
Geno Smith,QB,ATL,16.392029082671318,25,0.6556811633068527,3,SEA,vs. ATL,5 out of 5 stars,F,14.7,99.1,44,Sun,3,NA,31-350,SEA,home,ATL,L 23-27,32,44,12,72.7,325,2,1,0,4.5,2.3,99.1,2,17,4.35,7.4,7.27,6.59,10.2,QB,2-39,121,-1,2,Sun,3,31-350,SEA,home,ATL,L 23-27,2,-1,-0.5,0,1,QB,2-39,19.9,12.1
Drew Lock,QB,ATL,12.508744240865743,20,0.6254372120432873,3,SEA,vs. ATL,5 out of 5 stars,F,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9
Cooper Rush,QB,NYG,10.894468367899783,21,0.5187842079952277,3,DAL,at NYG,2 out of 5 stars,F,14.1,98.2,31,Mon,3,NA,28-309,DAL,away,NYG,W 23-16,21,31,10,67.7,215,1,0,0,3.2,0,98.2,0,0,0,6.9,7.58,7.58,10.2,QB,0,125,-2,2,Mon,3,28-309,DAL,away,NYG,W 23-16,2,-2,-1,0,0,QB,0,12.4,8.1
Joe Flacco,QB,CIN,15.780031222460623,23,0.6860883140200272,3,NYJ,vs. CIN,3 out of 5 stars,F,14.9,53.8,52,Sun,3,NA,37-252,NYJ,home,CIN,L 12-27,28,52,24,53.8,285,0,2,0,0,3.8,53.8,4,33,7.14,5.5,3.75,2.89,10.2,QB,1-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,21.1
Marcus Mariota,QB,SEA,13.567626782102174,24,0.5653177825875906,3,ATL,at SEA,3 out of 5 stars,C,16.2,99.8,20,Sun,3,NA,28-330,ATL,away,SEA,W 27-23,13,20,7,65,229,1,1,0,5,5,99.8,3,22,13.04,11.5,10.2,7.91,17.6,QB,1-2,97,4,7,Sun,3,28-330,ATL,away,SEA,W 27-23,7,4,0.6,1,1,QB,1-2,18.560000000000002,17.6
Chase Daniel,QB,JAX,7.892192464772168,20,0.3946096232386084,3,LAC,vs. JAC,4 out of 5 stars,F,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2
Malik Willis,QB,LV,4.71135838150289,20,0.23556791907514452,3,TEN,vs. LV,3 out of 5 stars,F,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2
Mitch Trubisky,QB,CLE,4.07,20,0.2035,3,PIT,at CLE,4 out of 5 stars,F,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4
Kenny Pickett,QB,CLE,4.07,20,0.2035,3,PIT,at CLE,4 out of 5 stars,F,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Desmond Ridder,QB,SEA,3.57,20,0.1785,3,ATL,at SEA,3 out of 5 stars,F,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
