player,position,opponent,expected_points,salary,ex_ppd,week,TEAM,OPP,MATCHUP,Start_Sit,Online_proj,rate_pas,att_pas,day_pas,g_number_pas,date_pas,age_pas,team_pas,home_away_pas,opp_pas,result_pas,cmp_pas,att_2_pas,inc_pas,cmp_percent_pas,yds_pas,td_pas,int_pas,pick6_pas,td_percent_pas,int_percent_pas,rate_2_pas,sk_pas,yds_2_pas,sk_percent_pas,y_a_pas,ay_a_pas,any_a_pas,y_c_pas,pos_pas,draft_pas,rk_rus,yds_rus,att_rus,day_rus,g_number_rus,age_rus,team_rus,home_away_rus,opp_rus,result_rus,att_2_rus,yds_2_rus,y_a_rus,td_rus,x1_rus,pos_rus,draft_rus,points,FPPG
Baker Mayfield,QB,ARI,15.578969314759254,27,0.5769988635096021,4,CAR,vs. ARI,4 out of 5 stars,F,15.1,61.9,36,Sun,4,NA,27-171,CAR,home,ARI,L 16-26,22,36,14,61.1,197,1,2,0,2.8,5.6,61.9,2,17,5.26,5.5,3.53,2.89,9,QB,1-1,113,0,2,Sun,4,27-171,CAR,home,ARI,L 16-26,2,0,0,0,0,QB,1-1,9.879999999999999,14.3
Daniel Jones,QB,CHI,15.294848768002447,25,0.6117939507200979,4,NYG,vs. CHI,4 out of 5 stars,D,15.8,76.1,13,Sun,4,NA,25-128,NYG,home,CHI,W 20-12,8,13,5,61.5,71,0,0,0,0,0,76.1,1,11,7.14,5.5,5.46,4.29,8.9,QB,1-6,21,68,6,Sun,4,25-128,NYG,home,CHI,W 20-12,6,68,11.3,2,5,QB,1-6,21.64,15
Davis Mills,QB,LAC,14.947044646314222,20,0.7473522323157111,4,HOU,vs. LAC,4 out of 5 stars,F,14.1,88.5,35,Sun,4,NA,23-346,HOU,home,LAC,L 24-34,26,35,9,74.3,246,2,2,0,5.7,5.7,88.5,4,31,10.26,7,5.6,4.23,9.5,QB,3-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.84,11.5
Zach Wilson,QB,PIT,10.351486639194462,22,0.47052211996338467,4,NYJ,at PIT,2 out of 5 stars,F,13.4,59,36,Sun,4,NA,23-060,NYJ,away,PIT,W 24-20,18,36,18,50,252,1,2,0,2.8,5.6,59,1,4,2.7,7,5.06,4.81,14,QB,1-2,73,15,2,Sun,4,23-060,NYJ,away,PIT,W 24-20,2,15,7.5,0,0,QB,1-2,13.58,12.5
Justin Fields,QB,NYG,12.176315988984689,25,0.48705263955938755,4,CHI,at NYG,2 out of 5 stars,F,14.9,76.7,22,Sun,4,NA,23-211,CHI,away,NYG,L 12-20,11,22,11,50,174,0,0,0,0,0,76.7,6,19,21.43,7.9,7.91,5.54,15.8,QB,1-11,30,52,7,Sun,4,23-211,CHI,away,NYG,L 12-20,7,52,7.4,0,4,QB,1-11,12.16,10.5
Jameis Winston,QB,MIN,14.13347563160294,26,0.5435952166001131,4,NO,vs. MIN,4 out of 5 stars,F,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3
Andy Dalton,QB,MIN,9.1173177120572,20,0.4558658856028599,4,NO,vs. MIN,4 out of 5 stars,F,1.5,108.6,28,Sun,4,NA,34-338,NOR,home,MIN,L 25-28,20,28,8,71.4,236,1,0,0,3.6,0,108.6,2,9,6.67,8.4,9.14,8.23,11.8,QB,2-35,95,3,1,Sun,4,34-338,NOR,home,MIN,L 25-28,1,3,3,0,0,QB,2-35,13.74,11.6
Jacoby Brissett,QB,ATL,16.424179219465408,20,0.8212089609732705,4,CLE,at ATL,4 out of 5 stars,D,15.6,68,35,Sun,4,NA,29-295,CLE,away,ATL,L 20-23,21,35,14,60,234,0,1,0,0,2.9,68,1,8,2.78,6.7,5.4,5.03,11.1,QB,3-91,67,16,5,Sun,4,29-295,CLE,away,ATL,L 20-23,5,16,3.2,1,4,QB,3-91,15.96,15.1
Geno Smith,QB,DET,16.060741599635442,24,0.6691975666514768,4,SEA,at DET,4 out of 5 stars,C-,16.2,132.6,30,Sun,4,NA,31-357,SEA,away,DET,W 48-45,23,30,7,76.7,320,2,0,0,6.7,0,132.6,0,0,0,10.7,12,12,13.9,QB,2-39,35,49,7,Sun,4,31-357,SEA,away,DET,W 48-45,7,49,7,1,4,QB,2-39,31.700000000000003,14.7
Drew Lock,QB,DET,10.62240100105616,20,0.5311200500528079,4,SEA,at DET,4 out of 5 stars,F,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9
Cooper Rush,QB,WAS,14.557070221802736,20,0.7278535110901369,4,DAL,vs. WAS,5 out of 5 stars,F,14.4,107.5,27,Sun,4,NA,28-315,DAL,home,WAS,W 25-10,15,27,12,55.6,223,2,0,0,7.4,0,107.5,1,6,3.57,8.3,9.74,9.18,14.9,QB,0,84,7,2,Sun,4,28-315,DAL,home,WAS,W 25-10,2,7,3.5,0,1,QB,0,17.619999999999997,9.5
Joe Flacco,QB,PIT,14.388678653428975,23,0.6255947240621295,4,NYJ,at PIT,2 out of 5 stars,F,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9
Marcus Mariota,QB,CLE,14.40763394916923,26,0.5541397672757395,4,ATL,vs. CLE,4 out of 5 stars,C,16.8,41.3,19,Sun,4,NA,28-337,ATL,home,CLE,W 23-20,7,19,12,36.8,139,0,1,0,0,5.3,41.3,1,8,5,7.3,4.95,4.3,19.9,QB,1-2,100,3,5,Sun,4,28-337,ATL,home,CLE,W 23-20,5,3,0.6,0,1,QB,1-2,4.86,17.3
Brian Hoyer,QB,GB,6.922274121475647,20,0.34611370607378233,4,NE,at GB,3 out of 5 stars,F,12.8,92.4,6,Sun,4,NA,36-354,NWE,away,GNB,L 24-27 (OT),5,6,1,83.3,37,0,0,0,0,0,92.4,1,8,14.29,6.2,6.17,4.14,7.4,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,2.5
Chase Daniel,QB,HOU,6.159062813522355,20,0.30795314067611773,4,LAC,at HOU,4 out of 5 stars,F,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2
Mitch Trubisky,QB,NYJ,12.168664858208954,20,0.6084332429104478,4,PIT,vs. NYJ,5 out of 5 stars,F,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4
Malik Willis,QB,IND,5.372723404255318,20,0.26863617021276587,4,TEN,at IND,4 out of 5 stars,F,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2
Kenny Pickett,QB,NYJ,6.496,24,0.27066666666666667,4,PIT,vs. NYJ,5 out of 5 stars,F,0.9,65.1,13,Sun,4,NA,24-118,PIT,home,NYJ,L 20-24,10,13,3,76.9,120,0,3,0,0,23.1,65.1,0,0,0,9.2,-1.15,-1.15,12,QB,1-20,71,15,6,Sun,4,24-118,PIT,home,NYJ,L 20-24,6,15,2.5,2,4,QB,1-20,15.3,0
Bailey Zappe,QB,GB,4.0502,20,0.20251,4,NE,at GB,3 out of 5 stars,F,1,107.4,15,Sun,4,NA,23-159,NWE,away,GNB,L 24-27 (OT),10,15,5,66.7,99,1,0,0,6.7,0,107.4,3,24,16.67,6.6,7.93,5.28,9.9,QB,4-137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.96,0
