,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
39,Darren Waller,LVR,30,TE,1,1,6,4,79,19.8,0,4,31,4,79,66.7%,13.2,,,,0,,,,,4,19.8,79,0,0
40,Corey Davis,NYJ,27,WR,1,0,10,6,77,12.8,0,5,17,6,77,60.0%,7.7,,,,0,,,,,6,12.8,77,0,0
41,Jaylen Waddle,MIA,24,WR,1,1,5,4,69,17.3,1,3,42,4,69,80.0%,13.8,1,8,0,0,8,8,8,1,5,15.4,77,1,0
42,Aaron Jones,GNB,28,RB,1,1,5,3,27,9,0,1,22,3,27,60.0%,5.4,5,49,0,3,29,9.8,49,5,8,9.5,76,0,0
43,Pat Freiermuth,PIT,24,TE,1,1,10,5,75,15,0,3,31,5,75,50.0%,7.5,,,,0,,,,,5,15,75,0,0
44,Drake London,ATL,21,WR,1,0,7,5,74,14.8,0,3,31,5,74,71.4%,10.6,,,,0,,,,,5,14.8,74,0,0
45,Darrell Henderson,LAR,25,RB,1,1,5,5,26,5.2,0,1,10,5,26,100.0%,5.2,13,47,0,2,18,3.6,47,13,18,4.1,73,0,0
46,Josh Jacobs,LVR,24,RB,1,1,1,1,16,16,0,1,16,1,16,100.0%,16,10,57,0,1,18,5.7,57,10,11,6.6,73,0,0
47,Melvin Gordon,DEN,29,RB,1,0,2,2,14,7,0,0,8,2,14,100.0%,7,12,58,0,2,13,4.8,58,12,14,5.1,72,0,1
48,Marcus Mariota,ATL,29,QB,1,1,0,0,0,,0,0,0,0,0,0.0%,,12,72,1,3,16,6,72,12,12,6,72,1,2
49,Curtis Samuel,WAS,26,WR,1,0,11,8,55,6.9,1,5,13,8,55,72.7%,5,4,17,0,1,11,4.3,17,4,12,6,72,1,1
50,Courtland Sutton,DEN,27,WR,1,1,7,4,72,18,0,3,30,4,72,57.1%,10.3,,,,0,,,,,4,18,72,0,0
