,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
1,Saquon Barkley,NYG,25,RB,5,5,4.6,3.6,28.6,7.9,0,0.4,41,3.6,28.6,78.3%,6.2,19.4,106.6,0.6,3.8,68,5.5,106.6,19.4,23,5.9,135.2,3,0.2
2,Nick Chubb,CLE,27,RB,5,5,1.8,1.2,7.4,6.2,0,0.4,15,1.2,7.4,66.7%,4.1,19.6,118.6,1.4,5.4,41,6.1,118.6,19.6,20.8,6.1,126,7,0
3,Josh Jacobs,LVR,24,RB,5,5,3.6,3.4,25.8,7.6,0,1.4,16,3.4,25.8,94.4%,7.2,18.2,98,0.6,5.2,43,5.4,98,18.2,21.6,5.7,123.8,3,0.2
4,Cooper Kupp,LAR,29,WR,5,5,12.8,9.8,105.4,10.8,0.8,5.8,75,9.8,105.4,76.6%,8.2,0.4,4.8,0.2,0.2,20,12,4.8,0.4,10.2,10.8,110.2,5,0.2
5,Justin Jefferson,MIN,23,WR,5,5,11,8,109.4,13.7,0.4,5,64,8,109.4,72.7%,9.9,0.2,0.6,0.2,0.2,3,3,0.6,0.2,8.2,13.4,110,3,0
6,Tyreek Hill,MIA,28,WR,5,5,10,7.6,104.8,13.8,0.4,4.4,64,7.6,104.8,76.0%,10.5,0.8,3.6,0,0.2,10,4.5,3.6,0.8,8.4,12.9,108.4,2,0.2
7,Derrick Henry,TEN,28,RB,5,5,2.8,2,24.2,12.1,0,0.8,24,2,24.2,71.4%,8.6,20.8,81.6,1,3.6,24,3.9,81.6,20.8,22.8,4.6,105.8,5,0.2
8,Austin Ekeler,LAC,27,RB,5,5,6.6,6.2,42.8,6.9,0.4,2.2,21,6.2,42.8,93.9%,6.5,12.2,62.6,0.6,2.4,71,5.1,62.6,12.2,18.4,5.7,105.4,5,0.2
9,Christian McCaffrey,CAR,26,RB,5,5,7,5.2,37.6,7.2,0.2,1.2,34,5.2,37.6,74.3%,5.4,14.4,64.8,0.4,3.6,49,4.5,64.8,14.4,19.6,5.2,102.4,3,0
10,Stefon Diggs,BUF,29,WR,5,5,10.4,7.8,101.6,13,1,4.6,53,7.8,101.6,75.0%,9.8,,,,0,,,,,7.8,13,101.6,5,0
11,Breece Hall,NYJ,21,RB,5,0,5.8,3.4,42.6,12.5,0.2,1.6,79,3.4,42.6,58.6%,7.3,11.2,55,0.4,2.6,23,4.9,55,11.2,14.6,6.7,97.6,3,0.2
12,Aaron Jones,GNB,28,RB,5,5,3.8,2.8,19.6,7,0.2,1.2,22,2.8,19.6,73.7%,5.2,12.2,78,0.2,4.2,36,6.4,78,12.2,15,6.5,97.6,2,0.2
13,Leonard Fournette,TAM,27,RB,5,5,6,5.2,38.8,7.5,0.4,2.2,25,5.2,38.8,86.7%,6.5,14.8,56,0.2,2.2,17,3.8,56,14.8,20,4.7,94.8,3,0
14,Dameon Pierce,HOU,22,RB,5,5,3,2.6,11.4,4.4,0,0.4,12,2.6,11.4,86.7%,3.8,17.2,82.4,0.6,4.2,75,4.8,82.4,17.2,19.8,4.7,93.8,3,0.4
15,Miles Sanders,PHI,25,RB,5,5,2.4,2,8.2,4.1,0,0.2,16,2,8.2,83.3%,3.4,17.4,82.8,0.6,4.2,35,4.8,82.8,17.4,19.4,4.7,91,3,0
16,Dalvin Cook,MIN,27,RB,5,5,3,2.2,14.8,6.7,0,1,23,2.2,14.8,73.3%,4.9,16.2,74.6,0.6,4.2,16,4.6,74.6,16.2,18.4,4.9,89.4,3,0.2
17,Jeff Wilson,SFO,27,RB,5,3,1.8,1.6,14,8.8,0,0.4,16,1.6,14,88.9%,7.8,14.8,75,0.4,3.2,41,5.1,75,14.8,16.4,5.4,89,2,0.2
18,Rhamondre Stevenson,NWE,24,RB,5,0,3.2,2.6,14.2,5.5,0,0.6,15,2.6,14.2,81.3%,4.4,13.6,74.4,0.2,4.2,49,5.5,74.4,13.6,16.2,5.5,88.6,1,0
19,Khalil Herbert,CHI,24,RB,6,1,0.83,0.83,6.17,7.4,0,0.17,24,0.8,6.2,100.0%,7.4,10.5,67.2,0.5,2.5,64,6.4,67.2,10.5,11.3,6.5,73.3,3,0
20,A.J. Brown,PHI,25,WR,5,4,9,5.6,87.2,15.6,0.2,4,54,5.6,87.2,62.2%,9.7,,,,0,,,,,5.6,15.6,87.2,1,0
21,Joe Mixon,CIN,26,RB,5,5,5.4,4,25.2,6.3,0,0.8,18,4,25.2,74.1%,4.7,19.2,60.4,0.2,2.8,31,3.1,60.4,19.2,23.2,3.7,85.6,1,0
22,Courtland Sutton,DEN,27,WR,5,5,9.2,5.8,83.4,14.4,0.2,3.6,51,5.8,83.4,63.0%,9.1,0.2,1,0,0,5,5,1,0.2,6,14.1,84.4,1,0
23,Jaylen Waddle,MIA,24,WR,5,5,7.8,4.8,80.8,16.8,0.6,4,59,4.8,80.8,61.5%,10.4,0.4,3.4,0,0,9,8.5,3.4,0.4,5.2,16.2,84.2,3,0
24,Marquise Brown,ARI,25,WR,5,5,11,7.6,83.4,11,0.6,4.2,26,7.6,83.4,69.1%,7.6,,,,0,,,,,7.6,11,83.4,3,0
25,Davante Adams,LVR,30,WR,5,5,10.8,5.8,82.8,14.3,1,3.8,58,5.8,82.8,53.7%,7.7,0.4,0,0,0,4,0,0,0.4,6.2,13.4,82.8,5,0.2
26,Tyler Lockett,SEA,30,WR,5,5,8,6.4,81.2,12.7,0.4,3.6,40,6.4,81.2,80.0%,10.2,,,,0,,,,,6.4,12.7,81.2,2,0.2
27,Mike Williams,LAC,28,WR,5,5,8.8,5.6,78.4,14,0.4,3.2,50,5.6,78.4,63.6%,8.9,,,,0,,,,,5.6,14,78.4,2,0
28,Deebo Samuel,SFO,26,WR,5,4,7.4,4,53.2,13.3,0.4,2,57,4,53.2,54.1%,7.2,4.2,25,0.2,0.8,51,6,25,4.2,8.2,9.5,78.2,3,0.4
29,Chris Olave,NOR,22,WR,5,3,8.4,5,77.8,15.6,0.4,3,51,5,77.8,59.5%,9.3,,,,0,,,,,5,15.6,77.8,2,0.2
30,Terry McLaurin,WAS,27,WR,6,6,6.17,3.67,61.2,16.7,0.17,2.67,49,3.7,61.2,59.5%,9.9,0.5,3,0,0.17,7,6,3,0.5,4.17,15.4,64.2,1,0.17
31,Lamar Jackson,BAL,25,QB,5,5,0,0,0,,0,0,0,0,0,0.0%,,9.8,74.8,0.4,3.8,79,7.6,74.8,9.8,9.8,7.6,74.8,2,0.2
32,D.K. Metcalf,SEA,25,WR,5,5,8.6,5.6,74.4,13.3,0.4,2.8,54,5.6,74.4,65.1%,8.7,,,,0,,,,,5.6,13.3,74.4,2,0.4
33,Jonathan Taylor,IND,23,RB,4,4,4,2.25,11,4.9,0,0.25,9,2.3,11,56.3%,2.8,20.3,82,0.25,4.5,21,4,82,20.3,22.5,4.1,93,1,0.25
34,Cordarrelle Patterson,ATL,31,RB,4,3,1.75,1,7,7,0,0.5,12,1,7,57.1%,4,14.5,85,0.75,4.75,40,5.9,85,14.5,15.5,5.9,92,3,0
35,Antonio Gibson,WAS,24,RB,6,5,4,3.17,25.3,8,0,1,26,3.2,25.3,79.2%,6.3,10.2,35.7,0.33,2.33,18,3.5,35.7,10.2,13.3,4.6,61,2,0
36,Rashaad Penny,SEA,26,RB,5,5,1,0.8,3.2,4,0,0.4,6,0.8,3.2,80.0%,3.2,11.4,69.2,0.4,3,41,6.1,69.2,11.4,12.2,5.9,72.4,2,0.2
37,Jamaal Williams,DET,27,RB,5,2,1.6,1,6,6,0,0.2,17,1,6,62.5%,3.8,15.4,66.4,1.2,3.8,51,4.3,66.4,15.4,16.4,4.4,72.4,6,0
38,Clyde Edwards-Helaire,KAN,23,RB,5,5,3.6,3.2,27.4,8.6,0.6,2,25,3.2,27.4,88.9%,7.6,10,44.6,0.4,2,52,4.5,44.6,10,13.2,5.5,72,5,0
