Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_pas_yds,ovr_ex_pas_td,ovr_ex_rus_yds,ovr_ex_rus_td,fmb_scrim,Int_pas,games,ex_ppd,home_away
Patrick Mahomes,QB,KC,CIN,23.47074094076655,38,309.43,2.3805,24.815409407665506,0.09,0.36,0.73,11,0.6176510773885934,Away
Josh Allen,QB,BUF,NE,23.217670426488883,40,271.32,1.981,47.06305209097579,0.3857608695652174,0.83,0.92,12,0.5804417606622221,Away
Joe Burrow,QB,CIN,KC,21.673783177570094,38,279.23,2.0765,16.343831775700934,0.3357,0.36,0.73,11,0.570362715199213,Home
Tom Brady,QB,TB,NO,15.4554,27,265.385,1.255,0,0,0,0.18,11,0.5724222222222222,Home
Justin Herbert,QB,LAC,LV,17.76788951048951,33,270.08500000000004,1.73,12.244895104895104,0,0.27,0.64,11,0.5384208942572579,Away
Geno Smith,QB,SEA,LAR,17.9915550913959,31,250.40999999999997,1.6744999999999999,21.20595458368377,0.08442660550458715,0.45,0.45,11,0.5803727448837387,Away
Kirk Cousins,QB,MIN,NYJ,15.317838903605121,27,242.89,1.454,4.529911971830986,0.17554128440366973,0.45,0.82,11,0.5673273668001897,Home
Derek Carr,QB,LV,LAC,15.847654397394138,24,243.57999999999998,1.64,7.244543973941369,0,0.27,0.64,11,0.6603189332247558,Home
Jared Goff,QB,DET,JAX,14.813295675675674,24,244.44500000000002,1.5499999999999998,3.7549567567567568,0,0.45,0.64,11,0.6172206531531531,Home
Aaron Rodgers,QB,GB,CHI,14.165272300082439,27,220.89,1.675,5.396723000824402,0,0.58,0.75,12,0.5246397148178681,Away
Trevor Lawrence,QB,JAX,DET,17.121895,31,244.17499999999998,1.4785,16.75375,0.29592,0.73,0.55,11,0.5523191935483871,Away
Matt Ryan,QB,IND,DAL,12.193225469511983,20,251.225,1.0985,7.548806419257773,0.09922413793103449,1.3,1,10,0.6096612734755992,Away
Jacoby Brissett,QB,CLE,HOU,15.203939390875773,22,233.995,1.063,21.897979274611398,0.175390243902439,0.55,0.55,11,0.6910881541307169,Away
Tua Tagovailoa,QB,MIA,SF,18.175982753164558,32,272.51,1.9164999999999999,3.79582753164557,0,0.22,0.33,9,0.5679994610363924,Away
Jalen Hurts,QB,PHI,TEN,22.944914345549737,38,237.79999999999998,1.577,50.39039999999999,0.635979057591623,0.73,0.27,11,0.6038135354092036,Home
Jimmy Garoppolo,QB,SF,MIA,16.445677734885695,29,237.45499999999998,1.5925,3.2407114147909963,0.2089010989010989,0.3,0.4,9.75,0.5670923356857136,Home
Russell Wilson,QB,DEN,BAL,13.63764461779831,22,239.435,0.8975000000000001,13.260627996164908,0.10736363636363637,0.5,0.5,10,0.6198929371726505,Away
Lamar Jackson,QB,BAL,DEN,20.336112077443147,30,200.08499999999998,1.4405,66.00062077443147,0.251775,0.45,0.64,11,0.6778704025814383,Home
Daniel Jones,QB,NYG,WAS,16.75256355544902,26,197.52,1.0105,39.26204500330907,0.32725984251968504,0.36,0.36,11,0.64432936751727,Home
Davis Mills,QB,HOU,CLE,12.503894915254238,20,214.655,1.1525,4.0769491525423724,0.13333333333333333,0.4,1.1,10,0.6251947457627118,Home
