Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_rec,ovr_ex_rec_yds,ovr_ex_rec_td,ovr_ex_rus_yds,ovr_ex_rus_td,fmb_scrim,games,ex_ppd,home_away
Christian McCaffrey,RB,SF,MIA,15.953422466432556,36,5.610879024390243,43.47102476515799,0.18,54.90937620578778,0.4016571428571428,0.09,10.75,0.443150624067571,Home
Najee Harris,RB,PIT,ATL,12.103826089011385,19,2.675503448275862,14.314732330827068,0.27433125,55.73870774647887,0.41245714285714286,0.18,11,0.6370434783690202,Away
Derrick Henry,RB,TEN,PHI,18.019390014538274,40,2.14875,25.73192666287663,0,94.63468348250609,0.8780590000000001,0.18,11,0.45048475036345687,Away
Leonard Fournette,RB,TB,NO,15.365995324133522,16,3.7844558303886924,28.32372040586246,0.29078740157480315,60.0467095890411,0.48200000000000004,0,9.75,0.9603747077583451,Home
Josh Jacobs,RB,LV,LAC,21.456182544393958,32,3.496794736842105,28.386304528458666,0,114.97354723127037,0.9253,0.09,11,0.6705057045123112,Home
Saquon Barkley,RB,NYG,WAS,14.494758531041514,32,3.1866677419354836,21.235286189683862,0,80.25889741892786,0.4886677165354331,0.09,11,0.4529612040950473,Home
Nick Chubb,RB,CLE,HOU,17.81295938146896,34,1.4684627906976746,13.652448539325846,0,97.88951424870466,1.0174219512195122,0.09,11,0.5239105700432047,Away
Aaron Jones,RB,GB,CHI,14.811909602575447,25,3.334721621621622,24.53590376007162,0.28920983606557377,73.37013685078318,0.35311428571428577,0.25,12,0.5924763841030178,Away
Rhamondre Stevenson,RB,NE,BUF,13.9326239685297,21,4.807456603773585,32.14998271028037,0.08780000000000002,60.49465395614871,0.316272,0.08,10,0.6634582842157,Home
Austin Ekeler,RB,LAC,LV,20.590157252789535,40,6.880645422535211,44.581473684210536,0.45000000000000007,57.68509090909091,0.7938630136986302,0.27,11,0.5147539313197383,Away
