,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
10,Baltimore Ravens,11,20.6,335.8,61.5,5.5,1.82,0.82,19.5,25,37.3,253.8,1.45,1,6.3,12.8,21,82,0.82,3.9,5.09,5.09,39,1.64,37.4,16.5,-3.08
11,Cincinnati Bengals,11,21,328.3,61.3,5.4,1.18,0.45,17.9,19.7,33.5,216.1,0.91,0.73,6.2,10.1,26.3,112.2,0.82,4.3,6.36,5.91,48.8,1.45,40,10,-1.99
12,New York Giants,11,21.1,355.2,61.2,5.8,1.27,0.91,21.6,19.4,32.5,216.3,1.09,0.36,6.3,12,26.9,138.9,1,5.2,7.18,7.55,55.5,2.45,39.7,9.5,-5.16
13,Jacksonville Jaguars,11,21.1,362.9,63.7,5.7,1.45,0.64,21,22,35.1,248.1,1.55,0.82,6.8,11.9,27.1,114.8,0.91,4.2,7.45,5.45,41.5,1.64,36.8,13.2,-4.67
14,Washington Commanders,12,19.7,310,58.4,5.3,1.17,0.58,17.3,18.7,31.1,201.6,1.58,0.58,6,9.75,24.8,108.4,0.5,4.4,5.25,5.25,43.7,2.25,31.6,8.8,-0.49
15,Kansas City Chiefs,11,22.1,335.5,63.1,5.3,1.09,0.55,19.5,24.5,36.5,233.5,2,0.55,5.9,12.8,23.5,102,0.55,4.3,5.73,6.09,44.8,1,37.3,9.3,-3.59
16,Indianapolis Colts,12,20.3,308.9,62.4,4.9,0.92,0.58,19,20.3,29.8,190.6,1.08,0.33,5.9,9.75,30.1,118.3,0.92,3.9,7.42,5.08,40.6,1.83,33.1,7.4,-0.79
17,Los Angeles Rams,11,23,323.4,60.5,5.3,0.91,0.36,18.2,22.9,33.6,226.1,1.36,0.55,6.3,11.9,24.8,97.3,0.64,3.9,5.18,4.82,34.6,1.09,40.2,8,-4.01
18,Miami Dolphins,11,23.3,343.4,62.1,5.5,1,0.45,19.7,23.9,35.3,233.8,1.55,0.55,6.2,11.3,24.5,109.5,1.18,4.5,6.36,4.55,48.2,2.09,35.3,9.2,-4.57
19,Minnesota Vikings,11,23.4,390.7,64.5,6.1,1.64,0.73,21.5,24.6,35.5,276.1,1.45,0.91,7.2,13.3,26.4,114.6,1.09,4.3,6.91,6.82,56.3,1.36,39.8,13,-5.44
20,Houston Texans,11,23.6,385,67.1,5.7,1.09,0.45,22.1,18.6,30.3,216.4,0.91,0.64,6.6,12,34.4,168.6,1.36,4.9,8.64,6.09,48.6,1.45,38,8.3,-7.51
21,Pittsburgh Steelers,11,23.7,367.7,64.3,5.7,1.45,0.27,20,22.3,36.2,263.7,2.09,1.18,6.9,13.1,26.1,104,0.55,4,5.45,5.91,42.5,1.45,38.2,13,-4.34
22,Carolina Panthers,12,22.2,348.2,65.8,5.3,1,0.33,20.4,22.6,34.2,212.5,1.25,0.67,5.9,11.1,29.6,135.7,1.08,4.6,7.83,6.75,54.5,1.5,34,7.8,-1.87
23,Las Vegas Raiders,11,25.1,370.6,63.2,5.9,0.73,0.36,21.1,24.5,34.3,253,1.73,0.36,7.1,12.3,27.5,117.6,1.18,4.3,7.45,5.36,45.4,1.36,42.5,7.1,-8.34
24,New Orleans Saints,12,23.3,326.4,62.8,5.2,0.58,0.42,19.4,19.6,31.5,197.3,1.17,0.17,5.8,9.5,28.6,129.1,0.92,4.5,7.17,5.92,51.3,2.75,40,4.6,-4.43
25,Seattle Seahawks,11,25.5,388.7,67.6,5.7,1.73,0.91,21.8,22.4,33.7,234.9,1.64,0.82,6.5,12.3,31.4,153.8,1.27,4.9,7.64,6.45,55.1,1.91,38.3,14.2,-7.21
26,Los Angeles Chargers,11,25.6,368.7,61.5,6,1.36,0.64,20.2,20.5,31.7,217.4,1.64,0.73,6.4,11.8,27.8,151.4,1.09,5.4,7,5.18,51.5,1.36,43,10.7,-7.71
27,Green Bay Packers,12,23.6,342.6,61.3,5.6,1,0.33,19.9,18.4,28.2,187.8,1.5,0.67,6.2,9.5,31.2,154.8,1.08,5,8.5,5.67,50.4,1.92,38.9,9.5,-4.92
28,Cleveland Browns,11,26,347.6,60.8,5.7,0.73,0.45,19.9,20.3,31.4,216.1,1.45,0.27,6.4,10.5,27.2,131.5,1.45,4.8,7.45,5.91,51.2,2,43.9,6.5,-7.58
29,Atlanta Falcons,12,24.4,383.1,65.7,5.8,1.25,0.42,21.9,24,35.3,255.6,1.5,0.83,7,12.8,29,127.5,1.25,4.4,8.08,6.25,53.5,1.08,44.3,12.3,-8.77
30,Chicago Bears,12,25.4,350,59.2,5.9,1.25,0.5,20.5,18.3,27.1,206.1,1.25,0.75,7.3,10.3,30.8,143.9,1.58,4.7,8.42,4.75,37.7,1.75,38.8,10.7,-8.44
31,Detroit Lions,11,28.2,414.5,66,6.3,1.27,0.45,24.2,22.4,34.5,259.9,1.64,0.82,7.1,13.3,29.6,154.6,1.64,5.2,8.91,6.91,53.7,2,43.9,11.4,-12.02
32,Arizona Cardinals,12,26.8,356.2,62.6,5.7,1.17,0.58,21.7,25.3,36.5,245.4,2,0.58,6.4,13.4,24.2,110.8,1.08,4.6,6.92,5.83,44.7,1.33,43.1,10.8,-6.23
