,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
Rk,Tm,G,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,San Francisco 49ers,11,15.7,281.7,60.1,4.7,1.27,0.45,16.5,21.6,33.2,202.3,0.82,0.82,5.6,10.2,23.9,79.5,0.82,3.3,4.64,4.82,43,1.73,25.7,10.6,2.39
2,Dallas Cowboys,11,17,309.6,63.6,4.9,1.45,0.82,19,20.2,31.5,177.7,1.09,0.64,5,9.36,28.1,131.9,0.55,4.7,7.09,6.36,50.6,2.55,32.5,12.5,2.18
3,Denver Broncos,11,17.6,306.4,63.2,4.8,1,0.45,18.4,21,34.2,184.7,0.82,0.55,5.1,9.09,26.6,121.6,0.55,4.6,6.73,7.18,65.5,2.55,33.9,7.9,2.64
4,New York Jets,11,17.8,308.8,63.7,4.8,1.36,0.27,18.4,20.8,33.2,197.5,0.91,1.09,5.4,9.73,27.5,111.3,0.91,4.1,6.91,5.73,43.5,1.73,29.1,11.8,2.77
5,Tampa Bay Buccaneers,11,18.5,315.2,63.1,5,1,0.36,17.8,21.1,33.3,192,1.55,0.64,5.3,10.6,26.5,123.2,0.64,4.6,5.91,6.27,53.4,1.27,29,8.9,0.76
6,Tennessee Titans,11,18.6,351.3,64.8,5.4,1.18,0.36,19.5,25.6,40.1,266.7,1.73,0.82,6.2,12.2,21.9,84.5,0.27,3.9,5.55,7.27,51.9,1.73,30.3,10.7,-1.17
7,Buffalo Bills,12,17.4,320.2,62,5.2,1.67,0.58,20.3,22.8,35.4,218.3,1.25,1.08,5.7,11.7,24,101.8,0.67,4.2,6.58,5.83,50.6,2,30.8,14.2,-1.14
8,Philadelphia Eagles,11,19.6,304.4,63.4,4.8,2,0.64,19.9,20.6,34.3,183.6,1.18,1.36,4.9,11.2,25.8,120.7,0.91,4.7,6.91,5.64,48.2,1.82,32.5,20.2,0.54
9,New England Patriots,12,18.8,311.8,62.8,5,1.58,0.58,17.5,19.4,32.8,200.6,1.42,1,5.6,10.8,26.7,111.2,0.42,4.2,5.08,4.08,34,1.58,31.1,12.6,3.36
