,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
1,Josh Jacobs,LVR,24,RB,11,11,4.36,3.64,29.5,8.1,0,1.18,43,3.6,29.5,83.3%,6.8,19.6,105.4,0.82,6.09,86,5.4,105.4,19.6,23.3,5.8,134.9,9,0.09
2,Derrick Henry,TEN,28,RB,11,11,2.36,1.91,25.3,13.2,0,0.64,69,1.9,25.3,80.8%,10.7,22.5,95.3,0.91,4.18,56,4.2,95.3,22.5,24.4,4.9,120.5,10,0.18
3,Tyreek Hill,MIA,28,WR,11,11,10.5,7.91,112.1,14.2,0.36,5.09,64,7.9,112.1,75.7%,10.7,0.55,2.73,0,0.18,10,5,2.7,0.5,8.45,13.6,114.8,4,0.09
4,Justin Jefferson,MIN,23,WR,11,11,10.5,7.36,112,15.2,0.45,4.55,64,7.4,112,69.8%,10.6,0.18,1.18,0.09,0.18,10,6.5,1.2,0.2,7.55,15,113.2,6,
5,Saquon Barkley,NYG,25,RB,11,11,4.27,3.18,20.3,6.4,0,0.36,41,3.2,20.3,74.5%,4.7,20.4,90.2,0.64,3.82,68,4.4,90.2,20.4,23.5,4.7,110.5,7,0.09
6,Stefon Diggs,BUF,29,WR,12,12,10.7,7.58,100.2,13.2,0.83,5.08,53,7.6,100.2,71.1%,9.4,,,0,0,,,,,7.58,13.2,100.2,10,0.08
7,Nick Chubb,CLE,27,RB,11,11,2.09,1.55,13.8,8.9,0,0.64,26,1.5,13.8,73.9%,6.6,18.2,94.5,1.09,4.27,41,5.2,94.5,18.2,19.7,5.5,108.3,12,0.09
8,Aaron Jones,GNB,28,RB,12,12,4.42,3.58,25.3,7.1,0.33,1.25,30,3.6,25.3,81.1%,5.7,12.9,68.4,0.17,3.5,36,5.3,68.4,12.9,16.5,5.7,93.8,6,0.25
9,Rhamondre Stevenson,NWE,24,RB,12,4,5.58,4.67,31.9,6.8,0.08,1.08,40,4.7,31.9,83.6%,5.7,13.4,61.2,0.33,3.25,49,4.6,61.2,13.4,18.1,5.1,93.1,5,0.08
10,Christian McCaffrey,2TM,26,RB,11,10,6.64,5.27,43.5,8.3,0.18,2.18,49,5.3,43.5,79.5%,6.6,13,57.6,0.36,3,49,4.4,57.6,13,18.3,5.5,101.2,6,0.09
11,Austin Ekeler,LAC,27,RB,11,11,8.91,7.27,45.2,6.2,0.45,2.55,23,7.3,45.2,81.6%,5.1,11.6,50.4,0.64,2.18,71,4.3,50.4,11.6,18.9,5.1,95.5,12,0.27
12,Tony Pollard,DAL,25,RB,11,3,3,2.09,22.2,10.6,0.18,0.91,68,2.1,22.2,69.7%,7.4,12.4,69.2,0.55,3,57,5.6,69.2,12.4,14.5,6.3,91.4,8,
13,Dalvin Cook,MIN,27,RB,11,11,3.55,2.36,14.5,6.2,0.09,1,23,2.4,14.5,66.7%,4.1,16.2,76.5,0.55,3.27,81,4.7,76.5,16.2,18.5,4.9,91,7,0.09
14,Davante Adams,LVR,30,WR,11,11,11.2,6.45,90.8,14.1,0.91,4,58,6.5,90.8,57.7%,8.1,0.27,-0.09,0,0,4,-0.3,-0.1,0.3,6.73,13.5,90.7,10,0.09
15,Jaylen Waddle,MIA,24,WR,11,11,7.73,5.09,87.5,17.2,0.55,4.18,59,5.1,87.5,65.9%,11.3,0.18,1.55,0,0,9,8.5,1.5,0.2,5.27,16.9,89.1,6,0.09
16,Miles Sanders,PHI,25,RB,11,9,1.64,1.36,5.45,4,0,0.09,16,1.4,5.5,83.3%,3.3,16.1,81.8,0.73,4.09,35,5.1,81.8,16.1,17.5,5,87.3,8,
17,Alvin Kamara,NOR,27,RB,10,9,6.5,4.9,42.2,8.6,0.2,1.5,54,4.9,42.2,75.4%,6.5,13.1,52.4,0.1,2.6,27,4,52.4,13.1,18,5.3,94.6,3,0.4
18,Dameon Pierce,HOU,22,RB,11,11,3.27,2.45,13,5.3,0.09,0.55,16,2.5,13,75.0%,4,16.4,71.6,0.27,4.27,75,4.4,71.6,16.4,18.8,4.5,84.6,4,0.27
19,Travis Etienne,JAX,23,RB,11,6,2.82,2,18.4,9.2,0,0.91,24,2,18.4,71.0%,6.5,12.1,66.2,0.36,3.27,49,5.5,66.2,12.1,14.1,6,84.5,4,0.27
20,Joe Mixon,CIN,26,RB,10,10,5.3,4.1,31.4,7.7,0.2,1.2,35,4.1,31.4,77.4%,5.9,15.8,60.5,0.6,3.6,31,3.8,60.5,15.8,19.9,4.6,91.9,8,
21,Travis Kelce,KAN,33,TE,11,11,9.27,6.64,82.9,12.5,1.09,5.09,46,6.6,82.9,71.6%,8.9,0.18,0.45,0,0.09,4,2.5,0.5,0.2,6.82,12.2,83.4,12,
22,Jonathan Taylor,IND,23,RB,9,9,3.89,2.67,12.1,4.5,0,0.33,12,2.7,12.1,68.6%,3.1,19,86.6,0.44,4,66,4.6,86.6,19,21.7,4.6,98.7,4,0.33
23,CeeDee Lamb,DAL,23,WR,11,11,9.45,5.82,77.9,13.4,0.45,4,35,5.8,77.9,61.5%,8.2,0.64,2.09,0,0.18,12,3.3,2.1,0.6,6.45,12.4,80,5,
24,Cooper Kupp,LAR,29,WR,9,9,10.9,8.33,90.2,10.8,0.67,4.67,75,8.3,90.2,76.5%,8.3,1,5.78,0.11,0.44,20,5.8,5.8,1,9.33,10.3,96,7,0.22
25,Terry McLaurin,WAS,27,WR,12,12,7.17,4.5,70,15.6,0.17,3.17,49,4.5,70,62.8%,9.8,0.5,1.42,0,0.08,7,2.8,1.4,0.5,5,14.3,71.4,2,0.08
26,Justin Fields,CHI,23,QB,11,11,,,,,0,0,,,,,,11.1,75.8,0.64,5,67,6.8,75.8,11.1,11.1,6.8,75.8,7,1.18
27,A.J. Brown,PHI,25,WR,11,10,7.82,4.82,75.5,15.7,0.64,3.27,54,4.8,75.5,61.6%,9.7,,,0,0,,,,,4.82,15.7,75.5,7,0.18
28,Devin Singletary,BUF,25,RB,12,12,3.5,2.58,18.8,7.3,0.08,1.08,22,2.6,18.8,73.8%,5.4,11.4,50.3,0.33,2.67,30,4.4,50.3,11.4,14,4.9,69.1,5,0.17
29,Tee Higgins,CIN,23,WR,11,10,7.27,5.18,75.1,14.5,0.36,3.45,59,5.2,75.1,71.3%,10.3,,,0,0,,,,,5.18,14.5,75.1,4,
30,Jeff Wilson,2TM,27,RB,11,7,2.18,1.45,13.5,9.3,0.09,0.55,16,1.5,13.5,66.7%,6.2,11.9,61.5,0.36,2.91,41,5.2,61.5,11.9,13.4,5.6,75.1,5,0.18
31,Chris Olave,NOR,22,WR,11,7,8.36,5.09,74.7,14.7,0.27,3.36,53,5.1,74.7,60.9%,8.9,,,0,0,,,,,5.09,14.7,74.7,3,0.09
32,David Montgomery,CHI,25,RB,11,11,2.27,1.91,21.6,11.3,0,0.64,32,1.9,21.6,84.0%,9.5,13.3,52.7,0.27,2.82,28,4,52.7,13.3,15.2,4.9,74.4,3,0.09
