Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Patrick Mahomes,KAN,27,QB,11,11,9-2-0,26.5,40.2,66.1,325.9,2.64,6.6,0.73,1.8,17.3,57,8.1,8.6,12.3,325.9,105.3,77.4,1.55,10.7,3.7,7.55,8.03,0.18,0.18
2,Josh Allen,BUF,26,QB,12,12,9-3-0,23.7,36.9,64.1,283.8,2.08,5.6,0.92,2.5,14.3,98,7.7,7.7,12,283.8,96,75.3,2.08,10,5.3,7.02,7.03,0.17,0.25
3,Joe Burrow,CIN,26,QB,11,11,7-4-0,25.4,37.2,68.2,287.3,2.09,5.6,0.73,2,13.5,60,7.7,8,11.3,287.3,101.7,57.7,3,19.5,7.5,6.67,6.89,0.18,0.27
4,Tom Brady,TAM,45,QB,11,11,5-6-0,28.3,42.7,66.2,277.4,1.27,3,0.18,0.4,13.5,51,6.5,6.9,9.8,277.4,92.4,53.9,1.55,11.3,3.5,6.01,6.4,0.09,0.18
5,Justin Herbert,LAC,24,QB,11,11,6-5-0,28.4,42.1,67.4,273.1,1.73,4.1,0.64,1.5,13.5,54,6.5,6.6,9.6,273.1,92.7,61.1,1.91,10.8,4.3,5.96,6.1,0.36,0.36
6,Geno Smith,SEA,32,QB,11,11,6-5-0,23.4,32.1,72.8,254.7,1.73,5.4,0.45,1.4,12.3,54,7.9,8.4,10.9,254.7,107.9,64.2,2.45,19.7,7.1,6.8,7.21,0,0.09
7,Kirk Cousins,MIN,34,QB,11,11,9-2-0,24.5,37.6,65,250.9,1.55,4.1,0.82,2.2,12.8,64,6.7,6.5,10.3,250.9,88.6,49.3,2.55,18.9,6.3,5.77,5.63,0.55,0.55
8,Derek Carr,LVR,31,QB,11,11,4-7-0,22,34.9,63,248.2,1.64,4.7,0.64,1.8,11.4,60,7.1,7.2,11.3,248.2,92.3,61,1.91,12.7,5.2,6.4,6.51,0.27,0.27
9,Jared Goff,DET,28,QB,11,11,4-7-0,21.1,33.1,63.7,243.8,1.55,4.7,0.64,1.9,12.1,81,7.4,7.4,11.6,243.8,93.5,58.3,1.55,10.9,4.5,6.72,6.79,0.09,0.09
10,Aaron Rodgers,GNB,39,QB,12,12,4-8-0,21.2,32.7,64.8,223.5,1.75,5.4,0.75,2.3,10.2,58,6.8,6.9,10.6,223.5,92.9,41,2,15.6,5.8,6,6.03,0.17,0.17
11,Trevor Lawrence,JAX,23,QB,11,11,4-7-0,23.3,35,66.5,241.4,1.45,4.2,0.55,1.6,12.5,49,6.9,7,10.4,241.4,93.6,54.2,1.91,12.3,5.2,6.21,6.33,0.18,0.18
12,Matt Ryan,IND,37,QB,10,10,4-5-1,26.9,39.1,68.8,264.2,1.1,2.8,1,2.6,13.3,44,6.8,6.2,9.8,264.2,86.3,44.2,3.2,24.5,7.6,5.67,5.12,0.5,0.4
13,Jacoby Brissett,CLE,30,QB,11,11,4-7-0,21.5,33.5,64.1,237.1,1.09,3.3,0.55,1.6,11.7,55,7.1,7,11.1,237.1,89.1,61.2,2.18,14.5,6.1,6.24,6.17,0.18,0.18
14,Tua Tagovailoa,MIA,24,QB,9,9,8-1-0,22,31.6,69.7,284.9,2.11,6.7,0.33,1.1,14,60,9,9.9,12.9,284.9,115.7,82.6,1.33,10.2,4.1,8.35,9.18,0.22,0.22
15,Jalen Hurts,PHI,24,QB,11,11,10-1-0,19.5,28.9,67.3,232.7,1.55,5.3,0.27,0.9,10.7,54,8.1,8.7,12,232.7,105.6,68.2,2.55,15,8.1,6.92,7.51,0.09,0.18
16,Jimmy Garoppolo,SFO,31,QB,10,9,6-3-0,20.5,30.4,67.4,238.1,1.6,5.3,0.4,1.3,11.2,57,7.8,8.3,11.6,238.1,103,53.9,1.7,9,5.3,7.14,7.57,0.1,0.1
17,Russell Wilson,DEN,34,QB,10,10,3-7-0,19.8,33.6,58.9,236.9,0.8,2.4,0.5,1.5,9.8,67,7.1,6.9,12,236.9,82.3,32.3,3.5,22.5,9.4,5.78,5.6,0.3,0.3
18,Kyler Murray,ARI,25,QB,10,10,3-7-0,25.8,38.9,66.3,235.9,1.4,3.6,0.7,1.8,11.9,38,6.1,6,9.1,235.9,87.1,50.2,2.5,19.2,6,5.23,5.15,0.1,0.1
19,Lamar Jackson,BAL,25,QB,11,11,7-4-0,18.2,29.3,62.1,202.8,1.55,5.3,0.64,2.2,9.55,75,6.9,7,11.2,202.8,91.3,60.7,2.18,9.45,6.9,6.15,6.22,0.09,0.18
20,Daniel Jones,NYG,25,QB,11,11,7-4-0,18.5,28.7,64.6,196.8,0.91,3.2,0.36,1.3,9.64,65,6.9,6.9,10.6,196.8,89.7,58.1,3,17.5,9.5,5.65,5.71,0.36,0.45
21,Davis Mills,HOU,24,QB,10,10,1-8-1,20.3,32.8,61.9,214.4,1.1,3.4,1.1,3.4,9,58,6.5,5.7,10.6,214.4,78.1,29.3,2.8,22.2,7.9,5.4,4.63,0,0.1
22,Matthew Stafford,LAR,34,QB,9,9,3-6-0,22.9,33.7,68,231.9,1.11,3.3,0.89,2.6,11.7,75,6.9,6.4,10.1,231.9,87.4,50.9,3.22,23.1,8.7,5.66,5.18,,
23,Marcus Mariota,ATL,29,QB,12,12,5-7-0,14.3,23,62,171,1.17,5.1,0.67,2.9,8.5,75,7.4,7.1,12,171,89.5,57.3,2.25,15.7,8.9,6.15,5.89,0.17,0.25
24,Andy Dalton,NOR,35,QB,9,9,3-6-0,20,30.1,66.4,224.8,1.56,5.2,0.78,2.6,10.4,64,7.5,7.3,11.2,224.8,95,50.8,1.56,11.8,4.9,6.73,6.6,0.11,0.11
25,Ryan Tannehill,TEN,34,QB,9,9,6-3-0,17.6,27,65,219.6,1.11,4.1,0.44,1.6,10,69,8.1,8.2,12.5,219.6,97,53.3,2.11,16.4,7.3,6.98,7.05,,
26,Mac Jones,NWE,24,QB,9,9,4-5-0,20.4,30,68.1,218.1,0.78,2.6,0.78,2.6,8.56,48,7.3,6.6,10.7,218.1,87,35.8,2.78,18.3,8.5,6.09,5.5,0,0
27,Justin Fields,CHI,23,QB,11,11,3-8-0,12.4,20.7,59.6,149.3,1.18,5.7,0.73,3.5,6.27,56,7.2,6.8,12.1,149.3,86.2,54.6,3.64,21.6,14.9,5.24,4.87,0.09,0.18
28,Kenny Pickett,PIT,24,QB,8,7,3-4-0,21.9,33.1,66,200,0.38,1.1,1,3,10.1,36,6,4.9,9.1,200,73.5,46.2,2.88,19.3,8,5.02,3.98,0.13,0.25
29,Carson Wentz,WAS,30,QB,6,6,2-4-0,24,38.7,62.1,248.2,1.67,4.3,1,2.6,11.3,75,6.4,6.1,10.3,248.2,84.1,32.9,3.83,23.3,9,5.29,5.02,0.33,0.33
30,Dak Prescott,DAL,29,QB,6,6,4-2-0,20.7,30.3,68.1,232.2,1.67,5.5,1,3.3,11,68,7.7,7.3,11.2,232.2,95.3,61.9,1.17,6.67,3.7,7.16,6.79,,
31,Baker Mayfield,CAR,27,QB,7,6,1-5-0,17,29.4,57.8,187.6,0.86,2.9,0.86,2.9,7,75,6.4,5.6,11,187.6,74.4,17.5,2.71,18,8.4,5.28,4.61,,
32,Zach Wilson,NYJ,23,QB,7,7,5-2-0,15,27,55.6,182.7,0.57,2.1,0.71,2.6,8,79,6.8,6,12.2,182.7,72.6,43.4,2.29,17.7,7.8,5.63,4.93,0.14,0.29
33,Taylor Heinicke,WAS,29,QB,6,6,5-1-0,17.3,28.5,60.8,194.8,1.17,4.1,0.83,2.9,10,49,6.8,6.3,11.2,194.8,82.7,46.9,1.5,12,5,6.09,5.62,0.17,0.17
34,Cooper Rush,DAL,29,QB,7,5,4-1-0,13.4,23,58.4,150.1,0.71,3.1,0.43,1.9,7.43,46,6.5,6.3,11.2,150.1,80.5,61,1,7,4.2,5.96,5.76,0,0.29
35,Joe Flacco,NYJ,37,QB,3,3,1-2-0,30.3,51.7,58.7,300.3,1.67,3.2,1,1.9,15.3,66,5.8,5.6,9.9,300.3,77.9,32.5,3,20,5.5,5.13,4.91,0.33,0.33
