player,pos,age,g_number,week,team,opp,home_away,yds_rec,tgt_rec,yds_2_rec,tgt_2_rec,rec_rec,yds_3_rec,y_r_rec,td_rec,ctch_percent_rec,y_tgt_rec,yds_rus,att_rus,yds_2_rus,att_2_rus,yds_3_rus,y_a_rus,td_rus,att_pas,cmp_pas,att_2_pas,inc_pas,cmp_percent_pas,yds_pas,td_pas,int_pas,pick6_pas,td_percent_pas,int_percent_pas,rate_3_pas,sk_pas,yds_2_pas,sk_percent_pas,y_a_pas,ay_a_pas,any_a_pas,y_c_pas,points
Tyler Boyd,WR,27-342,7,7,CIN,ATL,home,155,9,155,9,8,155,19.4,1,88.9,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5
Ja Marr Chase,WR,22-236,7,7,CIN,ATL,home,130,11,130,11,8,130,16.3,2,72.7,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
JuJu Smith Schuster,WR,25-335,7,7,KAN,SFO,away,124,8,124,8,7,124,17.7,1,87.5,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9
Marquez Valdes Scantling,WR,28-013,7,7,KAN,SFO,away,111,4,111,4,3,111,37,0,75,27.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.600000000000001
Chris Olave,WR,22-115,7,7,NOR,ARI,away,106,14,106,14,7,106,15.1,0,50,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.100000000000001
DeAndre Hopkins,WR,30-136,7,7,ARI,NOR,home,103,14,103,14,10,103,10.3,0,71.4,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3
Travis Kelce,TE,33-018,7,7,KAN,SFO,away,98,8,98,8,6,98,16.3,0,75,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8
George Kittle,TE,29-014,7,7,SFO,KAN,home,98,9,98,9,6,98,16.3,1,66.7,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8
Austin Ekeler,RB,27-159,7,7,LAC,SEA,home,96,12,96,12,12,96,8,1,100,8,31,9,31,9,31,3.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.700000000000003
Mike Evans,WR,29-063,7,7,TAM,CAR,away,96,15,96,15,9,96,10.7,0,60,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.100000000000001
