,,Receiving,,,,,,,,,,,,Receiving,,,,,,,,,
21,Amari Cooper,74,4,74,Sun,7,7,2022-10-23,28-128,CLE,@,BAL,L 20-23,4,3,74,24.7,0,75,18.5,2,WR,1-4
22,Terry McLaurin,73,8,73,Sun,7,7,2022-10-23,27-038,WAS,,GNB,W 23-21,8,5,73,14.6,1,62.5,9.1,4,WR,3-76
23,Tyreek Hill,72,13,72,Sun,7,7,2022-10-23,28-236,MIA,,PIT,W 16-10,13,7,72,10.3,0,53.8,5.5,3,WR,5-165
24,David Njoku,71,7,71,Sun,7,7,2022-10-23,26-105,CLE,@,BAL,L 20-23,7,7,71,10.1,0,100,10.1,3,TE,1-29
25,Donovan Peoples-Jones,71,6,71,Sun,7,7,2022-10-23,23-246,CLE,@,BAL,L 20-23,6,6,71,11.8,0,100,11.8,1,WR,6-187
26,Parris Campbell,70,12,70,Sun,7,7,2022-10-23,25-099,IND,@,TEN,L 10-19,12,10,70,7,1,83.3,5.8,5,WR,2-59
27,CeeDee Lamb,70,6,70,Sun,7,7,2022-10-23,23-198,DAL,,DET,W 24-6,6,4,70,17.5,0,66.7,11.7,4,WR,1-17
28,D.J. Moore,69,10,69,Sun,7,7,2022-10-23,25-192,CAR,,TAM,W 21-3,10,7,69,9.9,1,70,6.9,4,WR,1-24
29,Jordan Akins,68,4,68,Sun,6,7,2022-10-23,30-187,HOU,@,LVR,L 20-38,4,3,68,22.7,0,75,17,3,TE,3-98
30,DeVante Parker,68,5,68,Mon,7,7,2022-10-24,29-277,NWE,,CHI,L 14-33,5,3,68,22.7,0,60,13.6,3,WR,1-14
31,Evan Engram,67,7,67,Sun,7,7,2022-10-23,28-051,JAX,,NYG,L 17-23,7,4,67,16.8,0,57.1,9.6,3,TE,1-23
32,Marquise Goodwin,67,5,67,Sun,7,7,2022-10-23,31-338,SEA,@,LAC,W 37-23,5,4,67,16.8,2,80,13.4,3,WR,3-78
33,Ray-Ray McCloud,65,4,65,Sun,7,7,2022-10-23,26-008,SFO,,KAN,L 23-44,4,4,65,16.3,1,100,16.3,4,WR,6-187
34,Cade Otton,64,5,64,Sun,7,7,2022-10-23,23-191,TAM,@,CAR,L 3-21,5,4,64,16,0,80,12.8,2,TE,4-106
35,Kevin White,64,1,64,Thu,7,7,2022-10-20,30-117,NOR,@,ARI,L 34-42,1,1,64,64,0,100,64,1,WR,1-7
36,Gerald Everett,63,9,63,Sun,7,7,2022-10-23,28-120,LAC,,SEA,L 23-37,9,5,63,12.6,0,55.6,7,3,TE,2-44
37,George Pickens,61,6,61,Sun,7,7,2022-10-23,21-233,PIT,@,MIA,L 10-16,6,6,61,10.2,1,100,10.2,4,WR,2-52
38,Tre'Quan Smith,59,6,59,Thu,7,7,2022-10-20,26-286,NOR,@,ARI,L 34-42,6,5,59,11.8,0,83.3,9.8,3,WR,3-91
39,Rhamondre Stevenson,59,8,59,Mon,7,7,2022-10-24,24-243,NWE,,CHI,L 14-33,8,8,59,7.4,0,100,7.4,2,RB,4-120
40,Michael Pittman Jr.,58,9,58,Sun,7,7,2022-10-23,25-018,IND,@,TEN,L 10-19,9,6,58,9.7,0,66.7,6.4,2,WR,2-34
41,Darius Slayton,58,6,58,Sun,7,7,2022-10-23,25-284,NYG,@,JAX,W 23-17,6,3,58,19.3,1,50,9.7,3,WR,5-171
42,Marvin Jones,57,8,57,Sun,7,7,2022-10-23,32-225,JAX,,NYG,L 17-23,8,4,57,14.3,0,50,7.1,2,WR,5-166
43,Brock Wright,57,4,57,Sun,6,7,2022-10-23,23-330,DET,@,DAL,L 6-24,4,4,57,14.3,0,100,14.3,3,TE,
44,Austin Hooper,56,3,56,Sun,6,7,2022-10-23,27-359,TEN,,IND,W 19-10,3,3,56,18.7,0,100,18.7,3,TE,3-81
45,Alvin Kamara,56,9,56,Thu,7,7,2022-10-20,27-087,NOR,@,ARI,L 34-42,9,7,56,8,0,77.8,6.2,3,RB,3-67
46,Allen Lazard,55,7,55,Sun,7,7,2022-10-23,26-316,GNB,@,WAS,L 21-23,7,6,55,9.2,0,85.7,7.9,4,WR,
47,Hunter Renfrow,55,3,55,Sun,6,7,2022-10-23,26-306,LVR,,HOU,W 38-20,3,3,55,18.3,0,100,18.3,3,WR,5-149
48,Zay Jones,54,10,54,Sun,7,7,2022-10-23,27-207,JAX,,NYG,L 17-23,10,4,54,13.5,0,40,5.4,4,WR,2-37
49,Dare Ogunbowale,54,7,54,Sun,6,7,2022-10-23,28-172,HOU,@,LVR,L 20-38,7,5,54,10.8,0,71.4,7.7,2,RB,
50,Aaron Jones,53,10,53,Sun,7,7,2022-10-23,27-325,GNB,@,WAS,L 21-23,10,9,53,5.9,2,90,5.3,3,RB,5-182
51,Darnell Mooney,53,6,53,Mon,7,7,2022-10-24,24-360,CHI,@,NWE,W 33-14,6,3,53,17.7,0,50,8.8,3,WR,5-173
52,Curtis Samuel,53,8,53,Sun,7,7,2022-10-23,26-073,WAS,,GNB,W 23-21,8,5,53,10.6,0,62.5,6.6,3,WR,2-40
53,Rashid Shaheed,53,1,53,Thu,7,7,2022-10-20,24-050,NOR,@,ARI,L 34-42,1,1,53,53,1,100,53,1,WR,
54,Greg Dulcich,51,9,51,Sun,7,7,2022-10-23,22-211,DEN,,NYJ,L 9-16,9,6,51,8.5,0,66.7,5.7,2,TE,3-80
55,Noah Brown,50,7,50,Sun,7,7,2022-10-23,26-290,DAL,,DET,W 24-6,7,5,50,10,0,71.4,7.1,1,WR,7-239
56,Wan'Dale Robinson,50,8,50,Sun,7,7,2022-10-23,21-291,NYG,@,JAX,W 23-17,8,6,50,8.3,0,75,6.3,2,WR,2-43
57,Dalton Schultz,49,5,49,Sun,7,7,2022-10-23,26-104,DAL,,DET,W 24-6,5,5,49,9.8,0,100,9.8,3,TE,4-137
58,T.J. Hockenson,48,5,48,Sun,6,7,2022-10-23,25-112,DET,@,DAL,L 6-24,5,4,48,12,0,80,9.6,3,TE,1-8
59,Hayden Hurst,48,8,48,Sun,7,7,2022-10-23,29-060,CIN,,ATL,W 35-17,8,6,48,8,0,75,6,4,TE,1-25
60,Equanimeous St. Brown,48,7,48,Mon,7,7,2022-10-24,26-024,CHI,@,NWE,W 33-14,7,4,48,12,0,57.1,6.9,4,WR,6-207
61,Brandin Cooks,46,5,46,Sun,6,7,2022-10-23,29-028,HOU,@,LVR,L 20-38,5,4,46,11.5,0,80,9.2,2,WR,1-20
62,Michael Carter,45,2,45,Sun,7,7,2022-10-23,23-169,NYJ,@,DEN,W 16-9,2,2,45,22.5,0,100,22.5,1,RB,4-107
63,Will Dissly,45,4,45,Sun,7,7,2022-10-23,26-107,SEA,@,LAC,W 37-23,4,4,45,11.3,0,100,11.3,3,TE,4-120
64,Phillip Dorsett,45,3,45,Sun,6,7,2022-10-23,29-291,HOU,@,LVR,L 20-38,3,2,45,22.5,1,66.7,15,2,WR,1-29
65,Tyler Lockett,45,8,45,Sun,7,7,2022-10-23,30-025,SEA,@,LAC,W 37-23,8,7,45,6.4,0,87.5,5.6,3,WR,3-69
66,Mack Hollins,44,3,44,Sun,6,7,2022-10-23,29-037,LVR,,HOU,W 38-20,3,2,44,22,1,66.7,14.7,2,WR,4-118
67,Trent Sherfield,44,3,44,Sun,7,7,2022-10-23,26-239,MIA,,PIT,W 16-10,3,3,44,14.7,0,100,14.7,2,WR,
68,Chris Godwin,43,13,43,Sun,7,7,2022-10-23,26-238,TAM,@,CAR,L 3-21,13,7,43,6.1,0,53.8,3.3,2,WR,3-84
69,Rashod Bateman,42,5,42,Sun,7,7,2022-10-23,22-328,BAL,,CLE,W 23-20,5,4,42,10.5,0,80,8.4,1,WR,1-27
70,Devin Duvernay,42,3,42,Sun,7,7,2022-10-23,25-041,BAL,,CLE,W 23-20,3,2,42,21,0,66.7,14,2,WR,3-92
71,Diontae Johnson,42,10,42,Sun,7,7,2022-10-23,26-110,PIT,@,MIA,L 10-16,10,5,42,8.4,0,50,4.2,3,WR,3-66
72,Deebo Samuel,42,7,42,Sun,7,7,2022-10-23,26-281,SFO,,KAN,L 23-44,7,5,42,8.4,0,71.4,6,1,WR,2-36
73,Chase Claypool,41,8,41,Sun,7,7,2022-10-23,24-108,PIT,@,MIA,L 10-16,8,5,41,8.2,0,62.5,5.1,2,WR,2-49
74,Nyheim Hines,41,5,41,Sun,7,7,2022-10-23,25-345,IND,@,TEN,L 10-19,5,5,41,8.2,0,100,8.2,2,RB,4-104
75,Russell Gage,39,5,39,Sun,7,7,2022-10-23,26-274,TAM,@,CAR,L 3-21,5,4,39,9.8,0,80,7.8,4,WR,6-194
76,DeAndre Carter,37,7,37,Sun,7,7,2022-10-23,29-196,LAC,,SEA,L 23-37,7,3,37,12.3,0,42.9,5.3,1,WR,
77,Alec Pierce,37,4,37,Sun,7,7,2022-10-23,22-174,IND,@,TEN,L 10-19,4,3,37,12.3,0,75,9.3,2,WR,2-53
78,Jerick McKinnon,36,3,36,Sun,7,7,2022-10-23,30-173,KAN,@,SFO,W 44-23,3,2,36,18,0,66.7,12,1,RB,3-96
79,Sammy Watkins,36,4,36,Sun,7,7,2022-10-23,29-131,GNB,@,WAS,L 21-23,4,2,36,18,0,50,9,1,WR,1-4
80,Kyle Juszczyk,34,4,34,Sun,7,7,2022-10-23,31-183,SFO,,KAN,L 23-44,4,3,34,11.3,0,75,8.5,1,FB,4-130
81,Jakobi Meyers,34,2,34,Mon,7,7,2022-10-24,25-349,NWE,,CHI,L 14-33,2,2,34,17,1,100,17,2,WR,
82,Nico Collins,33,3,33,Sun,6,7,2022-10-23,23-218,HOU,@,LVR,L 20-38,3,3,33,11,0,100,11,1,WR,3-89
83,Joe Mixon,33,3,33,Sun,7,7,2022-10-23,26-091,CIN,,ATL,W 35-17,3,3,33,11,0,100,11,1,RB,2-48
84,Mecole Hardman,32,4,32,Sun,7,7,2022-10-23,24-225,KAN,@,SFO,W 44-23,4,4,32,8,1,100,8,2,WR,2-56
85,Cody Hollister,32,2,32,Sun,6,7,2022-10-23,28-339,TEN,,IND,W 19-10,2,2,32,16,0,100,16,1,WR,
86,Juwan Johnson,32,5,32,Thu,7,7,2022-10-20,26-037,NOR,@,ARI,L 34-42,5,5,32,6.4,2,100,6.4,2,TE,
87,Cole Kmet,32,3,32,Mon,7,7,2022-10-24,23-228,CHI,@,NWE,W 33-14,3,2,32,16,0,66.7,10.7,1,TE,2-43
88,Robert Tonyan,32,4,32,Sun,7,7,2022-10-23,28-176,GNB,@,WAS,L 21-23,4,3,32,10.7,0,75,8,1,TE,
89,Terrace Marshall Jr.,31,3,31,Sun,7,7,2022-10-23,22-136,CAR,,TAM,W 21-3,3,2,31,15.5,0,66.7,10.3,2,WR,2-59
90,Rondale Moore,31,2,31,Thu,7,7,2022-10-20,22-133,ARI,,NOR,W 42-34,2,1,31,31,0,50,15.5,1,WR,2-49
91,Olamide Zaccheaus,31,4,31,Sun,7,7,2022-10-23,25-092,ATL,@,CIN,L 17-35,4,3,31,10.3,0,75,7.8,3,WR,
92,Raheem Mostert,30,5,30,Sun,7,7,2022-10-23,30-197,MIA,,PIT,W 16-10,5,4,30,7.5,1,80,6,2,RB,
93,Tommy Tremble,29,1,29,Sun,7,7,2022-10-23,22-143,CAR,,TAM,W 21-3,1,1,29,29,1,100,29,1,TE,3-83
94,Foster Moreau,28,5,28,Sun,6,7,2022-10-23,25-170,LVR,,HOU,W 38-20,5,3,28,9.3,0,60,5.6,2,TE,4-137
95,Colby Parkinson,28,1,28,Sun,7,7,2022-10-23,23-288,SEA,@,LAC,W 37-23,1,1,28,28,0,100,28,1,TE,4-133
96,Armani Rogers,28,3,28,Sun,7,7,2022-10-23,24-323,WAS,,GNB,W 23-21,3,3,28,9.3,0,100,9.3,2,TE,
97,D'Onta Foreman,27,2,27,Sun,7,7,2022-10-23,26-182,CAR,,TAM,W 21-3,2,2,27,13.5,0,100,13.5,1,RB,3-89
98,Mike Gesicki,27,7,27,Sun,7,7,2022-10-23,27-020,MIA,,PIT,W 16-10,7,3,27,9,0,42.9,3.9,1,TE,2-42
99,Jonathan Taylor,27,8,27,Sun,7,7,2022-10-23,23-277,IND,@,TEN,L 10-19,8,7,27,3.9,0,87.5,3.4,0,RB,2-41
100,Tony Pollard,26,2,26,Sun,7,7,2022-10-23,25-176,DAL,,DET,W 24-6,2,2,26,13,0,100,13,1,RB,4-128
101,Robert Woods,26,4,26,Sun,6,7,2022-10-23,30-196,TEN,,IND,W 19-10,4,3,26,8.7,0,75,6.5,2,WR,2-41
102,Saquon Barkley,25,4,25,Sun,7,7,2022-10-23,25-256,NYG,@,JAX,W 23-17,4,4,25,6.3,0,100,6.3,1,RB,1-2
103,Khalil Herbert,25,2,25,Mon,7,7,2022-10-24,24-186,CHI,@,NWE,W 33-14,2,1,25,25,1,50,12.5,1,RB,6-217
104,Dameon Pierce,25,4,25,Sun,6,7,2022-10-23,22-246,HOU,@,LVR,L 20-38,4,4,25,6.3,0,100,6.3,1,RB,4-107
105,Dan Arnold,24,1,24,Sun,7,7,2022-10-23,27-222,JAX,,NYG,L 17-23,1,1,24,24,0,100,24,1,TE,
106,Jauan Jennings,24,4,24,Sun,7,7,2022-10-23,25-105,SFO,,KAN,L 23-44,4,2,24,12,0,50,6,2,WR,7-217
107,Christian McCaffrey,24,2,24,Sun,7,7,2022-10-23,26-138,SFO,,KAN,L 23-44,2,2,24,12,0,100,12,1,RB,1-8
108,Garrett Wilson,24,4,24,Sun,7,7,2022-10-23,22-093,NYJ,@,DEN,W 16-9,4,4,24,6,0,100,6,2,WR,1-10
109,Keaontay Ingram,23,2,23,Thu,7,7,2022-10-20,22-359,ARI,,NOR,W 42-34,2,2,23,11.5,0,100,11.5,1,RB,6-201
110,Courtland Sutton,23,9,23,Sun,7,7,2022-10-23,27-013,DEN,,NYJ,L 9-16,9,3,23,7.7,0,33.3,2.6,1,WR,2-40
111,Tyler Conklin,22,6,22,Sun,7,7,2022-10-23,27-085,NYJ,@,DEN,W 16-9,6,4,22,5.5,0,66.7,3.7,1,TE,5-157
112,Eno Benjamin,21,5,21,Thu,7,7,2022-10-20,23-190,ARI,,NOR,W 42-34,5,4,21,5.3,0,80,4.2,1,RB,7-222
113,Zach Ertz,21,4,21,Thu,7,7,2022-10-20,31-344,ARI,,NOR,W 42-34,4,2,21,10.5,0,50,5.3,1,TE,2-35
114,Chris Myarick,21,2,21,Sun,7,7,2022-10-23,27-017,NYG,@,JAX,W 23-17,2,2,21,10.5,0,100,10.5,2,FB,
115,Eric Tomlinson,21,2,21,Sun,7,7,2022-10-23,30-184,DEN,,NYJ,L 9-16,2,2,21,10.5,0,100,10.5,1,TE,
116,Marquez Callaway,20,6,20,Thu,7,7,2022-10-20,24-207,NOR,@,ARI,L 34-42,6,2,20,10,0,33.3,3.3,1,WR,
117,Chris Moore,20,4,20,Sun,6,7,2022-10-23,29-129,HOU,@,LVR,L 20-38,4,2,20,10,1,50,5,1,WR,4-107
118,Patrick Ricard,20,2,20,Sun,7,7,2022-10-23,28-149,BAL,,CLE,W 23-20,2,2,20,10,0,100,10,1,FB,
119,David Sills,19,1,19,Sun,7,7,2022-10-23,26-147,NYG,@,JAX,W 23-17,1,1,19,19,0,100,19,1,WR,
120,Tyquan Thornton,19,5,19,Mon,7,7,2022-10-24,22-078,NWE,,CHI,L 14-33,5,1,19,19,0,20,3.8,1,WR,2-50
121,Antonio Gibson,18,4,18,Sun,7,7,2022-10-23,24-122,WAS,,GNB,W 23-21,4,3,18,6,1,75,4.5,1,RB,3-66
122,Ko Kieft,18,1,18,Sun,7,7,2022-10-23,24-276,TAM,@,CAR,L 3-21,1,1,18,18,0,100,18,1,TE,6-218
123,Craig Reynolds,18,3,18,Sun,6,7,2022-10-23,26-130,DET,@,DAL,L 6-24,3,3,18,6,0,100,6,1,RB,
124,Melvin Gordon,17,4,17,Sun,7,7,2022-10-23,29-193,DEN,,NYJ,L 9-16,4,2,17,8.5,0,50,4.3,1,RB,1-15
125,Jaylen Warren,17,2,17,Sun,7,7,2022-10-23,23-356,PIT,@,MIA,L 10-16,2,2,17,8.5,0,100,8.5,0,RB,
126,Nick Chubb,16,3,16,Sun,7,7,2022-10-23,26-300,CLE,@,BAL,L 20-23,3,2,16,8,0,66.7,5.3,1,RB,2-35
127,Mark Ingram,16,3,16,Thu,7,7,2022-10-20,32-303,NOR,@,ARI,L 34-42,3,3,16,5.3,0,100,5.3,1,RB,1-28
128,Isaiah Likely,16,1,16,Sun,7,7,2022-10-23,22-188,BAL,,CLE,W 23-20,1,1,16,16,0,100,16,1,TE,4-139
129,Braxton Berrios,15,4,15,Sun,7,7,2022-10-23,27-017,NYJ,@,DEN,W 16-9,4,3,15,5,0,75,3.8,1,WR,6-210
130,Harrison Bryant,15,2,15,Sun,7,7,2022-10-23,24-183,CLE,@,BAL,L 20-23,2,2,15,7.5,0,100,7.5,1,TE,4-115
131,Najee Harris,15,4,15,Sun,7,7,2022-10-23,24-228,PIT,@,MIA,L 10-16,4,3,15,5,0,75,3.8,1,RB,1-24
132,Matt Breida,14,1,14,Sun,7,7,2022-10-23,27-237,NYG,@,JAX,W 23-17,1,1,14,14,0,100,14,1,RB,
133,N'Keal Harry,14,1,14,Mon,7,7,2022-10-24,24-311,CHI,@,NWE,W 33-14,1,1,14,14,0,100,14,1,WR,1-32
134,Kendall Hinton,14,1,14,Sun,7,7,2022-10-23,25-246,DEN,,NYJ,L 9-16,1,1,14,14,0,100,14,1,WR,
135,Tom Kennedy,14,3,14,Sun,6,7,2022-10-23,26-086,DET,@,DAL,L 6-24,3,2,14,7,0,66.7,4.7,1,WR,
136,Amari Rodgers,14,3,14,Sun,7,7,2022-10-23,23-030,GNB,@,WAS,L 21-23,3,2,14,7,0,66.7,4.7,1,WR,3-85
137,Mitchell Wilcox,14,2,14,Sun,7,7,2022-10-23,25-350,CIN,,ATL,W 35-17,2,2,14,7,0,100,7,,TE,
138,Daniel Bellinger,13,1,13,Sun,7,7,2022-10-23,22-031,NYG,@,JAX,W 23-17,1,1,13,13,0,100,13,1,TE,4-112
139,Brian Robinson Jr.,13,2,13,Sun,7,7,2022-10-23,23-215,WAS,,GNB,W 23-21,2,2,13,6.5,0,100,6.5,0,RB,3-98
140,Hunter Henry,12,2,12,Mon,7,7,2022-10-24,27-321,NWE,,CHI,L 14-33,2,1,12,12,0,50,6,1,TE,2-35
141,Josh Jacobs,12,4,12,Sun,6,7,2022-10-23,24-254,LVR,,HOU,W 38-20,4,3,12,4,0,75,3,1,RB,1-24
142,D.K. Metcalf,12,2,12,Sun,7,7,2022-10-23,24-313,SEA,@,LAC,W 37-23,2,1,12,12,0,50,6,,WR,2-64
143,Cam Sims,12,2,12,Sun,7,7,2022-10-23,26-290,WAS,,GNB,W 23-21,2,1,12,12,0,50,6,1,WR,
144,Keenan Allen,11,2,11,Sun,7,7,2022-10-23,30-179,LAC,,SEA,L 23-37,2,2,11,5.5,0,100,5.5,1,WR,3-76
145,Rex Burkhead,11,6,11,Sun,6,7,2022-10-23,32-113,HOU,@,LVR,L 20-38,6,5,11,2.2,0,83.3,1.8,0,RB,6-190
146,Noah Gray,10,1,10,Sun,7,7,2022-10-23,23-176,KAN,@,SFO,W 44-23,1,1,10,10,0,100,10,1,TE,5-162
147,Derrick Henry,10,3,10,Sun,6,7,2022-10-23,28-292,TEN,,IND,W 19-10,3,3,10,3.3,0,100,3.3,0,RB,2-45
148,Chuba Hubbard,10,3,10,Sun,7,7,2022-10-23,23-134,CAR,,TAM,W 21-3,3,2,10,5,0,66.7,3.3,0,RB,4-126
149,Drake London,9,1,9,Sun,7,7,2022-10-23,21-091,ATL,@,CIN,L 17-35,1,1,9,9,0,100,9,,WR,1-8
150,Kyle Pitts,9,5,9,Sun,7,7,2022-10-23,22-017,ATL,@,CIN,L 17-35,5,3,9,3,0,60,1.8,1,TE,1-4
151,Jody Fortson,8,2,8,Sun,7,7,2022-10-23,26-320,KAN,@,SFO,W 44-23,2,1,8,8,0,50,4,1,TE,
152,Sony Michel,8,3,8,Sun,7,7,2022-10-23,27-248,LAC,,SEA,L 23-37,3,1,8,8,0,33.3,2.7,,RB,1-31
153,Samaje Perine,8,2,8,Sun,7,7,2022-10-23,27-037,CIN,,ATL,W 35-17,2,2,8,4,0,100,4,,RB,4-114
154,Josh Reynolds,8,2,8,Sun,6,7,2022-10-23,27-249,DET,@,DAL,L 6-24,2,1,8,8,0,50,4,,WR,4-117
155,Kyle Rudolph,8,1,8,Sun,7,7,2022-10-23,32-348,TAM,@,CAR,L 3-21,1,1,8,8,0,100,8,,TE,2-43
156,Laviska Shenault Jr.,8,1,8,Sun,7,7,2022-10-23,24-018,CAR,,TAM,W 21-3,1,1,8,8,0,100,8,,WR,2-42
157,Rachaad White,8,2,8,Sun,7,7,2022-10-23,23-284,TAM,@,CAR,L 3-21,2,1,8,8,0,50,4,0,RB,3-91
158,Ameer Abdullah,7,2,7,Sun,6,7,2022-10-23,29-132,LVR,,HOU,W 38-20,2,2,7,3.5,0,100,3.5,,RB,2-54
159,David Bell,7,1,7,Sun,7,7,2022-10-23,21-313,CLE,@,BAL,L 20-23,1,1,7,7,0,100,7,,WR,3-99
160,Noah Fant,7,3,7,Sun,7,7,2022-10-23,24-337,SEA,@,LAC,W 37-23,3,1,7,7,0,33.3,2.3,,TE,1-20
161,Jake Ferguson,7,1,7,Sun,7,7,2022-10-23,23-278,DAL,,DET,W 24-6,1,1,7,7,0,100,7,,TE,4-129
162,Leonard Fournette,7,3,7,Sun,7,7,2022-10-23,27-278,TAM,@,CAR,L 3-21,3,2,7,3.5,0,66.7,2.3,0,RB,1-4
163,Tim Jones,7,1,7,Sun,7,7,2022-10-23,24-160,JAX,,NYG,L 17-23,1,1,7,7,0,100,7,,WR,
164,DeeJay Dallas,6,2,6,Sun,7,7,2022-10-23,24-037,SEA,@,LAC,W 37-23,2,2,6,3,0,100,3,0,RB,4-144
165,Kylen Granson,6,1,6,Sun,7,7,2022-10-23,24-210,IND,@,TEN,L 10-19,1,1,6,6,0,100,6,,TE,4-127
166,Connor Heyward,6,1,6,Sun,7,7,2022-10-23,23-274,PIT,@,MIA,L 10-16,1,1,6,6,0,100,6,,TE,6-208
167,Ty Johnson,6,1,6,Sun,7,7,2022-10-23,25-036,NYJ,@,DEN,W 16-9,1,1,6,6,0,100,6,,RB,6-186
168,Scott Miller,6,2,6,Sun,7,7,2022-10-23,25-084,TAM,@,CAR,L 3-21,2,2,6,3,0,100,3,,WR,6-208
169,Greg Dortch,5,1,5,Thu,7,7,2022-10-20,24-144,ARI,,NOR,W 42-34,1,1,5,5,1,100,5,1,WR,
170,Travis Etienne,5,5,5,Sun,7,7,2022-10-23,23-270,JAX,,NYG,L 17-23,5,1,5,5,0,20,1,0,RB,1-25
171,Ryan Griffin,5,1,5,Mon,7,7,2022-10-24,32-286,CHI,@,NWE,W 33-14,1,1,5,5,0,100,5,,TE,6-201
172,Hassan Haskins,5,1,5,Sun,6,7,2022-10-23,22-331,TEN,,IND,W 19-10,1,1,5,5,0,100,5,,RB,4-131
173,Peyton Hendershot,5,2,5,Sun,7,7,2022-10-23,23-183,DAL,,DET,W 24-6,2,2,5,2.5,1,100,2.5,1,TE,
174,Jason Moore,5,2,5,Sun,7,7,2022-10-23,27-122,LAC,,SEA,L 23-37,2,1,5,5,0,50,2.5,,WR,
175,C.J. Uzomah,5,2,5,Sun,7,7,2022-10-23,29-282,NYJ,@,DEN,W 16-9,2,1,5,5,0,50,2.5,,TE,5-157
176,KJ Hamler,4,4,4,Sun,7,7,2022-10-23,23-107,DEN,,NYJ,L 9-16,4,1,4,4,0,25,1,0,WR,2-46
177,Kareem Hunt,4,2,4,Sun,7,7,2022-10-23,27-078,CLE,@,BAL,L 20-23,2,1,4,4,0,50,2,0,RB,3-86
178,Dax Milne,4,1,4,Sun,7,7,2022-10-23,23-122,WAS,,GNB,W 23-21,1,1,4,4,0,100,4,,WR,7-258
179,Denzel Mims,4,2,4,Sun,7,7,2022-10-23,25-013,NYJ,@,DEN,W 16-9,2,1,4,4,0,50,2,,WR,2-59
180,Jonnu Smith,4,3,4,Mon,7,7,2022-10-24,27-063,NWE,,CHI,L 14-33,3,1,4,4,0,33.3,1.3,,TE,3-100
181,Amon-Ra St. Brown,4,1,4,Sun,6,7,2022-10-23,22-364,DET,@,DAL,L 6-24,1,1,4,4,0,100,4,,WR,4-112
