,,Rushing,,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Att,Yds,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Pos.,Draft
1,Kenneth Walker III,167,23,167,Sun,7,7,2022-10-23,22-003,SEA,@,LAC,W 37-23,23,167,7.3,2,7,RB,2-41
2,Josh Jacobs,143,20,143,Sun,6,7,2022-10-23,24-254,LVR,,HOU,W 38-20,20,143,7.2,3,10,RB,1-24
3,Derrick Henry,128,30,128,Sun,6,7,2022-10-23,28-292,TEN,,IND,W 19-10,30,128,4.3,0,7,RB,2-45
4,D'Onta Foreman,118,15,118,Sun,7,7,2022-10-23,26-182,CAR,,TAM,W 21-3,15,118,7.9,0,2,RB,3-89
5,Travis Etienne,114,14,114,Sun,7,7,2022-10-23,23-270,JAX,,NYG,L 17-23,14,114,8.1,1,3,RB,1-25
6,Saquon Barkley,110,24,110,Sun,7,7,2022-10-23,25-256,NYG,@,JAX,W 23-17,24,110,4.6,0,5,RB,1-2
7,Daniel Jones,107,11,107,Sun,7,7,2022-10-23,25-149,NYG,@,JAX,W 23-17,11,107,9.7,1,7,QB,1-6
8,Eno Benjamin,92,12,92,Thu,7,7,2022-10-20,23-190,ARI,,NOR,W 42-34,12,92,7.7,1,4,RB,7-222
9,Dameon Pierce,92,20,92,Sun,6,7,2022-10-23,22-246,HOU,@,LVR,L 20-38,20,92,4.6,0,7,RB,4-107
10,Nick Chubb,91,16,91,Sun,7,7,2022-10-23,26-300,CLE,@,BAL,L 20-23,16,91,5.7,1,5,RB,2-35
11,Tony Pollard,83,12,83,Sun,7,7,2022-10-23,25-176,DAL,,DET,W 24-6,12,83,6.9,0,2,RB,4-128
12,Justin Fields,82,14,82,Mon,7,7,2022-10-24,23-233,CHI,@,NWE,W 33-14,14,82,5.9,1,7,QB,1-11
13,Raheem Mostert,79,16,79,Sun,7,7,2022-10-23,30-197,MIA,,PIT,W 16-10,16,79,4.9,0,4,RB,
14,Jamaal Williams,79,15,79,Sun,6,7,2022-10-23,27-203,DET,@,DAL,L 6-24,15,79,5.3,0,5,RB,4-134
15,Brian Robinson Jr.,73,20,73,Sun,7,7,2022-10-23,23-215,WAS,,GNB,W 23-21,20,73,3.7,0,3,RB,3-98
16,Breece Hall,72,4,72,Sun,7,7,2022-10-23,21-145,NYJ,@,DEN,W 16-9,4,72,18,1,1,RB,2-36
17,Gus Edwards,66,16,66,Sun,7,7,2022-10-23,27-193,BAL,,CLE,W 23-20,16,66,4.1,2,5,RB,
18,Najee Harris,65,17,65,Sun,7,7,2022-10-23,24-228,PIT,@,MIA,L 10-16,17,65,3.8,0,2,RB,1-24
19,Chuba Hubbard,63,9,63,Sun,7,7,2022-10-23,23-134,CAR,,TAM,W 21-3,9,63,7,1,3,RB,4-126
20,Khalil Herbert,62,12,62,Mon,7,7,2022-10-24,24-186,CHI,@,NWE,W 33-14,12,62,5.2,0,2,RB,6-217
21,David Montgomery,62,15,62,Mon,7,7,2022-10-24,25-139,CHI,@,NWE,W 33-14,15,62,4.1,1,3,RB,3-73
22,Antonio Gibson,59,10,59,Sun,7,7,2022-10-23,24-122,WAS,,GNB,W 23-21,10,59,5.9,0,3,RB,3-66
23,Lamar Jackson,59,10,59,Sun,7,7,2022-10-23,25-289,BAL,,CLE,W 23-20,10,59,5.9,0,5,QB,1-32
24,Joe Mixon,58,17,58,Sun,7,7,2022-10-23,26-091,CIN,,ATL,W 35-17,17,58,3.4,1,3,RB,2-48
25,Jonathan Taylor,58,10,58,Sun,7,7,2022-10-23,23-277,IND,@,TEN,L 10-19,10,58,5.8,0,4,RB,2-41
26,Ezekiel Elliott,57,15,57,Sun,7,7,2022-10-23,27-093,DAL,,DET,W 24-6,15,57,3.8,2,6,RB,1-4
27,Jeff Wilson,54,7,54,Sun,7,7,2022-10-23,26-341,SFO,,KAN,L 23-44,7,54,7.7,0,3,RB,
28,Tyler Allgeier,50,16,50,Sun,7,7,2022-10-23,22-191,ATL,@,CIN,L 17-35,16,50,3.1,1,4,RB,5-151
29,Alvin Kamara,49,11,49,Thu,7,7,2022-10-20,27-087,NOR,@,ARI,L 34-42,11,49,4.5,0,3,RB,3-67
