,,Passing,,,,,,,,,,,,Passing,,,,,,,,,,,,,,,,,,,
Rk,Player,Rate,Att,Rate,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Pos.,Draft
1,Joe Burrow,138.2,42,138.2,Sun,7,7,2022-10-23,25-317,CIN,,ATL,W 35-17,34,42,8,81,481,3,0,,7.1,0,138.2,3,22,6.67,11.5,12.88,11.53,14.1,QB,1-1
2,Patrick Mahomes,132.4,34,132.4,Sun,7,7,2022-10-23,27-036,KAN,@,SFO,W 44-23,25,34,9,73.5,423,3,1,,8.8,2.9,132.4,1,6,2.86,12.4,12.88,12.34,16.9,QB,1-10
3,P.J. Walker,126.5,22,126.5,Sun,7,7,2022-10-23,27-239,CAR,,TAM,W 21-3,16,22,6,72.7,177,2,0,,9.1,0,126.5,1,7,4.35,8,9.86,9.13,11.1,QB,
4,Taysom Hill,118.7,2,118.7,Thu,7,7,2022-10-20,32-058,NOR,@,ARI,L 34-42,2,2,0,100,48,0,0,,0,0,118.7,0,0,0,24,24,24,24,TE,
5,Marcus Mariota,118.7,13,118.7,Sun,7,7,2022-10-23,28-358,ATL,@,CIN,L 17-35,8,13,5,61.5,124,1,0,,7.7,0,118.7,3,17,18.75,9.5,11.08,7.94,15.5,QB,1-2
6,Derek Carr,116.2,27,116.2,Sun,6,7,2022-10-23,31-209,LVR,,HOU,W 38-20,21,27,6,77.8,241,1,0,,3.7,0,116.2,1,5,3.57,8.9,9.67,9.14,11.5,QB,2-36
7,Dak Prescott,113.2,25,113.2,Sun,7,7,2022-10-23,29-086,DAL,,DET,W 24-6,19,25,6,76,207,1,0,,4,0,113.2,2,16,7.41,8.3,9.08,7.81,10.9,QB,4-135
8,Jacoby Brissett,106.5,27,106.5,Sun,7,7,2022-10-23,29-316,CLE,@,BAL,L 20-23,22,27,5,81.5,258,0,0,,0,0,106.5,5,35,15.63,9.6,9.56,6.97,11.7,QB,3-91
9,Geno Smith,105.5,27,105.5,Sun,7,7,2022-10-23,32-013,SEA,@,LAC,W 37-23,20,27,7,74.1,210,2,1,,7.4,3.7,105.5,2,19,6.9,7.8,7.59,6.41,10.5,QB,2-39
10,Kyler Murray,100.4,29,100.4,Thu,7,7,2022-10-20,25-074,ARI,,NOR,W 42-34,20,29,9,69,204,1,0,,3.4,0,100.4,2,15,6.45,7,7.72,6.74,10.2,QB,1-1
11,Jimmy Garoppolo,99.3,37,99.3,Sun,7,7,2022-10-23,30-355,SFO,,KAN,L 23-44,25,37,12,67.6,303,2,1,,5.4,2.7,99.3,5,26,11.9,8.2,8.05,6.48,12.1,QB,2-62
12,Aaron Rodgers,99,35,99,Sun,7,7,2022-10-23,38-325,GNB,@,WAS,L 21-23,23,35,12,65.7,194,2,0,,5.7,0,99,0,0,0,5.5,6.69,6.69,8.4,QB,1-24
