Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Patrick Mahomes,KAN,27,QB,13,13,10-3-0,25.8,39.3,65.8,320,2.54,6.5,0.85,2.2,16.6,57,8.1,8.5,12.4,320,103.4,77.9,1.62,10.8,3.9,7.56,7.87,0.15,0.15
2,Justin Herbert,LAC,24,QB,13,13,7-6-0,29.2,43.2,67.6,285.1,1.62,3.7,0.54,1.2,13.8,55,6.6,6.8,9.8,285.1,93.2,57.9,2.31,12.1,5.1,6.01,6.18,0.31,0.31
3,Joe Burrow,CIN,26,QB,13,13,9-4-0,24.8,36.4,68.1,283.5,2.08,5.7,0.69,1.9,13.5,60,7.8,8.1,11.4,283.5,102.4,59.6,2.69,17.2,6.9,6.81,7.08,0.23,0.31
4,Geno Smith,SEA,32,QB,14,14,7-7-0,24.1,33.7,71.4,262.2,1.86,5.5,0.57,1.7,12.7,54,7.8,8.1,10.9,262.2,105.3,63.3,2.64,20.7,7.3,6.64,6.96,0.07,0.14
5,Tom Brady,TAM,45,QB,13,13,6-7-0,29.3,44.5,65.8,275.8,1.31,2.9,0.38,0.9,14,51,6.2,6.4,9.4,275.8,88.9,50.9,1.38,10.1,3,5.79,5.98,0.15,0.23
6,Josh Allen,BUF,26,QB,13,13,10-3-0,23.1,36.2,63.8,273.3,2,5.5,0.85,2.3,13.6,98,7.6,7.6,11.8,273.3,95.5,73.2,2.15,10.5,5.6,6.86,6.91,0.15,0.23
7,Kirk Cousins,MIN,34,QB,13,13,10-3-0,24.7,37.7,65.5,258.3,1.54,4.1,0.69,1.8,13.2,64,6.9,6.8,10.5,258.3,91.2,53.5,2.54,19.1,6.3,5.95,5.94,0.46,0.46
8,Jared Goff,DET,28,QB,13,13,6-7-0,22.3,34.2,65.3,257.8,1.69,5,0.54,1.6,13.2,81,7.5,7.8,11.6,257.8,97.9,61.1,1.46,9.46,4.1,6.97,7.24,0.08,0.08
9,Trevor Lawrence,JAX,23,QB,13,13,5-8-0,23.3,35.2,66.2,246.3,1.54,4.4,0.46,1.3,12.7,49,7,7.3,10.6,246.3,95.4,56.5,1.77,11.5,4.8,6.35,6.62,0.15,0.15
10,Jalen Hurts,PHI,24,QB,13,13,12-1-0,20.3,29.8,68,242.8,1.69,5.7,0.23,0.8,11,54,8.1,8.9,12,242.8,108.4,70.4,2.62,15.6,8.1,7,7.72,0.08,0.15
11,Derek Carr,LVR,31,QB,13,13,5-8-0,20.7,33.4,62,239.8,1.54,4.6,0.77,2.3,10.9,60,7.2,7.1,11.6,239.8,89.4,59.2,1.62,10.8,4.6,6.54,6.43,0.23,0.23
