,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
Rk,Tm,G,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,San Francisco 49ers,14,15,286.1,60.1,4.8,1.57,0.57,16.4,22.9,35.6,211.4,0.93,1,5.5,10.6,21.7,74.7,0.64,3.4,4.29,5.5,48.7,1.5,24.5,13.6,4.59
2,Buffalo Bills,13,17,319.3,62.8,5.1,1.69,0.69,20.2,23.2,36.3,219.5,1.15,1,5.6,11.8,23.8,99.8,0.69,4.2,6.54,5.92,51.4,1.85,29.3,14.3,-0.1
3,Dallas Cowboys,13,17.6,310.9,64.2,4.8,1.77,0.92,18.7,20.2,31.5,182.4,1.15,0.85,5.2,9.62,28.9,128.5,0.54,4.4,6.85,6.15,51.5,2.23,32.7,15,3.78
4,Denver Broncos,13,18.3,314.3,63.9,4.9,1.23,0.38,18.6,22.2,35,196.6,0.92,0.85,5.2,9.46,26.5,117.7,0.54,4.4,6.77,6.62,61.9,2.38,33.1,9.9,1.86
5,New England Patriots,13,18.4,312.6,63.2,4.9,1.62,0.62,17.6,20.1,33.5,201.3,1.31,1,5.5,10.8,26.3,111.3,0.46,4.2,5.08,4.38,35.1,1.69,30.6,12.9,4.45
6,New York Jets,13,18.7,301.2,63.2,4.8,1.15,0.23,18.2,20.5,32.8,189.4,0.92,0.92,5.3,9.62,27.3,111.8,1,4.1,6.69,5.46,42.9,1.92,30.1,9.8,2.35
7,Philadelphia Eagles,13,19.1,297,62.5,4.7,1.77,0.62,19.1,20.5,33.5,178.7,1.23,1.15,4.8,10.7,25.3,118.3,0.85,4.7,6.77,5.69,49.7,1.62,30.6,17.9,1.26
8,Baltimore Ravens,13,19.2,330.4,60.1,5.5,1.77,0.69,19.2,24.2,35.6,249.2,1.31,1.08,6.5,12.6,21.5,81.2,0.77,3.8,4.85,4.77,37.8,1.77,35.6,16.3,-2.84
9,Tampa Bay Buccaneers,13,19.5,320.7,62.2,5.2,0.92,0.38,18,20.8,32.2,195.3,1.54,0.54,5.6,10.6,27.2,125.4,0.77,4.6,6,5.92,52.8,1.38,30.8,8.2,-0.77
10,Washington Commanders,13,19.7,310.5,58.9,5.3,1.15,0.62,17.5,19.2,31.1,200.1,1.54,0.54,5.9,9.69,25.2,110.4,0.54,4.4,5.62,5.15,42.9,2.15,31.3,8.7,-0.24
