,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
1,Josh Jacobs,LVR,24,RB,13,13,4,3.38,26.6,7.9,0,1,43,3.4,26.6,84.6%,6.7,20.7,107.8,0.85,5.92,86,5.2,107.8,20.7,24.1,5.6,134.5,11,0.15
2,Christian McCaffrey,2TM,26,RB,14,13,6.71,5.29,44.5,8.4,0.29,2.21,49,5.3,44.5,78.7%,6.6,14.3,66.2,0.43,3.29,49,4.6,66.2,14.3,19.6,5.7,110.7,10,0.07
3,Justin Jefferson,MIN,23,WR,13,13,10.9,7.62,115.4,15.2,0.46,4.77,64,7.6,115.4,69.7%,10.6,0.31,1.85,0.08,0.15,10,6,1.8,0.3,7.92,14.8,117.2,7,
4,Derrick Henry,TEN,28,RB,13,13,2.62,2,24.6,12.3,0,0.62,69,2,24.6,76.5%,9.4,21.2,92.2,0.85,4,56,4.4,92.2,21.2,23.2,5,116.8,11,0.31
5,Tyreek Hill,MIA,28,WR,13,13,10.7,7.69,112.3,14.6,0.46,4.92,64,7.7,112.3,71.9%,10.5,0.46,2.31,0,0.15,10,5,2.3,0.5,8.15,14.1,114.6,6,0.08
6,Saquon Barkley,NYG,25,RB,13,13,4.15,3.23,20.1,6.2,0,0.46,41,3.2,20.1,77.8%,4.8,19.3,83.3,0.62,3.62,68,4.3,83.3,19.3,22.5,4.6,103.4,8,0.08
7,Nick Chubb,CLE,27,RB,13,13,2.08,1.54,13.2,8.6,0,0.62,26,1.5,13.2,74.1%,6.4,17.8,88.7,0.92,3.92,41,5,88.7,17.8,19.3,5.3,101.9,12,0.08
8,Austin Ekeler,LAC,27,RB,13,13,8.62,7.15,47.9,6.7,0.38,2.46,23,7.2,47.9,83.0%,5.6,11.8,48.8,0.62,2.23,71,4.1,48.8,11.8,18.9,5.1,96.7,13,0.31
9,Davante Adams,LVR,30,WR,13,13,10.9,6.31,95.9,15.2,0.92,4.15,58,6.3,95.9,57.7%,8.8,0.23,-0.08,0,0,4,-0.3,-0.1,0.2,6.54,14.7,95.8,12,0.08
10,Stefon Diggs,BUF,29,WR,13,13,10.2,7.23,95.3,13.2,0.77,4.77,53,7.2,95.3,70.7%,9.3,,,0,0,,,,,7.23,13.2,95.3,10,0.08
11,Aaron Jones,GNB,28,RB,13,13,4.46,3.69,25.2,6.8,0.31,1.23,30,3.7,25.2,82.8%,5.7,12.6,65.2,0.15,3.31,36,5.2,65.2,12.6,16.3,5.5,90.4,6,0.23
12,Tony Pollard,DAL,25,RB,13,4,3.15,2.23,21.5,9.6,0.23,0.92,68,2.2,21.5,70.7%,6.8,12.2,68.8,0.69,3.23,57,5.7,68.8,12.2,14.4,6.3,90.2,12,
13,Miles Sanders,PHI,25,RB,13,11,1.77,1.38,6.54,4.7,0,0.15,16,1.4,6.5,78.3%,3.7,15.7,82.2,0.85,4.15,40,5.2,82.2,15.7,17.1,5.2,88.7,11,
14,Rhamondre Stevenson,NWE,24,RB,13,5,5.38,4.46,29.6,6.6,0.08,1,40,4.5,29.6,82.9%,5.5,12.6,57.1,0.31,3,49,4.5,57.1,12.6,17.1,5.1,86.7,5,0.08
15,Dalvin Cook,MIN,27,RB,13,13,3.38,2.23,13.1,5.9,0.08,0.92,23,2.2,13.1,65.9%,3.9,16.4,73.1,0.62,3.23,81,4.5,73.1,16.4,18.6,4.6,86.2,9,0.15
16,Dameon Pierce,HOU,22,RB,13,13,3,2.31,12.7,5.5,0.08,0.54,16,2.3,12.7,76.9%,4.2,16.9,72.2,0.31,4.15,75,4.3,72.2,16.9,19.2,4.4,84.9,5,0.31
17,Travis Kelce,KAN,33,TE,13,13,9,6.23,79.9,12.8,0.92,4.69,46,6.2,79.9,69.2%,8.9,0.15,0.38,0,0.08,4,2.5,0.4,0.2,6.38,12.6,80.3,12,0.08
18,Travis Etienne,JAX,23,RB,13,8,2.62,1.92,16.5,8.6,0,0.85,24,1.9,16.5,73.5%,6.3,12.5,62.6,0.31,3.08,49,5,62.6,12.5,14.5,5.5,79.1,4,0.31
19,Joe Mixon,CIN,26,RB,11,11,5,3.91,29.5,7.5,0.18,1.09,35,3.9,29.5,78.2%,5.9,15.6,63.7,0.55,3.64,40,4.1,63.7,15.6,19.5,4.8,93.2,8,
20,A.J. Brown,PHI,25,WR,13,12,7.85,5,78.5,15.7,0.77,3.23,54,5,78.5,63.7%,10,,,0,0,,,,,5,15.7,78.5,10,0.15
21,Jaylen Waddle,MIA,24,WR,13,13,7.23,4.54,77.2,17,0.46,3.77,59,4.5,77.2,62.8%,10.7,0.15,1.31,0,0,9,8.5,1.3,0.2,4.69,16.7,78.5,6,0.08
22,CeeDee Lamb,DAL,23,WR,13,13,9,5.69,73.9,13,0.46,3.85,35,5.7,73.9,63.2%,8.2,0.69,3.54,0,0.23,14,5.1,3.5,0.7,6.38,12.1,77.5,6,
