defense,TEAM,OPP,MATCHUP,START/SIT,proj_points,ID_yah,First Name_yah,Last Name_yah,ID + Name_yah,Position_yah,Team_yah,Opponent_yah,Game_yah,Time_yah,Salary_yah,FPPG_yah,Injury Status_yah,Starting_yah
Baltimore Ravens,BAL,vs. CAR,3 out of 5 stars,A+,8.8,nfl.t.33$nfl.g.2448833,Baltimore,Ravens,nfl.t.33$nfl.g.2448833 - Baltimore Ravens,DEF,BAL,CAR,CAR@BAL,1:00PM EST,17,8.1,NA,NA
Philadelphia Eagles,PHI,at IND,5 out of 5 stars,A,8.4,nfl.t.21$nfl.g.2448845,Philadelphia,Eagles,nfl.t.21$nfl.g.2448845 - Philadelphia Eagles,DEF,PHI,IND,PHI@IND,1:00PM EST,22,10,NA,NA
New England Patriots,NE,vs. NYJ,3 out of 5 stars,A,8.3,nfl.t.17$nfl.g.2448848,New England,Patriots,nfl.t.17$nfl.g.2448848 - New England Patriots,DEF,NE,NYJ,NYJ@NE,1:00PM EST,20,11.3,NA,NA
Buffalo Bills,BUF,vs. CLE,2 out of 5 stars,A-,7.9,nfl.t.2$nfl.g.2448836,Buffalo,Bills,nfl.t.2$nfl.g.2448836 - Buffalo Bills,DEF,BUF,CLE,CLE@BUF,1:00PM EST,19,9.8,NA,NA
San Francisco 49ers,SF,at ARI,3 out of 5 stars,B+,7.8,nfl.t.25$nfl.g.2448139,San Francisco,49ers,nfl.t.25$nfl.g.2448139 - San Francisco 49ers,DEF,SF,ARI,SF@ARI,8:15PM EST,18,8.3,NA,NA
Denver Broncos,DEN,vs. LV,2 out of 5 stars,B,7.7,nfl.t.7$nfl.g.2448859,Denver,Broncos,nfl.t.7$nfl.g.2448859 - Denver Broncos,DEF,DEN,LV,LV@DEN,4:05PM EST,16,7.1,NA,NA
Cincinnati Bengals,CIN,at PIT,4 out of 5 stars,B,7.7,nfl.t.4$nfl.g.2448872,Cincinnati,Bengals,nfl.t.4$nfl.g.2448872 - Cincinnati Bengals,DEF,CIN,PIT,CIN@PIT,4:25PM EST,15,5.8,NA,NA
Dallas Cowboys,DAL,at MIN,2 out of 5 stars,B,7.4,nfl.t.6$nfl.g.2448868,Dallas,Cowboys,nfl.t.6$nfl.g.2448868 - Dallas Cowboys,DEF,DAL,MIN,DAL@MIN,4:25PM EST,18,10.8,NA,NA
New York Jets,NYJ,at NE,4 out of 5 stars,B,7.4,nfl.t.20$nfl.g.2448848,New York,Jets,nfl.t.20$nfl.g.2448848 - New York Jets,DEF,NYJ,NE,NYJ@NE,1:00PM EST,18,8.4,NA,NA
New Orleans Saints,NO,vs. LAR,5 out of 5 stars,B,7.2,nfl.t.18$nfl.g.2448852,New Orleans,Saints,nfl.t.18$nfl.g.2448852 - New Orleans Saints,DEF,NO,LAR,LAR@NO,1:00PM EST,15,5.3,NA,NA
