player,pos,age,g_number,week,team,opp,home_away,yds_rec,tgt_rec,yds_2_rec,tgt_2_rec,rec_rec,yds_3_rec,y_r_rec,td_rec,ctch_percent_rec,y_tgt_rec,yds_rus,att_rus,yds_2_rus,att_2_rus,yds_3_rus,y_a_rus,td_rus,att_pas,cmp_pas,att_2_pas,inc_pas,cmp_percent_pas,yds_pas,td_pas,int_pas,pick6_pas,td_percent_pas,int_percent_pas,rate_3_pas,sk_pas,yds_2_pas,sk_percent_pas,y_a_pas,ay_a_pas,any_a_pas,y_c_pas,points
Davante Adams,WR,29-317,8,9,LVR,JAX,away,146,17,146,17,10,146,14.6,2,58.8,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.6
Tyreek Hill,WR,28-250,9,9,MIA,CHI,away,143,8,143,8,7,143,20.4,1,87.5,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8
Cooper Kupp,WR,29-144,8,9,LAR,TAM,away,127,9,127,9,8,127,15.9,1,88.9,14.1,1,3,1,3,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.800000000000004
Justin Jefferson,WR,23-143,8,9,MIN,WAS,away,115,13,115,13,7,115,16.4,1,53.8,8.8,10,1,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Travis Kelce,TE,33-032,8,9,KAN,TEN,home,106,17,106,17,10,106,10.6,0,58.8,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.600000000000001
Josh Palmer,WR,24-045,8,9,LAC,ATL,away,106,10,106,10,8,106,13.3,0,80,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.600000000000001
Dallas Goedert,TE,27-304,8,9,PHI,HOU,away,100,9,100,9,8,100,12.5,1,88.9,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Noah Fant,TE,24-351,9,9,SEA,ARI,away,96,6,96,6,5,96,19.2,0,83.3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.100000000000001
Stefon Diggs,WR,28-342,8,9,BUF,NYJ,away,93,10,93,10,5,93,18.6,0,50,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8
Garrett Wilson,WR,22-107,9,9,NYJ,BUF,home,92,9,92,9,8,92,11.5,0,88.9,10.2,7,1,7,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9
JuJu Smith Schuster,WR,25-349,8,9,KAN,TEN,home,88,12,88,12,10,88,8.8,0,83.3,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8
Allen Lazard,WR,26-330,9,9,GNB,DET,away,87,10,87,10,4,87,21.8,1,40,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.700000000000003
Jaylen Waddle,WR,23-346,9,9,MIA,CHI,away,85,7,85,7,5,85,17,1,71.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Mecole Hardman,WR,24-239,8,9,KAN,TEN,home,79,9,79,9,6,79,13.2,1,66.7,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9
Christian Kirk,WR,25-353,9,9,JAX,LVR,home,76,9,76,9,8,76,9.5,1,88.9,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6
Chris Olave,WR,22-133,9,9,NOR,BAL,home,71,9,71,9,6,71,11.8,0,66.7,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.100000000000001
T J Hockenson,TE,25-126,8,9,MIN,WAS,away,70,9,70,9,9,70,7.8,0,100,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5
Phillip Dorsett,WR,29-302,8,9,HOU,PHI,home,69,5,69,5,3,69,23,0,60,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4
Rondale Moore,WR,22-150,9,9,ARI,SEA,home,69,10,69,10,8,69,8.6,0,80,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9
Cade Otton,TE,23-205,9,9,TAM,LAR,home,68,6,68,6,5,68,13.6,1,83.3,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3
Tyler Lockett,WR,30-039,9,9,SEA,ARI,away,67,5,67,5,5,67,13.4,1,100,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2
Adam Thielen,WR,32-076,8,9,MIN,WAS,away,67,7,67,7,3,67,22.3,0,42.9,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2
Curtis Samuel,WR,26-087,9,9,WAS,MIN,home,65,4,65,4,3,65,21.7,1,75,16.3,16,1,16,1,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6
Tee Higgins,WR,23-292,9,9,CIN,CAR,home,60,8,60,8,7,60,8.6,0,87.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5
A J Brown,WR,25-126,8,9,PHI,HOU,away,59,6,59,6,4,59,14.8,1,66.7,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9
Joe Mixon,RB,26-105,9,9,CIN,CAR,home,58,5,58,5,4,58,14.5,1,80,11.6,153,22,153,22,153,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.1
Terry McLaurin,WR,27-052,9,9,WAS,MIN,home,56,9,56,9,5,56,11.2,0,55.6,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.100000000000001
Amon Ra St Brown,WR,23-013,8,9,DET,GNB,home,55,9,55,9,4,55,13.8,0,44.4,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5
DeAndre Carter,WR,29-210,8,9,LAC,ATL,away,53,6,53,6,5,53,10.6,0,83.3,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.800000000000001
Terrace Marshall Jr,WR,22-150,9,9,CAR,CIN,away,53,6,53,6,3,53,17.7,1,50,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8
Scott Miller,WR,25-098,9,9,TAM,LAR,home,53,8,53,8,7,53,7.6,0,87.5,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8
Hunter Henry,TE,27-334,9,9,NWE,IND,home,50,4,50,4,4,50,12.5,0,100,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Marvin Jones,WR,32-239,9,9,JAX,LVR,home,48,6,48,6,5,48,9.6,0,83.3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.300000000000001
