,,Rushing,,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Att,Yds,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Pos.,Draft
1,Justin Fields,178,15,178,Sun,9,9,2022-11-06,23-246,CHI,,MIA,L 32-35,15,178,11.9,1,12,QB,1-11
2,Joe Mixon,153,22,153,Sun,9,9,2022-11-06,26-105,CIN,,CAR,W 42-21,22,153,7,4,12,RB,2-48
3,Dameon Pierce,139,27,139,Thu,8,9,2022-11-03,22-257,HOU,,PHI,L 17-29,27,139,5.1,0,8,RB,4-107
4,Derrick Henry,115,17,115,Sun,8,9,2022-11-06,28-306,TEN,@,KAN,L 17-20 (OT),17,115,6.8,2,5,RB,2-45
5,Travis Etienne,109,28,109,Sun,9,9,2022-11-06,23-284,JAX,,LVR,W 27-20,28,109,3.9,2,8,RB,1-25
6,Kenneth Walker III,109,26,109,Sun,9,9,2022-11-06,22-017,SEA,@,ARI,W 31-21,26,109,4.2,2,7,RB,2-41
7,Tyler Allgeier,99,10,99,Sun,9,9,2022-11-06,22-205,ATL,,LAC,L 17-20,10,99,9.9,0,4,RB,5-151
8,Kenyan Drake,93,24,93,Mon,9,9,2022-11-07,28-285,BAL,@,NOR,W 27-13,24,93,3.9,2,6,RB,3-73
9,Miles Sanders,93,17,93,Thu,8,9,2022-11-03,25-186,PHI,@,HOU,W 29-17,17,93,5.5,1,4,RB,2-53
10,Josh Allen,86,9,86,Sun,8,9,2022-11-06,26-169,BUF,@,NYJ,L 17-20,9,86,9.6,2,7,QB,1-7
11,Lamar Jackson,82,11,82,Mon,9,9,2022-11-07,25-304,BAL,@,NOR,W 27-13,11,82,7.5,0,7,QB,1-32
12,Jamaal Williams,81,24,81,Sun,8,9,2022-11-06,27-217,DET,,GNB,W 15-9,24,81,3.4,0,4,RB,4-134
13,Michael Carter,76,12,76,Sun,9,9,2022-11-06,23-183,NYJ,,BUF,W 20-17,12,76,6.3,1,4,RB,4-107
