,,Receiving,,,,,,,,,,,,Receiving,,,,,,,,,
Rk,Player,Yds,Tgt,Yds,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Pos.,Draft
1,Davante Adams,146,17,146,Sun,8,9,2022-11-06,29-317,LVR,@,JAX,L 20-27,17,10,146,14.6,2,58.8,8.6,6,WR,2-53
2,Tyreek Hill,143,8,143,Sun,9,9,2022-11-06,28-250,MIA,@,CHI,W 35-32,8,7,143,20.4,1,87.5,17.9,7,WR,5-165
3,Cooper Kupp,127,9,127,Sun,8,9,2022-11-06,29-144,LAR,@,TAM,L 13-16,9,8,127,15.9,1,88.9,14.1,2,WR,3-69
4,Justin Jefferson,115,13,115,Sun,8,9,2022-11-06,23-143,MIN,@,WAS,W 20-17,13,7,115,16.4,1,53.8,8.8,4,WR,1-22
5,Travis Kelce,106,17,106,Sun,8,9,2022-11-06,33-032,KAN,,TEN,W 20-17 (OT),17,10,106,10.6,0,58.8,6.2,7,TE,3-63
6,Josh Palmer,106,10,106,Sun,8,9,2022-11-06,24-045,LAC,@,ATL,W 20-17,10,8,106,13.3,0,80,10.6,5,WR,3-77
7,Dallas Goedert,100,9,100,Thu,8,9,2022-11-03,27-304,PHI,@,HOU,W 29-17,9,8,100,12.5,1,88.9,11.1,7,TE,2-49
8,Noah Fant,96,6,96,Sun,9,9,2022-11-06,24-351,SEA,@,ARI,W 31-21,6,5,96,19.2,0,83.3,16,4,TE,1-20
9,Stefon Diggs,93,10,93,Sun,8,9,2022-11-06,28-342,BUF,@,NYJ,L 17-20,10,5,93,18.6,0,50,9.3,5,WR,5-146
10,Garrett Wilson,92,9,92,Sun,9,9,2022-11-06,22-107,NYJ,,BUF,W 20-17,9,8,92,11.5,0,88.9,10.2,3,WR,1-10
11,JuJu Smith-Schuster,88,12,88,Sun,8,9,2022-11-06,25-349,KAN,,TEN,W 20-17 (OT),12,10,88,8.8,0,83.3,7.3,5,WR,2-62
12,Allen Lazard,87,10,87,Sun,9,9,2022-11-06,26-330,GNB,@,DET,L 9-15,10,4,87,21.8,1,40,8.7,4,WR,
13,Jaylen Waddle,85,7,85,Sun,9,9,2022-11-06,23-346,MIA,@,CHI,W 35-32,7,5,85,17,1,71.4,12.1,4,WR,1-6
14,Mecole Hardman,79,9,79,Sun,8,9,2022-11-06,24-239,KAN,,TEN,W 20-17 (OT),9,6,79,13.2,1,66.7,8.8,3,WR,2-56
15,Christian Kirk,76,9,76,Sun,9,9,2022-11-06,25-353,JAX,,LVR,W 27-20,9,8,76,9.5,1,88.9,8.4,5,WR,2-47
16,Chris Olave,71,9,71,Mon,9,9,2022-11-07,22-133,NOR,,BAL,L 13-27,9,6,71,11.8,0,66.7,7.9,4,WR,1-11
17,T.J. Hockenson,70,9,70,Sun,8,9,2022-11-06,25-126,MIN,@,WAS,W 20-17,9,9,70,7.8,0,100,7.8,5,TE,1-8
18,Phillip Dorsett,69,5,69,Thu,8,9,2022-11-03,29-302,HOU,,PHI,L 17-29,5,3,69,23,0,60,13.8,2,WR,1-29
19,Rondale Moore,69,10,69,Sun,9,9,2022-11-06,22-150,ARI,,SEA,L 21-31,10,8,69,8.6,0,80,6.9,4,WR,2-49
20,Cade Otton,68,6,68,Sun,9,9,2022-11-06,23-205,TAM,,LAR,W 16-13,6,5,68,13.6,1,83.3,11.3,4,TE,4-106
21,Tyler Lockett,67,5,67,Sun,9,9,2022-11-06,30-039,SEA,@,ARI,W 31-21,5,5,67,13.4,1,100,13.4,3,WR,3-69
22,Adam Thielen,67,7,67,Sun,8,9,2022-11-06,32-076,MIN,@,WAS,W 20-17,7,3,67,22.3,0,42.9,9.6,2,WR,
