,,Passing,,,,,,,,,,,,Passing,,,,,,,,,,,,,,,,,,,
Rk,Player,Rate,Att,Rate,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Pos.,Draft
1,Tua Tagovailoa,135.7,30,135.7,Sun,9,9,2022-11-06,24-249,MIA,@,CHI,W 35-32,21,30,9,70,302,3,0,,10,0,135.7,0,0,0,10.1,12.07,12.07,14.4,QB,1-5
2,Jalen Hurts,128.9,27,128.9,Thu,8,9,2022-11-03,24-088,PHI,@,HOU,W 29-17,21,27,6,77.8,243,2,0,,7.4,0,128.9,4,26,12.9,9,10.48,8.29,11.6,QB,2-53
3,Baker Mayfield,126,20,126,Sun,9,9,2022-11-06,27-206,CAR,@,CIN,L 21-42,14,20,6,70,155,2,0,,10,0,126,0,0,0,7.8,9.75,9.75,11.1,QB,1-1
4,Taysom Hill,118.7,1,118.7,Mon,9,9,2022-11-07,32-076,NOR,,BAL,L 13-27,1,1,0,100,13,0,0,,0,0,118.7,0,0,0,13,13,13,13,TE,
5,Joe Burrow,109.2,28,109.2,Sun,9,9,2022-11-06,25-331,CIN,,CAR,W 42-21,22,28,6,78.6,206,1,0,,3.6,0,109.2,1,5,3.45,7.4,8.07,7.62,9.4,QB,1-1
6,Trevor Lawrence,109,31,109,Sun,9,9,2022-11-06,23-031,JAX,,LVR,W 27-20,25,31,6,80.6,235,1,0,,3.2,0,109,0,0,0,7.6,8.23,8.23,9.4,QB,1-1
7,Geno Smith,106.9,34,106.9,Sun,9,9,2022-11-06,32-027,SEA,@,ARI,W 31-21,26,34,8,76.5,275,2,1,1,5.9,2.9,106.9,2,12,5.56,8.1,7.94,7.17,10.6,QB,2-39
8,Justin Fields,106.7,28,106.7,Sun,9,9,2022-11-06,23-246,CHI,,MIA,L 32-35,17,28,11,60.7,123,3,0,,10.7,0,106.7,2,7,6.67,4.4,6.54,5.87,7.2,QB,1-11
9,Kyler Murray,101.5,35,101.5,Sun,9,9,2022-11-06,25-091,ARI,,SEA,L 21-31,25,35,10,71.4,175,2,0,,5.7,0,101.5,5,35,12.5,5,6.14,4.5,7,QB,1-1
