,,Passing,,,,,,,,,,,,Passing,,,,,,,,,,,,,,,,,,,
Rk,Player,Rate,Att,Rate,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Pos.,Draft
1,Daniel Jones,153.3,17,153.3,Sun,9,10,2022-11-13,25-170,NYG,,HOU,W 24-16,13,17,4,76.5,197,2,0,,11.8,0,153.3,3,21,15,11.6,13.94,10.8,15.2,QB,1-6
2,Aaron Rodgers,146.7,20,146.7,Sun,10,10,2022-11-13,38-346,GNB,,DAL,W 31-28 (OT),14,20,6,70,224,3,0,,15,0,146.7,2,16,9.09,11.2,14.2,12.18,16,QB,1-24
3,Tua Tagovailoa,135,32,135,Sun,10,10,2022-11-13,24-256,MIA,,CLE,W 39-17,25,32,7,78.1,285,3,0,,9.4,0,135,0,0,0,8.9,10.78,10.78,11.4,QB,1-5
4,Patrick Mahomes,129.6,35,129.6,Sun,9,10,2022-11-13,27-057,KAN,,JAX,W 27-17,26,35,9,74.3,331,4,1,,11.4,2.9,129.6,0,0,0,9.5,10.46,10.46,12.7,QB,1-10
5,Skylar Thompson,118.7,1,118.7,Sun,10,10,2022-11-13,25-162,MIA,,CLE,W 39-17,1,1,0,100,17,0,0,,0,0,118.7,0,0,0,17,17,17,17,QB,7-247
6,Geno Smith,115.1,33,115.1,Sun,10,10,2022-11-13,32-034,SEA,@,TAM,L 16-21,23,33,10,69.7,275,2,0,,6.1,0,115.1,3,31,8.33,8.3,9.55,7.89,12,QB,2-39
7,Jared Goff,113.6,26,113.6,Sun,9,10,2022-11-13,28-030,DET,@,CHI,W 31-30,19,26,7,73.1,236,1,0,,3.8,0,113.6,2,8,7.14,9.1,9.85,8.86,12.4,QB,1-1
8,Tom Brady,111,29,111,Sun,10,10,2022-11-13,45-102,TAM,,SEA,W 21-16,22,29,7,75.9,258,2,1,,6.9,3.4,111,0,0,0,8.9,8.72,8.72,11.7,QB,6-199
9,Matt Ryan,109.5,28,109.5,Sun,10,10,2022-11-13,37-180,IND,@,LVR,W 25-20,21,28,7,75,222,1,0,,3.6,0,109.5,1,14,3.45,7.9,8.64,7.86,10.6,QB,1-3
10,Trevor Lawrence,106.1,40,106.1,Sun,10,10,2022-11-13,23-038,JAX,@,KAN,L 17-27,29,40,11,72.5,259,2,0,,5,0,106.1,5,19,11.11,6.5,7.48,6.22,8.9,QB,1-1
11,Derek Carr,99.5,38,99.5,Sun,9,10,2022-11-13,31-230,LVR,,IND,L 20-25,24,38,14,63.2,248,2,0,,5.3,0,99.5,2,16,5,6.5,7.58,6.8,10.3,QB,2-36
12,Justin Fields,99.4,20,99.4,Sun,10,10,2022-11-13,23-253,CHI,,DET,L 30-31,12,20,8,60,167,2,1,1,10,5,99.4,3,17,13.04,8.4,8.1,6.3,13.9,QB,1-11
13,Colt McCoy,96.5,37,96.5,Sun,10,10,2022-11-13,36-069,ARI,@,LAR,W 27-17,26,37,11,70.3,238,1,0,,2.7,0,96.5,2,18,5.13,6.4,6.97,6.15,9.2,QB,3-85
14,Jimmy Garoppolo,94.3,28,94.3,Sun,9,10,2022-11-13,31-011,SFO,,LAC,W 22-16,19,28,9,67.9,240,0,0,,0,0,94.3,1,10,3.45,8.6,8.57,7.93,12.6,QB,2-62
15,Jalen Hurts,94.2,26,94.2,Mon,9,10,2022-11-14,24-099,PHI,,WAS,L 21-32,17,26,9,65.4,175,2,1,,7.7,3.8,94.2,1,5,3.7,6.7,6.54,6.11,10.3,QB,2-53
16,Ryan Tannehill,94.1,36,94.1,Sun,9,10,2022-11-13,34-109,TEN,,DEN,W 17-10,19,36,17,52.8,255,2,0,,5.6,0,94.1,1,11,2.7,7.1,8.19,7.68,13.4,QB,1-8
17,Jacoby Brissett,89.2,35,89.2,Sun,9,10,2022-11-13,29-337,CLE,@,MIA,L 17-39,22,35,13,62.9,212,1,0,,2.9,0,89.2,3,27,7.89,6.1,6.63,5.39,9.6,QB,3-91
18,Marcus Mariota,89,30,89,Thu,10,10,2022-11-10,29-011,ATL,@,CAR,L 15-25,19,30,11,63.3,186,2,1,,6.7,3.3,89,5,33,14.29,6.2,6.03,4.23,9.8,QB,1-2
19,Davis Mills,85.3,37,85.3,Sun,9,10,2022-11-13,24-023,HOU,@,NYG,L 16-24,22,37,15,59.5,319,1,1,,2.7,2.7,85.3,4,33,9.76,8.6,7.95,6.37,14.5,QB,3-67
20,P.J. Walker,82.3,16,82.3,Thu,10,10,2022-11-10,27-257,CAR,,ATL,W 25-15,10,16,6,62.5,108,0,0,,0,0,82.3,1,7,5.88,6.8,6.75,5.94,10.8,QB,
21,John Wolford,79.9,36,79.9,Sun,9,10,2022-11-13,27-028,LAR,,ARI,L 17-27,24,36,12,66.7,212,1,1,,2.8,2.8,79.9,3,19,7.69,5.9,5.19,4.31,8.8,QB,
22,Kenny Pickett,79.7,30,79.7,Sun,9,10,2022-11-13,24-160,PIT,,NOR,W 20-10,18,30,12,60,199,0,0,,0,0,79.7,6,37,16.67,6.6,6.63,4.5,11.1,QB,1-20
23,Bryce Perkins,79.2,1,79.2,Sun,9,10,2022-11-13,25-328,LAR,,ARI,L 17-27,1,1,0,100,-3,0,0,,0,0,79.2,0,0,0,-3,-3,-3,-3,QB,
24,Josh Allen,78.6,43,78.6,Sun,9,10,2022-11-13,26-176,BUF,,MIN,L 30-33 (OT),29,43,14,67.4,330,1,2,,2.3,4.7,78.6,2,19,4.44,7.7,6.05,5.36,11.4,QB,1-7
25,Dak Prescott,78.6,46,78.6,Sun,9,10,2022-11-13,29-107,DAL,@,GNB,L 28-31 (OT),27,46,19,58.7,265,3,2,,6.5,4.3,78.6,2,3,4.17,5.8,5.11,4.83,9.8,QB,4-135
26,Justin Herbert,73,35,73,Sun,9,10,2022-11-13,24-248,LAC,@,SFO,L 16-22,21,35,14,60,196,1,1,,2.9,2.9,73,2,8,5.41,5.6,4.89,4.41,9.3,QB,1-6
27,Kirk Cousins,71.8,50,71.8,Sun,9,10,2022-11-13,34-086,MIN,@,BUF,W 33-30 (OT),30,50,20,60,357,1,2,,2,4,71.8,4,23,7.41,7.1,5.74,4.89,11.9,QB,4-102
28,Russell Wilson,70.1,42,70.1,Sun,9,10,2022-11-13,33-349,DEN,@,TEN,L 10-17,21,42,21,50,286,1,1,,2.4,2.4,70.1,6,38,12.5,6.8,6.21,4.65,13.6,QB,3-75
29,Taylor Heinicke,66.9,29,66.9,Mon,10,10,2022-11-14,29-244,WAS,@,PHI,W 32-21,17,29,12,58.6,211,0,1,,0,3.4,66.9,3,33,9.38,7.3,5.72,4.16,12.4,QB,
30,Andy Dalton,62.9,27,62.9,Sun,10,10,2022-11-13,35-015,NOR,@,PIT,L 10-20,17,27,10,63,174,1,2,,3.7,7.4,62.9,2,17,6.9,6.4,3.85,3,10.2,QB,2-35
31,Chase Daniel,39.6,2,39.6,Sun,9,10,2022-11-13,36-037,LAC,@,SFO,L 16-22,0,2,2,0,0,0,0,,0,0,39.6,1,1,33.33,0,0,-0.33,,QB,
32,Taysom Hill,39.6,1,39.6,Sun,10,10,2022-11-13,32-082,NOR,@,PIT,L 10-20,0,1,1,0,0,0,0,,0,0,39.6,0,0,0,0,0,0,,TE,
33,Leonard Fournette,0,1,0,Sun,10,10,2022-11-13,27-299,TAM,,SEA,W 21-16,0,1,1,0,0,0,1,,0,100,0,0,0,0,0,-45,-45,,RB,1-4
