,,Receiving,,,,,,,,,,,,Receiving,,,,,,,,,
13,Rondale Moore,94,13,94,Sun,10,10,2022-11-13,22-157,ARI,@,LAR,W 27-17,13,9,94,10.4,0,69.2,7.2,4,WR,2-49
14,Gabriel Davis,93,10,93,Sun,9,10,2022-11-13,23-226,BUF,,MIN,L 30-33 (OT),10,6,93,15.5,1,60,9.3,5,WR,4-128
15,Brandon Aiyuk,84,7,84,Sun,9,10,2022-11-13,24-241,SFO,,LAC,W 22-16,7,6,84,14,0,85.7,12,3,WR,1-25
16,Travis Kelce,81,7,81,Sun,9,10,2022-11-13,33-039,KAN,,JAX,W 27-17,7,6,81,13.5,1,85.7,11.6,5,TE,3-63
17,Quez Watkins,80,4,80,Mon,9,10,2022-11-14,24-158,PHI,,WAS,L 21-32,4,4,80,20,0,100,20,2,WR,6-200
18,Parris Campbell,76,9,76,Sun,10,10,2022-11-13,25-120,IND,@,LVR,W 25-20,9,7,76,10.9,1,77.8,8.4,2,WR,2-59
19,Cole Kmet,74,7,74,Sun,10,10,2022-11-13,23-248,CHI,,DET,L 30-31,7,4,74,18.5,2,57.1,10.6,2,TE,2-43
20,Tyler Higbee,73,8,73,Sun,9,10,2022-11-13,29-316,LAR,,ARI,L 17-27,8,8,73,9.1,0,100,9.1,2,TE,4-110
21,Jordan Akins,72,3,72,Sun,9,10,2022-11-13,30-208,HOU,@,NYG,L 16-24,3,3,72,24,0,100,24,2,TE,3-98
22,Chris Godwin,71,8,71,Sun,10,10,2022-11-13,26-259,TAM,,SEA,W 21-16,8,6,71,11.8,1,75,8.9,5,WR,3-84
23,D.K. Metcalf,71,9,71,Sun,10,10,2022-11-13,24-334,SEA,@,TAM,L 16-21,9,6,71,11.8,0,66.7,7.9,5,WR,2-64
24,Chris Moore,70,6,70,Sun,9,10,2022-11-13,29-150,HOU,@,NYG,L 16-24,6,3,70,23.3,0,50,11.7,3,WR,4-107
25,Zay Jones,68,10,68,Sun,10,10,2022-11-13,27-228,JAX,@,KAN,L 17-27,10,8,68,8.5,0,80,6.8,4,WR,2-37
26,Courtland Sutton,66,11,66,Sun,9,10,2022-11-13,27-034,DEN,@,TEN,L 10-17,11,6,66,11,0,54.5,6,3,WR,2-40
27,Jalen Virgil,66,1,66,Sun,9,10,2022-11-13,24-123,DEN,@,TEN,L 10-17,1,1,66,66,1,100,66,1,WR,
28,Jaylen Waddle,66,5,66,Sun,10,10,2022-11-13,23-353,MIA,,CLE,W 39-17,5,4,66,16.5,0,80,13.2,4,WR,1-6
29,DeAndre Carter,64,4,64,Sun,9,10,2022-11-13,29-217,LAC,@,SFO,L 16-22,4,4,64,16,1,100,16,3,WR,
30,Diontae Johnson,63,5,63,Sun,9,10,2022-11-13,26-131,PIT,,NOR,W 20-10,5,4,63,15.8,0,80,12.6,2,WR,3-66
31,Trent Sherfield,63,5,63,Sun,10,10,2022-11-13,26-260,MIA,,CLE,W 39-17,5,4,63,15.8,1,80,12.6,3,WR,
32,Kendall Hinton,62,5,62,Sun,9,10,2022-11-13,25-267,DEN,@,TEN,L 10-17,5,4,62,15.5,0,80,12.4,2,WR,
33,Marquez Valdes-Scantling,60,4,60,Sun,9,10,2022-11-13,28-034,KAN,,JAX,W 27-17,4,3,60,20,1,75,15,2,WR,5-174
34,Damiere Byrd,58,4,58,Thu,10,10,2022-11-10,29-287,ATL,@,CAR,L 15-25,4,3,58,19.3,0,75,14.5,3,WR,
35,Kylen Granson,57,4,57,Sun,10,10,2022-11-13,24-231,IND,@,LVR,W 25-20,4,4,57,14.3,0,100,14.3,3,TE,4-127
36,Dawson Knox,57,6,57,Sun,9,10,2022-11-13,25-364,BUF,,MIN,L 30-33 (OT),6,4,57,14.3,0,66.7,9.5,3,TE,3-96
37,Darnell Mooney,57,4,57,Sun,10,10,2022-11-13,25-015,CHI,,DET,L 30-31,4,4,57,14.3,0,100,14.3,3,WR,5-173
38,Kadarius Toney,57,5,57,Sun,9,10,2022-11-13,23-290,KAN,,JAX,W 27-17,5,4,57,14.3,1,80,11.4,3,WR,1-20
39,Jerick McKinnon,56,8,56,Sun,9,10,2022-11-13,30-194,KAN,,JAX,W 27-17,8,6,56,9.3,0,75,7,3,RB,3-96
40,Kenneth Walker III,55,8,55,Sun,10,10,2022-11-13,22-024,SEA,@,TAM,L 16-21,8,6,55,9.2,0,75,6.9,2,RB,2-41
41,Mike Evans,54,6,54,Sun,10,10,2022-11-13,29-084,TAM,,SEA,W 21-16,6,5,54,10.8,0,83.3,9,3,WR,1-7
42,Dalton Schultz,54,8,54,Sun,9,10,2022-11-13,26-125,DAL,@,GNB,L 28-31 (OT),8,6,54,9,1,75,6.8,2,TE,4-137
43,Julio Jones,53,5,53,Sun,10,10,2022-11-13,33-278,TAM,,SEA,W 21-16,5,3,53,17.7,1,60,10.6,3,WR,1-6
44,Michael Pittman Jr.,53,9,53,Sun,10,10,2022-11-13,25-039,IND,@,LVR,W 25-20,9,7,53,7.6,0,77.8,5.9,3,WR,2-34
45,Nico Collins,49,10,49,Sun,9,10,2022-11-13,23-239,HOU,@,NYG,L 16-24,10,5,49,9.8,1,50,4.9,3,WR,3-89
46,Adam Thielen,49,7,49,Sun,9,10,2022-11-13,32-083,MIN,@,BUF,W 33-30 (OT),7,5,49,9.8,0,71.4,7,2,WR,
47,Kalif Raymond,47,3,47,Sun,9,10,2022-11-13,28-097,DET,@,CHI,W 31-30,3,3,47,15.7,0,100,15.7,2,WR,
48,Sammy Watkins,47,3,47,Sun,10,10,2022-11-13,29-152,GNB,,DAL,W 31-28 (OT),3,3,47,15.7,0,100,15.7,2,WR,1-4
49,Melvin Gordon,46,6,46,Sun,9,10,2022-11-13,29-214,DEN,@,TEN,L 10-17,6,4,46,11.5,0,66.7,7.7,3,RB,1-15
50,T.J. Hockenson,45,10,45,Sun,9,10,2022-11-13,25-133,MIN,@,BUF,W 33-30 (OT),10,7,45,6.4,0,70,4.5,2,TE,1-8
51,Alec Ingold,45,4,45,Sun,10,10,2022-11-13,26-127,MIA,,CLE,W 39-17,4,4,45,11.3,1,100,11.3,3,FB,
52,Allen Lazard,45,4,45,Sun,10,10,2022-11-13,26-337,GNB,,DAL,W 31-28 (OT),4,3,45,15,0,75,11.3,1,WR,
53,Tyreek Hill,44,6,44,Sun,10,10,2022-11-13,28-257,MIA,,CLE,W 39-17,6,5,44,8.8,1,83.3,7.3,4,WR,5-165
54,Juwan Johnson,44,7,44,Sun,10,10,2022-11-13,26-061,NOR,@,PIT,L 10-20,7,5,44,8.8,1,71.4,6.3,2,TE,
55,Tom Kennedy,44,2,44,Sun,9,10,2022-11-13,26-107,DET,@,CHI,W 31-30,2,1,44,44,0,50,22,1,WR,
56,Josh Palmer,44,8,44,Sun,9,10,2022-11-13,24-052,LAC,@,SFO,L 16-22,8,3,44,14.7,0,37.5,5.5,2,WR,3-77
57,Allen Robinson,44,6,44,Sun,9,10,2022-11-13,29-081,LAR,,ARI,L 17-27,6,4,44,11,0,66.7,7.3,3,WR,2-61
58,Terrace Marshall Jr.,43,2,43,Thu,10,10,2022-11-10,22-154,CAR,,ATL,W 25-15,2,1,43,43,0,50,21.5,1,WR,2-59
59,Foster Moreau,43,4,43,Sun,9,10,2022-11-13,25-191,LVR,,IND,L 20-25,4,3,43,14.3,1,75,10.8,2,TE,4-137
60,Tyler Lockett,42,5,42,Sun,10,10,2022-11-13,30-046,SEA,@,TAM,L 16-21,5,3,42,14,1,60,8.4,3,WR,3-69
61,Isaiah Hodgins,41,2,41,Sun,9,10,2022-11-13,24-023,NYG,,HOU,W 24-16,2,2,41,20.5,0,100,20.5,2,WR,6-207
62,Austin Hooper,41,7,41,Sun,9,10,2022-11-13,28-015,TEN,,DEN,W 17-10,7,5,41,8.2,0,71.4,5.9,2,TE,3-81
63,Chigoziem Okonkwo,41,2,41,Sun,9,10,2022-11-13,23-066,TEN,,DEN,W 17-10,2,1,41,41,0,50,20.5,1,TE,4-143
64,Jauan Jennings,40,4,40,Sun,9,10,2022-11-13,25-126,SFO,,LAC,W 22-16,4,4,40,10,0,100,10,3,WR,7-217
65,Chris Olave,40,5,40,Sun,10,10,2022-11-13,22-139,NOR,@,PIT,L 10-20,5,3,40,13.3,0,60,8,2,WR,1-11
66,Jaylen Warren,40,3,40,Sun,9,10,2022-11-13,24-012,PIT,,NOR,W 20-10,3,3,40,13.3,0,100,13.3,3,RB,
67,Austin Ekeler,39,12,39,Sun,9,10,2022-11-13,27-180,LAC,@,SFO,L 16-22,12,7,39,5.6,0,58.3,3.3,1,RB,
68,Christian McCaffrey,39,6,39,Sun,9,10,2022-11-13,26-159,SFO,,LAC,W 22-16,6,4,39,9.8,0,66.7,6.5,2,RB,1-8
69,DeVonta Smith,39,8,39,Mon,9,10,2022-11-14,24-000,PHI,,WAS,L 21-32,8,6,39,6.5,1,75,4.9,3,WR,1-10
70,Marquise Goodwin,38,2,38,Sun,10,10,2022-11-13,31-359,SEA,@,TAM,L 16-21,2,2,38,19,1,100,19,1,WR,3-78
71,Drake London,38,6,38,Thu,10,10,2022-11-10,21-109,ATL,@,CAR,L 15-25,6,5,38,7.6,1,83.3,6.3,2,WR,1-8
72,Brandin Cooks,37,7,37,Sun,9,10,2022-11-13,29-049,HOU,@,NYG,L 16-24,7,4,37,9.3,0,57.1,5.3,1,WR,1-20
73,KhaDarel Hodge,37,2,37,Thu,10,10,2022-11-10,27-311,ATL,@,CAR,L 15-25,2,2,37,18.5,1,100,18.5,2,WR,
74,Jarvis Landry,37,6,37,Sun,10,10,2022-11-13,29-350,NOR,@,PIT,L 10-20,6,3,37,12.3,0,50,6.2,2,WR,2-63
75,Isaiah McKenzie,37,4,37,Sun,9,10,2022-11-13,27-218,BUF,,MIN,L 30-33 (OT),4,4,37,9.3,0,100,9.3,3,WR,5-172
76,Pat Freiermuth,36,7,36,Sun,9,10,2022-11-13,24-019,PIT,,NOR,W 20-10,7,4,36,9,0,57.1,5.1,1,TE,2-55
77,Michael Gallup,35,7,35,Sun,9,10,2022-11-13,26-254,DAL,@,GNB,L 28-31 (OT),7,4,35,8.8,0,57.1,5,2,WR,3-81
78,K.J. Osborn,35,11,35,Sun,9,10,2022-11-13,25-156,MIN,@,BUF,W 33-30 (OT),11,4,35,8.8,0,36.4,3.2,1,WR,5-176
79,Cade Otton,35,3,35,Sun,10,10,2022-11-13,23-212,TAM,,SEA,W 21-16,3,3,35,11.7,0,100,11.7,1,TE,4-106
80,Noah Fant,34,4,34,Sun,10,10,2022-11-13,24-358,SEA,@,TAM,L 16-21,4,3,34,11.3,0,75,8.5,2,TE,1-20
81,Olamide Zaccheaus,34,4,34,Thu,10,10,2022-11-10,25-110,ATL,@,CAR,L 15-25,4,2,34,17,0,50,8.5,2,WR,
82,Ameer Abdullah,33,4,33,Sun,9,10,2022-11-13,29-153,LVR,,IND,L 20-25,4,4,33,8.3,0,100,8.3,2,RB,2-54
83,Marvin Jones,33,3,33,Sun,10,10,2022-11-13,32-246,JAX,@,KAN,L 17-27,3,1,33,33,0,33.3,11,1,WR,5-166
84,Ray-Ray McCloud,33,1,33,Sun,9,10,2022-11-13,26-029,SFO,,LAC,W 22-16,1,1,33,33,0,100,33,1,WR,6-187
85,JuJu Smith-Schuster,33,4,33,Sun,9,10,2022-11-13,25-356,KAN,,JAX,W 27-17,4,2,33,16.5,0,50,8.3,2,WR,2-62
86,Amari Cooper,32,3,32,Sun,9,10,2022-11-13,28-149,CLE,@,MIA,L 17-39,3,3,32,10.7,0,100,10.7,3,WR,1-4
87,George Pickens,32,4,32,Sun,9,10,2022-11-13,21-254,PIT,,NOR,W 20-10,4,3,32,10.7,0,75,8,2,WR,2-52
88,Mike Gesicki,31,3,31,Sun,10,10,2022-11-13,27-041,MIA,,CLE,W 39-17,3,2,31,15.5,0,66.7,10.3,2,TE,2-42
89,Kyren Williams,30,3,30,Sun,9,10,2022-11-13,22-079,LAR,,ARI,L 17-27,3,3,30,10,0,100,10,3,RB,5-164
90,D.J. Moore,29,6,29,Thu,10,10,2022-11-10,25-210,CAR,,ATL,W 25-15,6,4,29,7.3,0,66.7,4.8,2,WR,1-24
91,Rex Burkhead,28,2,28,Sun,9,10,2022-11-13,32-134,HOU,@,NYG,L 16-24,2,2,28,14,0,100,14,2,RB,6-190
92,Will Dissly,28,2,28,Sun,10,10,2022-11-13,26-128,SEA,@,TAM,L 16-21,2,2,28,14,0,100,14,2,TE,4-120
93,Travis Etienne,28,3,28,Sun,10,10,2022-11-13,23-291,JAX,@,KAN,L 17-27,3,3,28,9.3,0,100,9.3,1,RB,1-25
94,Josh Jacobs,28,8,28,Sun,9,10,2022-11-13,24-275,LVR,,IND,L 20-25,8,6,28,4.7,0,75,3.5,1,RB,1-24
95,Dameon Pierce,28,3,28,Sun,9,10,2022-11-13,22-267,HOU,@,NYG,L 16-24,3,2,28,14,0,66.7,9.3,2,RB,4-107
96,Kyle Pitts,28,8,28,Thu,10,10,2022-11-10,22-035,ATL,@,CAR,L 15-25,8,2,28,14,0,25,3.5,2,TE,1-4
97,Curtis Samuel,28,4,28,Mon,10,10,2022-11-14,26-095,WAS,@,PHI,W 32-21,4,2,28,14,0,50,7,2,WR,2-40
98,Dalvin Cook,27,5,27,Sun,9,10,2022-11-13,27-095,MIN,@,BUF,W 33-30 (OT),5,3,27,9,0,60,5.4,1,RB,2-41
99,Van Jefferson,27,3,27,Sun,9,10,2022-11-13,26-110,LAR,,ARI,L 17-27,3,3,27,9,1,100,9,3,WR,2-57
100,Scott Miller,25,2,25,Sun,10,10,2022-11-13,25-105,TAM,,SEA,W 21-16,2,2,25,12.5,0,100,12.5,2,WR,6-208
101,David Bell,24,5,24,Sun,9,10,2022-11-13,21-334,CLE,@,MIA,L 17-39,5,3,24,8,0,60,4.8,1,WR,3-99
102,Treylon Burks,24,6,24,Sun,9,10,2022-11-13,22-235,TEN,,DEN,W 17-10,6,3,24,8,0,50,4,1,WR,1-18
103,Tanner Hudson,24,3,24,Sun,9,10,2022-11-13,28-001,NYG,,HOU,W 24-16,3,3,24,8,0,100,8,1,TE,
104,Deebo Samuel,24,6,24,Sun,9,10,2022-11-13,26-302,SFO,,LAC,W 22-16,6,2,24,12,0,33.3,4,0,WR,2-36
105,Jeff Wilson,24,5,24,Sun,10,10,2022-11-13,26-362,MIA,,CLE,W 39-17,5,2,24,12,0,40,4.8,1,RB,
106,Gerald Everett,23,2,23,Sun,9,10,2022-11-13,28-141,LAC,@,SFO,L 16-22,2,2,23,11.5,0,100,11.5,1,TE,2-44
107,Dallas Goedert,23,3,23,Mon,9,10,2022-11-14,27-315,PHI,,WAS,L 21-32,3,3,23,7.7,1,100,7.7,2,TE,2-49
108,Latavius Murray,23,3,23,Sun,9,10,2022-11-13,32-299,DEN,@,TEN,L 10-17,3,3,23,7.7,0,100,7.7,0,RB,6-181
109,Phillip Dorsett,22,4,22,Sun,9,10,2022-11-13,29-312,HOU,@,NYG,L 16-24,4,2,22,11,0,50,5.5,1,WR,1-29
110,Raheem Mostert,22,4,22,Sun,10,10,2022-11-13,30-218,MIA,,CLE,W 39-17,4,4,22,5.5,0,100,5.5,0,RB,
111,Adam Trautman,22,3,22,Sun,10,10,2022-11-13,25-281,NOR,@,PIT,L 10-20,3,2,22,11,0,66.7,7.3,1,TE,3-105
112,George Kittle,21,2,21,Sun,9,10,2022-11-13,29-035,SFO,,LAC,W 22-16,2,1,21,21,0,50,10.5,1,TE,5-146
113,Tre' McKitty,21,6,21,Sun,9,10,2022-11-13,23-305,LAC,@,SFO,L 16-22,6,3,21,7,0,50,3.5,,TE,3-97
114,Keke Coutee,20,1,20,Sun,10,10,2022-11-13,25-303,IND,@,LVR,W 25-20,1,1,20,20,0,100,20,,WR,4-103
115,Noah Gray,20,2,20,Sun,9,10,2022-11-13,23-197,KAN,,JAX,W 27-17,2,2,20,10,1,100,10,1,TE,5-162
116,Wan'Dale Robinson,20,2,20,Sun,9,10,2022-11-13,21-312,NYG,,HOU,W 24-16,2,2,20,10,0,100,10,2,WR,2-43
117,Alvin Kamara,19,4,19,Sun,10,10,2022-11-13,27-111,NOR,@,PIT,L 10-20,4,3,19,6.3,0,75,4.8,0,RB,3-67
118,Nick Chubb,18,4,18,Sun,9,10,2022-11-13,26-321,CLE,@,MIA,L 17-39,4,3,18,6,0,75,4.5,0,RB,2-35
119,Mack Hollins,18,6,18,Sun,9,10,2022-11-13,29-058,LVR,,IND,L 20-25,6,2,18,9,0,33.3,3,1,WR,4-118
120,Aaron Jones,18,2,18,Sun,10,10,2022-11-13,27-346,GNB,,DAL,W 31-28 (OT),2,2,18,9,0,100,9,1,RB,5-182
121,James Conner,17,3,17,Sun,10,10,2022-11-13,27-192,ARI,@,LAR,W 27-17,3,3,17,5.7,0,100,5.7,0,RB,3-105
122,Laviska Shenault Jr.,17,4,17,Thu,10,10,2022-11-10,24-036,CAR,,ATL,W 25-15,4,3,17,5.7,0,75,4.3,0,WR,2-42
123,Shi Smith,17,1,17,Thu,10,10,2022-11-10,24-015,CAR,,ATL,W 25-15,1,1,17,17,0,100,17,1,WR,6-204
124,Jonathan Taylor,16,2,16,Sun,10,10,2022-11-13,23-298,IND,@,LVR,W 25-20,2,2,16,8,0,100,8,2,RB,2-41
125,Dyami Brown,15,1,15,Mon,10,10,2022-11-14,23-013,WAS,@,PHI,W 32-21,1,1,15,15,0,100,15,1,WR,3-82
126,Harrison Bryant,15,3,15,Sun,9,10,2022-11-13,24-204,CLE,@,MIA,L 17-39,3,3,15,5,1,100,5,2,TE,4-115
127,Steven Sims,15,2,15,Sun,9,10,2022-11-13,25-227,PIT,,NOR,W 20-10,2,1,15,15,0,50,7.5,1,WR,
128,Jahan Dotson,14,1,14,Mon,10,10,2022-11-14,22-237,WAS,@,PHI,W 32-21,1,1,14,14,0,100,14,1,WR,1-16
129,Evan Engram,14,4,14,Sun,10,10,2022-11-13,28-072,JAX,@,KAN,L 17-27,4,3,14,4.7,0,75,3.5,1,TE,1-23
130,Antonio Gibson,14,3,14,Mon,10,10,2022-11-14,24-144,WAS,@,PHI,W 32-21,3,3,14,4.7,0,100,4.7,0,RB,3-66
131,Derrick Henry,14,3,14,Sun,9,10,2022-11-13,28-313,TEN,,DEN,W 17-10,3,2,14,7,0,66.7,4.7,0,RB,2-45
132,Justin Jackson,14,3,14,Sun,9,10,2022-11-13,26-205,DET,@,CHI,W 31-30,3,2,14,7,0,66.7,4.7,0,RB,7-251
133,Ben Skowronek,14,7,14,Sun,9,10,2022-11-13,25-139,LAR,,ARI,L 17-27,7,2,14,7,0,28.6,2,,WR,7-249
134,Pharaoh Brown,13,5,13,Sun,9,10,2022-11-13,28-193,CLE,@,MIA,L 17-39,5,2,13,6.5,0,40,2.6,,TE,
135,Dare Ogunbowale,13,1,13,Sun,9,10,2022-11-13,28-193,HOU,@,NYG,L 16-24,1,1,13,13,0,100,13,1,RB,
136,Tony Pollard,13,6,13,Sun,9,10,2022-11-13,25-197,DAL,@,GNB,L 28-31 (OT),6,3,13,4.3,0,50,2.2,1,RB,4-128
137,Zach Ertz,12,1,12,Sun,10,10,2022-11-13,32-003,ARI,@,LAR,W 27-17,1,1,12,12,0,100,12,1,TE,2-35
138,Byron Pringle,12,2,12,Sun,10,10,2022-11-13,28-361,CHI,,DET,L 30-31,2,1,12,12,0,50,6,1,WR,
139,Eric Saubert,12,1,12,Sun,9,10,2022-11-13,28-196,DEN,@,TEN,L 10-17,1,1,12,12,0,100,12,,TE,5-174
140,Rashid Shaheed,12,1,12,Sun,10,10,2022-11-13,24-074,NOR,@,PIT,L 10-20,1,1,12,12,0,100,12,1,WR,
141,Logan Thomas,12,4,12,Mon,10,10,2022-11-14,31-136,WAS,@,PHI,W 32-21,4,2,12,6,0,50,3,,TE,4-120
142,Justin Watson,12,1,12,Sun,9,10,2022-11-13,26-223,KAN,,JAX,W 27-17,1,1,12,12,0,100,12,1,WR,5-144
143,Greg Dulcich,11,4,11,Sun,9,10,2022-11-13,22-232,DEN,@,TEN,L 10-17,4,1,11,11,0,25,2.8,1,TE,3-80
144,Darrell Henderson,11,1,11,Sun,9,10,2022-11-13,25-086,LAR,,ARI,L 17-27,1,1,11,11,0,100,11,1,RB,3-70
145,Brycen Hopkins,11,2,11,Sun,9,10,2022-11-13,25-231,LAR,,ARI,L 17-27,2,1,11,11,0,50,5.5,,TE,4-136
146,Jack Stoll,11,1,11,Mon,9,10,2022-11-14,24-290,PHI,,WAS,L 21-32,1,1,11,11,0,100,11,1,TE,
147,Ke'Shawn Vaughn,11,1,11,Sun,10,10,2022-11-13,25-193,TAM,,SEA,W 21-16,1,1,11,11,0,100,11,1,RB,3-76
148,A.J. Green,10,2,10,Sun,10,10,2022-11-13,34-105,ARI,@,LAR,W 27-17,2,2,10,5,1,100,5,2,WR,1-4
149,Kareem Hunt,10,1,10,Sun,9,10,2022-11-13,27-099,CLE,@,MIA,L 17-39,1,1,10,10,0,100,10,0,RB,3-86
150,Zach Pascal,10,2,10,Mon,9,10,2022-11-14,27-331,PHI,,WAS,L 21-32,2,1,10,10,0,50,5,1,WR,
151,Robert Woods,10,7,10,Sun,9,10,2022-11-13,30-217,TEN,,DEN,W 17-10,7,2,10,5,0,28.6,1.4,2,WR,2-41
152,Lawrence Cager,9,2,9,Sun,9,10,2022-11-13,25-085,NYG,,HOU,W 24-16,2,2,9,4.5,1,100,4.5,1,TE,
153,Connor Heyward,9,2,9,Sun,9,10,2022-11-13,23-295,PIT,,NOR,W 20-10,2,2,9,4.5,0,100,4.5,,TE,6-208
154,Nyheim Hines,9,1,9,Sun,9,10,2022-11-13,26-001,BUF,,MIN,L 30-33 (OT),1,1,9,9,0,100,9,,RB,4-104
155,Dante Pettis,9,1,9,Sun,10,10,2022-11-13,27-021,CHI,,DET,L 30-31,1,1,9,9,0,100,9,0,WR,2-44
156,KaVontae Turpin,9,1,9,Sun,9,10,2022-11-13,26-103,DAL,@,GNB,L 28-31 (OT),1,1,9,9,0,100,9,,WR,
157,Dan Arnold,8,1,8,Sun,10,10,2022-11-13,27-243,JAX,@,KAN,L 17-27,1,1,8,8,0,100,8,,TE,
158,Saquon Barkley,8,1,8,Sun,9,10,2022-11-13,25-277,NYG,,HOU,W 24-16,1,1,8,8,0,100,8,0,RB,1-2
159,Cameron Brate,8,2,8,Sun,10,10,2022-11-13,31-133,TAM,,SEA,W 21-16,2,1,8,8,0,50,4,,TE,
160,Chase Claypool,8,2,8,Sun,10,10,2022-11-13,24-129,CHI,,DET,L 30-31,2,1,8,8,0,50,4,,WR,2-49
161,Alexander Mattison,8,1,8,Sun,9,10,2022-11-13,24-147,MIN,@,BUF,W 33-30 (OT),1,1,8,8,0,100,8,0,RB,3-102
162,Robert Tonyan,8,1,8,Sun,10,10,2022-11-13,28-197,GNB,,DAL,W 31-28 (OT),1,1,8,8,0,100,8,,TE,
163,A.J. Brown,7,4,7,Mon,9,10,2022-11-14,25-137,PHI,,WAS,L 21-32,4,1,7,7,0,25,1.8,1,WR,2-51
164,Trey McBride,7,1,7,Sun,10,10,2022-11-13,22-356,ARI,@,LAR,W 27-17,1,1,7,7,0,100,7,,TE,2-55
165,David Montgomery,7,1,7,Sun,10,10,2022-11-13,25-159,CHI,,DET,L 30-31,1,1,7,7,0,100,7,0,RB,3-73
166,Colby Parkinson,7,3,7,Sun,10,10,2022-11-13,23-309,SEA,@,TAM,L 16-21,3,1,7,7,0,33.3,2.3,,TE,4-133
167,Cedrick Wilson Jr.,7,1,7,Sun,10,10,2022-11-13,26-358,MIA,,CLE,W 39-17,1,1,7,7,0,100,7,,WR,6-208
168,Jody Fortson,6,1,6,Sun,9,10,2022-11-13,26-341,KAN,,JAX,W 27-17,1,1,6,6,0,100,6,,TE,
169,Dontrell Hilliard,6,2,6,Sun,9,10,2022-11-13,27-260,TEN,,DEN,W 17-10,2,1,6,6,0,50,3,,RB,
170,Skyy Moore,6,1,6,Sun,9,10,2022-11-13,22-064,KAN,,JAX,W 27-17,1,1,6,6,0,100,6,,WR,2-54
171,MyCole Pruitt,6,1,6,Thu,10,10,2022-11-10,30-231,ATL,@,CAR,L 15-25,1,1,6,6,0,100,6,,TE,5-143
172,Khalil Shakir,6,2,6,Sun,9,10,2022-11-13,22-283,BUF,,MIN,L 30-33 (OT),2,1,6,6,0,50,3,,WR,5-148
173,D'Andre Swift,6,3,6,Sun,9,10,2022-11-13,23-303,DET,@,CHI,W 31-30,3,1,6,6,0,33.3,2,0,RB,2-35
174,Kenneth Gainwell,5,2,5,Mon,9,10,2022-11-14,23-245,PHI,,WAS,L 21-32,2,1,5,5,0,50,2.5,,RB,5-150
175,Jamal Agnew,4,4,4,Sun,10,10,2022-11-13,27-224,JAX,@,KAN,L 17-27,4,3,4,1.3,0,75,1,,WR,5-165
176,James Mitchell,4,1,4,Sun,9,10,2022-11-13,23-094,DET,@,CHI,W 31-30,1,1,4,4,0,100,4,,TE,5-177
177,Gunner Olszewski,4,1,4,Sun,9,10,2022-11-13,25-352,PIT,,NOR,W 20-10,1,1,4,4,0,100,4,,WR,
178,Richard Rodgers,4,1,4,Sun,9,10,2022-11-13,30-295,LAC,@,SFO,L 16-22,1,1,4,4,0,100,4,,TE,3-98
179,Noah Brown,3,4,3,Sun,9,10,2022-11-13,26-311,DAL,@,GNB,L 28-31 (OT),4,1,3,3,0,25,0.8,,WR,7-239
180,Anthony Schwartz,3,1,3,Sun,9,10,2022-11-13,22-069,CLE,@,MIA,L 17-39,1,1,3,3,0,100,3,,WR,3-91
