,,Rushing,,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Att,Yds,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Pos.,Draft
1,Saquon Barkley,152,35,152,Sun,9,10,2022-11-13,25-277,NYG,,HOU,W 24-16,35,152,4.3,1,7,RB,1-2
2,Justin Fields,147,13,147,Sun,10,10,2022-11-13,23-253,CHI,,DET,L 30-31,13,147,11.3,2,6,QB,1-11
3,Jonathan Taylor,147,22,147,Sun,10,10,2022-11-13,23-298,IND,@,LVR,W 25-20,22,147,6.7,1,5,RB,2-41
4,Aaron Jones,138,24,138,Sun,10,10,2022-11-13,27-346,GNB,,DAL,W 31-28 (OT),24,138,5.8,1,5,RB,5-182
5,D'Onta Foreman,130,31,130,Thu,10,10,2022-11-10,26-200,CAR,,ATL,W 25-15,31,130,4.2,1,7,RB,3-89
6,Dalvin Cook,119,14,119,Sun,9,10,2022-11-13,27-095,MIN,@,BUF,W 33-30 (OT),14,119,8.5,1,4,RB,2-41
7,Jeff Wilson,119,17,119,Sun,10,10,2022-11-13,26-362,MIA,,CLE,W 39-17,17,119,7,1,6,RB,
8,Tony Pollard,115,22,115,Sun,9,10,2022-11-13,25-197,DAL,@,GNB,L 28-31 (OT),22,115,5.2,1,4,RB,4-128
9,Rachaad White,105,22,105,Sun,10,10,2022-11-13,23-305,TAM,,SEA,W 21-16,22,105,4.8,0,7,RB,3-91
10,Najee Harris,99,20,99,Sun,9,10,2022-11-13,24-249,PIT,,NOR,W 20-10,20,99,5,0,3,RB,1-24
11,Dameon Pierce,94,17,94,Sun,9,10,2022-11-13,22-267,HOU,@,NYG,L 16-24,17,94,5.5,0,6,RB,4-107
12,Elijah Mitchell,89,18,89,Sun,9,10,2022-11-13,24-195,SFO,,LAC,W 22-16,18,89,4.9,0,6,RB,6-194
13,Brian Robinson Jr.,86,26,86,Mon,10,10,2022-11-14,23-237,WAS,@,PHI,W 32-21,26,86,3.3,1,6,RB,3-98
14,Josh Allen,84,6,84,Sun,9,10,2022-11-13,26-176,BUF,,MIN,L 30-33 (OT),6,84,14,0,4,QB,1-7
15,Isiah Pacheco,82,16,82,Sun,9,10,2022-11-13,22-256,KAN,,JAX,W 27-17,16,82,5.1,0,4,RB,7-251
16,Josh Jacobs,78,21,78,Sun,9,10,2022-11-13,24-275,LVR,,IND,L 20-25,21,78,3.7,1,7,RB,1-24
17,James Conner,69,21,69,Sun,10,10,2022-11-13,27-192,ARI,@,LAR,W 27-17,21,69,3.3,2,4,RB,3-105
18,AJ Dillon,65,13,65,Sun,10,10,2022-11-13,24-195,GNB,,DAL,W 31-28 (OT),13,65,5,0,3,RB,2-62
19,Raheem Mostert,65,8,65,Sun,10,10,2022-11-13,30-218,MIA,,CLE,W 39-17,8,65,8.1,1,4,RB,
20,Nick Chubb,63,11,63,Sun,9,10,2022-11-13,26-321,CLE,@,MIA,L 17-39,11,63,5.7,1,2,RB,2-35
21,Jamaal Williams,59,16,59,Sun,9,10,2022-11-13,27-224,DET,@,CHI,W 31-30,16,59,3.7,1,5,RB,4-134
22,Leonard Fournette,57,14,57,Sun,10,10,2022-11-13,27-299,TAM,,SEA,W 21-16,14,57,4.1,1,3,RB,1-4
23,Khalil Herbert,57,10,57,Sun,10,10,2022-11-13,24-206,CHI,,DET,L 30-31,10,57,5.7,0,2,RB,6-217
24,Miles Sanders,54,12,54,Mon,9,10,2022-11-14,25-197,PHI,,WAS,L 21-32,12,54,4.5,0,3,RB,2-53
25,Derrick Henry,53,19,53,Sun,9,10,2022-11-13,28-313,TEN,,DEN,W 17-10,19,53,2.8,0,1,RB,2-45
26,Kenny Pickett,51,8,51,Sun,9,10,2022-11-13,24-160,PIT,,NOR,W 20-10,8,51,6.4,1,4,QB,1-20
27,Devin Singletary,47,13,47,Sun,9,10,2022-11-13,25-071,BUF,,MIN,L 30-33 (OT),13,47,3.6,2,3,RB,3-74
28,Travis Etienne,45,11,45,Sun,10,10,2022-11-13,23-291,JAX,@,KAN,L 17-27,11,45,4.1,0,2,RB,1-25
29,Antonio Gibson,44,14,44,Mon,10,10,2022-11-14,24-144,WAS,@,PHI,W 32-21,14,44,3.1,1,3,RB,3-66
30,Marcus Mariota,43,3,43,Thu,10,10,2022-11-10,29-011,ATL,@,CAR,L 15-25,3,43,14.3,0,2,QB,1-2
31,Laviska Shenault Jr.,42,2,42,Thu,10,10,2022-11-10,24-036,CAR,,ATL,W 25-15,2,42,21,1,1,WR,2-42
32,Jacoby Brissett,40,7,40,Sun,9,10,2022-11-13,29-337,CLE,@,MIA,L 17-39,7,40,5.7,0,4,QB,3-91
33,Patrick Mahomes,39,7,39,Sun,9,10,2022-11-13,27-057,KAN,,JAX,W 27-17,7,39,5.6,0,2,QB,1-10
34,Malik Davis,38,5,38,Sun,9,10,2022-11-13,23-352,DAL,@,GNB,L 28-31 (OT),5,38,7.6,0,2,RB,
35,Christian McCaffrey,38,14,38,Sun,9,10,2022-11-13,26-159,SFO,,LAC,W 22-16,14,38,2.7,1,3,RB,1-8
36,Matt Ryan,38,4,38,Sun,10,10,2022-11-13,37-180,IND,@,LVR,W 25-20,4,38,9.5,1,2,QB,1-3
37,David Montgomery,37,9,37,Sun,10,10,2022-11-13,25-159,CHI,,DET,L 30-31,9,37,4.1,0,2,RB,3-73
38,Jaylen Warren,37,9,37,Sun,9,10,2022-11-13,24-012,PIT,,NOR,W 20-10,9,37,4.1,0,1,RB,
39,Kadarius Toney,33,2,33,Sun,9,10,2022-11-13,23-290,KAN,,JAX,W 27-17,2,33,16.5,0,1,WR,1-20
40,Raheem Blackshear,32,6,32,Thu,10,10,2022-11-10,23-158,CAR,,ATL,W 25-15,6,32,5.3,0,2,RB,
41,Caleb Huntley,32,5,32,Thu,10,10,2022-11-10,24-056,ATL,@,CAR,L 15-25,5,32,6.4,0,2,RB,
42,Jalen Hurts,28,6,28,Mon,9,10,2022-11-14,24-099,PHI,,WAS,L 21-32,6,28,4.7,1,4,QB,2-53
43,Deebo Samuel,27,4,27,Sun,9,10,2022-11-13,26-302,SFO,,LAC,W 22-16,4,27,6.8,0,1,WR,2-36
44,Alvin Kamara,26,8,26,Sun,10,10,2022-11-13,27-111,NOR,@,PIT,L 10-20,8,26,3.3,0,1,RB,3-67
45,Trevor Lawrence,26,4,26,Sun,10,10,2022-11-13,23-038,JAX,@,KAN,L 17-27,4,26,6.5,0,1,QB,1-1
46,Avery Williams,25,4,25,Thu,10,10,2022-11-10,24-118,ATL,@,CAR,L 15-25,4,25,6.3,0,1,RB,5-183
47,Austin Ekeler,24,6,24,Sun,9,10,2022-11-13,27-180,LAC,@,SFO,L 16-22,6,24,4,0,1,RB,
48,Melvin Gordon,24,7,24,Sun,9,10,2022-11-13,29-214,DEN,@,TEN,L 10-17,7,24,3.4,0,1,RB,1-15
49,Daniel Jones,24,5,24,Sun,9,10,2022-11-13,25-170,NYG,,HOU,W 24-16,5,24,4.8,0,2,QB,1-6
50,Latavius Murray,24,9,24,Sun,9,10,2022-11-13,32-299,DEN,@,TEN,L 10-17,9,24,2.7,0,2,RB,6-181
51,George Pickens,23,2,23,Sun,9,10,2022-11-13,21-254,PIT,,NOR,W 20-10,2,23,11.5,1,2,WR,2-52
52,Cam Akers,22,6,22,Sun,9,10,2022-11-13,23-144,LAR,,ARI,L 17-27,6,22,3.7,0,2,RB,2-52
53,James Cook,22,5,22,Sun,9,10,2022-11-13,23-049,BUF,,MIN,L 30-33 (OT),5,22,4.4,0,,RB,2-63
54,Justin Herbert,22,5,22,Sun,9,10,2022-11-13,24-248,LAC,@,SFO,L 16-22,5,22,4.4,0,2,QB,1-6
55,Geno Smith,22,4,22,Sun,10,10,2022-11-13,32-034,SEA,@,TAM,L 16-21,4,22,5.5,0,0,QB,2-39
56,Darrell Henderson,21,6,21,Sun,9,10,2022-11-13,25-086,LAR,,ARI,L 17-27,6,21,3.5,1,3,RB,3-70
57,Tyler Allgeier,20,8,20,Thu,10,10,2022-11-10,22-209,ATL,@,CAR,L 15-25,8,20,2.5,0,1,RB,5-151
58,Matt Breida,20,6,20,Sun,9,10,2022-11-13,27-258,NYG,,HOU,W 24-16,6,20,3.3,0,1,RB,
59,Isaiah McKenzie,18,1,18,Sun,9,10,2022-11-13,27-218,BUF,,MIN,L 30-33 (OT),1,18,18,0,1,WR,5-172
60,Cordarrelle Patterson,18,5,18,Thu,10,10,2022-11-10,31-238,ATL,@,CAR,L 15-25,5,18,3.6,0,,RB,1-29
61,Jordan Wilkins,18,3,18,Sun,10,10,2022-11-13,28-118,IND,@,LVR,W 25-20,3,18,6,0,1,RB,5-169
62,Kenneth Walker III,17,10,17,Sun,10,10,2022-11-13,22-024,SEA,@,TAM,L 16-21,10,17,1.7,0,2,RB,2-41
63,Jared Goff,14,4,14,Sun,9,10,2022-11-13,28-030,DET,@,CHI,W 31-30,4,14,3.5,0,1,QB,1-1
64,Chuba Hubbard,14,5,14,Thu,10,10,2022-11-10,23-152,CAR,,ATL,W 25-15,5,14,2.8,0,1,RB,4-126
65,Justin Jackson,14,4,14,Sun,9,10,2022-11-13,26-205,DET,@,CHI,W 31-30,4,14,3.5,0,2,RB,7-251
66,P.J. Walker,14,3,14,Thu,10,10,2022-11-10,27-257,CAR,,ATL,W 25-15,3,14,4.7,0,2,QB,
67,Kirk Cousins,12,6,12,Sun,9,10,2022-11-13,34-086,MIN,@,BUF,W 33-30 (OT),6,12,2,0,1,QB,4-102
68,Curtis Samuel,12,4,12,Mon,10,10,2022-11-14,26-095,WAS,@,PHI,W 32-21,4,12,3,0,1,WR,2-40
69,Ryan Tannehill,12,2,12,Sun,9,10,2022-11-13,34-109,TEN,,DEN,W 17-10,2,12,6,0,1,QB,1-8
70,Salvon Ahmed,11,3,11,Sun,10,10,2022-11-13,23-319,MIA,,CLE,W 39-17,3,11,3.7,0,1,RB,
71,Alexander Mattison,11,3,11,Sun,9,10,2022-11-13,24-147,MIN,@,BUF,W 33-30 (OT),3,11,3.7,0,1,RB,3-102
72,Taylor Heinicke,10,5,10,Mon,10,10,2022-11-14,29-244,WAS,@,PHI,W 32-21,5,10,2,0,2,QB,
73,Chase Edmonds,9,2,9,Sun,9,10,2022-11-13,26-214,DEN,@,TEN,L 10-17,2,9,4.5,0,,RB,4-134
74,Kareem Hunt,9,6,9,Sun,9,10,2022-11-13,27-099,CLE,@,MIA,L 17-39,6,9,1.5,0,1,RB,3-86
75,Equanimeous St. Brown,9,2,9,Sun,10,10,2022-11-13,26-044,CHI,,DET,L 30-31,2,9,4.5,0,1,WR,6-207
76,Kyren Williams,9,1,9,Sun,9,10,2022-11-13,22-079,LAR,,ARI,L 17-27,1,9,9,0,0,RB,5-164
77,Dante Pettis,8,1,8,Sun,10,10,2022-11-13,27-021,CHI,,DET,L 30-31,1,8,8,0,1,WR,2-44
78,Russell Wilson,8,7,8,Sun,9,10,2022-11-13,33-349,DEN,@,TEN,L 10-17,7,8,1.1,0,2,QB,3-75
79,Kenneth Gainwell,7,1,7,Mon,9,10,2022-11-14,23-245,PHI,,WAS,L 21-32,1,7,7,0,,RB,5-150
80,Brandon Powell,7,1,7,Sun,9,10,2022-11-13,27-062,LAR,,ARI,L 17-27,1,7,7,0,,WR,
81,Dak Prescott,6,4,6,Sun,9,10,2022-11-13,29-107,DAL,@,GNB,L 28-31 (OT),4,6,1.5,0,4,QB,4-135
82,D'Andre Swift,6,6,6,Sun,9,10,2022-11-13,23-303,DET,@,CHI,W 31-30,6,6,1,1,1,RB,2-35
