player,Position_yah,Opponent_yah,expected_points,Salary_yah,home_away,games,ex_ppd
Josh Allen,QB,NE,22.124798678967757,40,Away,12,0.553119966974194
Justin Herbert,QB,LV,17.373658669214176,33,Away,11,0.5264745051277023
Tom Brady,QB,NO,16.27577166892063,27,Home,11,0.6028063581081715
Patrick Mahomes,QB,CIN,22.27953876619521,38,Away,11,0.5863036517419792
Aaron Rodgers,QB,CHI,14.120097351051436,27,Away,12,0.5229665685574606
Matthew Stafford,QB,SEA,13.865031481913999,22,Home,9,0.6302287037233636
Dak Prescott,QB,IND,16.953847455699616,31,Home,6,0.5468983050225683
Joe Burrow,QB,KC,22.116863111284864,38,Home,11,0.5820227134548649
Jalen Hurts,QB,TEN,23.477938881550365,38,Home,11,0.6178404968829043
Kirk Cousins,QB,NYJ,16.206011851130064,27,Home,11,0.6002226611529653
Ryan Tannehill,QB,PHI,13.216595658161172,20,Away,9,0.6608297829080586
Carson Wentz,QB,NYG,14.041309881207805,23,Away,6,0.6104917339655568
Derek Carr,QB,LAC,16.34859043677342,24,Home,11,0.6811912681988925
Russell Wilson,QB,BAL,13.638428462524843,22,Away,10,0.6199285664784019
Lamar Jackson,QB,DEN,20.940986136446814,30,Home,11,0.6980328712148938
Jimmy Garoppolo,QB,MIA,16.893034177304234,29,Home,9.75,0.5825184199070426
Mac Jones,QB,BUF,12.43401524502134,23,Home,9,0.5406093584791887
Matt Ryan,QB,DAL,11.953921653337813,20,Away,10,0.5976960826668907
Taylor Heinicke,QB,NYG,13.02501719785683,21,Away,6,0.6202389141836585
Teddy Bridgewater,QB,SF,8.812321685899091,20,Away,3.25,0.4406160842949546
Trevor Lawrence,QB,DET,16.3935740763118,31,Away,11,0.5288249702036064
Jared Goff,QB,JAX,15.259609013662741,24,Home,11,0.6358170422359476
Tua Tagovailoa,QB,SF,17.292328432087803,32,Away,9,0.5403852635027439
Daniel Jones,QB,WAS,17.532180269772113,26,Home,11,0.6743146257604659
Davis Mills,QB,CLE,13.072390918622613,20,Home,10,0.6536195459311307
Zach Wilson,QB,MIN,11.86505054997377,20,Away,7,0.5932525274986885
Justin Fields,QB,GB,19.476058008578736,38,Home,11,0.5125278423310193
Jameis Winston,QB,TB,13.158814580396712,20,Away,3,0.6579407290198356
Trevor Siemian,QB,GB,7.233187923875749,20,Home,1.75,0.36165939619378745
Andy Dalton,QB,TB,13.63297357764367,22,Away,9,0.6196806171656214
Tyler Huntley,QB,DEN,2.508826496348148,20,Home,0,0.12544132481740738
Tyrod Taylor,QB,WAS,3.435984303317534,20,Home,0.75,0.1717992151658767
Jacoby Brissett,QB,HOU,14.404999975943293,22,Away,11,0.6547727261792405
Trey Lance,QB,MIA,7.6589765246020765,20,Home,2,0.38294882623010384
Geno Smith,QB,LAR,17.120843110859976,31,Away,11,0.5522852616406444
Drew Lock,QB,LAR,2.537276504888644,20,Away,0,0.1268638252444322
Mike White,QB,MIN,17.368832925637932,27,Away,1,0.6432901083569604
Case Keenum,QB,NE,2.489958643498245,20,Away,1.5,0.12449793217491226
Cooper Rush,QB,IND,8.999271799207415,20,Home,6.5,0.4499635899603708
Joe Flacco,QB,MIN,14.517222172762425,20,Away,3,0.7258611086381213
Jordan Love,QB,CHI,5.486411562929771,26,Away,2.25,0.21101582934345273
Mason Rudolph,QB,ATL,2.902332397535581,20,Away,0,0.14511661987677904
Nick Foles,QB,DAL,2.3755139484205654,20,Away,0,0.11877569742102827
Marcus Mariota,QB,PIT,15.715289394432983,29,Home,12,0.5419065308425166
Brandon Allen,QB,KC,3.2947277130389967,20,Home,0.75,0.16473638565194984
Brian Hoyer,QB,BUF,2.98715608685208,20,Home,1,0.14935780434260398
Nick Mullens,QB,NYJ,3.4282158882352944,20,Home,1.5,0.1714107944117647
Kyle Allen,QB,CLE,7.004495085500965,23,Home,1,0.3045432645869985
Chad Henne,QB,CIN,2.1847941723529414,20,Away,1.5,0.10923970861764706
Ian Book,QB,TEN,2.701841030640234,20,Home,0,0.1350920515320117
Blaine Gabbert,QB,NO,1.9844277313481564,20,Home,0,0.09922138656740782
C J Beathard,QB,DET,2.472380999179934,20,Away,0,0.12361904995899671
Sam Ehlinger,QB,DAL,7.113805692003147,20,Away,2,0.3556902846001574
Kellen Mond,QB,HOU,1.9109264533333334,20,Away,0,0.09554632266666667
Brett Rypien,QB,BAL,6.210840951702668,20,Away,1,0.3105420475851334
Chase Daniel,QB,LV,2.657507578395022,20,Away,1.5,0.1328753789197511
John Wolford,QB,SEA,9.579778581247773,20,Home,1,0.47898892906238866
Kenny Pickett,QB,ATL,11.86211514781574,22,Away,7.75,0.5391870521734426
Mitch Trubisky,QB,ATL,9.858428607555911,20,Away,4.75,0.49292143037779557
Bailey Zappe,QB,BUF,11.3643,20,Home,3.5,0.568215
Skylar Thompson,QB,SF,2.744743911550633,20,Away,3.25,0.13723719557753164
Bryce Perkins,QB,SEA,7.429304358971142,20,Home,2.5,0.3714652179485571
Malik Willis,QB,PHI,2.644550417087062,20,Away,4.25,0.1322275208543531
Jarrett Stidham,QB,LAC,2.8917485999999997,20,Home,2.25,0.14458743
Brock Purdy,QB,MIA,2.5623701999999997,20,Home,2.25,0.12811851
Desmond Ridder,QB,PIT,2.1135362399999997,20,Home,0,0.10567681199999998
Nate Sudfeld,QB,JAX,1.8023407200000001,20,Home,0,0.09011703600000001
Joshua Dobbs,QB,HOU,1.28148912,20,Away,0,0.064074456
Deshaun Watson,QB,HOU,1.28148912,30,Away,0,0.042716304000000004
Sam Howell,QB,NYG,1.35611064,20,Away,0,0.067805532
Gardner Minshew,QB,TEN,1.96598664,20,Home,0,0.09829933199999999
Shane Buechele,QB,CIN,1.2802384800000002,20,Away,0,0.06401192400000001
Easton Stick,QB,LV,1.7759088000000003,20,Away,0,0.08879544000000002
Will Grier,QB,IND,1.3351003200000002,20,Home,0,0.06675501600000001
Kyle Trask,QB,NO,1.40529816,20,Home,0,0.070264908
