Dalton Schultz,George Kittle,Dawson Knox,Pat Freiermuth,Noah Fant,T J Hockenson,Tyler Conklin,David Njoku,Cole Kmet,Juwan Johnson,Hayden Hurst,Taysom Hill
8.673209848760644,12.172798590525188,6.909431439068353,8.764692832471228,5.556643154885892,10.406359976040362,5.939809061696945,7.58637519845082,7.136778901796634,6.5335257530291155,5.958516474241486,3.8605810342164504
18,28,18,17,14,21,14,15,16,14,12,16
