Daniel Carlson,Harrison Butker,Tyler Bass,Justin Tucker,Evan McPherson,Jason Myers,Greg Joseph,Cameron Dicker,Jake Elliott,Younghoe Koo,Brandon McManus,Greg Zuerlein,Jake Moody,Graham Gano,Cairo Santos,Dustin Hopkins,Jason Sanders,Riley Patterson,Nick Folk,Matt Gay,Wil Lutz,Cade York,Matt Prater,Eddy Pineiro,Brandon Aubrey,Brett Maher,Anders Carlson,Ka'imi Fairbairn,Tanner Brown,Chad Ryland,Chris Boswell,Chase McLaughlin,Michael Badgley,Joey Slye
125.9,125.6,124.8,124.7,122.5,122.5,122.2,121.4,120.2,119.7,119.4,118.7,118.6,118.2,116.1,116.1,116,115.9,115,114.9,114.7,114.4,113,110.3,109.1,113,108.6,112.9,105.8,107.4,114,110.7,110.3,103.8
3.240792,2.79496,2.41046,2.078856,1.79287,1.546227,1.333514,1.150064,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
