,,Passing,,,,,,,,,,,Passing,,,,,,,,,,,,,,,,,,,
Rk,Player,Rate,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Pos.,Draft
1,Patrick Mahomes,144.2,39,Sun,1,1,2022-09-11,26-359,KAN,@,ARI,W 44-21,30,39,9,76.9,360,5,0,,12.8,0,144.2,0,0,0,9.2,11.79,11.79,12,QB,1-10
2,Justin Herbert,129.4,34,Sun,1,1,2022-09-11,24-185,LAC,,LVR,W 24-19,26,34,8,76.5,279,3,0,,8.8,0,129.4,0,0,0,8.2,9.97,9.97,10.7,QB,1-6
3,Geno Smith,119.5,28,Mon,1,1,2022-09-12,31-337,SEA,,DEN,W 17-16,23,28,5,82.1,195,2,0,,7.1,0,119.5,2,18,6.67,7,8.39,7.23,8.5,QB,2-39
4,Kirk Cousins,118.9,32,Sun,1,1,2022-09-11,34-023,MIN,,GNB,W 23-7,23,32,9,71.9,277,2,0,,6.3,0,118.9,1,8,3.03,8.7,9.91,9.36,12,QB,4-102
5,Jordan Love,118.7,5,Sun,1,1,2022-09-11,23-313,GNB,@,MIN,L 7-23,4,5,1,80,65,0,0,,0,0,118.7,0,0,0,13,13,13,16.3,QB,1-26
6,Daniel Jones,115.9,21,Sun,1,1,2022-09-11,25-107,NYG,@,TEN,W 21-20,17,21,4,81,188,2,1,,9.5,4.8,115.9,5,32,19.23,9,8.71,5.81,11.1,QB,1-6
7,Josh Allen,112,31,Thu,1,1,2022-09-08,26-110,BUF,@,LAR,W 31-10,26,31,5,83.9,297,3,2,,9.7,6.5,112,2,5,6.06,9.6,8.61,7.94,11.4,QB,1-7
8,Jameis Winston,111,34,Sun,1,1,2022-09-11,28-248,NOR,@,ATL,W 27-26,23,34,11,67.6,269,2,0,,5.9,0,111,4,35,10.53,7.9,9.09,7.21,11.7,QB,1-1
9,Ryan Tannehill,106.4,33,Sun,1,1,2022-09-11,34-046,TEN,,NYG,L 20-21,20,33,13,60.6,266,2,0,,6.1,0,106.4,1,0,2.94,8.1,9.27,9,13.3,QB,1-8
10,Tua Tagovailoa,104.4,33,Sun,1,1,2022-09-11,24-193,MIA,,NWE,W 20-7,23,33,10,69.7,270,1,0,,3,0,104.4,3,28,8.33,8.2,8.79,7.28,11.7,QB,1-5
11,Russell Wilson,101.3,42,Mon,1,1,2022-09-12,33-287,DEN,@,SEA,L 16-17,29,42,13,69,340,1,0,,2.4,0,101.3,2,10,4.55,8.1,8.57,7.95,11.7,QB,3-75
12,Carson Wentz,101,41,Sun,1,1,2022-09-11,29-255,WAS,,JAX,W 28-22,27,41,14,65.9,313,4,2,,9.8,4.9,101,1,8,2.38,7.6,7.39,7.02,11.6,QB,1-2
13,Kyler Murray,99.3,34,Sun,1,1,2022-09-11,25-035,ARI,,KAN,L 21-44,22,34,12,64.7,193,2,0,,5.9,0,99.3,2,18,5.56,5.7,6.85,5.97,8.8,QB,1-1
14,Davis Mills,98.9,37,Sun,1,1,2022-09-11,23-325,HOU,,IND,T 20-20 (OT),23,37,14,62.2,240,2,0,,5.4,0,98.9,3,18,7.5,6.5,7.57,6.55,10.4,QB,3-67
15,Lamar Jackson,98.3,30,Sun,1,1,2022-09-11,25-247,BAL,@,NYJ,W 24-9,17,30,13,56.7,213,3,1,,10,3.3,98.3,2,2,6.25,7.1,7.6,7.06,12.5,QB,1-32
16,Tom Brady,87.3,27,Sun,1,1,2022-09-11,45-039,TAM,@,DAL,W 19-3,18,27,9,66.7,212,1,1,,3.7,3.7,87.3,2,17,6.9,7.9,6.93,5.86,11.8,QB,6-199
17,Mac Jones,87.2,30,Sun,1,1,2022-09-11,24-006,NWE,@,MIA,L 7-20,21,30,9,70,213,1,1,,3.3,3.3,87.2,2,20,6.25,7.1,6.27,5.25,10.1,QB,1-15
18,Justin Fields,85.7,17,Sun,1,1,2022-09-11,23-190,CHI,,SFO,W 19-10,8,17,9,47.1,121,2,1,,11.8,5.9,85.7,2,16,10.53,7.1,6.82,5.26,15.1,QB,1-11
19,Baker Mayfield,84.6,27,Sun,1,1,2022-09-11,27-150,CAR,,CLE,L 24-26,16,27,11,59.3,235,1,1,,3.7,3.7,84.6,4,28,12.9,8.7,7.78,5.87,14.7,QB,1-1
20,Matt Ryan,83.1,50,Sun,1,1,2022-09-11,37-117,IND,@,HOU,T 20-20 (OT),32,50,18,64,352,1,1,,2,2,83.1,2,12,3.85,7,6.54,6.06,11,QB,1-3
21,Jalen Hurts,80.6,32,Sun,1,1,2022-09-11,24-035,PHI,@,DET,W 38-35,18,32,14,56.3,243,0,0,,0,0,80.6,1,4,3.03,7.6,7.59,7.24,13.5,QB,2-53
22,Jared Goff,80.3,37,Sun,1,1,2022-09-11,27-332,DET,,PHI,L 35-38,21,37,16,56.8,215,2,1,1,5.4,2.7,80.3,1,10,2.63,5.8,5.68,5.26,10.2,QB,1-1
23,Marcus Mariota,79.7,33,Sun,1,1,2022-09-11,28-316,ATL,,NOR,L 26-27,20,33,13,60.6,215,0,0,,0,0,79.7,0,0,0,6.5,6.52,6.52,10.8,QB,1-2
24,Mitchell Trubisky,78.2,38,Sun,1,1,2022-09-11,28-022,PIT,@,CIN,W 23-20 (OT),21,38,17,55.3,194,1,0,,2.6,0,78.2,1,2,2.56,5.1,5.63,5.44,9.2,QB,1-2
25,Trevor Lawrence,75,42,Sun,1,1,2022-09-11,22-340,JAX,@,WAS,L 22-28,24,42,18,57.1,275,1,1,,2.4,2.4,75,2,15,4.55,6.5,5.95,5.34,11.5,QB,1-1
26,Joe Flacco,74.8,59,Sun,1,1,2022-09-11,37-238,NYJ,,BAL,L 9-24,37,59,22,62.7,309,1,1,,1.7,1.7,74.8,3,12,4.84,5.2,4.81,4.39,8.4,QB,1-18
27,Jacoby Brissett,74,34,Sun,1,1,2022-09-11,29-274,CLE,@,CAR,W 26-24,18,34,16,52.9,147,1,0,,2.9,0,74,1,9,2.86,4.3,4.91,4.51,8.2,QB,3-91
28,Derek Carr,69.1,37,Sun,1,1,2022-09-11,31-167,LVR,@,LAC,L 19-24,22,37,15,59.5,295,2,3,,5.4,8.1,69.1,5,29,11.9,8,5.41,4.07,13.4,QB,2-36
29,Aaron Rodgers,67.6,34,Sun,1,1,2022-09-11,38-283,GNB,@,MIN,L 7-23,22,34,12,64.7,195,0,1,,0,2.9,67.6,4,33,10.53,5.7,4.41,3.08,8.9,QB,1-24
30,Cooper Rush,67.5,13,Sun,1,1,2022-09-11,28-294,DAL,,TAM,L 3-19,7,13,6,53.8,64,0,0,,0,0,67.5,2,12,13.33,4.9,4.92,3.47,9.1,QB,
31,Matthew Stafford,63.1,41,Thu,1,1,2022-09-08,34-213,LAR,,BUF,L 10-31,29,41,12,70.7,240,1,3,,2.4,7.3,63.1,7,49,14.58,5.9,3.05,1.58,8.3,QB,1-1
32,Joe Burrow,61.7,53,Sun,1,1,2022-09-11,25-275,CIN,,PIT,L 20-23 (OT),33,53,20,62.3,338,2,4,1,3.8,7.5,61.7,7,39,11.67,6.4,3.74,2.65,10.2,QB,1-1
33,Trace McSorley,56.2,4,Sun,1,1,2022-09-11,27-019,ARI,,KAN,L 21-44,2,4,2,50,12,0,0,,0,0,56.2,1,8,20,3,3,0.8,6,QB,6-197
34,Trey Lance,50.3,28,Sun,1,1,2022-09-11,22-125,SFO,@,CHI,L 10-19,13,28,15,46.4,164,0,1,,0,3.6,50.3,2,9,6.67,5.9,4.25,3.67,12.6,QB,1-3
35,Dak Prescott,47.2,29,Sun,1,1,2022-09-11,29-044,DAL,,TAM,L 3-19,14,29,15,48.3,134,0,1,,0,3.4,47.2,2,13,6.45,4.6,3.07,2.45,9.6,QB,4-135
