,,Receiving,,,,,,,,,,,Receiving,,,,,,,,,
Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Pos.,Draft
1,Justin Jefferson,184,11,Sun,1,1,2022-09-11,23-087,MIN,,GNB,W 23-7,11,9,184,20.4,2,81.8,16.7,7,WR,1-22
2,A.J. Brown,155,13,Sun,1,1,2022-09-11,25-073,PHI,@,DET,W 38-35,13,10,155,15.5,0,76.9,11.9,7,WR,2-51
3,Davante Adams,141,17,Sun,1,1,2022-09-11,29-261,LVR,@,LAC,L 19-24,17,10,141,14.1,1,58.8,8.3,8,WR,2-53
4,Ja'Marr Chase,129,16,Sun,1,1,2022-09-11,22-194,CIN,,PIT,L 20-23 (OT),16,10,129,12.9,1,62.5,8.1,10,WR,1-5
5,Cooper Kupp,128,15,Thu,1,1,2022-09-08,29-085,LAR,,BUF,L 10-31,15,13,128,9.8,1,86.7,8.5,6,WR,3-69
6,Stefon Diggs,122,9,Thu,1,1,2022-09-08,28-283,BUF,@,LAR,W 31-10,9,8,122,15.3,1,88.9,13.6,5,WR,5-146
7,Travis Kelce,121,9,Sun,1,1,2022-09-11,32-341,KAN,@,ARI,W 44-21,9,8,121,15.1,1,88.9,13.4,7,TE,3-63
8,Michael Pittman Jr.,121,13,Sun,1,1,2022-09-11,24-341,IND,@,HOU,T 20-20 (OT),13,9,121,13.4,1,69.2,9.3,7,WR,2-34
9,Christian Kirk,117,12,Sun,1,1,2022-09-11,25-297,JAX,@,WAS,L 22-28,12,6,117,19.5,0,50,9.8,3,WR,2-47
10,Jarvis Landry,114,9,Sun,1,1,2022-09-11,29-287,NOR,@,ATL,W 27-26,9,7,114,16.3,0,77.8,12.7,4,WR,2-63
11,Robbie Anderson,102,8,Sun,1,1,2022-09-11,29-125,CAR,,CLE,L 24-26,8,5,102,20.4,1,62.5,12.8,1,WR,
12,Jerry Jeudy,102,7,Mon,1,1,2022-09-12,23-141,DEN,@,SEA,L 16-17,7,4,102,25.5,1,57.1,14.6,3,WR,1-15
13,Tyreek Hill,94,12,Sun,1,1,2022-09-11,28-194,MIA,,NWE,W 20-7,12,8,94,11.8,0,66.7,7.8,5,WR,5-165
14,Gabriel Davis,88,5,Thu,1,1,2022-09-08,23-160,BUF,@,LAR,W 31-10,5,4,88,22,1,80,17.6,3,WR,4-128
15,Brandin Cooks,82,12,Sun,1,1,2022-09-11,28-351,HOU,,IND,T 20-20 (OT),12,7,82,11.7,0,58.3,6.8,4,WR,1-20
16,JuJu Smith-Schuster,79,8,Sun,1,1,2022-09-11,25-293,KAN,@,ARI,W 44-21,8,6,79,13.2,0,75,9.9,3,WR,2-62
17,Darren Waller,79,6,Sun,1,1,2022-09-11,29-363,LVR,@,LAC,L 19-24,6,4,79,19.8,0,66.7,13.2,4,TE,6-204
18,Corey Davis,77,10,Sun,1,1,2022-09-11,27-243,NYJ,,BAL,L 9-24,10,6,77,12.8,0,60,7.7,5,WR,1-5
19,Pat Freiermuth,75,10,Sun,1,1,2022-09-11,23-321,PIT,@,CIN,W 23-20 (OT),10,5,75,15,0,50,7.5,3,TE,2-55
20,Drake London,74,7,Sun,1,1,2022-09-11,21-049,ATL,,NOR,L 26-27,7,5,74,14.8,0,71.4,10.6,3,WR,1-8
21,Antonio Gibson,72,8,Sun,1,1,2022-09-11,24-080,WAS,,JAX,W 28-22,8,7,72,10.3,0,87.5,9,3,RB,3-66
22,Courtland Sutton,72,7,Mon,1,1,2022-09-12,26-337,DEN,@,SEA,L 16-17,7,4,72,18,0,57.1,10.3,3,WR,2-40
23,Mike Evans,71,7,Sun,1,1,2022-09-11,29-021,TAM,@,DAL,W 19-3,7,5,71,14.2,1,71.4,10.1,5,WR,1-7
24,Sterling Shepard,71,4,Sun,1,1,2022-09-11,29-213,NYG,@,TEN,W 21-20,4,2,71,35.5,1,50,17.8,1,WR,2-40
25,Julio Jones,69,5,Sun,1,1,2022-09-11,33-215,TAM,@,DAL,W 19-3,5,3,69,23,0,60,13.8,2,WR,1-6
26,Jaylen Waddle,69,5,Sun,1,1,2022-09-11,23-290,MIA,,NWE,W 20-7,5,4,69,17.3,1,80,13.8,3,WR,1-6
27,Noah Brown,68,9,Sun,1,1,2022-09-11,26-248,DAL,,TAM,L 3-19,9,5,68,13.6,0,55.6,7.6,4,WR,7-239
28,Keenan Allen,66,4,Sun,1,1,2022-09-11,30-137,LAC,,LVR,W 24-19,4,4,66,16.5,0,100,16.5,2,WR,3-76
29,Kyle Philips,66,9,Sun,1,1,2022-09-11,23-086,TEN,,NYG,L 20-21,9,6,66,11,0,66.7,7.3,3,WR,5-163
30,Zay Jones,65,9,Sun,1,1,2022-09-11,27-165,JAX,@,WAS,L 22-28,9,6,65,10.8,0,66.7,7.2,4,WR,2-37
31,Javonte Williams,65,12,Mon,1,1,2022-09-12,22-140,DEN,@,SEA,L 16-17,12,11,65,5.9,0,91.7,5.4,3,RB,2-35
32,DeAndre Carter,64,4,Sun,1,1,2022-09-11,29-154,LAC,,LVR,W 24-19,4,3,64,21.3,1,75,16,3,WR,
33,Amon-Ra St. Brown,64,12,Sun,1,1,2022-09-11,22-322,DET,,PHI,L 35-38,12,8,64,8,1,66.7,5.3,3,WR,4-112
34,Greg Dortch,63,9,Sun,1,1,2022-09-11,24-105,ARI,,KAN,L 21-44,9,7,63,9,0,77.8,7,3,WR,
35,Joe Mixon,63,9,Sun,1,1,2022-09-11,26-049,CIN,,PIT,L 20-23 (OT),9,7,63,9,0,77.8,7,3,RB,2-48
36,Jauan Jennings,62,6,Sun,1,1,2022-09-11,25-063,SFO,@,CHI,L 10-19,6,4,62,15.5,0,66.7,10.3,2,WR,7-217
37,Dalton Schultz,62,9,Sun,1,1,2022-09-11,26-062,DAL,,TAM,L 3-19,9,7,62,8.9,0,77.8,6.9,2,TE,4-137
