player,fant_pos,Long_Name.x,Opponent,expected_points,Salary,ovr_ex_pas_yds,ovr_ex_pas_td,ovr_ex_rus_yds,ovr_ex_rus_td,fl,pl_int_game,ex_ppd
Josh Allen,QB,Buffalo Bills,CLE,21.52005112773946,40,230.76470588235293,1.9117647058823528,41.30639363033579,0.29117647058823526,3,0.8823529411764706,0.5380012781934865
Justin Herbert,QB,Los Angeles Chargers,KC,20.39991211751876,30,273.1470588235294,1.9117647058823528,18.563827057540575,0.16176470588235295,1,0.8823529411764706,0.6799970705839586
Patrick Mahomes,QB,Kansas City Chiefs,LAC,19.72389198134497,39,252.94117647058823,1.8823529411764706,24.738919813449673,0.13970588235294118,4,0.7647058823529411,0.5057408200344864
Aaron Rodgers,QB,Green Bay Packers,TEN,18.969757814360563,26,251.21139705882354,1.8621323529411766,5.545032894736842,0.19471153846153846,0,0.25,0.7296060697830986
Matthew Stafford,QB,Los Angeles Rams,NO,16.430583342071234,25,256.0882352941177,1.7941176470588234,2.4587745971829014,0,2,1,0.6572233336828494
Dak Prescott,QB,Dallas Cowboys,MIN,18.59151555950365,29,265.50183823529414,2.0091911764705883,9.346773242095328,0.0625,6,0.625,0.6410867434311605
Joe Burrow,QB,Cincinnati Bengals,PIT,17.681249725636523,34,251.62316176470588,1.7683823529411766,8.94356343283582,0.12890625,2,0.875,0.5200367566363683
Jalen Hurts,QB,Philadelphia Eagles,IND,21.10363340916477,38,221.85882352941178,1.4745098039215687,43.97907918968692,0.4666666666666666,2,0.6,0.5553587739253887
Kyler Murray,QB,Arizona Cardinals,SF,19.84970197528622,31,238.48529411764707,1.592436974789916,27.914739884393065,0.31055900621118016,0,0.7142857142857143,0.6403129669447167
Kirk Cousins,QB,Minnesota Vikings,DAL,17.448574367570863,27,250.99448529411765,1.7371323529411766,7.165155440414508,0.071875,2,0.4375,0.6462434950952172
Ryan Tannehill,QB,Tennessee Titans,GB,16.938034031090556,21,219.3529411764706,1.5294117647058822,14.068831359498876,0.32225063938618925,4,0.8235294117647058,0.8065730490995503
Carson Wentz,QB,Washington Football Team,HOU,16.278312487238765,23,225.88235294117646,1.588235294117647,13.742400890487199,0.08597285067873303,5,0.4117647058823529,0.707752716836468
Derek Carr,QB,Las Vegas Raiders,DEN,14.519903961584633,23,248.70588235294116,1.323529411764706,6.893157262905161,0,5,0.8235294117647058,0.6313001722428101
