player,Position_yah,Opponent_yah,expected_points,Salary_yah,ex_ppd
Jonathan Taylor,RB,KC,17.043803063480667,39,0.4370205913712991
Austin Ekeler,RB,JAX,14.685285533461691,26,0.5648186743639112
Joe Mixon,RB,NYJ,16.740858562780396,29,0.577270984923462
Najee Harris,RB,CLE,14.880479097218304,22,0.6763854135099229
James Conner,RB,LAR,12.46977400363589,25,0.4987909601454356
Ezekiel Elliott,RB,NYG,9.550868145534778,20,0.47754340727673894
Nick Chubb,RB,PIT,15.97519323709076,26,0.6144305091188754
Damien Harris,RB,BAL,10.626038575101786,17,0.6250610926530462
Alvin Kamara,RB,CAR,11.962614713436754,29,0.4125039556357501
Antonio Gibson,RB,PHI,15.327193274217194,19,0.8066943828535366
Leonard Fournette,RB,GB,14.087603962398703,27,0.5217631097184705
Cordarrelle Patterson,RB,SEA,14.218692772848645,15,0.947912851523243
Aaron Jones,RB,TB,13.939149942886914,20,0.6969574971443457
Derrick Henry,RB,LV,15.027125774968948,35,0.4293464507133985
Dalvin Cook,RB,DET,13.603225515002341,31,0.4388137262903981
Josh Jacobs,RB,TEN,12.712903234504585,18,0.7062724019169214
Javonte Williams,RB,SF,11.481061165130143,22,0.5218664165968246
Devin Singletary,RB,MIA,7.4230442735375135,15,0.49486961823583425
David Montgomery,RB,HOU,15.384587377053798,18,0.854699298725211
AJ Dillon,RB,TB,10.725606024856866,18,0.595867001380937
Darrel Williams,RB,LAR,8.227000212909068,15,0.5484666808606046
D Andre Swift,RB,MIN,18.196858573439,24,0.7582024405599582
James Robinson,RB,LAC,13.731488586453128,20,0.6865744293226564
Tony Pollard,RB,NYG,10.603303867270759,15,0.7068869244847172
Michael Carter,RB,CIN,10.178100346993999,14,0.7270071676424285
Rashaad Penny,RB,ATL,9.570999594988155,18,0.5317221997215642
Saquon Barkley,RB,DAL,13.211798064490129,29,0.45557924360310786
Rhamondre Stevenson,RB,BAL,7.293535393367439,15,0.48623569289116264
Chase Edmonds,RB,BUF,8.059710126201434,14,0.5756935804429596
Clyde Edwards Helaire,RB,IND,12.429169480576782,17,0.7311276165045166
Alexander Mattison,RB,DET,6.656184484453888,14,0.4754417488895634
Jamaal Williams,RB,MIN,9.935937008234255,15,0.6623958005489503
Miles Sanders,RB,WAS,9.785864570363987,17,0.5756390923743522
Christian McCaffrey,RB,NO,15.856591642492655,36,0.4404608789581293
Kenneth Gainwell,RB,WAS,6.56540461090033,13,0.50503112391541
Kareem Hunt,RB,PIT,13.604691959063969,16,0.850293247441498
Boston Scott,RB,WAS,4.747905661587955,13,0.36522351242984274
J D McKissic,RB,PHI,9.476880927698854,15,0.6317920618465903
Brandon Bolden,RB,TEN,9.603648468152672,12,0.8003040390127226
Zack Moss,RB,MIA,5.936658960957596,11,0.5396962691779632
Rex Burkhead,RB,CHI,7.526426460016099,11,0.6842205872741908
Nyheim Hines,RB,KC,6.591010029292251,13,0.5070007714840193
Khalil Herbert,RB,HOU,7.056581915392904,15,0.47043879435952696
Dontrell Hilliard,RB,LV,18.452028432158297,13,1.419386802473715
Jerick McKinnon,RB,IND,4.6269082070117165,12,0.385575683917643
Eno Benjamin,RB,LAR,5.113858075778012,12,0.42615483964816764
Breece Hall,RB,CIN,4.1348672367236725,14,0.2953476597659766
Dameon Pierce,RB,CHI,4.918450081957163,15,0.3278966721304775
Raheem Mostert,RB,BUF,2.7764916888431106,15,0.18509944592287403
Isiah Pacheco,RB,IND,2.5153846153846153,12,0.20961538461538462
Cam Akers,RB,ARI,2.294066153279166,15,0.15293774355194442
Tyrion Davis Price,RB,DEN,1.1776027397260274,11,0.10705479452054795
