player,Position_yah,Opponent_yah,expected_points,Salary_yah,ex_ppd
Josh Allen,QB,MIA,24.561571665199672,38,0.6463571490842019
Justin Herbert,QB,JAX,20.131318460248973,40,0.5032829615062243
Tom Brady,QB,GB,15.041370731306875,27,0.5570878048632176
Patrick Mahomes,QB,IND,20.356370600965153,39,0.521958220537568
Aaron Rodgers,QB,TB,13.959659860367307,27,0.5170244392728632
Matthew Stafford,QB,ARI,18.113080982838767,34,0.5327376759658461
Dak Prescott,QB,NYG,13.885112596407662,20,0.6942556298203831
Joe Burrow,QB,NYJ,17.41390734678844,33,0.5276941620238922
Jalen Hurts,QB,WAS,24.59963770261138,34,0.7235187559591582
Kyler Murray,QB,LAR,20.566352554642144,35,0.5876100729897755
Kirk Cousins,QB,DET,16.929396948987403,34,0.4979234396761001
Ryan Tannehill,QB,LV,15.953324244578747,24,0.6647218435241145
Carson Wentz,QB,PHI,17.93554763722878,28,0.6405552727581707
Derek Carr,QB,TEN,16.344468054267164,29,0.5636023466988678
Russell Wilson,QB,SF,14.390223895113603,27,0.5329712553745779
Lamar Jackson,QB,NE,20.993317916369058,38,0.552455734641291
Jimmy Garoppolo,QB,DEN,14.194615077293184,24,0.591442294887216
Mac Jones,QB,BAL,17.653218030946586,20,0.8826609015473293
Matt Ryan,QB,KC,12.413589910552625,23,0.5397213004588098
Taylor Heinicke,QB,PHI,11.40430429345876,20,0.570215214672938
Teddy Bridgewater,QB,BUF,8.450889909535244,20,0.4225444954767622
Trevor Lawrence,QB,LAC,16.013104334111585,22,0.7278683788232538
Jared Goff,QB,MIN,15.616979490509989,20,0.7808489745254994
Tua Tagovailoa,QB,BUF,14.890439957439929,27,0.5514977762014789
Baker Mayfield,QB,NO,12.153188034904518,23,0.5283994797784574
Daniel Jones,QB,DAL,14.929355907656108,24,0.6220564961523378
Sam Darnold,QB,NO,10.035893421336933,20,0.5017946710668466
Davis Mills,QB,CHI,12.82641692727724,22,0.5830189512398746
Zach Wilson,QB,CIN,10.81232186335842,20,0.540616093167921
Justin Fields,QB,HOU,15.335732529575608,24,0.6389888553989836
Jameis Winston,QB,CAR,14.10574561585086,27,0.5224350228092911
Trevor Siemian,QB,HOU,12.44120909901036,20,0.622060454950518
Andy Dalton,QB,CAR,8.877972641593052,20,0.44389863207965263
Tyler Huntley,QB,NE,10.683231302944737,20,0.5341615651472369
Tyrod Taylor,QB,DAL,11.93300709738872,20,0.596650354869436
Jacoby Brissett,QB,PIT,13.986586534149847,21,0.6660279301976118
Trey Lance,QB,DEN,11.515265031571559,20,0.575763251578578
Geno Smith,QB,ATL,16.392029082671318,25,0.6556811633068527
Drew Lock,QB,ATL,12.508744240865745,20,0.6254372120432873
Mike White,QB,CIN,9.917307903125257,21,0.4722527572916789
Colt McCoy,QB,LAR,9.892720771888287,20,0.49463603859441435
Gardner Minshew II,QB,WAS,12.02117554204002,20,0.601058777102001
Case Keenum,QB,MIA,9.643410182442866,20,0.48217050912214326
Cooper Rush,QB,NYG,10.894468367899783,21,0.5187842079952277
Joe Flacco,QB,CIN,15.780031222460625,23,0.6860883140200272
Jordan Love,QB,TB,8.145279778393352,20,0.4072639889196676
Mason Rudolph,QB,CLE,11.312733826316375,20,0.5656366913158187
Nick Foles,QB,KC,12.984166280685503,20,0.6492083140342751
Marcus Mariota,QB,SEA,13.567626782102174,24,0.5653177825875906
Brandon Allen,QB,NYJ,9.122958771278165,20,0.4561479385639083
P J Walker,QB,NO,6.811634372804497,20,0.34058171864022485
Brian Hoyer,QB,BAL,12.686002698243406,20,0.6343001349121703
Nick Mullens,QB,DET,10.975588235294119,20,0.5487794117647059
Kyle Allen,QB,CHI,8.434814676925622,20,0.42174073384628114
Chad Henne,QB,IND,8.781862745098039,20,0.43909313725490196
Ian Book,QB,WAS,10.116889827754306,20,0.5058444913877154
Blaine Gabbert,QB,GB,6.665972378584607,20,0.33329861892923035
C J Beathard,QB,LAC,8.508764873470756,20,0.42543824367353783
Sam Ehlinger,QB,KC,9.305465493283927,20,0.4652732746641964
Kellen Mond,QB,PIT,7.8190196078431375,20,0.39095098039215687
Brett Rypien,QB,SF,5.960294117647059,20,0.29801470588235296
Chase Daniel,QB,JAX,7.892192464772168,20,0.3946096232386084
John Wolford,QB,ARI,10.204825377962635,20,0.5102412688981317
Trace McSorley,QB,LAR,5.8638617886178865,20,0.29319308943089434
Malik Willis,QB,LV,4.71135838150289,20,0.23556791907514452
Kyle Trask,QB,GB,2.585,20,0.12925
Bailey Zappe,QB,BAL,7.29,20,0.3645
Shane Buechele,QB,IND,4.285,20,0.21425
Mitch Trubisky,QB,CLE,4.07,20,0.20350000000000001
Kenny Pickett,QB,CLE,4.07,20,0.20350000000000001
Joshua Dobbs,QB,PIT,4.1899999999999995,20,0.20949999999999996
Matt Corral,QB,NO,2.515,20,0.12575
Skylar Thompson,QB,BUF,1.99,20,0.0995
Nate Sudfeld,QB,MIN,3.25,20,0.1625
Jarrett Stidham,QB,TEN,5.345000000000001,20,0.26725000000000004
Sam Howell,QB,PHI,3.535,20,0.17675000000000002
Easton Stick,QB,JAX,4.345000000000001,20,0.21725000000000003
Bryce Perkins,QB,ARI,6.52,20,0.32599999999999996
Desmond Ridder,QB,SEA,3.57,20,0.1785
Brock Purdy,QB,DEN,2.6550000000000002,20,0.13275
