Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Joe Burrow,CIN,26,QB,4,4,2-2-0,25,39,64.1,274.8,2,5.1,1,2.6,14.3,59,7,6.9,11,274.8,91.3,47.9,4,23.3,9.3,5.85,5.73,0.25,0.25
2,Tua Tagovailoa,MIA,24,QB,4,4,3-1-0,20,28.8,69.6,258.8,2,7,0.75,2.6,12,60,9,9.2,12.9,258.8,109.9,78.5,1.5,13.3,5,8.12,8.32,0.5,0.5
3,Josh Allen,BUF,26,QB,3,3,2-1-0,31.3,44,71.2,338,3,6.8,0.67,1.5,16.3,53,7.7,8.4,10.8,338,109.8,77.5,2.33,9,5,7.1,7.75,,
4,Jalen Hurts,PHI,24,QB,3,3,3-0-0,22,32.7,67.3,305.3,1.33,4.1,0.33,1,13.7,54,9.3,9.7,13.9,305.3,106.5,74.6,2.33,8.67,6.7,8.48,8.81,,
5,Justin Herbert,LAC,24,QB,3,3,1-2-0,28,42.3,66.1,303.3,2.33,5.5,0.67,1.6,13.3,54,7.2,7.6,10.8,303.3,98.9,60.7,1,6.33,2.3,6.85,7.24,,
6,Joe Flacco,NYJ,37,QB,3,3,1-2-0,30.3,51.7,58.7,300.3,1.67,3.2,1,1.9,15.3,66,5.8,5.6,9.9,300.3,77.9,28.7,3,20,5.5,5.13,4.91,0.33,0.33
7,Carson Wentz,WAS,30,QB,3,3,1-2-0,27.3,43.3,63.1,287,2.33,5.4,1,2.3,14,49,6.6,6.7,10.5,287,90.6,40.4,5,31.7,10.3,5.28,5.32,0.33,0.33
8,Jameis Winston,NOR,28,QB,3,3,1-2-0,24.3,38.3,63.5,286,1.33,3.5,1.67,4.3,11.7,51,7.5,6.2,11.8,286,79.5,35.3,3.67,24.7,8.7,6.22,5.07,0.33,0.33
9,Patrick Mahomes,KAN,27,QB,3,3,2-1-0,24.7,36.3,67.9,285.7,2.67,7.3,0.33,0.9,15,53,7.9,8.9,11.6,285.7,112.1,75.8,0.67,4.67,1.8,7.59,8.63,0,0
10,Derek Carr,LVR,31,QB,3,3,0-3-0,24.3,40,60.8,283.3,2,5,1.33,3.3,15,60,7.1,6.6,11.6,283.3,85.1,48.4,2.33,14.7,5.5,6.35,5.87,,
11,Mac Jones,NWE,24,QB,3,3,1-2-0,21.3,32.3,66,262,0.67,2.1,1.67,5.2,10.7,44,8.1,6.2,12.3,262,76.2,35.7,1.67,13,4.9,7.32,5.51,,
12,Kyler Murray,ARI,25,QB,3,3,1-2-0,30,47,63.8,261.3,1,2.1,0.33,0.7,13,30,5.6,5.7,8.7,261.3,82.6,49,1.67,14.7,3.4,5.07,5.17,0.33,0.33
13,Trevor Lawrence,JAX,23,QB,3,3,2-1-0,25.7,37,69.4,257.3,2,5.4,0.33,0.9,14.3,49,7,7.6,10,257.3,103.1,70.8,0.67,5,1.8,6.7,7.36,,
14,Matt Ryan,IND,37,QB,3,3,1-1-1,25,39,64.1,256.3,1,2.6,1.33,3.4,12.7,39,6.6,5.5,10.3,256.3,77.2,42.9,4,29.3,9.3,5.28,4.35,0.67,0.33
15,Matthew Stafford,LAR,34,QB,3,3,2-1-0,24.7,34,72.5,253.7,1.33,3.9,1.67,4.9,13.3,32,7.5,6,10.3,253.7,86.3,50.9,3,19.7,8.1,6.32,5.02,,
16,Kirk Cousins,MIN,34,QB,3,3,2-1-0,24.7,39.7,62.2,252.7,1.67,4.2,1,2.5,14.7,64,6.4,6.1,10.2,252.7,83.9,46.1,1.33,12.3,3.3,5.86,5.58,0.33,0.33
17,Lamar Jackson,BAL,25,QB,3,3,2-1-0,18.7,29.3,63.6,249.7,3.33,11.4,0.67,2.3,10.7,75,8.5,9.8,13.4,249.7,119,78.1,2,4.67,6.4,7.82,8.99,,
18,Jared Goff,DET,28,QB,3,3,1-2-0,22,37.3,58.9,249.3,2.33,6.3,0.67,1.8,12.7,49,6.7,7.1,11.3,249.3,92.4,63.8,1.33,10.7,3.4,6.17,6.6,,
19,Russell Wilson,DEN,34,QB,3,3,2-1-0,21,35.3,59.4,247.7,0.67,1.9,0.33,0.9,10.7,67,7,7,11.8,247.7,83.2,45.5,3,17.3,7.8,6.01,5.97,0.67,0.67
20,Geno Smith,SEA,32,QB,3,3,1-2-0,26.3,34,77.5,239,1.33,3.9,0.67,2,11.3,38,7,6.9,9.1,239,100.8,62.2,2,17.3,5.6,6.16,6.06,,
21,Aaron Rodgers,GNB,39,QB,3,3,2-1-0,22.7,31.3,72.3,228,1.33,4.3,0.67,2.1,10,55,7.3,7.2,10.1,228,98,49.3,2.67,21,7.8,6.09,5.99,,
22,Tom Brady,TAM,45,QB,3,3,2-1-0,22.3,34.3,65,224.3,1,2.9,0.33,1,10.7,48,6.5,6.7,10,224.3,89.2,47.7,2,13,5.5,5.82,5.95,0,0.33
23,Davis Mills,HOU,24,QB,3,3,0-2-1,20.7,35.7,57.9,220.7,1,2.8,0.67,1.9,9,52,6.2,5.9,10.7,220.7,77.7,27.2,2.33,16.3,6.1,5.38,5.11,,
24,Ryan Tannehill,TEN,34,QB,3,3,1-2-0,16.7,26.7,62.5,215.7,1,3.8,1,3.8,10.7,41,8.1,7.2,12.9,215.7,84.7,47.1,1.33,9.33,4.8,7.37,6.48,,
25,Marcus Mariota,ATL,29,QB,3,3,1-2-0,16.7,26.3,63.3,213.3,1,3.8,1,3.8,10.7,39,8.1,7.2,12.8,213.3,85.4,55.9,2,15.7,7.1,6.98,6.09,,
26,Jacoby Brissett,CLE,30,QB,3,3,2-1-0,20.3,30.7,66.3,198.7,1.33,4.3,0.33,1.1,11.3,32,6.5,6.9,9.8,198.7,94.3,62.5,1.33,10.7,4.2,5.88,6.24,0.33,0.33
27,Mitchell Trubisky,PIT,28,QB,3,3,1-2-0,20.7,34.3,60.2,189.7,0.67,1.9,0.33,1,9.67,36,5.5,5.5,9.2,189.7,77.7,,1.67,7,4.6,5.07,5.03,0,0.33
28,Daniel Jones,NYG,25,QB,3,3,2-1-0,19.7,30.7,64.1,186.7,1,3.3,0.67,2.2,7.67,65,6.1,5.8,9.5,186.7,82.7,34.1,4.33,24.3,12.4,4.64,4.35,0.33,0.67
29,Baker Mayfield,CAR,27,QB,3,3,1-2-0,14,27,51.9,183.3,1,3.7,0.33,1.2,6.33,75,6.8,7,13.1,183.3,80.8,18.9,3,22,10,5.38,5.54,,
30,Cooper Rush,DAL,29,QB,3,2,2-0-0,15.7,25,62.7,171.3,0.67,2.7,0,0,8.33,46,6.9,7.4,10.9,171.3,91.7,73.3,1,5.67,3.8,6.37,6.88,0,0.67
31,Jimmy Garoppolo,SFO,31,QB,2,1,0-1-0,15.5,25,62,182.5,1,4,0.5,2,8,38,7.3,7.2,11.8,182.5,89.2,29.2,2.5,16,9.1,6.05,5.96,,
32,Justin Fields,CHI,23,QB,3,3,2-1-0,7.67,15,51.1,99,0.67,4.4,1.33,8.9,3.67,51,6.6,3.5,12.9,99,50,23.2,3.33,20.7,18.2,4.27,1.73,0.33,0.67
33,Trey Lance,SFO,22,QB,2,2,1-1-0,7.5,15.5,48.4,97,0,0,0.5,3.2,3,44,6.3,4.8,12.9,97,55,47.7,1,4.5,6.1,5.61,4.24,,
34,Teddy Bridgewater,MIA,30,QB,2,0,,7,12.5,56,96.5,0.5,4,0.5,4,4,64,7.7,6.7,13.8,96.5,77.6,69.9,0.5,4,3.8,7.12,6.15,,
35,Dak Prescott,DAL,29,QB,1,1,0-1-0,14,29,48.3,134,0,0,1,3.4,6,22,4.6,3.1,9.6,134,47.2,24.6,2,13,6.5,3.9,2.45,,
