,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
1,Tyreek Hill,MIA,28,WR,4,4,10.8,7.75,119.3,15.4,0.5,4.75,64,7.8,119.3,72.1%,11.1,0.5,1.25,0,0,6,2.5,1.3,0.5,8.25,14.6,120.5,2,0.25
2,Saquon Barkley,NYG,25,RB,3,3,5,4.33,30.3,7,0,0,21,4.3,30.3,86.7%,6.1,17.7,105.7,0.67,4,68,6,105.7,17.7,22,6.2,136,2,0.33
3,Jaylen Waddle,MIA,24,WR,4,4,8.75,5.25,95.3,18.1,0.75,4.5,59,5.3,95.3,60.0%,10.9,0.5,4.25,0,0,9,8.5,4.3,0.5,5.75,17.3,99.5,3,0
4,Nick Chubb,CLE,27,RB,3,3,1.67,1.33,9.33,7,0,0.33,15,1.3,9.3,80.0%,5.6,20.7,113.7,1.33,5,36,5.5,113.7,20.7,22,5.6,123,4,0
5,Stefon Diggs,BUF,29,WR,3,3,11.7,9,114.7,12.7,1.33,5,53,9,114.7,77.1%,9.8,,,,0,,,,,9,12.7,114.7,4,0
6,Joe Mixon,CIN,26,RB,4,4,6,4.25,29,6.8,0,1,18,4.3,29,70.8%,4.8,20.5,56,0.25,2.5,31,2.7,56,20.5,24.8,3.4,85,1,0
7,Cordarrelle Patterson,ATL,31,RB,3,2,2.33,1.33,9.33,7,0,0.67,12,1.3,9.3,57.1%,4,16.3,100.7,0.67,5.67,40,6.2,100.7,16.3,17.7,6.2,110,2,0
8,Jonathan Taylor,IND,23,RB,3,3,4.33,2.67,14.3,5.4,0,0.33,9,2.7,14.3,61.5%,3.3,20.3,95.3,0.33,5,21,4.7,95.3,20.3,23,4.8,109.7,1,0
9,Amon-Ra St. Brown,DET,23,WR,3,3,11,7.67,84.3,11,1,4,49,7.7,84.3,69.7%,7.7,0.67,22.7,0,0.33,58,34,22.7,0.7,8.33,12.8,107,3,0
10,Tee Higgins,CIN,23,WR,4,4,7,5,78.8,15.8,0.5,3.75,59,5,78.8,71.4%,11.3,,,,0,,,,,5,15.8,78.8,2,0
11,A.J. Brown,PHI,25,WR,3,3,10.3,6.67,103,15.5,0.33,4.67,54,6.7,103,64.5%,10,,,,0,,,,,6.67,15.5,103,1,0
12,D'Andre Swift,DET,23,RB,3,3,4,2.67,25.7,9.6,0.33,1.33,25,2.7,25.7,66.7%,6.4,9,77,0.33,2,50,8.6,77,9,11.7,8.8,102.7,2,0
13,Cooper Kupp,LAR,29,WR,3,3,11.7,9.33,93.3,10,1,5.67,28,9.3,93.3,80.0%,8,0.33,6.67,0.33,0.33,20,20,6.7,0.3,9.67,10.3,100,4,0.33
14,Christian McCaffrey,CAR,26,RB,3,3,4.67,3.33,19,5.7,0,0.67,21,3.3,19,71.4%,4.1,16.7,81,0.33,4.33,49,4.9,81,16.7,20,5,100,1,0
15,Courtland Sutton,DEN,27,WR,3,3,9.33,6.33,97,15.3,0,4.67,35,6.3,97,67.9%,10.4,0.33,1.67,0,0,5,5,1.7,0.3,6.67,14.8,98.7,0,0
16,Ja'Marr Chase,CIN,22,WR,4,4,10.3,6.25,73.3,11.7,0.5,5,36,6.3,73.3,61.0%,7.1,0.75,0.5,0,0,4,0.7,0.5,0.8,7,10.5,73.8,2,0.25
17,Aaron Jones,GNB,28,RB,3,3,4,3,25.3,8.4,0.33,1.33,22,3,25.3,75.0%,6.3,10.7,72.3,0.33,3.67,36,6.8,72.3,10.7,13.7,7.1,97.7,2,0.33
18,Leonard Fournette,TAM,27,RB,3,3,4,3,18,6,0,1,17,3,18,75.0%,4.5,19,75.7,0,2.67,17,4,75.7,19,22,4.3,93.7,0,0
19,Chris Olave,NOR,22,WR,3,1,9.67,5.67,89.3,15.8,0,2.67,51,5.7,89.3,58.6%,9.2,,,,0,,,,,5.67,15.8,89.3,0,0.33
20,Christian Kirk,JAX,26,WR,3,3,9,6,89,14.8,1,4,49,6,89,66.7%,9.9,,,,0,,,,,6,14.8,89,3,0
21,James Robinson,JAX,24,RB,3,3,2.33,2,11,5.5,0.33,1,10,2,11,85.7%,4.7,17,76.7,1,4,50,4.5,76.7,17,19,4.6,87.7,4,0
22,Khalil Herbert,CHI,24,RB,3,0,1.33,1.33,4.33,3.3,0,0,7,1.3,4.3,100.0%,3.3,11,80,1,4,52,7.3,80,11,12.3,6.8,84.3,3,0
23,Javonte Williams,DEN,22,RB,3,3,7,5,25.7,5.1,0,1.33,13,5,25.7,71.4%,3.7,12.3,58.7,0,2.33,17,4.8,58.7,12.3,17.3,4.9,84.3,0,0.33
24,Marquise Brown,ARI,25,WR,3,3,11.3,8,83.7,10.5,0.33,3.67,26,8,83.7,70.6%,7.4,,,,0,,,,,8,10.5,83.7,1,0
25,Josh Jacobs,LVR,24,RB,3,3,2.33,2.33,19.7,8.4,0,0.67,16,2.3,19.7,100.0%,8.4,14,64,0,3,18,4.6,64,14,16.3,5.1,83.7,0,0.33
26,Derrick Henry,TEN,28,RB,3,3,2.33,1.67,19.3,11.6,0,0.67,23,1.7,19.3,71.4%,8.3,18,64,0.67,2.33,24,3.6,64,18,19.7,4.2,83.3,2,0.33
27,DeVonta Smith,PHI,24,WR,3,3,7.67,5,83,16.6,0.33,4,45,5,83,65.2%,10.8,,,,0,,,,,5,16.6,83,1,0
28,Mark Andrews,BAL,27,TE,3,3,10.3,7.33,81.7,11.1,1,5,25,7.3,81.7,71.0%,7.9,0.33,1,0,0.33,3,3,1,0.3,7.67,10.8,82.7,3,0
29,Justin Jefferson,MIN,23,WR,3,3,9.67,6,82,13.7,0.67,3.67,64,6,82,62.1%,8.5,,,,0,,,,,6,13.7,82,2,0
30,Lamar Jackson,BAL,25,QB,3,3,0,0,0,,0,0,0,0,0,0.0%,,8.67,81,0.67,3.67,79,9.3,81,8.7,8.67,9.3,81,2,0.33
31,Terry McLaurin,WAS,27,WR,3,3,7,4,78.3,19.6,0.33,3,49,4,78.3,57.1%,11.2,0.33,2.33,0,0.33,7,7,2.3,0.3,4.33,18.6,80.7,1,0
32,Deebo Samuel,SFO,26,WR,3,3,7,4,43.7,10.9,0,1.67,32,4,43.7,57.1%,6.2,5.67,37,0.33,1.33,51,6.5,37,5.7,9.67,8.3,80.7,1,0.67
33,Dalvin Cook,MIN,27,RB,3,3,3.67,2.33,12.3,5.3,0,1,14,2.3,12.3,63.6%,3.4,14.3,67.7,0.33,4.33,16,4.7,67.7,14.3,16.7,4.8,80,1,0.33
34,Mack Hollins,LVR,29,WR,3,2,6.67,4.67,80,17.1,0.33,3.33,60,4.7,80,70.0%,12,,,,0,,,,,4.67,17.1,80,1,0
35,Jeff Wilson,SFO,27,RB,3,2,2.33,2.33,19.3,8.3,0,0.33,16,2.3,19.3,100.0%,8.3,13,60.3,0,2.33,37,4.6,60.3,13,15.3,5.2,79.7,0,0.33
36,Miles Sanders,PHI,25,RB,3,3,2,2,4.33,2.2,0,0,11,2,4.3,100.0%,2.2,15,74,0.33,3.67,24,4.9,74,15,17,4.6,78.3,1,0
37,Curtis Samuel,WAS,26,WR,3,2,10,7.33,60.3,8.2,0.67,3.33,27,7.3,60.3,73.3%,6,2.67,17,0,1,21,6.4,17,2.7,10,7.7,77.3,2,0.33
38,Clyde Edwards-Helaire,KAN,23,RB,3,3,4,4,38.3,9.6,0.67,2.33,25,4,38.3,100.0%,9.6,7.33,38.7,0.33,1,52,5.3,38.7,7.3,11.3,6.8,77,3,0
39,Travis Kelce,KAN,33,TE,3,3,8,5.67,76.7,13.5,0.67,4.33,35,5.7,76.7,70.8%,9.6,0.33,0.33,0,0.33,1,1,0.3,0.3,6,12.8,77,2,0
40,Rashod Bateman,BAL,23,WR,3,2,5.33,2.67,75.3,28.3,0.67,1.67,75,2.7,75.3,50.0%,14.1,,,,0,,,,,2.67,28.3,75.3,2,0.33
41,Tony Pollard,DAL,25,RB,3,1,3.33,2,23,11.5,0,0.67,46,2,23,60.0%,6.9,9.33,52,0.33,2.67,46,5.6,52,9.3,11.3,6.6,75,1,0
42,Amari Cooper,CLE,28,WR,3,3,9,6.33,73,11.5,0.67,4,32,6.3,73,70.4%,8.1,,,,0,,,,,6.33,11.5,73,2,0
43,Austin Ekeler,LAC,27,RB,3,3,7.33,7,46.3,6.6,0,2.33,21,7,46.3,95.5%,6.3,10.7,26.7,0,1.33,8,2.5,26.7,10.7,17.7,4.1,73,0,0
44,Dameon Pierce,HOU,22,RB,3,3,1.33,1.33,11.7,8.8,0,0.33,12,1.3,11.7,100.0%,8.8,15.3,60.7,0.33,4.33,24,4,60.7,15.3,16.7,4.3,72.3,1,0.67
45,Drake London,ATL,21,WR,3,2,8.33,5.33,71.3,13.4,0.67,3.67,31,5.3,71.3,64.0%,8.6,,,,0,,,,,5.33,13.4,71.3,2,0
46,Noah Brown,DAL,26,WR,3,3,7,5,71,14.2,0.33,4,28,5,71,71.4%,10.1,,,,0,,,,,5,14.2,71,1,0
47,Breece Hall,NYJ,21,RB,3,0,7,4.33,33.7,7.8,0.33,2,18,4.3,33.7,61.9%,4.8,7,37.3,0,1.33,23,5.3,37.3,7,11.3,6.3,71,1,0.33
48,Garrett Wilson,NYJ,22,WR,3,2,11,6,71.3,11.9,0.67,3.67,31,6,71.3,54.5%,6.5,0.33,-0.67,0,0,-2,-2,-0.7,0.3,6.33,11.2,70.7,2,0
49,Antonio Gibson,WAS,24,RB,3,3,4.33,3.33,29,8.7,0,1.33,26,3.3,29,76.9%,6.7,13.3,41.3,0.67,3,13,3.1,41.3,13.3,16.7,4.2,70.3,2,0
50,Tyler Lockett,SEA,30,WR,3,3,8.67,7,70.3,10,0,3.67,27,7,70.3,80.8%,8.1,,,,0,,,,,7,10,70.3,0,0
51,Kareem Hunt,CLE,27,RB,3,0,3.33,3,18,6,0.33,1.33,24,3,18,90.0%,5.4,12,50.3,0.33,3.33,24,4.2,50.3,12,15,4.6,68.3,2,0
52,Raheem Mostert,MIA,30,RB,4,2,2.25,1.5,14,9.3,0,0.75,16,1.5,14,66.7%,6.2,9.75,36.8,0,1.75,25,3.8,36.8,9.8,11.3,4.5,50.8,0,0
53,Tyler Boyd,CIN,28,WR,4,2,4.75,3,50.5,16.8,0.5,2,56,3,50.5,63.2%,10.6,,,,0,,,,,3,16.8,50.5,2,0
54,Greg Dortch,ARI,24,WR,3,2,7.67,6.67,66,9.9,0.33,3.33,30,6.7,66,87.0%,8.6,,,,0,,,,,6.67,9.9,66,1,0
55,CeeDee Lamb,DAL,23,WR,3,3,11.3,5.67,63.7,11.2,0.33,4,26,5.7,63.7,50.0%,5.6,0.33,2,0,0.33,6,6,2,0.3,6,10.9,65.7,1,0
56,David Montgomery,CHI,25,RB,3,3,2,1.67,12.7,7.6,0,0.33,16,1.7,12.7,83.3%,6.3,11.7,53,0,2,28,4.5,53,11.7,13.3,4.9,65.7,0,0
57,Jamaal Williams,DET,27,RB,3,0,1.67,1.33,9.67,7.3,0,0.33,17,1.3,9.7,80.0%,5.8,14.3,56,1.33,3.67,15,3.9,56,14.3,15.7,4.2,65.7,4,0
58,Michael Carter,NYJ,23,RB,3,3,5.33,4.33,24.7,5.7,0,2,12,4.3,24.7,81.3%,4.6,9.33,40.7,0,1.33,22,4.4,40.7,9.3,13.7,4.8,65.3,0,0
59,AJ Dillon,GNB,24,RB,3,0,4,2.67,19.3,7.3,0,0.67,12,2.7,19.3,66.7%,4.8,13.3,46,0.33,3.67,14,3.5,46,13.3,16,4.1,65.3,1,0
60,Diontae Johnson,PIT,26,WR,3,3,11,7,65.3,9.3,0,3.67,25,7,65.3,63.6%,5.9,,,,0,,,,,7,9.3,65.3,0,0.33
61,Travis Etienne,JAX,23,RB,3,0,3.33,2.67,27,10.1,0,1.67,23,2.7,27,80.0%,8.1,8.67,37.3,0,2,27,4.3,37.3,8.7,11.3,5.7,64.3,0,0.33
62,Michael Pittman Jr.,IND,25,WR,2,2,11,8.5,96.5,11.4,0.5,5.5,28,8.5,96.5,77.3%,8.8,,,,0,,,,,8.5,11.4,96.5,1,0
63,Damien Harris,NWE,25,RB,3,3,2.67,2,10.3,5.2,0,0.67,11,2,10.3,75.0%,3.9,11.7,53.3,0.67,3,16,4.6,53.3,11.7,13.7,4.7,63.7,2,0
64,Corey Davis,NYJ,27,WR,3,1,6.33,3.33,62.3,18.7,0.33,2.67,66,3.3,62.3,52.6%,9.8,,,,0,,,,,3.33,18.7,62.3,1,0
65,Davante Adams,LVR,30,WR,3,3,11.3,5.67,63,11.1,1,4,41,5.7,63,50.0%,5.6,0.33,-1.33,0,0,-4,-4,-1.3,0.3,6,10.3,61.7,3,0
66,Melvin Gordon,DEN,29,RB,3,0,3,2.67,16.3,6.1,0,0.33,22,2.7,16.3,88.9%,5.4,11.3,43.7,0.33,2,13,3.9,43.7,11.3,14,4.3,60,1,1
67,Nelson Agholor,NWE,29,WR,3,1,4.67,3.67,59.7,16.3,0.33,1.67,44,3.7,59.7,78.6%,12.8,,,,0,,,,,3.67,16.3,59.7,1,0.67
68,Rhamondre Stevenson,NWE,24,RB,3,0,3,2.33,11.3,4.9,0,0.33,11,2.3,11.3,77.8%,3.8,9.67,48.3,0.33,3,18,5,48.3,9.7,12,5,59.7,1,0
