player,Position_yah,Opponent_yah,expected_points,Salary_yah,home_away,ex_ppd
Jonathan Taylor,RB,DEN,13.584025134870995,36,Away,0.3773340315241943
Austin Ekeler,RB,CLE,18.09012222023754,27,Away,0.6700045266754644
Joe Mixon,RB,BAL,15.489089297345949,23,Away,0.6734386651019978
Najee Harris,RB,BUF,10.845938398375703,19,Away,0.5708388630724054
James Conner,RB,PHI,9.356862748359298,23,Home,0.4068201194938825
Ezekiel Elliott,RB,LAR,8.945912191739973,16,Away,0.5591195119837483
Nick Chubb,RB,LAC,15.642199075655308,38,Home,0.41163681778040284
Damien Harris,RB,DET,15.206847390955351,23,Home,0.661167277867624
Alvin Kamara,RB,SEA,8.834142343876314,24,Home,0.36808926432817973
Antonio Gibson,RB,TEN,11.509266874078163,17,Home,0.6770156984751861
Leonard Fournette,RB,ATL,14.903714005101147,22,Home,0.6774415456864158
Cordarrelle Patterson,RB,TB,11.847911054289586,20,Away,0.5923955527144793
Aaron Jones,RB,NYG,13.041632843799782,27,Home,0.4830234386592512
Derrick Henry,RB,WAS,14.974203880605378,37,Away,0.40470821298933457
Dalvin Cook,RB,CHI,13.67853850625096,29,Home,0.4716737415948607
Josh Jacobs,RB,KC,13.362506020161833,19,Away,0.7032897905348333
Devin Singletary,RB,PIT,9.59362910815385,18,Home,0.5329793948974362
David Montgomery,RB,MIN,9.472027954334088,24,Away,0.394667831430587
AJ Dillon,RB,NYG,9.40246606205138,19,Home,0.49486663484480947
D Andre Swift,RB,NE,13.932559150042689,26,Away,0.5358676596170265
James Robinson,RB,HOU,16.176139945756283,28,Home,0.5777192837770101
Tony Pollard,RB,LAR,8.74609961817812,15,Away,0.5830733078785413
Michael Carter,RB,MIA,7.891741743796717,14,Home,0.5636958388426226
Rashaad Penny,RB,NO,11.021924191402903,17,Away,0.6483484818472296
Chuba Hubbard,RB,SF,1.3526485059245288,12,Home,0.11272070882704406
Saquon Barkley,RB,GB,15.517967754786055,37,Away,0.4194045339131366
Rhamondre Stevenson,RB,DET,11.446253656794758,22,Home,0.5202842571270344
Chase Edmonds,RB,NYJ,11.860968971205587,15,Away,0.7907312647470391
Clyde Edwards Helaire,RB,LV,15.526745881410605,21,Home,0.739368851495743
Alexander Mattison,RB,CHI,7.331268057864069,15,Home,0.48875120385760457
Jamaal Williams,RB,NE,12.616655960854679,26,Away,0.48525599849441076
Latavius Murray,RB,NO,14.603753572003164,15,Home,0.9735835714668776
Miles Sanders,RB,ARI,11.077043031948111,21,Away,0.5274782396165767
Christian McCaffrey,RB,SF,14.918312286870046,37,Home,0.40319762937486614
Kenneth Gainwell,RB,ARI,4.57441382618969,12,Away,0.38120115218247413
Kareem Hunt,RB,LAC,11.667728091460472,21,Home,0.5556060995933558
D Onta Foreman,RB,SF,2.097948718649577,12,Home,0.17482905988746475
J D McKissic,RB,TEN,8.102784082596662,13,Home,0.6232910832766663
Brandon Bolden,RB,KC,5.499616831255962,11,Away,0.49996516647781475
Zack Moss,RB,PIT,4.103610847706697,12,Home,0.3419675706422247
Rex Burkhead,RB,JAX,7.5935994059639045,12,Away,0.632799950496992
Nyheim Hines,RB,DEN,4.021729619224962,12,Away,0.33514413493541345
Khalil Herbert,RB,MIN,14.470686087254887,21,Away,0.6890802898692803
Dontrell Hilliard,RB,WAS,11.952064938118646,12,Away,0.9960054115098872
Craig Reynolds,RB,NE,3.159661415589769,11,Away,0.2872419468717972
Jerick McKinnon,RB,LV,3.813567274448999,15,Home,0.2542378182965999
Eno Benjamin,RB,PHI,4.869160119074221,12,Home,0.40576334325618507
Jonathan Williams,RB,TEN,1.9748196028453127,12,Home,0.1645683002371094
Deon Jackson,RB,DEN,2.0110562503917553,13,Away,0.15469663464551964
Mike Boone,RB,IND,2.4734922804582604,17,Home,0.14549954590930944
Dameon Pierce,RB,JAX,11.610230579363426,20,Away,0.5805115289681713
Jeff Wilson Jr,RB,CAR,8.293667648481733,17,Away,0.4878628028518667
Melvin Gordon III,RB,IND,5.532944307130536,19,Home,0.29120759511213345
Breece Hall,RB,MIA,11.041465321282942,18,Home,0.6134147400712746
Travis Etienne Jr,RB,HOU,6.08688968525088,20,Home,0.304344484262544
Raheem Mostert,RB,NYJ,5.645880239997235,19,Away,0.2971515915788019
Darrell Henderson Jr,RB,DAL,6.743994819313826,14,Home,0.48171391566527333
Tyler Allgeier,RB,TB,4.373185610908429,12,Away,0.3644321342423691
Mark Ingram II,RB,SEA,4.964568407633082,14,Home,0.3546120291166487
Justice Hill,RB,CIN,3.024676383556261,11,Home,0.27497058032329647
Isiah Pacheco,RB,LV,3.3851976495726492,14,Home,0.24179983211233208
Cam Akers,RB,DAL,4.725334836417626,18,Home,0.26251860202320143
J K Dobbins,RB,CIN,8.647847331662032,16,Home,0.540490458228877
Kenneth Walker III,RB,NO,2.8160776525327464,12,Away,0.2346731377110622
Caleb Huntley,RB,TB,3.7507767857142857,11,Away,0.3409797077922078
Brian Robinson Jr,RB,TEN,0,13,Home,0
Mark Andrews,TE,CIN,13.616761543937216,31,Home,0.4392503723850715
Cooper Kupp,WR,DAL,17.385123462568156,40,Home,0.43462808656420393
Travis Kelce,TE,LV,14.285266633274004,32,Home,0.4464145822898126
Deebo Samuel,WR,CAR,10.562183252548795,25,Away,0.42248733010195183
Dalton Schultz,TE,LAR,4.707314197708061,12,Away,0.3922761831423384
Ja Marr Chase,WR,BAL,14.201409209553423,32,Away,0.4437940377985445
George Kittle,TE,CAR,5.494646213209183,20,Away,0.27473231066045917
Justin Jefferson,WR,CHI,13.525139788150103,35,Home,0.38643256537571724
Davante Adams,WR,KC,17.33024622442978,28,Away,0.6189373651582064
Dawson Knox,TE,PIT,4.590832392998324,13,Home,0.3531409533075634
Mike Evans,WR,ATL,16.364918867876696,28,Home,0.5844613881384534
Tyreek Hill,WR,NYJ,15.9972477363221,29,Away,0.5516292322869689
Dallas Goedert,TE,ARI,10.204140042637398,22,Away,0.46382454739260903
Stefon Diggs,WR,PIT,17.180457896066187,34,Home,0.5053075851784172
Kyle Pitts,TE,TB,6.279829616416504,15,Away,0.41865530776110027
Mike Williams,WR,CLE,9.929755467538772,25,Away,0.3971902187015509
Zach Ertz,TE,PHI,9.213634849407905,19,Home,0.4849281499688371
Mike Gesicki,TE,NYJ,4.602185683481076,11,Away,0.4183805166800978
Tyler Lockett,WR,NO,9.842975978207807,16,Away,0.615185998637988
Pat Freiermuth,TE,BUF,8.825744651242973,13,Away,0.6789034347109979
Diontae Johnson,WR,BUF,7.70088043831437,16,Away,0.48130502739464814
Hunter Renfrow,WR,KC,5.502831181970506,15,Away,0.3668554121313671
Tyler Higbee,TE,DAL,8.1272147996854045,15,Home,0.541814319979027
CeeDee Lamb,WR,LAR,14.300813161664014,26,Away,0.5500312754486159
Keenan Allen,WR,CLE,7.799896326129642,22,Away,0.3545407420968019
T J Hockenson,TE,NE,11.352763481420979,21,Away,0.5406077848295704
Michael Pittman Jr,WR,DEN,10.34950545885908,17,Away,0.6087944387564165
Tee Higgins,WR,BAL,14.220660234675213,27,Away,0.5266911198027857
Darren Waller,TE,KC,8.948104369870979,21,Away,0.4261002080890942
Tyler Conklin,TE,MIA,7.95496302629156,15,Home,0.5303308684194373
Chris Godwin,WR,ATL,7.906861206892597,24,Home,0.32945255028719156
David Njoku,TE,LAC,9.490341967216587,16,Home,0.5931463729510367
Brandin Cooks,WR,JAX,10.10376765742687,16,Away,0.6314854785891794
Jaylen Waddle,WR,NYJ,14.44109609921089,27,Away,0.5348554110818848
Gerald Everett,TE,CLE,8.0165434331981391,15,Away,0.534436228879876
Darnell Mooney,WR,MIN,8.27200780735376,11,Away,0.7520007097594327
Amon Ra St Brown,WR,NE,15.395638609606868,30,Away,0.5131879536535623
Evan Engram,TE,HOU,4.506146171428293,12,Home,0.3755121809523578
Mo Alie Cox,TE,DEN,5.1850209679351185,13,Away,0.3988477667642399
Terry McLaurin,WR,TEN,10.33835490547277,23,Home,0.44949369154229435
Foster Moreau,TE,KC,3.8420639818411026,11,Away,0.34927854380373663
Marquise Brown,WR,PHI,13.232909409673793,19,Home,0.6964689162986207
Amari Cooper,WR,LAC,13.727531665451016,19,Home,0.722501666602685
Adam Thielen,WR,CHI,8.462964897579333,18,Home,0.47016471653218517
Cameron Brate,TE,ATL,3.9309133912311505,14,Home,0.28077952794508215
Christian Kirk,WR,HOU,13.969605003788544,24,Home,0.582066875157856
Kendrick Bourne,WR,DET,5.552630528611235,13,Home,0.42712542527778735
Albert Okwuegbunam,TE,IND,2.2609356204582713,12,Home,0.18841130170485595
DeVonta Smith,WR,ARI,10.961902287490597,17,Away,0.6448177816170939
A J Brown,WR,ARI,15.007136840529473,27,Away,0.555819882982573
Tyler Boyd,WR,BAL,10.212672252492716,19,Away,0.5375090659206693
Brandon Aiyuk,WR,CAR,8.6912999124689,16,Away,0.5432062445293062
K J Osborn,WR,CHI,5.215060209111094,13,Home,0.4011584776239303
Hayden Hurst,TE,BAL,6.019658360553372,13,Away,0.4630506431194901
Jakobi Meyers,WR,DET,11.693195042090274,16,Home,0.7308246901306421
Allen Lazard,WR,NYG,9.92109713903492,16,Home,0.6200685711896825
Logan Thomas,TE,TEN,6.461063781351331,14,Home,0.4615045558108094
Russell Gage,WR,ATL,7.791938010756669,18,Home,0.4328854450420372
Elijah Moore,WR,MIA,7.495579758513978,16,Home,0.46847373490712363
Courtland Sutton,WR,IND,11.932311042327338,18,Home,0.6629061690181854
Robert Woods,WR,WAS,9.651261367161633,18,Away,0.5361811870645351
Robert Tonyan,TE,NYG,5.090193481791566,13,Home,0.39155334475319736
Will Dissly,TE,NO,6.645347088672455,11,Away,0.6041224626065869
Mecole Hardman,WR,LV,4.337669177880268,11,Home,0.3943335616254789
Jarvis Landry,WR,SEA,6.605627540496654,13,Home,0.5081251954228195
Donovan Peoples Jones,WR,LAC,5.921690816557315,13,Home,0.45551467819671654
Corey Davis,WR,MIA,11.617063684239666,18,Home,0.6453924269022037
Nelson Agholor,WR,DET,9.35794394088071,13,Home,0.7198418416062086
Laviska Shenault Jr,WR,SF,7.161341735478021,11,Home,0.6510310668616383
DeVante Parker,WR,DET,9.08538567674846,15,Home,0.6056923784498973
Marquez Valdes Scantling,WR,LV,5.8324293523141035,14,Home,0.41660209659386455
Zay Jones,WR,HOU,9.820377735603653,14,Home,0.7014555525431181
Olamide Zaccheaus,WR,TB,7.762624393261459,11,Away,0.7056931266601326
Rashod Bateman,WR,CIN,9.18758425201382,15,Home,0.6125056168009214
Michael Gallup,WR,LAR,10.719746223389905,17,Away,0.6305733072582297
Rondale Moore,WR,PHI,2.8039247897227253,15,Home,0.18692831931484835
Jamal Agnew,WR,HOU,5.009345533284291,11,Home,0.4553950484803901
Josh Reynolds,WR,NE,9.399712317860779,13,Away,0.7230547936815983
Devin Duvernay,WR,CIN,8.326022277222819,13,Home,0.640463252094063
Julio Jones,WR,ATL,4.978952476269123,17,Home,0.29287955742759547
Jerry Jeudy,WR,IND,9.092157711041231,15,Home,0.6061438474027487
Mack Hollins,WR,KC,10.426852345932534,16,Away,0.6516782716207834
Isaiah McKenzie,WR,PIT,8.09116448112512,15,Home,0.5394109654083413
Chris Olave,WR,SEA,10.647794021975333,20,Home,0.5323897010987666
DK Metcalf,WR,NO,8.174185190824199,22,Away,0.3715538723101908
Noah Brown,WR,LAR,10.14507684891107,16,Away,0.6340673030569419
Curtis Samuel,WR,TEN,10.177335617154135,20,Home,0.5088667808577068
Garrett Wilson,WR,MIA,10.441104153665206,20,Home,0.5220552076832603
Drake London,WR,TB,11.751086817602287,18,Away,0.6528381565334604
JuJu Smith Schuster,WR,LV,5.762790724298276,17,Home,0.33898768966460446
Greg Dortch,WR,PHI,6.986959457236843,11,Home,0.6351781324760766
Romeo Doubs,WR,NYG,6.562734046333471,13,Home,0.5048256958718055
Robbie Anderson,WR,SF,5.650624623493976,11,Home,0.5136931475903614
Michael Thomas,WR,SEA,13.321598505324062,23,Home,0.5791999350140896
DJ Moore,WR,SF,5.444306005271084,13,Home,0.41879276963623724
George Pickens,WR,BUF,4.382894065656566,12,Away,0.36524117213804713
Joshua Palmer,WR,CLE,5.066439468243173,14,Away,0.3618885334459409
Jahan Dotson,WR,TEN,10.489481998658466,18,Home,0.5827489999254704
Treylon Burks,WR,WAS,4.463040137614678,14,Away,0.3187885812581913
Gabe Davis,WR,PIT,6.07956341744893,17,Home,0.35762137749699585
Taysom Hill,TE,SEA,0.1926657248261531,16,Home,0.012041607801634569
Marvin Jones Jr,WR,HOU,4.358204333296509,11,Home,0.3962003939360463
DJ Chark Jr,WR,NE,4.855291605571848,11,Away,0.4413901459610771
Allen Robinson II,WR,DAL,3.7656109484165166,18,Home,0.20920060824536202
Irv Smith Jr,TE,CHI,3.4453506097560975,13,Home,0.26502696998123826
KJ Hamler,WR,IND,1.558276134756333,11,Home,0.14166146679603028
