player,Position_yah,Opponent_yah,expected_points,Salary_yah,home_away,ex_ppd
Josh Allen,QB,PIT,25.910157913369357,40,Home,0.6477539478342339
Justin Herbert,QB,CLE,16.4785523445219,34,Away,0.48466330425064413
Tom Brady,QB,ATL,17.806207108957217,28,Home,0.6359359681770435
Patrick Mahomes,QB,LV,20.746700023156773,38,Home,0.545965790083073
Aaron Rodgers,QB,NYG,13.499799891446663,27,Home,0.49999258857209866
Matthew Stafford,QB,DAL,11.354203605493856,26,Home,0.43670013867284063
Dak Prescott,QB,LAR,11.231529440651633,31,Away,0.362307401311343
Joe Burrow,QB,BAL,18.8202290400546,35,Away,0.5377208297158457
Jalen Hurts,QB,ARI,21.87301681521503,38,Away,0.5756057056635534
Kyler Murray,QB,PHI,18.290776101260803,33,Home,0.5542659424624485
Kirk Cousins,QB,CHI,13.44306687178508,28,Home,0.4801095311351814
Ryan Tannehill,QB,WAS,16.413041562234596,26,Away,0.6312708293167153
Carson Wentz,QB,TEN,18.751877238621052,27,Home,0.6945139718007797
Derek Carr,QB,KC,16.87268774866117,30,Away,0.5624229249553724
Russell Wilson,QB,IND,16.491274336201617,25,Home,0.6596509734480647
Lamar Jackson,QB,CIN,23.526130535947402,38,Home,0.6191086983144053
Jimmy Garoppolo,QB,CAR,13.448293085761206,24,Away,0.5603455452400502
Mac Jones,QB,DET,17.953429656984206,24,Home,0.7480595690410086
Matt Ryan,QB,DEN,7.45638448540452,20,Away,0.372819224270226
Taylor Heinicke,QB,TEN,11.626834194346197,21,Home,0.5536587711593427
Teddy Bridgewater,QB,NYJ,11.502116402766166,25,Away,0.46008465611064664
Trevor Lawrence,QB,HOU,14.690161283628463,26,Home,0.5650062032164793
Jared Goff,QB,NE,17.019888018019778,29,Away,0.586892690276544
Tua Tagovailoa,QB,NYJ,15.556497485938314,31,Away,0.5018224995463972
Baker Mayfield,QB,SF,9.71451291658457,20,Home,0.48572564582922845
Daniel Jones,QB,GB,15.066531139115366,23,Away,0.6550665712658855
Sam Darnold,QB,SF,6.159487990262665,20,Home,0.30797439951313327
Davis Mills,QB,JAX,12.871608582799702,20,Away,0.6435804291399851
Zach Wilson,QB,MIA,16.952849429169753,23,Home,0.7370804099639023
Justin Fields,QB,MIN,12.53514143137222,21,Away,0.5969114967320104
Jameis Winston,QB,SEA,15.437826470250702,24,Home,0.6432427695937792
Trevor Siemian,QB,MIN,8.088495401094125,20,Away,0.40442477005470623
Andy Dalton,QB,SEA,14.538273060071099,20,Home,0.7269136530035549
Tyler Huntley,QB,CIN,8.247019404133544,20,Home,0.4123509702066772
Tyrod Taylor,QB,GB,6.858137440095843,20,Away,0.34290687200479214
Jacoby Brissett,QB,LAC,17.2500389326475,22,Home,0.7840926787567045
Trey Lance,QB,CAR,10.81415272817667,20,Away,0.5407076364088335
Geno Smith,QB,NO,15.262805236315561,22,Away,0.69376387437798
Drew Lock,QB,NO,6.436919236465077,20,Away,0.32184596182325387
Mike White,QB,MIA,10.779794149670064,20,Home,0.5389897074835032
Colt McCoy,QB,PHI,7.028399344327327,20,Home,0.35141996721636637
Gardner Minshew II,QB,ARI,9.336265341520033,20,Away,0.4668132670760016
Case Keenum,QB,PIT,9.227814324719764,20,Home,0.4613907162359882
Cooper Rush,QB,LAR,12.782039865829427,20,Away,0.6391019932914713
Joe Flacco,QB,MIA,16.24883588909579,23,Home,0.7064711256128604
Jordan Love,QB,NYG,7.841563037803486,20,Home,0.3920781518901743
Mason Rudolph,QB,BUF,5.399010172834264,20,Away,0.2699505086417132
Nick Foles,QB,DEN,5.99226283788791,20,Away,0.29961314189439553
Marcus Mariota,QB,TB,11.785339468535899,25,Away,0.47141357874143597
Brandon Allen,QB,BAL,9.998869568569985,20,Away,0.49994347842849923
P J Walker,QB,SF,5.088790791506995,20,Home,0.25443953957534976
Brian Hoyer,QB,DET,10.206960829067192,20,Home,0.5103480414533597
Nick Mullens,QB,CHI,6.212404852941176,20,Home,0.3106202426470588
Kyle Allen,QB,JAX,7.53903723132291,20,Away,0.37695186156614546
Chad Henne,QB,LV,8.851332176470589,20,Home,0.44256660882352944
Ian Book,QB,ARI,8.78497462723432,20,Away,0.439248731361716
Blaine Gabbert,QB,ATL,8.959815581550801,20,Home,0.44799077907754004
C J Beathard,QB,HOU,7.325603499999999,20,Home,0.36628017499999993
Sam Ehlinger,QB,DEN,4.928498507179248,20,Away,0.2464249253589624
Kellen Mond,QB,LAC,9.378938647058822,20,Home,0.4689469323529411
Brett Rypien,QB,IND,7.57522588235294,20,Home,0.378761294117647
Chase Daniel,QB,CLE,6.582261372506254,20,Away,0.3291130686253127
John Wolford,QB,DAL,5.436779153297682,20,Home,0.2718389576648841
Mitch Trubisky,QB,BUF,8.481693542137718,20,Away,0.4240846771068859
Kenny Pickett,QB,BUF,12.559619105344296,20,Away,0.6279809552672149
Bailey Zappe,QB,DET,11.494813500000001,23,Home,0.49977450000000007
Trace McSorley,QB,PHI,7.192427544642857,20,Home,0.3596213772321429
Malik Willis,QB,WAS,8.195819332355818,22,Away,0.3725372423798099
Easton Stick,QB,CLE,5.541608999999999,20,Away,0.27708045
Joshua Dobbs,QB,LAC,8.178156,20,Home,0.4089078
Nate Sudfeld,QB,NE,6.742455,20,Away,0.33712274999999997
Jake Luton,QB,SEA,7.900155000000001,20,Home,0.39500775000000005
Skylar Thompson,QB,NYJ,6.443884,20,Away,0.3221942
Desmond Ridder,QB,TB,5.976341499999999,20,Away,0.298817075
Kyle Trask,QB,ATL,7.6538249999999985,20,Home,0.3826912499999999
Sam Howell,QB,TEN,9.21978,20,Home,0.460989
Brock Purdy,QB,CAR,5.528484999999999,20,Away,0.2764242499999999
Matt Corral,QB,SF,3.7178235,20,Home,0.18589117500000002
Bryce Perkins,QB,DAL,4.3283700000000005,20,Home,0.2164185
Jarrett Stidham,QB,KC,8.428889,20,Away,0.42144444999999997
Shane Buechele,QB,LV,7.5447359999999994,20,Home,0.3772368
