,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
1,Josh Jacobs*,LVR,24,RB,16,16,3.81,3.19,24.7,7.7,0,1,43,3.2,24.7,83.6%,6.5,20.2,100.5,0.75,5.63,86,5,100.5,20.2,23.4,5.4,125.2,12,0.19
2,Derrick Henry *,TEN,28,RB,15,15,2.67,2.13,25.3,11.8,0,0.67,69,2.1,25.3,80.0%,9.5,21.3,95.3,0.87,4.27,56,4.5,95.3,21.3,23.4,5.2,120.5,13,0.4
3,Christian McCaffrey,2TM,26,RB,16,15,6.56,5.13,44.2,8.6,0.25,2.13,49,5.1,44.2,78.1%,6.7,14.6,68.4,0.5,3.5,49,4.7,68.4,14.6,19.8,5.7,112.6,12,0.06
4,Justin Jefferson*,MIN,23,WR,16,16,11.2,7.75,110.7,14.3,0.5,4.88,64,7.8,110.7,69.3%,9.9,0.25,1.5,0.06,0.13,10,6,1.5,0.3,8,14,112.2,9,
5,Tyreek Hill*,MIA,28,WR,16,16,10.3,7.31,105.4,14.4,0.44,4.69,64,7.3,105.4,70.9%,10.2,0.44,2,0.06,0.19,10,4.6,2,0.4,7.75,13.9,107.4,8,0.06
6,Saquon Barkley*,NYG,25,RB,16,16,4.75,3.56,21.1,5.9,0,0.63,41,3.6,21.1,75.0%,4.4,18.4,82,0.63,3.88,68,4.4,82,18.4,22,4.7,103.1,10,0.06
7,Nick Chubb*,CLE,27,RB,16,16,1.94,1.38,12.1,8.8,0,0.63,26,1.4,12.1,71.0%,6.3,18.1,90.5,0.75,4.06,41,5,90.5,18.1,19.5,5.3,102.6,12,0.06
8,Austin Ekeler,LAC,27,RB,16,16,7.69,6.44,42.9,6.7,0.31,2.13,23,6.4,42.9,83.7%,5.6,12.1,55.1,0.81,2.75,72,4.6,55.1,12.1,18.5,5.3,97.9,18,0.25
9,Aaron Jones,GNB,28,RB,16,16,4.25,3.5,23.4,6.7,0.31,1.19,30,3.5,23.4,82.4%,5.5,12.6,67.1,0.13,3.25,36,5.3,67.1,12.6,16.1,5.6,90.5,7,0.25
10,Davante Adams*,LVR,30,WR,16,16,10.7,5.94,90.2,15.2,0.88,3.75,60,5.9,90.2,55.6%,8.4,0.19,-0.06,0,0,4,-0.3,-0.1,0.2,6.13,14.7,90.1,14,0.06
11,Dalvin Cook,MIN,27,RB,16,16,3.44,2.38,18.4,7.8,0.13,1,64,2.4,18.4,69.1%,5.4,15.8,71,0.5,3,81,4.5,71,15.8,18.2,4.9,89.4,10,0.19
12,Travis Etienne,JAX,23,RB,16,11,2.69,2.06,18.7,9.1,0,0.88,30,2.1,18.7,76.7%,7,13.3,69.3,0.31,3.19,62,5.2,69.3,13.3,15.4,5.7,87.9,5,0.31
13,A.J. Brown*,PHI,25,WR,16,15,8.44,5.25,87.6,16.7,0.69,3.44,78,5.3,87.6,62.2%,10.4,,,0,0,,,,,5.25,16.7,87.6,11,0.13
14,Rhamondre Stevenson,NWE,24,RB,16,7,5.13,4,24.6,6.1,0.06,0.81,40,4,24.6,78.0%,4.8,12.8,61.6,0.31,2.94,49,4.8,61.6,12.8,16.8,5.1,86.2,6,0.19
15,Tony Pollard*,DAL,25,RB,15,4,3.6,2.6,24.7,9.5,0.2,1.2,68,2.6,24.7,72.2%,6.9,12.4,65.9,0.6,3.07,57,5.3,65.9,12.4,15,6,90.6,12,
16,CeeDee Lamb*,DAL,23,WR,16,16,9.31,6.38,81.7,12.8,0.5,4.06,39,6.4,81.7,68.5%,8.8,0.63,2.94,0,0.19,14,4.7,2.9,0.6,7,12.1,84.6,8,
17,Jaylen Waddle,MIA,24,WR,16,16,7,4.38,82,18.7,0.5,3.56,84,4.4,82,62.5%,11.7,0.13,1.06,0,0,9,8.5,1.1,0.1,4.5,18.5,83.1,8,0.06
18,Stefon Diggs*,BUF,29,WR,15,15,9.6,6.73,88.3,13.1,0.67,4.67,53,6.7,88.3,70.1%,9.2,0.07,-0.2,0,0,-3,-3,-0.2,0.1,6.8,13,88.1,10,0.07
19,Miles Sanders*,PHI,25,RB,16,14,1.56,1.25,4.88,3.9,0,0.13,16,1.3,4.9,80.0%,3.1,15.5,77.3,0.69,3.75,40,5,77.3,15.5,16.8,4.9,82.1,11,0.13
20,Travis Kelce*,KAN,33,TE,16,16,9.06,6.5,81.3,12.5,0.75,4.75,52,6.5,81.3,71.7%,9,0.13,0.31,0,0.06,4,2.5,0.3,0.1,6.63,12.3,81.6,12,0.06
21,Alvin Kamara,NOR,27,RB,14,12,5.36,4,34.8,8.7,0.14,1.21,54,4,34.8,74.7%,6.5,14.3,56.4,0.14,2.5,27,4,56.4,14.3,18.3,5,91.2,4,0.29
22,Amon-Ra St. Brown,DET,23,WR,15,15,9.13,6.67,74.1,11.1,0.4,4.27,49,6.7,74.1,73.0%,8.1,0.6,6.33,0,0.2,58,10.6,6.3,0.6,7.27,11.1,80.5,6,
23,Leonard Fournette,TAM,27,RB,15,9,5.47,4.8,34.6,7.2,0.2,1.73,44,4.8,34.6,87.8%,6.3,12.6,44.5,0.2,2.6,23,3.5,44.5,12.6,17.4,4.5,79.1,6,
24,Joe Mixon,CIN,26,RB,13,13,5.38,4.23,30.8,7.3,0.15,1.23,35,4.2,30.8,78.6%,5.7,15.3,60.5,0.46,3.46,40,4,60.5,15.3,19.5,4.7,91.3,8,
25,Najee Harris,PIT,24,RB,16,16,3.25,2.5,13.7,5.5,0.19,0.94,19,2.5,13.7,76.9%,4.2,15.6,59.6,0.38,2.5,36,3.8,59.6,15.6,18.1,4.1,73.3,9,0.13
26,Terry McLaurin*,WAS,27,WR,16,16,7.13,4.63,69.8,15.1,0.25,3.31,51,4.6,69.8,64.9%,9.8,0.44,1.81,0,0.13,12,4.1,1.8,0.4,5.06,14.1,71.6,4,0.06
27,Justin Fields,CHI,23,QB,15,15,,,,,0,0,,,,,,10.7,76.2,0.53,4.33,67,7.1,76.2,10.7,10.7,7.1,76.2,8,1.07
28,DeVonta Smith,PHI,24,WR,16,16,8,5.5,70.6,12.8,0.44,3.38,45,5.5,70.6,68.8%,8.8,,,0,0,,,,,5.5,12.8,70.6,7,0.06
29,Mike Evans,TAM,29,WR,15,15,8.47,5.13,74.9,14.6,0.4,3.53,63,5.1,74.9,60.6%,8.9,,,0,0,,,,,5.13,14.6,74.9,6,
30,Amari Cooper,CLE,28,WR,16,16,8.06,4.75,69.3,14.6,0.56,3.75,55,4.8,69.3,58.9%,8.6,,,0,0,,,,,4.75,14.6,69.3,9,
31,Dameon Pierce,HOU,22,RB,13,13,3,2.31,12.7,5.5,0.08,0.54,16,2.3,12.7,76.9%,4.2,16.9,72.2,0.31,4.15,75,4.3,72.2,16.9,19.2,4.4,84.9,5,0.31
