,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
Rk,Tm,G,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,San Francisco 49ers,16,16.5,303.4,61,5,1.63,0.56,17.5,23.1,35.4,224.7,1.19,1.06,5.9,11.4,23.1,78.8,0.63,3.4,4.5,5.56,48.9,1.63,26.5,14.1,3.31
2,Buffalo Bills,16,16.9,297.8,58.3,5.1,1.5,0.63,18.6,21,33.1,199.9,1.13,0.88,5.6,10.7,22.8,97.9,0.63,4.3,6.13,5.44,45.9,1.81,30.8,13.5,0.19
3,Baltimore Ravens,16,18,328.5,61.4,5.3,1.5,0.63,19.3,23.1,34.4,234.1,1.19,0.88,6.3,12.1,24.1,94.4,0.63,3.9,5.56,4.75,38.4,1.56,36.3,14.4,-2.6
4,New York Jets,16,19.1,311.6,64.3,4.8,1,0.25,18.3,20.4,32.8,192.5,0.94,0.75,5.4,9.94,28.8,119.1,0.88,4.1,6.75,5.31,41.3,1.63,32.2,8.7,1.38
5,Cincinnati Bengals,16,19.3,311.6,57.6,5.4,1.25,0.56,17.4,19.4,32.2,211.8,1.06,0.69,6.3,10.2,23.8,99.8,0.69,4.2,6.06,6,52.4,1.19,37.3,11.8,-1.57
6,New England Patriots,16,19.5,321.7,64.6,5,1.69,0.56,18.5,21.6,35.3,215.3,1.56,1.13,5.6,11.5,26,106.4,0.44,4.1,5.13,5.44,42.4,1.88,30.4,13.8,3.79
7,Dallas Cowboys,16,19.8,331.5,64.9,5.1,2,1.06,19.4,20.9,33.2,203.6,1.38,0.94,5.6,10.5,28.5,127.9,0.5,4.5,7,6,52.6,1.94,34.1,17,1.93
8,Tampa Bay Buccaneers,16,20.5,320.7,62.9,5.1,1.19,0.56,18.3,21.6,33.8,203.3,1.69,0.63,5.6,10.9,26.4,117.4,0.69,4.4,5.81,5.94,52.8,1.5,31.7,10.2,-0.16
9,Philadelphia Eagles,16,20.5,302.6,63.1,4.8,1.69,0.63,19.2,20.4,32.3,181.4,1.31,1.06,5,10.9,26.6,121.2,0.88,4.6,6.81,5.44,45.8,1.44,32.5,16,0.83
10,Denver Broncos,16,20.7,318,63.3,5,1.31,0.38,18.9,22.6,35.1,205.1,1.06,0.94,5.5,10.2,26,112.9,0.75,4.3,6.63,6.31,55.5,2.13,35.7,10.3,0.62
11,Pittsburgh Steelers,16,20.8,331.9,60.4,5.5,1.31,0.19,18.5,19.6,32.1,225.4,1.69,1.13,6.6,11.6,26.3,106.5,0.44,4.1,5.63,5.44,40.8,1.31,38.3,12.6,-2.73
12,Jacksonville Jaguars,16,20.9,355.9,64.6,5.5,1.56,0.75,20.7,22.8,35.8,243.1,1.5,0.81,6.5,12.3,26.9,112.8,0.88,4.2,6.88,5.25,40.2,1.5,35.9,14.1,-2.81
13,New Orleans Saints,16,20.9,321.8,63.6,5.1,0.75,0.44,19.1,19.8,32.6,193.9,1.06,0.31,5.5,9.69,28.2,127.9,0.88,4.5,7,5.63,48.6,2.38,35.8,6.4,-2.44
14,Washington Commanders,16,21.1,312.3,58.3,5.4,1,0.5,17.3,18.4,29.8,195.9,1.56,0.5,6.1,9.31,25.9,116.4,0.63,4.5,6.13,4.94,39.6,1.81,33.5,7.7,-1.3
15,Tennessee Titans,16,21.2,359.8,65.8,5.5,1.19,0.31,20.4,26.2,39.9,279.3,1.75,0.88,6.6,12.8,23.5,80.5,0.56,3.4,5.69,6.94,50.7,1.88,33.9,10.6,-3.53
