Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_pas_yds,ovr_ex_pas_td,ovr_ex_rus_yds,ovr_ex_rus_td,fmb_scrim,Int_pas,ex_ppd,home_away
Matt Ryan,QB,IND,DEN,6.725868708971554,20,225.89999999999998,0.8,2.898687089715536,0,2.2,1.4,0.3362934354485777,Away
Russell Wilson,QB,DEN,IND,15.592269982238014,25,233.4,1.1,13.562699822380106,0.25,0.2,0.6,0.6236907992895205,Home
Justin Herbert,QB,LAC,CLE,16.64382945736434,34,262.65,1.75,1.378294573643411,0,0.25,0.5,0.48952439580483353,Away
Josh Allen,QB,BUF,PIT,25.563229437229438,40,279.15,2.125,48.97229437229437,0.625,1,0.75,0.639080735930736,Home
Jared Goff,QB,DET,NE,18.46560975609756,29,246.25,2.375,3.65609756097561,0,0.25,0.75,0.6367451640033641,Away
Jalen Hurts,QB,PHI,ARI,23.031,38,267.9,1.5,39.15,0.65,0.5,0.5,0.606078947368421,Away
Patrick Mahomes,QB,KC,LV,20.112324786324784,38,265.15,2.25,15.063247863247863,0,0.25,0.5,0.5292717049032838,Home
Joe Burrow,QB,CIN,BAL,19.506547486033522,35,295.05,2,22.045474860335197,0,0.75,1,0.5573299281723864,Away
Tom Brady,QB,TB,ATL,16.740000000000002,28,262.25,1.625,0,0,0,0.25,0.597857142857143,Home
Derek Carr,QB,LV,KC,17.771398230088494,30,261.65,2,13.053982300884956,0,0.5,1,0.5923799410029498,Away
Geno Smith,QB,SEA,NO,15.925686411149826,22,231.4,1.125,16.696864111498257,0.25,0.25,0.5,0.7238948368704466,Away
Tua Tagovailoa,QB,MIA,NYJ,15.81412481962482,31,238.3,1.875,0.3212481962481962,0,0.25,0.75,0.5101330586975749,Away
Kirk Cousins,QB,MIN,CHI,12.20772193877551,28,213.15,1.125,6.817219387755102,0,0.25,1,0.4359900692419825,Home
Carson Wentz,QB,WAS,TEN,18.57326368159204,27,265.9,2.25,16.872636815920398,0,0.75,1.25,0.6878986548737792,Home
Matthew Stafford,QB,LAR,DAL,9.871912408759124,26,212.4,0.875,3.759124087591241,0,0.5,1.5,0.37968893879842786,Home
Kyler Murray,QB,ARI,PHI,17.156910714285715,33,212.4,1.25,21.60910714285714,0.5,0.5,0.5,0.5199063852813853,Home
Trevor Lawrence,QB,JAX,HOU,13.963776518585675,26,238.4,1.5,9.277765185856754,0,1,0.5,0.5370683276379106,Home
Aaron Rodgers,QB,GB,NYG,11.973896551724138,27,212.55,1.25,2.2189655172413794,0,0.5,0.75,0.443477650063857,Home
Davis Mills,QB,HOU,JAX,13.27,20,231.75,1.25,0,0,0,1,0.6635,Away
Joe Flacco,QB,NYJ,MIA,15.890628571428572,23,299.8,1.835,2.186285714285714,0,1.33,1,0.6908968944099378,Home
Lamar Jackson,QB,BAL,CIN,23.13869014084507,38,232.55,1.75,63.3669014084507,0.3333333333333333,0.25,1,0.6089128984432913,Home
Jameis Winston,QB,NO,SEA,14.324580717488791,24,280,1.54,6.345807174887892,0,1,1.67,0.5968575298953663,Home
Jacoby Brissett,QB,CLE,LAC,17.496511021279844,22,223.65,1.625,15.862253069941271,0.1607142857142857,0,0.5,0.7952959555127201,Home
Mac Jones,QB,NE,DET,17.713081712062255,24,270.65,1.21,14.070817120622568,0.495,0.33,1.67,0.7380450713359273,Home
Ryan Tannehill,QB,TEN,WAS,16.82720478983382,26,227.9,1.875,5.23704789833822,0.15625,0.25,0.75,0.6472001842243778,Away
Marcus Mariota,QB,ATL,TB,12.628500000000003,25,204.55,1.125,19.465,0.3333333333333333,1.5,1,0.5051400000000001,Away
Baker Mayfield,QB,CAR,SF,8.592581516095535,20,174.05,0.75,8.805815160955348,0.25,1.5,0.75,0.42962907580477677,Home
Cooper Rush,QB,DAL,LAR,13.837156250000001,20,216.8,1.25,1.6515624999999998,0,0,0,0.6918578125000001,Away
Mitch Trubisky,QB,PIT,BUF,10.340376156217884,20,157.05,0.625,5.583761562178829,0.25,0,0.5,0.5170188078108942,Away
Daniel Jones,QB,NYG,GB,15.271763636363637,23,162.9,0.875,40.05763636363636,0.375,0.25,0.5,0.6639897233201582,Away
Jimmy Garoppolo,QB,SF,CAR,13.774217294900222,24,206.65,1.125,2.6571729490022173,0.28875,0.33,0.33,0.5739257206208426,Away
Justin Fields,QB,CHI,MIN,12.388003666102652,21,190.65,0.625,31.995036661026504,0.34375,1,1,0.5899049364810787,Away
Zach Wilson,QB,NYJ,MIA,16.665714285714287,23,275.65,1.5,16.397142857142857,0,0,2,0.7245962732919256,Home
Andy Dalton,QB,NO,SEA,14.05717488789238,20,255,1.375,3.571748878923767,0,1,0,0.702858744394619,Home
Trey Lance,QB,SF,CAR,10.51390613451589,20,154.5,0.625,33.33906134515891,0,0.5,0.5,0.5256953067257946,Away
Teddy Bridgewater,QB,MIA,NYJ,10.992746031746032,25,157.15,1.125,7.067460317460318,0,0,0.5,0.43970984126984125,Away
Dak Prescott,QB,DAL,LAR,10.704125000000001,31,191.65,0.75,10.38125,0,0,1,0.34529435483870974,Away
Kenny Pickett,QB,PIT,BUF,15.311940390544706,20,135.4,0.375,13.959403905447072,2,1,3,0.7655970195272352,Away
Bailey Zappe,QB,NE,DET,13.066,23,189.15,1.375,0,0,0,0,0.5680869565217391,Home
