Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_rec,ovr_ex_rec_yds,ovr_ex_rec_td,fmb_scrim,ex_ppd,home_away
Tyler Boyd,WR,CIN,BAL,10.214041605667859,19,3.1897233201581026,56.191799455888074,0.5,0,0.5375811371404137,Away
Mack Hollins,WR,LV,KC,11.555241471434442,16,4.875,71.17741471434442,0.3333333333333333,0,0.7222025919646526,Away
Tyreek Hill,WR,MIA,NYJ,16.153899287377442,29,7.139893617021277,104.17285812200137,0.4444444444444444,0.25,0.557031009909567,Away
Cooper Kupp,WR,LAR,DAL,17.057466113040206,40,9.568867924528302,88.35532150776054,0.65625,0.25,0.4264366528260052,Home
Courtland Sutton,WR,DEN,IND,12.691002957438602,18,5.943564356435643,80.6922077922078,0.275,0,0.7050557198577001,Home
Stefon Diggs,WR,BUF,PIT,18.01889492688963,34,7.092756183745584,93.72516835016836,0.8500000000000001,0,0.529967497849695,Home
A J Brown,WR,PHI,ARI,15.455621689540981,27,6.753048780487805,98.29097299297078,0.375,0,0.5724304329459623,Away
Jaylen Waddle,WR,MIA,NYJ,14.73995490207516,27,4.836702127659574,83.21603838245373,0.6666666666666666,0,0.5459242556324133,Away
Justin Jefferson,WR,MIN,CHI,13.352575203252032,35,5.642,82.81575203252032,0.375,0,0.3815021486643438,Home
Deebo Samuel,WR,SF,CAR,10.240514288635548,25,5.443548387096774,65.18740095087162,0.3333333333333333,0.5,0.4096205715454219,Away
Marquise Brown,WR,ARI,PHI,13.642103289473685,19,6.484375,73.99915789473684,0.5,0,0.7180054362880887,Home
Chris Olave,WR,NO,SEA,12.526816496441572,20,4.990879828326181,87.3137658227848,0.30000000000000004,0.25,0.6263408248220786,Home
Christian Kirk,WR,JAX,HOU,14.21143604627807,24,4.806818181818182,84.33026955368979,0.5625,0,0.5921431685949196,Home
Travis Kelce,TE,KC,LV,14.704527531280497,32,6.366255144032921,78.39581777445855,0.6136363636363636,0,0.45951648535251555,Home
Amon Ra St Brown,WR,DET,NE,16.286213468969073,30,7.2585193133047206,74.75135630498534,0.8636363636363636,0,0.5428737822989691,Away
Tee Higgins,WR,CIN,BAL,14.42624889971719,27,5.316205533596838,87.68146132918773,0.5,0,0.5343055148043404,Away
Tyler Lockett,WR,SEA,NO,9.338864309426572,16,5.889705882352941,68.94011368250102,0,0.25,0.5836790193391608,Away
Ja Marr Chase,WR,CIN,BAL,13.978784696352667,32,6.645256916996047,81.56156237854644,0.5,0.25,0.43683702176102085,Away
CeeDee Lamb,WR,DAL,LAR,14.901565335753176,26,6.506578947368421,78.98275862068965,0.625,0,0.5731371282981991,Away
Davante Adams,WR,LV,KC,17.283376852590603,28,7.455882352941176,75.55435676120015,1,0,0.6172634590210929,Away
DK Metcalf,WR,SEA,NO,9.616688459793174,22,5.017156862745098,64.83110028420626,0.1875,0.25,0.43712220271787156,Away
Michael Pittman Jr,WR,IND,DEN,10.196251681498346,17,5.7373046875,61.275993377483445,0.2,0,0.5997795106763733,Away
Noah Brown,WR,DAL,LAR,11.93538452813067,16,5.092105263157895,75.14331896551724,0.3125,0,0.7459615330081669,Away
Curtis Samuel,WR,WAS,TEN,11.973336020181334,20,6.196828358208956,59.999218410768556,0.5625,0.25,0.5986668010090667,Home
DeVonta Smith,WR,PHI,ARI,11.152730931304873,17,4.86219512195122,64.71633370329263,0.375,0,0.6560429959591102,Away
Mark Andrews,TE,BAL,CIN,13.006381053248106,31,6.552631578947368,68.66428900138058,0.4772727272727273,0,0.41956067913703565,Home
Corey Davis,WR,NYJ,MIA,11.83155136241703,18,3.6488309352517985,67.92850180505415,0.5357142857142857,0,0.6573084090231683,Home
T J Hockenson,TE,DET,NE,11.806003722326407,21,4.258583690987125,57.90348240469208,0.6477272727272727,0,0.5621906534441147,Away
Mike Williams,WR,LAC,CLE,9.62477418975981,25,3.66636690647482,54.58257403189066,0.3888888888888889,0,0.3849909675903924,Away
Terry McLaurin,WR,WAS,TEN,10.1988534179947,23,3.3367537313432836,68.42976552323057,0.28125,0,0.4434284094780304,Home
Garrett Wilson,WR,NYJ,MIA,12.28365194548848,20,4.865107913669065,66.3681227436823,0.5357142857142857,0,0.6141825972744239,Home
Tyler Higbee,TE,LAR,DAL,8.324652763251475,15,5.923584905660377,53.62860310421286,0,0,0.5549768508834316,Home
Rashod Bateman,WR,BAL,CIN,9.33348760175446,15,3.0032894736842106,64.22751955821445,0.3181818181818182,0.25,0.6222325067836306,Home
Josh Reynolds,WR,DET,NE,9.993226593080184,13,4.021995708154506,53.91319648093841,0.4318181818181818,0,0.7687097379292449,Away
Dallas Goedert,TE,PHI,ARI,10.250043312308817,22,4.321951219512195,58.39067702552719,0.375,0,0.46591105965040075,Away
Jerry Jeudy,WR,DEN,IND,9.301406712099782,15,2.869306930693069,45.66753246753247,0.55,0,0.6200937808066521,Home
Mike Evans,WR,TB,ATL,17.087295929683634,28,5.259603773584906,79.57494042891183,1.0833333333333333,0,0.61026056891727265,Home
Drake London,WR,ATL,TB,13.824808020708574,18,6.026223776223777,63.11696132596685,0.75,0,0.7680448900393652,Away
Amari Cooper,WR,CLE,LAC,13.959795307193579,19,5.548780487804878,63.104050632911395,0.8125,0,0.7347260687996621,Home
Nelson Agholor,WR,NE,DET,9.936455176767677,13,3.853535353535354,65.096875,0.41666666666666663,0.5,0.7643427059052059,Home
JuJu Smith Schuster,WR,KC,LV,6.779753793292089,17,4.652263374485597,54.536221060492906,0,0.5,0.39880904666424055,Home
Pat Freiermuth,TE,PIT,BUF,9.159219008264463,13,4.352272727272727,51.080826446280994,0.3125,0,0.7045553083280356,Away
Adam Thielen,WR,MIN,CHI,7.899662601626017,18,4.2315000000000005,46.58912601626016,0.1875,0,0.4388701445347787,Home
Diontae Johnson,WR,PIT,BUF,7.022530532598714,16,5.561237373737374,47.41911845730027,0,0.25,0.43890815828741964,Away
Brandin Cooks,WR,HOU,JAX,9.706539306104524,16,4.886363636363637,57.633574879227055,0.25,0,0.6066587066315328,Away
Gerald Everett,TE,LAC,CLE,8.430984633705338,15,3.258992805755396,44.681548974943055,0.3888888888888889,0,0.5620656422470225,Away
Greg Dortch,WR,ARI,PHI,8.21995230263158,11,4.5390625,44.50421052631579,0.25,0,0.7472683911483254,Home
Romeo Doubs,WR,GB,NYG,7.72086358392173,13,4.056866952789699,41.924301075268815,0.41666666666666663,0.5,0.5939125833785946,Home
David Njoku,TE,CLE,LAC,10.003106915714728,16,4.9939024390243905,55.68655696202532,0.40625,0.25,0.6251941822321705,Home
