Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_rec,ovr_ex_rec_yds,ovr_ex_rec_td,ovr_ex_rus_yds,ovr_ex_rus_td,fmb_scrim,ex_ppd,home_away
Saquon Barkley,RB,NYG,GB,16.29293807798779,37,3.9705882352941178,29.537634408602152,0,96.03880519480519,0.375,0.25,0.44034967778345385,Away
Nick Chubb,RB,CLE,LAC,15.782735868770908,38,1.6646341463414633,10.240569620253165,0,91.0493326214629,0.8035714285714286,0,0.41533515444133967,Home
Josh Jacobs,RB,LV,KC,13.21104233435242,19,3.4411764705882355,23.447903822441432,0,66.4566371681416,0.5,0.25,0.6953180175974958,Away
Aaron Jones,RB,GB,NYG,12.94842592803003,27,2.5622317596566524,18.501376344086022,0.20833333333333331,80.67172413793102,0.16666666666666666,0.25,0.4795713306677789,Home
Christian McCaffrey,RB,CAR,SF,14.716178622199077,37,5.4921875,34.01159638554217,0.1875,59.4392523364486,0.25,0,0.3977345573567318,Home
Derrick Henry,RB,TEN,WAS,14.160579938531953,37,2.1941176470588237,27.38337830545062,0,80.12683284457478,0.46875,0.25,0.3827183767170798,Away
Miles Sanders,RB,PHI,ARI,11.649123774658214,21,2.1609756097560977,8.515307066222716,0,67.92105263157895,0.4875,0,0.5547201797456293,Away
Jonathan Taylor,RB,IND,DEN,12.876756118548208,36,2.0654296875,9.520281456953644,0,91.42013129102844,0.375,0.25,0.35768766995967244,Away
Cordarrelle Patterson,RB,ATL,TB,11.385758399059505,20,1.3391608391608392,7.643922651933702,0,69.51785714285714,0.5,0,0.5692879199529752,Away
Dameon Pierce,RB,HOU,JAX,13.65909479925109,20,2.4431818181818183,11.569565217391304,0,77.80547368421051,0.75,0.5,0.6829547399625545,Away
Khalil Herbert,RB,CHI,MIN,16.000400878690666,21,2.4117647058823533,17.124358974358973,0,68.945826283135915,1.03125,0,0.7619238513662222,Away
Joe Mixon,RB,CIN,BAL,15.471326960999466,23,4.5187747035573125,32.26855810338127,0,62.35083798882682,0.625,0,0.6726663896086724,Away
Leonard Fournette,RB,TB,ATL,14.639471204249283,22,3.9471698113207547,28.252660841938045,0.2708333333333333,82.15620214395099,0,0,0.6654305092840583,Home
Austin Ekeler,RB,LAC,CLE,18.21780770621094,27,5.49955035971223,39.77334851936219,0.19444444444444445,48.24031007751938,1,0.25,0.6747336187485534,Away
Dalvin Cook,RB,MIN,CHI,13.418600506056082,29,1.8135,9.941260162601626,0,100.17724489795918,0.3333333333333333,0.25,0.46271036227779594,Home
Clyde Edwards Helaire,RB,KC,LV,16.397350518154184,21,3.1831275720164607,28.53412994772218,0.6136363636363636,48.95555555555555,0.5625,0,0.7808262151501992,Home
Jeff Wilson Jr,RB,SF,CAR,9.757256057037335,17,2.116935483870968,15.369387216059165,0,63.49349593495934,0.21875,0.25,0.5739562386492549,Away
Rashaad Penny,RB,SEA,NO,10.91946439607898,17,0.8725490196078431,3.652456354039789,0,76.17944250871079,0.5,0.25,0.6423214350634695,Away
D Andre Swift,RB,DET,NE,13.563121403627354,26,2.5267596566523602,22.788966275659824,0.28500000000000003,70.37987804878048,0.21214285714285716,0,0.521658515524129,Away
Jamaal Williams,RB,DET,NE,13.349000189437703,26,1.1829399141630903,6.650476539589443,0,63.06768292682927,0.9642857142857143,0,0.5134230842091424,Away
James Robinson,RB,JAX,HOU,16.488944488075326,28,1.4420454545454544,8.505192222713212,0.1875,82.92402538531277,1,0.25,0.5888908745741188,Home
Melvin Gordon III,RB,DEN,IND,6.509346243682984,19,2.2544554455445547,18.963636363636365,0,35.857548845470696,0.25,0.8,0.34259717072015705,Home
Breece Hall,RB,NYJ,MIA,12.989959201509345,18,3.6488309352517985,29.43915162454874,0.26785714285714285,48.64485714285714,0.375,0.25,0.7216644000838525,Home
AJ Dillon,RB,GB,NYG,8.74472760323424,19,1.9216738197424892,15.767182795698925,0,52.07172413793103,0.16666666666666666,0,0.46024882122285476,Home
Damien Harris,RB,NE,DET,15.587073648695124,23,1.926767676767677,8.3828125,0,70.35408560311285,1.125,0,0.6776988542910923,Home
Antonio Gibson,RB,WAS,TEN,11.282696734251022,17,3.098414179104478,27.700369083803736,0,47.13452736318408,0.375,0,0.6636880431912366,Home
Kareem Hunt,RB,CLE,LAC,10.919235767816106,21,3.051829268292683,20.25972151898734,0.40625,39.65563267485317,0.1607142857142857,0,0.5199636079912432,Home
Devin Singletary,RB,BUF,PIT,9.433115306693045,18,3.889575971731449,32.59604377104377,0.21250000000000002,34.537229437229435,0,0.25,0.5240619614829469,Home
Rhamondre Stevenson,RB,NE,DET,11.457482030912235,22,3.0277777777777777,16.534375000000004,0,60.40155642023346,0.375,0,0.5207946377687379,Home
Ezekiel Elliott,RB,DAL,LAR,8.308200204174229,16,1.4144736842105263,7.404633620689655,0,53.605,0.25,0,0.5192625127608893,Away
Najee Harris,RB,PIT,BUF,9.882143024659378,19,2.4179292929292933,10.98512396694215,0.3125,46.996659815005145,0.25,0.25,0.5201127907715462,Away
James Conner,RB,ARI,PHI,7.922208395989976,23,2.809895833333333,20.76863157894737,0,34.40397321428571,0.25,0.25,0.34444384330391203,Home
Tony Pollard,RB,DAL,LAR,8.264948389292197,15,1.9802631578947367,19.526293103448275,0,38.221875,0.25,0,0.5509965592861464,Away
Michael Carter,RB,NYJ,MIA,7.3624514243046,14,3.6488309352517985,22.885559566787006,0,37.4948,0,0.25,0.5258893874503286,Home
Travis Etienne Jr,RB,JAX,HOU,7.161046688530447,20,1.9227272727272728,20.927927529827663,0,46.06890299184044,0,0.25,0.35805233442652235,Home
Raheem Mostert,RB,MIA,NYJ,6.642212047055571,19,1.3819148936170214,12.224811514736121,0,47.28773448773448,0,0,0.3495901077397669,Away
David Montgomery,RB,CHI,MIN,8.570167852120674,24,3.2221176470588238,23.511282051282052,0,46.07980823463057,0,0,0.35709032717169475,Away
J D McKissic,RB,WAS,TEN,7.377946562508776,13,4.528451492537313,33.39372557533652,0,17.743482587064676,0,0,0.5675343509622135,Home
Eno Benjamin,RB,ARI,PHI,5.11710352443609,12,1.9453125,15.096526315789475,0,26.34794642857143,0,0,0.4264252937030075,Home
Darrell Henderson Jr,RB,LAR,DAL,7.934111552133914,14,1.8226415094339623,8.3519955654102,0,51.87591240875913,0.16666666666666666,0,0.566722253723851,Home
Tyler Allgeier,RB,ATL,TB,5.144924248127563,12,0.8972377622377623,9.096267955801107,0,37.86678571428571,0,0,0.4287436873439636,Away
Chase Edmonds,RB,MIA,NYJ,11.726085959330604,15,1.8425531914893618,14.844413982179574,0.2222222222222222,27.37034632034632,0.875,0,0.7817390639553736,Away
Rex Burkhead,RB,HOU,JAX,7.333492009338235,12,3.909090909090909,26.567149758454107,0.25,12.222315789473685,0,0,0.6111243341115196,Away
Mark Ingram II,RB,NO,SEA,5.840668714862449,14,1.4259656652360515,4.428204113924051,0,38.09865470852018,0.3125,0.5,0.41719062249017497,Home
Justice Hill,RB,BAL,CIN,3.558442804183836,11,1.0921052631578947,5.017774965485504,0,25.10612676056338,0,0,0.3234948003803487,Home
Isiah Pacheco,RB,KC,LV,3.9825854700854695,14,0,0,0,32.9508547008547,0.28125,0.5,0.28447039072039065,Home
Cam Akers,RB,LAR,DAL,5.559217454608972,18,0.4556603773584906,3.9562084257206207,0,44.35766423357664,0.16666666666666666,0.25,0.3088454141449429,Home
Nyheim Hines,RB,IND,DEN,3.6070431645521475,12,3.3046875,20.425331125827817,0,3.121663019693654,0,0.2,0.30058693037934564,Away
Dontrell Hilliard,RB,TEN,WAS,12.622046823623315,12,2.9291470588235295,43.597220723151644,1.0050000000000001,7.677512218963832,0,0,1.051837235301943,Away
Alvin Kamara,RB,NO,SEA,7.131053379995816,24,2.3766094420600856,9.898338607594937,0,59.52914798206278,0,0.5,0.29712722416649234,Home
Mike Boone,RB,DEN,IND,2.712298269410803,17,1.0247524752475248,11.223376623376623,0,10.775843694493783,0,0,0.15954695702416488,Home
Alexander Mattison,RB,MIN,CHI,7.10622737265638,15,1.0075,7.792936991869919,0.1875,26.98183673469388,0.3333333333333333,0,0.47374849151042536,Home
Zack Moss,RB,BUF,PIT,3.1695450530035334,12,1.601590106007067,6.232954545454545,0,22.454545454545453,0,0.25,0.2641287544169611,Home
J K Dobbins,RB,BAL,CIN,10.17393803724945,16,3.276315789473684,20.599286700414176,0.3181818181818182,25.667605633802815,0.3333333333333333,0,0.6358711273280906,Home
Craig Reynolds,RB,DET,NE,2.3726857257688474,11,0.7097639484978541,6.650476539589443,0,13.527560975609758,0,0,0.21569870234262248,Away
Deon Jackson,RB,IND,DEN,2.184723963692089,13,0.734375,5.01978476821192,0,13.155579868708973,0,0,0.1680556895147761,Away
Jerick McKinnon,RB,KC,LV,3.9930619794325293,15,1.4691358024691357,7.7908887229275585,0.20454545454545453,12.521324786324787,0,0,0.26620413196216863,Home
Kenneth Gainwell,RB,PHI,ARI,3.9932675895702823,12,1.0804878048780489,5.109184239733629,0,9.921052631578947,0.325,0,0.3327722991308569,Away
Kenneth Walker III,RB,SEA,NO,3.313032532391466,12,1.7450980392156863,4.264242793341453,0,20.140592334494777,0,0,0.27608604436595546,Away
Latavius Murray,RB,DEN,NO,15.871321651957127,15,0.9702970297029703,7.523809523809524,0,60.08792184724689,1.4375,0,1.058088110130475,Home
Caleb Huntley,RB,ATL,TB,4.412678571428572,11,0,0,0,24.126785714285713,0.3333333333333333,0,0.4011525974025974,Away
Jonathan Williams,RB,WAS,TEN,1.46955223880597,12,0,0,0,14.6955223880597,0,0,0.12246268656716418,Home
Brandon Bolden,RB,LV,KC,5.0644177186495,11,1.9155882352941176,8.337032470201397,0.44000000000000006,6.329203539823009,0,0,0.46040161078631814,Away
Chuba Hubbard,RB,CAR,SF,0.11640706126687439,12,0,0,0,6.164070612668743,0,0.25,0.0097005884389062,Home
D Onta Foreman,RB,CAR,SF,0.35223260643821397,12,0,0,0,3.5223260643821392,0,0,0.029352717203184497,Home
Brian Robinson Jr,RB,WAS,TEN,0,13,0,0,0,0,0,0,0,Home
