Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_pas_yds,ovr_ex_pas_td,ovr_ex_rus_yds,ovr_ex_rus_td,fmb_scrim,Int_pas,games,ex_ppd,home_away
Matt Ryan,QB,IND,TEN,14.43347311827957,24,290.9,1.865,1.674731182795699,0,1.83,1.17,6,0.6013947132616487,Away
Patrick Mahomes,QB,KC,SF,16.85430046948357,35,228.8,1.75,17.123004694835682,0,0.17,0.67,6,0.4815514419852448,Away
Justin Herbert,QB,LAC,SEA,16.715146624472574,35,265.5,1.585,5.951466244725738,0,0.17,0.5,6,0.47757561784207353,Home
Kyler Murray,QB,ARI,NO,17.49650697292863,35,227.7,1.2149999999999999,37.7850697292863,0.29,0.71,0.57,7,0.4999001992265322,Home
Tom Brady,QB,TB,CAR,15.126000000000001,28,249.4,1.33,0,0,0,0.17,6,0.5402142857142858,Away
Joe Burrow,QB,CIN,ATL,21.13761348314607,33,275.25,1.835,19.842134831460676,0.43889999999999996,0.5,0.83,6,0.6405337419135172,Home
Geno Smith,QB,SEA,LAC,18.277856798069188,30,237.55,1.665,20.858567980691873,0.17,0.33,0.33,6,0.609261893268973,Away
Carson Wentz,QB,WAS,GB,11.518366492146596,24,206.1,1.17,15.943664921465967,0,1,1,6,0.4799319371727748,Home
Russell Wilson,QB,DEN,NYJ,16.32461013034153,26,224.05,1.08,15.644283121597097,0.38636363636363635,0.17,0.5,6,0.6278696203977512,Home
Aaron Rodgers,QB,GB,WAS,14.101764513491414,26,227.65,1.75,1.5576451349141456,0,0.83,0.5,6,0.5423755582112082,Away
Trevor Lawrence,QB,JAX,NYG,14.582696342355524,25,213.65,1.335,13.899963423555231,0.21945,0.67,0.67,6,0.583307853694221,Home
Jared Goff,QB,DET,DAL,14.303361955085863,26,227.25,1.6,4.133619550858652,0,0.4,0.8,5,0.5501293059648409,Away
Jacoby Brissett,QB,CLE,BAL,16.258650849463866,25,244.35,1.415,14.992616279069766,0.13589820359281438,0.33,0.83,6,0.6503460339785546,Away
Derek Carr,QB,LV,HOU,14.930672158154863,28,252.60000000000002,1.2000000000000002,16.2667215815486,0,0.4,0.8,5,0.5332382913626736,Home
Lamar Jackson,QB,BAL,CLE,24.481623941947298,40,221.3,1.75,69.35594091201028,0.6156716417910448,0.5,1,6,0.6120405985486824,Home
Jimmy Garoppolo,QB,SF,KC,17.543370967741932,24,248.3,1.95,3.113709677419355,0.15000000000000002,0.4,0.6,4.75,0.7309737903225805,Home
Marcus Mariota,QB,ATL,CIN,13.369324518924431,25,196.9,0.915,29.711440677966102,0.31203007518796994,1.17,0.67,6,0.5347729807569772,Away
Davis Mills,QB,HOU,LV,13.352806451612905,23,232.8,1.6,0.4080645161290323,0,0.8,0.8,5,0.5805568022440394,Away
Tua Tagovailoa,QB,MIA,PIT,17.513003694581283,32,268.3,2,0.31003694581280783,0,0.25,0.75,4,0.5472813654556651,Home
Daniel Jones,QB,NYG,JAX,16.399891577102267,25,207.35,1.08,30.415306748466257,0.28906015037593985,0.33,0.33,6,0.6559956630840906,Away
Cooper Rush,QB,DAL,DET,12.440538720538722,22,215.5,1.215,1.2053872053872055,0,0.33,0.5,5.75,0.5654790327517601,Home
Ryan Tannehill,QB,TEN,IND,13.574719844357977,23,197.85,1.2650000000000001,5.0071984435797665,0.18333333333333335,0.2,0.6,5,0.5902052106242599,Home
Baker Mayfield,QB,CAR,TB,11.197720930232558,20,192.85000000000002,1.15,8.837209302325583,0.2,1.2,0.8,5,0.5598860465116279,Home
Andy Dalton,QB,NO,ARI,15.92119014084507,21,247.55,1.73,5.991901408450704,0,0.25,1,4,0.7581519114688129,Away
Joe Flacco,QB,NYJ,DEN,10.571573622402891,20,242.4,1.085,1.955736224028907,0,1.33,1,3,0.5285786811201445,Away
Justin Fields,QB,CHI,NE,13.143025331554691,20,181.8,1.085,39.882542472173405,0.11879518072289158,1.17,0.83,6,0.6571512665777346,Away
Jameis Winston,QB,NO,ARI,13.758240492957748,26,272.3,1.52,4.562404929577465,0,1,1.67,3,0.5291630958829903,Away
Mitch Trubisky,QB,PIT,MIA,14.89325238857615,20,208.05,1.135,6.402076124567474,0.29850746268656714,0,0.4,4.75,0.7446626194288075,Away
Mac Jones,QB,NE,CHI,12.649021932210571,20,220.35,0.67,13.784805788271136,0.3510902255639098,0.33,1.67,3,0.6324510966105286,Home
Bailey Zappe,QB,NE,CHI,11.218,21,188.7,1,0,0,0,0.33,2.75,0.5341904761904762,Home
Zach Wilson,QB,NYJ,DEN,10.442901318336492,22,187.6,0.41500000000000004,5.86720867208672,0.22703007518796992,0,0.67,3,0.47467733265165873,Away
Teddy Bridgewater,QB,MIA,PIT,13.567077586206898,26,204.15,1.375,6.510775862068966,0,0,0.75,3.25,0.521810676392573,Home
Kenny Pickett,QB,PIT,MIA,18.082214532871973,21,214,1,15.122145328719723,1,0.33,1.33,2.75,0.8610578348986654,Away
Skylar Thompson,QB,MIA,PIT,11.164066502463054,20,202.65,1,5.580665024630542,0,0.5,0.5,1.75,0.5582033251231527,Home
Trey Lance,QB,SF,KC,13.657479838709678,20,181.5,1.25,28.974798387096776,0,0.5,0.5,2,0.6828739919354839,Home
Dak Prescott,QB,DAL,DET,11.425925925925927,32,197.5,0.8,13.25925925925926,0,0,1,1,0.35706018518518523,Home
P J Walker,QB,CAR,TB,8.066,20,126.65,0.75,0,0,0,0,1.75,0.40330000000000005,Home
Jordan Love,QB,GB,WAS,9.16,20,129,1,0,0,0,0,1.5,0.458,Away
Brian Hoyer,QB,NE,CHI,5.654,20,107.85,0.335,0,0,0,0,1,0.2827,Home
Trace McSorley,QB,ARI,NO,9.455844134536505,20,114.65,0.715,20.098441345365053,0,0,0,0.75,0.47279220672682526,Home
Tyrod Taylor,QB,NYG,JAX,7.091779141104295,20,127.75,0.665,23.217791411042946,0,1,1,0.75,0.35458895705521476,Away
Malik Willis,QB,TEN,IND,6.575634241245137,20,104.35,0.665,17.416342412451364,0,1,0,0.75,0.3287817120622568,Home
Colt McCoy,QB,ARI,NO,7.2059999999999995,20,108.65,0.715,0,0,0,0,0,0.36029999999999995,Home
Joshua Dobbs,QB,CLE,BAL,9.014,20,133.85,0.915,0,0,0,0,0,0.4507,Away
Kellen Mond,QB,CLE,BAL,9.014,20,133.85,0.915,0,0,0,0,0,0.4507,Away
Tyler Huntley,QB,BAL,CLE,7.256,20,114.9,0.665,0,0,0,0,0,0.3628,Home
Blaine Gabbert,QB,TB,CAR,7.13,20,111.75,0.665,0,0,0,0,0,0.3565,Away
Kyle Trask,QB,TB,CAR,7.13,20,111.75,0.665,0,0,0,0,0,0.3565,Away
Sam Darnold,QB,CAR,TB,6.866,20,96.65,0.75,0,0,0,0,0,0.3433,Home
