Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_rec,ovr_ex_rec_yds,ovr_ex_rec_td,ovr_ex_rus_yds,ovr_ex_rus_td,fmb_scrim,ex_ppd,home_away
Isiah Pacheco,RB,KC,BUF,2.7537653239929947,11,0,0,0,23.537653239929945,0.2,0.4,0.2503423021811813,Home
Nyheim Hines,RB,IND,JAX,3.726553999956527,16,3.20625,22.330132450331128,0,2.904157549234135,0,0.2,0.23290962499728293,Home
Rachaad White,RB,TB,PIT,5.096572670584515,12,1.822695035460993,17.500736377025035,0,10.351515151515152,0.30000000000000004,0.2,0.42471438921537624,Away
Zack Moss,RB,BUF,KC,2.36472203130966,12,1.4362962962962962,4.83,0,15.63573883161512,0,0.2,0.19706016927580502,Away
Mike Boone,RB,DEN,LAC,2.9782659325562095,14,1.099009900990099,11.770735930735931,0,12.516873889875665,0,0,0.2127332808968721,Away
Darrel Williams,RB,ARI,SEA,4.251901315673393,13,0.3412587412587412,0.6277544154751892,0,23.384965034965035,0.28,0,0.3270693319748764,Away
Kyle Juszczyk,RB,SF,ATL,3.882773868782514,11,1.09,20.55064935064935,0,1.8270893371757926,0.18333333333333335,0,0.3529794426165922,Away
Kenneth Gainwell,RB,PHI,DAL,3.330666085022667,12,0.8296296296296296,3.6665127020785224,0,12.492,0.21666666666666667,0,0.27755550708522225,Home
Deon Jackson,RB,IND,JAX,2.1289363579057197,13,0.7125,5.487913907284768,0,12.23894967177243,0,0,0.1637643352235169,Home
Brian Robinson Jr,RB,WAS,CHI,11.548952879581151,18,0,0,0,55.489528795811516,1,0,0.641608493310064,Away
Kenyan Drake,RB,BAL,NYG,2.916217142528245,11,0.6558947368421053,5.1581472569778635,0,20.724550484094053,0,0,0.2651106493207495,Away
Tevin Coleman,RB,SF,ATL,11.35102279744751,11,2.04375,26.285714285714285,0.65,10.505763688760807,0.45833333333333337,0,1.031911163404319,Away
Latavius Murray,RB,DEN,LAC,18.011812701950227,15,1.099009900990099,8.11774891774892,0,61.50532859680284,1.75,0,1.2007875134633486,Away
Phillip Lindsay,RB,IND,JAX,6.809402873078094,13,2.671875,13.246688741721854,0,41.48796498905908,0,0,0.5238002210060072,Home
Gus Edwards,RB,BAL,NYG,0,12,0,0,0,0,0,0,0,Away
