Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Matt Ryan,IND,37,QB,5,5,2-2-1,25.6,39,65.6,275.2,1,2.6,1.4,3.6,13.8,44,7.1,6,10.8,275.2,79.8,,4.2,33.6,9.7,5.59,4.6,0.6,0.4
2,Russell Wilson,DEN,34,QB,5,5,2-3-0,20.2,34,59.4,250.8,0.8,2.4,0.6,1.8,10,67,7.4,7.1,12.4,250.8,82.8,,3.2,19.8,8.6,6.21,5.91,0.4,0.4
3,Justin Herbert,LAC,24,QB,4,4,2-2-0,27.8,41.5,66.9,312.5,2.25,5.4,0.5,1.2,13.8,54,7.5,8.1,11.3,312.5,102.2,,1,5.25,2.4,7.23,7.76,,
4,Josh Allen,BUF,26,QB,4,4,3-1-0,28.3,42,67.3,306.8,2.5,6,0.75,1.8,15.8,53,7.3,7.7,10.9,306.8,101,,2,9.75,4.5,6.75,7.12,0,0.25
5,Jared Goff,DET,28,QB,4,4,1-3-0,23,37.8,60.9,281.5,2.75,7.3,0.75,2,14,81,7.5,8,12.2,281.5,99.9,,1.25,10.3,3.2,6.96,7.5,,
6,Jalen Hurts,PHI,24,QB,4,4,4-0-0,20.5,30.8,66.7,280,1,3.3,0.5,1.6,12.3,54,9.1,9,13.7,280,99.6,,2.25,9.75,6.8,8.19,8.11,,
7,Patrick Mahomes,KAN,27,QB,4,4,3-1-0,24.3,36.5,66.4,276.5,2.75,7.5,0.5,1.4,15.5,53,7.6,8.5,11.4,276.5,108.4,,1.25,8.75,3.3,7.09,7.95,0,0
8,Joe Burrow,CIN,26,QB,4,4,2-2-0,25,39,64.1,274.8,2,5.1,1,2.6,14.3,59,7,6.9,11,274.8,91.3,,4,23.3,9.3,5.85,5.73,0.25,0.25
9,Tom Brady,TAM,45,QB,4,4,2-2-0,26.5,38.8,68.4,264.5,1.5,3.9,0.25,0.6,13.8,48,6.8,7.3,10,264.5,97.7,,1.75,12.8,4.3,6.22,6.68,0,0.25
10,Derek Carr,LVR,31,QB,4,4,1-3-0,23.5,38.5,61,259.5,1.5,3.9,1,2.6,14,60,6.7,6.4,11,259.5,83.2,,2.25,14.8,5.5,6.01,5.64,,
11,Geno Smith,SEA,32,QB,4,4,2-2-0,25.5,33,77.3,259.3,1.5,4.5,0.5,1.5,12,54,7.9,8.1,10.2,259.3,108,,1.5,13,4.3,7.14,7.36,,
12,Tua Tagovailoa,MIA,24,QB,4,4,3-1-0,20,28.8,69.6,258.8,2,7,0.75,2.6,12,60,9,9.2,12.9,258.8,109.9,,1.5,13.3,5,8.12,8.32,0.5,0.5
13,Kirk Cousins,MIN,34,QB,4,4,3-1-0,24.8,39.3,63.1,257.8,1.5,3.8,1,2.5,14.5,64,6.6,6.2,10.4,257.8,84.1,,1.75,15,4.3,5.92,5.55,0.5,0.5
14,Carson Wentz,WAS,30,QB,4,4,1-3-0,26.8,43,62.2,257.8,2,4.7,1.25,2.9,13,49,6,5.6,9.6,257.8,82.3,,4.25,27.5,9,4.87,4.53,0.25,0.25
15,Matthew Stafford,LAR,34,QB,4,4,2-2-0,26.5,37.5,70.7,253.8,1,2.7,1.5,4,14,32,6.8,5.5,9.6,253.8,81.4,,4,28.3,9.6,5.43,4.29,,
16,Kyler Murray,ARI,25,QB,4,4,2-2-0,28.3,43.3,65.3,247.8,1.25,2.9,0.5,1.2,12.3,30,5.7,5.8,8.8,247.8,85.2,,1.5,11.3,3.4,5.28,5.34,0.25,0.5
17,Trevor Lawrence,JAX,23,QB,4,4,2-2-0,22,33.5,65.7,236.5,2,6,0.5,1.5,13,49,7.1,7.6,10.8,236.5,99.9,,1.5,10.3,4.3,6.46,6.96,,
18,Aaron Rodgers,GNB,39,QB,4,4,3-1-0,22.3,32.3,69,233.8,1.5,4.7,0.75,2.3,10.5,55,7.2,7.1,10.5,233.8,95.6,,2.25,17.5,6.5,6.27,6.16,0.25,0.25
19,Davis Mills,HOU,24,QB,4,4,0-3-1,22,35.5,62,227,1.25,3.5,1,2.8,9.5,58,6.4,5.8,10.3,227,80.4,,2.75,20,7.2,5.41,4.89,,
20,Joe Flacco,NYJ,37,QB,3,3,1-2-0,30.3,51.7,58.7,300.3,1.67,3.2,1,1.9,15.3,66,5.8,5.6,9.9,300.3,77.9,,3,20,5.5,5.13,4.91,0.33,0.33
21,Lamar Jackson,BAL,25,QB,4,4,2-2-0,19,29.3,65,223.3,2.75,9.4,1,3.4,9.75,75,7.6,8,11.8,223.3,105.1,,2,6,6.4,6.95,7.27,,
22,Jameis Winston,NOR,28,QB,3,3,1-2-0,24.3,38.3,63.5,286,1.33,3.5,1.67,4.3,11.7,51,7.5,6.2,11.8,286,79.5,,3.67,24.7,8.7,6.22,5.07,0.33,0.33
23,Jacoby Brissett,CLE,30,QB,4,4,2-2-0,20.5,31.8,64.6,207.5,1,3.1,0.5,1.6,10.8,42,6.5,6.5,10.1,207.5,87.1,,1.25,10,3.8,5.98,5.91,0.25,0.25
24,Mac Jones,NWE,24,QB,3,3,1-2-0,21.3,32.3,66,262,0.67,2.1,1.67,5.2,10.7,44,8.1,6.2,12.3,262,76.2,,1.67,13,4.9,7.32,5.51,,
25,Ryan Tannehill,TEN,34,QB,4,4,2-2-0,16.8,25.3,66.3,196,1.25,5,0.75,3,10.3,41,7.8,7.4,11.7,196,93.8,,1.75,12.3,6.5,6.81,6.48,,
26,Marcus Mariota,ATL,29,QB,4,4,2-2-0,14.3,24.5,58.2,194.8,0.75,3.1,1,4.1,9.5,42,7.9,6.7,13.7,194.8,76.9,,1.75,13.8,6.7,6.9,5.75,0.25,0.25
27,Baker Mayfield,CAR,27,QB,4,4,1-3-0,16,29.3,54.7,186.8,1,3.4,0.75,2.6,6.75,75,6.4,5.9,11.7,186.8,75,,2.75,20.8,8.6,5.19,4.76,,
28,Cooper Rush,DAL,29,QB,4,3,3-0-0,15.5,25.5,60.8,184.3,1,3.9,0,0,8.5,46,7.2,8,11.9,184.3,95.9,,1,5.75,3.8,6.74,7.49,0,0.5
29,Mitchell Trubisky,PIT,28,QB,4,4,1-3-0,17.3,29,59.5,163.3,0.5,1.7,0.5,1.7,8.5,36,5.6,5.2,9.5,163.3,73.7,,2,11.8,6.5,4.89,4.48,0,0.25
