,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
21,Green Bay Packers,4,18.8,377.5,64.8,5.8,1.75,1,21.3,23.3,33.5,232.5,1.5,0.75,6.5,11.5,29,145,0.75,5,8.5,4.25,35,1.25,28.3,15.2,4.02
22,Tennessee Titans,4,18.8,287.5,55,5.2,1.5,0.75,17.3,17,26.3,185.3,1.25,0.75,6.6,10.3,27,102.3,1,3.8,4.75,7.25,65.5,2.25,31,9.5,0.6
23,Denver Broncos,5,15,343.6,63.6,5.4,1.2,0.6,16.8,20.2,34,231,0.8,0.6,6.2,10,26.4,112.6,0.4,4.3,5.2,8.8,67,1.6,29.3,10.3,-3.66
24,Pittsburgh Steelers,4,18.5,278.8,58.5,4.8,1.75,0.5,17.3,19.8,32.3,181.5,0.5,1.25,5.3,10,24.3,97.3,1,4,6.25,6,39.8,1,30.4,13,-3.9
25,New England Patriots,4,18.5,341.3,60.3,5.7,2.25,1,18.5,19.8,29.5,212.8,0.75,1.25,6.7,9.5,28.5,128.5,1.25,4.5,8.25,5,40.3,0.75,28.6,21.4,-0.16
26,Houston Texans,4,18.3,302,59.3,5.1,1.25,0.25,17,22,35.5,207,1.25,1,5.4,9.5,21,95,0.5,4.5,4.75,6.5,56.5,2.75,31.3,10.4,-3.24
27,Washington Commanders,4,18.3,330.8,71.8,4.6,1.75,0.5,21,26.8,43,230.3,2,1.25,4.9,13,24.5,100.5,0.5,4.1,6,5.75,66,2,21.6,13.7,-4.09
28,Dallas Cowboys,4,17.8,312.8,60.3,5.2,0.5,0.25,17.3,19,32.8,208.8,1,0.25,6.1,10,26,104,0.5,4,5.5,6.75,52,1.75,35.6,4.4,0.41
29,San Francisco 49ers,4,17.8,324.5,59.5,5.5,1.25,0.75,17,15.5,27,189.3,0.75,0.5,6.6,7.75,30.8,135.3,1,4.4,7.25,6,47.5,2,27.3,11.4,-0.3
30,Los Angeles Rams,4,17.5,294,62,4.7,2.25,0.75,19.8,26.5,37.5,225.5,1,1.5,5.4,14,20.5,68.5,0.75,3.3,4.25,3.5,32.8,1.5,35.9,23.1,-2.02
31,Indianapolis Colts,5,13.8,333,68.6,4.9,2.2,0.8,20.2,25.6,39,241.6,1,1.4,5.6,13.8,25.4,91.4,0.2,3.6,5.2,6.2,53.4,1.2,26.3,19.3,-6.73
32,Chicago Bears,4,16,274.8,54.8,5,1.75,0.75,14.8,8.5,16.8,97.5,0.5,1,4.7,4.25,34,177.3,1,5.2,8.5,5.25,42.8,2,31.8,13.6,-1.93
