,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
1,Saquon Barkley,NYG,25,RB,4,4,4.25,3.75,26.8,7.1,0,0.25,21,3.8,26.8,88.2%,6.3,21,115.8,0.5,4.25,68,5.5,115.8,21,24.8,5.8,142.5,2,0.25
2,Nick Chubb,CLE,27,RB,4,4,2,1.5,9.25,6.2,0,0.5,15,1.5,9.3,75.0%,4.6,20.3,114.8,1.25,5.25,36,5.7,114.8,20.3,21.8,5.7,124,5,0
3,Tyreek Hill,MIA,28,WR,4,4,10.8,7.75,119.3,15.4,0.5,4.75,64,7.8,119.3,72.1%,11.1,0.5,1.25,0,0,6,2.5,1.3,0.5,8.25,14.6,120.5,2,0.25
4,Josh Jacobs,LVR,24,RB,4,4,3.25,3,22.5,7.5,0,1.5,16,3,22.5,92.3%,6.9,17.5,84,0.5,4.25,43,4.8,84,17.5,20.5,5.2,106.5,2,0.25
5,Cooper Kupp,LAR,29,WR,4,4,13.5,10.5,100.5,9.6,0.75,6.5,28,10.5,100.5,77.8%,7.4,0.25,5,0.25,0.25,20,20,5,0.3,10.8,9.8,105.5,4,0.25
6,Courtland Sutton,DEN,27,WR,5,5,9.2,5.8,83.4,14.4,0.2,3.6,51,5.8,83.4,63.0%,9.1,0.2,1,0,0,5,5,1,0.2,6,14.1,84.4,1,0
7,Aaron Jones,GNB,28,RB,4,4,4,3,20.3,6.8,0.25,1,22,3,20.3,75.0%,5.1,12,81.8,0.25,4.5,36,6.8,81.8,12,15,6.8,102,2,0.25
8,Christian McCaffrey,CAR,26,RB,4,4,5.75,4.75,34.5,7.3,0.25,1,34,4.8,34.5,82.6%,6,14.5,67.5,0.25,3.75,49,4.7,67.5,14.5,19.3,5.3,102,2,0
9,Stefon Diggs,BUF,29,WR,4,4,10.3,7.75,101.5,13.1,1,4.5,53,7.8,101.5,75.6%,9.9,,,,0,,,,,7.75,13.1,101.5,4,0
