defense,TEAM,OPP,MATCHUP,START/SIT,proj_points,ID_yah,First Name_yah,Last Name_yah,ID + Name_yah,Position_yah,Team_yah,Opponent_yah,Game_yah,Time_yah,Salary_yah,FPPG_yah,Injury Status_yah,Starting_yah
Dallas Cowboys,DAL,vs. IND,5 out of 5 stars,A+,9,nfl.t.6$nfl.g.2449008,Dallas,Cowboys,nfl.t.6$nfl.g.2449008 - Dallas Cowboys,DEF,DAL,IND,IND@DAL,8:20PM EST,23,10.6,NA,NA
Baltimore Ravens,BAL,vs. DEN,5 out of 5 stars,A,8.2,nfl.t.33$nfl.g.2448949,Baltimore,Ravens,nfl.t.33$nfl.g.2448949 - Baltimore Ravens,DEF,BAL,DEN,DEN@BAL,1:00PM EST,19,8.6,NA,NA
Seattle Seahawks,SEA,at LAR,5 out of 5 stars,A,8.2,nfl.t.26$nfl.g.2448984,Seattle,Seahawks,nfl.t.26$nfl.g.2448984 - Seattle Seahawks,DEF,SEA,LAR,SEA@LAR,4:05PM EST,20,7.4,NA,NA
Buffalo Bills,BUF,at NE,4 out of 5 stars,A-,8,nfl.t.2$nfl.g.2448942,Buffalo,Bills,nfl.t.2$nfl.g.2448942 - Buffalo Bills,DEF,BUF,NE,BUF@NE,8:15PM EST,19,8.8,NA,NA
Tampa Bay Buccaneers,TB,vs. NO,5 out of 5 stars,B+,8,nfl.t.27$nfl.g.2449011,Tampa Bay,Buccaneers,nfl.t.27$nfl.g.2449011 - Tampa Bay Buccaneers,DEF,TB,NO,NO@TB,8:15PM EST,18,7.4,NA,NA
Cleveland Browns,CLE,at HOU,5 out of 5 stars,B+,7.8,nfl.t.5$nfl.g.2448963,Cleveland,Browns,nfl.t.5$nfl.g.2448963 - Cleveland Browns,DEF,CLE,HOU,CLE@HOU,1:00PM EST,14,3.8,NA,NA
New York Jets,NYJ,at MIN,2 out of 5 stars,B,7.4,nfl.t.20$nfl.g.2448967,New York,Jets,nfl.t.20$nfl.g.2448967 - New York Jets,DEF,NYJ,MIN,NYJ@MIN,1:00PM EST,17,8.5,NA,NA
Philadelphia Eagles,PHI,vs. TEN,3 out of 5 stars,B,7.4,nfl.t.21$nfl.g.2448977,Philadelphia,Eagles,nfl.t.21$nfl.g.2448977 - Philadelphia Eagles,DEF,PHI,TEN,TEN@PHI,1:00PM EST,17,9.4,NA,NA
Washington Commanders,WAS,at NYG,3 out of 5 stars,B,7.2,nfl.t.28$nfl.g.2448972,Washington,Commanders,nfl.t.28$nfl.g.2448972 - Washington Commanders,DEF,WAS,NYG,WAS@NYG,1:00PM EST,16,7.3,NA,NA
San Francisco 49ers,SF,vs. MIA,1 out of 5 stars,B-,7.1,nfl.t.25$nfl.g.2448989,San Francisco,49ers,nfl.t.25$nfl.g.2448989 - San Francisco 49ers,DEF,SF,MIA,MIA@SF,4:05PM EST,16,9.2,NA,NA
Pittsburgh Steelers,PIT,at ATL,3 out of 5 stars,B-,7,nfl.t.23$nfl.g.2448944,Pittsburgh,Steelers,nfl.t.23$nfl.g.2448944 - Pittsburgh Steelers,DEF,PIT,ATL,PIT@ATL,1:00PM EST,12,5.7,NA,NA
Green Bay Packers,GB,at CHI,5 out of 5 stars,C+,7,nfl.t.9$nfl.g.2448954,Green Bay,Packers,nfl.t.9$nfl.g.2448954 - Green Bay Packers,DEF,GB,CHI,GB@CHI,1:00PM EST,15,5.1,NA,NA
Kansas City Chiefs,KC,at CIN,2 out of 5 stars,C,6.4,nfl.t.12$nfl.g.2448997,Kansas City,Chiefs,nfl.t.12$nfl.g.2448997 - Kansas City Chiefs,DEF,KC,CIN,KC@CIN,4:25PM EST,14,6.5,NA,NA
Minnesota Vikings,MIN,vs. NYJ,3 out of 5 stars,C,6.4,nfl.t.16$nfl.g.2448967,Minnesota,Vikings,nfl.t.16$nfl.g.2448967 - Minnesota Vikings,DEF,MIN,NYJ,NYJ@MIN,1:00PM EST,15,7.3,NA,NA
New England Patriots,NE,vs. BUF,3 out of 5 stars,C,6.2,nfl.t.17$nfl.g.2448942,New England,Patriots,nfl.t.17$nfl.g.2448942 - New England Patriots,DEF,NE,BUF,BUF@NE,8:15PM EST,20,10.4,NA,NA
Denver Broncos,DEN,at BAL,2 out of 5 stars,C,6.2,nfl.t.7$nfl.g.2448949,Denver,Broncos,nfl.t.7$nfl.g.2448949 - Denver Broncos,DEF,DEN,BAL,DEN@BAL,1:00PM EST,13,6.1,NA,NA
Atlanta Falcons,ATL,vs. PIT,4 out of 5 stars,C-,6.2,nfl.t.1$nfl.g.2448944,Atlanta,Falcons,nfl.t.1$nfl.g.2448944 - Atlanta Falcons,DEF,ATL,PIT,PIT@ATL,1:00PM EST,15,5.6,NA,NA
New York Giants,NYG,vs. WAS,4 out of 5 stars,C-,6.1,nfl.t.19$nfl.g.2448972,New York,Giants,nfl.t.19$nfl.g.2448972 - New York Giants,DEF,NYG,WAS,WAS@NYG,1:00PM EST,13,5.3,NA,NA
Tennessee Titans,TEN,at PHI,2 out of 5 stars,D+,5.9,nfl.t.10$nfl.g.2448977,Tennessee,Titans,nfl.t.10$nfl.g.2448977 - Tennessee Titans,DEF,TEN,PHI,TEN@PHI,1:00PM EST,16,7.1,NA,NA
New Orleans Saints,NO,at TB,2 out of 5 stars,D,5.9,nfl.t.18$nfl.g.2449011,New Orleans,Saints,nfl.t.18$nfl.g.2449011 - New Orleans Saints,DEF,NO,TB,NO@TB,8:15PM EST,11,5.2,NA,NA
Miami Dolphins,MIA,at SF,3 out of 5 stars,D,5.8,nfl.t.15$nfl.g.2448989,Miami,Dolphins,nfl.t.15$nfl.g.2448989 - Miami Dolphins,DEF,MIA,SF,MIA@SF,4:05PM EST,11,6.3,NA,NA
Los Angeles Chargers,LAC,at LV,2 out of 5 stars,D-,5.7,nfl.t.24$nfl.g.2449005,Los Angeles,Chargers,nfl.t.24$nfl.g.2449005 - Los Angeles Chargers,DEF,LAC,LV,LAC@LV,4:25PM EST,10,4.3,NA,NA
Jacksonville Jaguars,JAC,at DET,2 out of 5 stars,F,5.5,nfl.t.30$nfl.g.2448958,Jacksonville,Jaguars,nfl.t.30$nfl.g.2448958 - Jacksonville Jaguars,DEF,JAX,DET,JAX@DET,1:00PM EST,15,6.5,NA,NA
Indianapolis Colts,IND,at DAL,1 out of 5 stars,F,5.4,nfl.t.11$nfl.g.2449008,Indianapolis,Colts,nfl.t.11$nfl.g.2449008 - Indianapolis Colts,DEF,IND,DAL,IND@DAL,8:20PM EST,11,5.8,NA,NA
Los Angeles Rams,LAR,vs. SEA,3 out of 5 stars,F,5.4,nfl.t.14$nfl.g.2448984,Los Angeles,Rams,nfl.t.14$nfl.g.2448984 - Los Angeles Rams,DEF,LAR,SEA,SEA@LAR,4:05PM EST,12,5.1,NA,NA
Chicago Bears,CHI,vs. GB,3 out of 5 stars,F,5.3,nfl.t.3$nfl.g.2448954,Chicago,Bears,nfl.t.3$nfl.g.2448954 - Chicago Bears,DEF,CHI,GB,GB@CHI,1:00PM EST,11,4.1,NA,NA
Detroit Lions,DET,vs. JAC,2 out of 5 stars,F,5.3,nfl.t.8$nfl.g.2448958,Detroit,Lions,nfl.t.8$nfl.g.2448958 - Detroit Lions,DEF,DET,JAX,JAX@DET,1:00PM EST,10,5,NA,NA
Cincinnati Bengals,CIN,vs. KC,1 out of 5 stars,F,5.2,nfl.t.4$nfl.g.2448997,Cincinnati,Bengals,nfl.t.4$nfl.g.2448997 - Cincinnati Bengals,DEF,CIN,KC,KC@CIN,4:25PM EST,10,5,NA,NA
Houston Texans,HOU,vs. CLE,2 out of 5 stars,F,4.9,nfl.t.34$nfl.g.2448963,Houston,Texans,nfl.t.34$nfl.g.2448963 - Houston Texans,DEF,HOU,CLE,CLE@HOU,1:00PM EST,10,5.4,NA,NA
Las Vegas Raiders,LV,vs. LAC,2 out of 5 stars,F,4.9,nfl.t.13$nfl.g.2449005,Las Vegas,Raiders,nfl.t.13$nfl.g.2449005 - Las Vegas Raiders,DEF,LV,LAC,LAC@LV,4:25PM EST,10,4.2,NA,NA
