,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
1,Josh Jacobs*,LVR,24,RB,15,15,3.73,3.13,24.6,7.9,0,0.93,43,3.1,24.6,83.9%,6.6,20.4,102.6,0.73,5.73,86,5,102.6,20.4,23.5,5.4,127.2,11,0.2
2,Derrick Henry *,TEN,28,RB,15,15,2.67,2.13,25.3,11.8,0,0.67,69,2.1,25.3,80.0%,9.5,21.3,95.3,0.87,4.27,56,4.5,95.3,21.3,23.4,5.2,120.5,13,0.4
3,Justin Jefferson*,MIN,23,WR,15,15,11.6,8.2,117.1,14.3,0.53,5.13,64,8.2,117.1,70.7%,10.1,0.27,1.6,0.07,0.13,10,6,1.6,0.3,8.47,14,118.7,9,
4,Tyreek Hill*,MIA,28,WR,15,15,10.5,7.53,108.8,14.4,0.47,4.8,64,7.5,108.8,71.5%,10.3,0.4,2,0,0.13,10,5,2,0.4,7.93,14,110.8,7,0.07
5,Christian McCaffrey,2TM,26,RB,15,14,6.4,5.07,42.3,8.4,0.27,2.07,49,5.1,42.3,79.2%,6.6,14.3,64.9,0.47,3.33,49,4.5,64.9,14.3,19.4,5.5,107.2,11,0.07
6,Saquon Barkley*,NYG,25,RB,15,15,4.8,3.67,22.9,6.2,0,0.67,41,3.7,22.9,76.4%,4.8,18.9,83.6,0.67,4,68,4.4,83.6,18.9,22.5,4.7,106.5,10,0.07
7,Nick Chubb*,CLE,27,RB,15,15,2,1.4,12.1,8.7,0,0.6,26,1.4,12.1,70.0%,6.1,18.4,89.6,0.8,4.07,41,4.9,89.6,18.4,19.8,5.1,101.7,12,0.07
8,Austin Ekeler,LAC,27,RB,15,15,7.93,6.6,43.1,6.5,0.33,2.13,23,6.6,43.1,83.2%,5.4,12.2,50.6,0.73,2.6,71,4.1,50.6,12.2,18.8,5,93.7,16,0.27
9,Dalvin Cook,MIN,27,RB,15,15,3.47,2.4,18.5,7.7,0.13,1,64,2.4,18.5,69.2%,5.3,16.3,73.9,0.53,3.13,81,4.5,73.9,16.3,18.7,5,92.5,10,0.2
10,Tony Pollard*,DAL,25,RB,15,4,3.6,2.6,24.7,9.5,0.2,1.2,68,2.6,24.7,72.2%,6.9,12.4,65.9,0.6,3.07,57,5.3,65.9,12.4,15,6,90.6,12,
