,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Dallas Cowboys,16,28.8,365.8,65.5,5.6,1.31,0.25,21.1,21.3,32.4,226.1,1.69,1.06,6.7,11.8,31.5,139.6,1.5,4.4,7.81,6.13,48,1.5,44.4,11.1,7.58
2,Philadelphia Eagles,15,29.7,397.3,66.6,6,1.13,0.67,23.4,20.8,31.3,243.5,1.6,0.47,7.2,11.7,33,153.8,2.07,4.7,9.87,5.2,40.2,1.87,43.6,10.4,12.5
3,Kansas City Chiefs,15,29.2,420.6,65.3,6.4,1.4,0.67,24.3,25.9,38.9,303.5,2.47,0.73,7.5,16.3,24.9,117.1,0.93,4.7,6.07,5.13,50.9,1.93,47.1,10.8,14.1
4,Buffalo Bills,15,28,402.3,65.3,6.2,1.6,0.73,23.3,22.8,36.2,259.5,2.13,0.87,6.8,13.5,27,142.8,1,5.3,8,6,45.9,1.8,45.7,14.8,10.1
5,Detroit Lions,15,26.1,375.5,64.1,5.9,1,0.53,21.9,22.6,35,254.9,1.73,0.47,7,13.5,27.7,120.7,1.27,4.4,6.4,5.27,43.7,2.07,42.2,9.1,8.56
6,Cincinnati Bengals,15,26.1,367.4,65.9,5.6,1.13,0.33,22.8,26.2,37.9,269.2,2.27,0.8,6.6,13.9,25.3,98.2,0.87,3.9,6.27,5.2,39.2,2.6,42.3,9.8,8.72
7,Minnesota Vikings,15,25.2,354.5,66.3,5.3,1.13,0.4,22.4,26.5,40.3,259.9,1.8,0.73,6,14.4,23.1,94.5,1.07,4.1,5.13,4.93,40.9,2.87,35.4,9.6,4.63
8,San Francisco 49ers,15,25,363.4,61.6,5.9,1.07,0.53,19.9,20.1,30.5,228.7,1.67,0.53,7.1,10.9,29.3,134.7,1.07,4.6,7.47,5.53,43.3,1.6,39.5,9.9,7.34
9,Miami Dolphins,15,24.3,370.8,58.4,6.3,1.27,0.4,20.3,21.6,34.2,274.9,1.87,0.87,7.6,13.2,22.1,95.9,0.73,4.3,5.33,6.47,50.9,1.73,39.9,12,6.66
