,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
Rk,Tm,G,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,San Francisco 49ers,15,15.3,290.3,60.7,4.8,1.6,0.6,16.7,23.1,35.5,215.3,1.07,1,5.6,11.1,22.5,75,0.6,3.3,4.13,5.53,48.9,1.47,24.5,13.8,4.45
2,Buffalo Bills,15,17.5,317.7,62.2,5.1,1.6,0.67,19.5,22.4,35.3,213.3,1.2,0.93,5.6,11.2,24.3,104.4,0.67,4.3,6.47,5.8,48.9,1.87,30.8,13.5,0.56
3,Baltimore Ravens,15,18.1,327,60.9,5.4,1.6,0.67,19.1,23.6,34.9,239.5,1.2,0.93,6.3,12.3,23,87.5,0.67,3.8,5.07,4.67,38.1,1.67,35.8,15.2,-2.16
4,New York Jets,15,18.8,309.3,63.9,4.8,1.07,0.27,18.2,20.6,33.1,195.5,0.87,0.8,5.5,9.93,28.1,113.9,0.93,4,6.6,5.33,42.3,1.67,31.4,9.3,1.69
5,New England Patriots,15,19.4,320.9,64.3,5,1.67,0.6,18.3,21.4,35,213.1,1.53,1.07,5.6,11.3,25.9,107.8,0.4,4.2,5.2,5.2,40.5,1.87,30.6,13.5,3.95
6,Tampa Bay Buccaneers,15,20.3,315.4,63,5,1.07,0.47,18,21.5,33.5,195.1,1.6,0.6,5.4,10.7,26.7,120.3,0.73,4.5,5.93,5.8,52.5,1.4,32,9.3,0.12
7,Denver Broncos,15,20.3,314.3,63.6,4.9,1.27,0.33,18.7,22.2,34.6,196.9,0.93,0.93,5.3,9.67,26.7,117.4,0.73,4.4,6.87,6.4,57.1,2.2,35.8,10.4,1.37
8,Cincinnati Bengals,15,20.4,332.3,61.4,5.4,1.33,0.6,18.3,20.7,34.3,225.9,1.13,0.73,6.3,10.7,25.3,106.4,0.73,4.2,6.33,6.33,54,1.27,37.3,11.8,-1.52
9,Philadelphia Eagles,15,20.5,301.9,62.9,4.8,1.73,0.67,19.2,20.5,32.8,181.2,1.4,1.07,4.9,11,26,120.7,0.87,4.6,6.73,5.6,47.5,1.47,32.9,16.5,0.69
10,Washington Commanders,15,20.9,313,58.6,5.3,1.07,0.53,17.3,19,30.5,198.6,1.47,0.53,6,9.47,25.6,114.4,0.67,4.5,6,5.07,40.9,1.87,33.1,8.1,-0.9
11,Dallas Cowboys,16,19.8,331.5,64.9,5.1,2,1.06,19.4,20.9,33.2,203.6,1.38,0.94,5.6,10.5,28.5,127.9,0.5,4.5,7,6,52.6,1.94,34.1,17,1.93
12,Pittsburgh Steelers,15,21.3,338,61.1,5.5,1.33,0.2,18.7,19.9,32.8,232.4,1.73,1.13,6.7,11.8,26.1,105.6,0.47,4,5.6,5.53,41.5,1.33,38.4,12.6,-2.92
13,New Orleans Saints,15,21.7,322.4,64.3,5,0.73,0.47,19.6,19.9,32.6,190.4,1.07,0.27,5.4,9.73,29.1,132,0.93,4.5,7.33,5.47,48.6,2.53,37.3,6.2,-3.43
14,Jacksonville Jaguars,15,22.1,361.1,64.5,5.6,1.6,0.73,21.2,22.7,35.2,246.5,1.6,0.87,6.6,12.5,27.3,114.7,0.93,4.2,7.13,5.13,39.9,1.53,38.2,14.6,-4.55
15,Kansas City Chiefs,15,22.1,332.9,64,5.2,1.07,0.47,19.7,24,36.3,225.7,2.07,0.6,5.7,12.1,24.7,107.1,0.53,4.3,6,5.93,44.3,1.53,36.2,9.2,-3.28
16,Green Bay Packers,15,22.3,336.8,58.3,5.8,1.33,0.4,18.8,17.9,27.3,192.4,1.33,0.93,6.6,9.2,28.9,144.4,1.07,5,7.87,5.93,53.7,1.73,39,13,-4.23
17,Los Angeles Rams,15,22.3,331,61.1,5.4,1.33,0.4,19.1,22.1,32.9,226.5,1.33,0.93,6.4,12.1,25.9,104.5,0.67,4,5.73,5.07,43.5,1.33,40.4,12.6,-3.81
18,Carolina Panthers,15,22.5,344.7,64.8,5.3,1,0.33,20.3,22.3,34,219.7,1.4,0.67,6.1,11.3,28.7,125,1.07,4.4,7.47,6.33,53.3,1.53,35.3,8.2,-3.03
19,Tennessee Titans,16,21.2,359.8,65.8,5.5,1.19,0.31,20.4,26.2,39.9,279.3,1.75,0.88,6.6,12.8,23.5,80.5,0.56,3.4,5.69,6.94,50.7,1.88,33.9,10.6,-3.53
20,New York Giants,15,22.6,366.3,63.3,5.8,1.13,0.87,22.2,20.8,33.7,220.5,1.33,0.27,6.1,12.1,27.2,145.9,1,5.4,7.87,6.67,48.6,2.2,39.8,8.7,-6.19
21,Cleveland Browns,15,22.9,335.9,60.4,5.6,1.07,0.53,19.3,19.1,30.8,201.5,1.27,0.53,6.1,9.8,27.6,134.3,1.27,4.9,7.47,5.27,44.7,2,38.7,8.9,-3.64
22,Los Angeles Chargers,15,22.9,342.4,59.5,5.8,1.4,0.53,18.9,19.1,30.8,201.9,1.4,0.87,6.1,10.7,26.3,140.5,1,5.3,6.73,4.93,46.9,1.47,38,11.4,-4.37
23,Las Vegas Raiders,15,23.3,360.9,63.9,5.6,0.8,0.47,20.8,23.9,35.3,244.3,1.47,0.33,6.6,12.1,27,116.6,1,4.3,7,5.27,42.9,1.67,38.9,7.6,-6.13
24,Atlanta Falcons,15,23.3,373,63.9,5.8,1.07,0.4,21.1,21.7,32.5,239.5,1.53,0.67,7.1,11.9,30.2,133.5,1,4.4,8.27,5.93,48.3,0.93,44,10.7,-8.23
25,Indianapolis Colts,15,23.8,328.3,64.5,5.1,1.13,0.6,20,21.5,31.5,206.1,1.33,0.53,6,10.7,30.1,122.2,1.2,4.1,7.33,5.27,44.3,2,34.8,9,-2.24
26,Houston Texans,15,23.9,381.1,66.9,5.7,1.47,0.67,21.8,19.4,30.5,212.5,0.87,0.8,6.5,11.5,34.1,168.6,1.4,4.9,8.93,6.07,48.9,1.33,35.3,11.2,-4.8
27,Miami Dolphins,15,24.7,353.8,65.1,5.4,0.93,0.4,20.7,25.2,37.2,244.7,1.67,0.53,6.2,12.1,25.4,109.1,1,4.3,6.33,4.8,47.1,2.27,39,8.5,-5.14
28,Minnesota Vikings,15,24.9,402.3,67.1,6,1.53,0.67,21.7,25.2,37.5,281.5,1.4,0.87,7,13.7,27.2,120.8,1,4.4,6.67,7.07,58.4,1.4,41.9,12.2,-5.08
29,Seattle Seahawks,15,25.3,373.4,66.1,5.7,1.4,0.67,20.9,20.5,31.7,217.9,1.53,0.73,6.4,11.1,32,155.5,1.33,4.9,7.93,6.2,51.5,1.8,39,11.6,-7.08
30,Arizona Cardinals,15,26.1,354.8,63.5,5.6,1.27,0.53,21.5,25.3,36.5,240.5,1.73,0.73,6.2,13.3,25,114.3,1.13,4.6,6.93,5.8,45.1,1.27,40.8,11.2,-4.59
31,Chicago Bears,15,26.2,360.3,60.1,6,1.4,0.53,20.5,18.3,27.9,209.1,1.2,0.87,7.2,10.3,31,151.2,1.8,4.9,8.53,4.67,37.9,1.6,39.4,12.3,-8.64
32,Detroit Lions,15,26.7,409.9,64.6,6.3,1.2,0.53,23.4,21.9,34.1,264.1,1.6,0.67,7.3,13.2,28.5,145.9,1.47,5.1,8.27,6.4,48.9,1.93,42.9,10.9,-11.35
