player,Position_yah,combined_fppd,combined_projection,TEAM,Opponent_yah,Salary_yah,expected_points,ex_ppd,Online_proj,MATCHUP,Start_Sit
Jonathan Williams,RB,0.297742814821131,3.572913777853572,WAS,TEN,12,4.332733968362246,0.3610611640301871,1.8,4 out of 5 stars,F
Deon Jackson,RB,0.1477249880892158,1.9204248451598054,IND,DEN,13,1.200606921656865,0.0923543785889896,3.6,4 out of 5 stars,F
Mike Boone,RB,0.190079119553479,3.231345032409143,DEN,IND,17,1.3590643320130622,0.07994496070665072,7.6,2 out of 5 stars,D+
Dameon Pierce,RB,0.2712102476960682,5.424204953921365,HOU,JAX,20,2.0488642198876637,0.10244321099438318,13.3,2 out of 5 stars,B+
Jeff Wilson Jr,RB,0.29320658152875995,4.984511885988919,SF,CAR,17,1.4635884085556,0.08609343579738823,13.2,2 out of 5 stars,B
Melvin Gordon III,RB,0.21439375555719542,4.073481355586713,DEN,IND,19,0.9764019365524474,0.05138957560802355,11.3,2 out of 5 stars,B
Breece Hall,RB,0.26244142867547116,4.723945716158481,NYJ,MIA,18,1.9484938802264016,0.10824966001257788,11.2,2 out of 5 stars,B-
Travis Etienne Jr,RB,0.16959549511478483,3.391909902295697,JAC,HOU,20,1.074157003279567,0.05370785016397835,8.8,4 out of 5 stars,C
Raheem Mostert,RB,0.18512801394425446,3.517432264940835,MIA,NYJ,19,0.9963318070583358,0.05243851616096504,9.4,4 out of 5 stars,C
Darrell Henderson Jr,RB,0.23736297949814725,3.3230817129740613,LAR,DAL,14,1.190116732820087,0.08500833805857765,8.3,5 out of 5 stars,C-
Tyler Allgeier,RB,0.27001808717111614,3.240217046053394,ATL,TB,12,0.7717386372191346,0.06431155310159455,9,2 out of 5 stars,C
Mark Ingram II,RB,0.1766621582186112,2.4732702150605568,NO,SEA,14,0.8761003072293673,0.06257859337352624,6.2,4 out of 5 stars,D-
Isiah Pacheco,RB,0.16272653388278388,2.2781714743589743,KC,LV,14,0.5973878205128204,0.04267055860805859,6.2,3 out of 5 stars,F
Cam Akers,RB,0.17909543515188567,3.223717832733942,LAR,DAL,18,0.8338826181913458,0.04632681212174143,8.8,5 out of 5 stars,C-
J K Dobbins,RB,0.27864146836944953,4.4582634939111925,BAL,CIN,16,1.5260907055874176,0.0953806690992136,11.3,2 out of 5 stars,B-
Caleb Huntley,RB,0.16757556818181818,1.8433312499999999,ATL,TB,11,0.6619017857142857,0.06017288961038961,4.6,2 out of 5 stars,F
Brian Robinson Jr,RB,0.08307692307692308,1.08,WAS,TEN,13,0,0,3.6,4 out of 5 stars,F
Mark Andrews,TE,0.5082465381830261,15.755642683673809,BAL,CIN,31,16.46520383381973,0.5311356075425719,14.1,3 out of 5 stars,A
Cooper Kupp,WR,0.4727483441397255,18.90993376558902,LAR,DAL,40,18.914191093698605,0.4728547773424651,18.9,4 out of 5 stars,A+
Travis Kelce,TE,0.41687815759803937,13.34010104313726,KC,LV,32,12.328715775910371,0.3852723679971991,15.7,4 out of 5 stars,A+
Deebo Samuel,WR,0.5177725423560305,12.944313558900763,SF,CAR,25,12.063305084143948,0.48253220336575786,15,3 out of 5 stars,A
Dalton Schultz,TE,0.6313104878983659,7.575725854780391,DAL,LAR,12,8.165322649686273,0.6804435541405227,6.2,2 out of 5 stars,D+
Ja Marr Chase,WR,0.4852570788482248,15.528226523143193,CIN,BAL,32,15.240323604490278,0.4762601126403212,16.2,3 out of 5 stars,A+
George Kittle,TE,0.488771811366176,9.77543622732352,SF,CAR,20,9.8077660390336,0.49038830195167993,9.7,4 out of 5 stars,B-
Justin Jefferson,WR,0.43060882368682213,15.071308829038774,MIN,CHI,35,14.330441184341108,0.4094411766954602,16.8,2 out of 5 stars,A+
Davante Adams,WR,0.6155099632776958,17.23427897177548,LV,KC,28,17.548969959679262,0.6267489271314022,16.5,3 out of 5 stars,A+
Mike Evans,WR,0.48234564781944084,13.505678138944344,TB,ATL,28,12.993825912777634,0.46406521117062977,14.7,3 out of 5 stars,A
Tyreek Hill,WR,0.5340118970797019,15.486345015311354,MIA,NYJ,29,15.266207164730508,0.5264209367148451,16,4 out of 5 stars,A
Dallas Goedert,TE,0.47195215222361564,10.382947348919544,PHI,ARI,22,9.989924784170777,0.4540874901895808,11.3,4 out of 5 stars,A-
Stefon Diggs,WR,0.4240419478398948,14.417426226556422,BUF,PIT,34,13.26775175222346,0.39022799271245473,17.1,4 out of 5 stars,A+
Mike Williams,WR,0.4810840400542034,12.027101001355085,LAC,CLE,25,11.353001430507264,0.4541200572202906,13.6,4 out of 5 stars,A
Zach Ertz,TE,0.474072413312829,9.00737585294375,ARI,PHI,19,8.667679789919646,0.45619367315366555,9.8,4 out of 5 stars,B+
