player,Position_yah,Opponent_yah,expected_points,Salary_yah,ex_ppd
T J Hockenson,TE,NE,9.237642357195654,21,0.4398877312950311
Michael Pittman Jr,WR,DEN,11.064689753209175,17,0.6508641031299515
Tee Higgins,WR,BAL,13.261246464479319,27,0.491157276462197
Darren Waller,TE,KC,9.365591114963129,21,0.44598052928395854
Tyler Conklin,TE,MIA,7.023615444010138,15,0.4682410296006759
Chris Godwin,WR,ATL,11.002499596812283,24,0.4584374832005118
David Njoku,TE,LAC,7.097438874225263,16,0.44358992963907895
Brandin Cooks,WR,JAX,11.957499963597819,16,0.7473437477248637
Jaylen Waddle,WR,NYJ,13.046421685844289,27,0.4832008031794181
Gerald Everett,TE,CLE,6.082484497497878,15,0.4054989664998585
Darnell Mooney,WR,MIN,11.693661134582308,11,1.0630601031438462
Amon Ra St Brown,WR,NE,11.239622599249905,30,0.3746540866416635
Evan Engram,TE,HOU,6.313163194756177,12,0.5260969328963481
Mo Alie Cox,TE,DEN,4.7237180870627995,13,0.3633629297740615
Terry McLaurin,WR,TEN,10.98936184703709,23,0.47779834117552566
Foster Moreau,TE,KC,4.406480436480479,11,0.4005891305891344
Marquise Brown,WR,PHI,11.32333797060763,19,0.59596515634777
Amari Cooper,WR,LAC,12.643634670652391,19,0.6654544563501258
Adam Thielen,WR,CHI,11.091708945361487,18,0.6162060525200826
Cameron Brate,TE,ATL,4.086625396833748,14,0.2919018140595534
Christian Kirk,WR,HOU,12.841060138837424,24,0.5350441724515593
Kendrick Bourne,WR,DET,9.402311631827304,13,0.7232547409097927
Albert Okwuegbunam,TE,IND,4.949292248303443,12,0.4124410206919536
DeVonta Smith,WR,ARI,10.071368616357299,17,0.5924334480210176
A J Brown,WR,ARI,12.914207545142432,27,0.47830398315342343
Tyler Boyd,WR,BAL,10.206281937675392,19,0.5371727335618628
Brandon Aiyuk,WR,CAR,7.878150781759686,16,0.4923844238599804
K J Osborn,WR,CHI,7.532037661927639,13,0.5793875124559722
