Player,Position_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_rec,ovr_ex_rec_yds,ovr_ex_rec_td,ovr_ex_rus_yds,ovr_ex_rus_td,fmb_scrim,ex_ppd
Jerick McKinnon,RB,IND,6.432477226035246,12,2.361111111111111,13.793941979522184,0.39285714285714285,15.153846153846153,0,0,0.5360397688362705
Cam Akers,RB,ARI,4.588132306558332,15,0.9910714285714286,10.370410367170626,0,30.555555555555557,0,0,0.30587548710388884
Darrel Williams,RB,LAR,5.337935351944125,15,0.8909090909090909,1.5233853006681515,0,27.401422764227643,0.3333333333333333,0,0.35586235679627504
Zack Moss,RB,MIA,2.963838622474986,11,2.7115384615384617,9.684297520661158,0,16.396396396396398,0,0.5,0.2694398747704533
Kenneth Gainwell,RB,WAS,4.814661874759388,13,1.5,10.804270462633452,0,12.342348284960423,0.2916666666666667,0,0.3703586057507221
Alexander Mattison,RB,DET,3.9379272259113702,14,1.47,3.24203821656051,0,28.78723404255319,0,0,0.28128051613652644
Alvin Kamara,RB,CAR,6.398612337978403,29,2.75,5.875565610859729,0,44.3605577689243,0,0,0.22064180475787595
Tyrion Davis Price,RB,DEN,2.3552054794520547,11,0,0,0,23.552054794520547,0,0,0.2141095890410959
Boston Scott,RB,WAS,3.4196098085428033,13,0.5,0.9395017793594306,0,13.256596306068602,0.2916666666666667,0,0.2630469083494464
Tyler Allgeier,RB,SEA,3.0051546391752577,11,0,0,0,30.051546391752577,0,0,0.27319587628865977
Brandon Bolden,RB,TEN,11.66630514184397,12,1.9148936170212765,20.349,1.25,11.739583333333334,0,0,0.9721920951536642
Justice Hill,RB,NE,1.7026121139984247,11,1.0789473684210527,3.0534026465028354,0,8.577981651376147,0,0,0.15478291945440226
Kenneth Walker III,RB,ATL,3.1005423445974136,11,2.0638297872340425,6.043417366946779,0,14.642857142857142,0,0,0.28186748587249216
J K Dobbins,RB,NE,0,17,0,0,0,0,0,0,0
Mark Ingram II,RB,CAR,0,17,0,0,0,0,0,0,0
Travis Etienne Jr,RB,LAC,0,14,0,0,0,0,0,0,0
Darrell Henderson Jr,RB,ARI,0,20,0,0,0,0,0,0,0
Jeff Wilson Jr,RB,DEN,0,13,0,0,0,0,0,0,0
Melvin Gordon III,RB,SF,0,15,0,0,0,0,0,0,0
