player,Position_yah,TEAM,Opponent_yah,home_away,combined_projection,Salary_yah,combined_fppd,expected_points,ex_ppd,Online_proj,MATCHUP,Start_Sit
Josh Allen,QB,BUF,NE,Home,24.352350203194057,37,0.6581716271133529,23.90335743313437,0.64603668738201,25.4,3 out of 5 stars,A
Justin Herbert,QB,LAC,DEN,Away,16.487873883161658,28,0.5888526386843449,15.4541055473738,0.5519323409776357,18.9,1 out of 5 stars,B+
Tom Brady,QB,TB,ATL,Away,15.399920126087345,30,0.5133306708695782,16.38560018012478,0.546186672670826,13.1,4 out of 5 stars,F
Patrick Mahomes,QB,KC,LV,Away,24.225837222693656,39,0.6211753134024014,22.608338889562365,0.5797009971682657,28,5 out of 5 stars,A+
Aaron Rodgers,QB,GB,DET,Home,16.403354268782472,30,0.5467784756260824,15.504791812546388,0.5168263937515463,18.5,5 out of 5 stars,B+
Dak Prescott,QB,DAL,WAS,Away,17.26106840904982,31,0.5568086583564458,16.9015262986426,0.5452105257626646,18.1,4 out of 5 stars,B
Joe Burrow,QB,CIN,BAL,Home,21.827546072392558,38,0.5744091071682252,22.13935153198937,0.5826145139997202,21.1,3 out of 5 stars,A
Jalen Hurts,QB,PHI,NYG,Home,24.516284366119876,40,0.612907109152997,25.166120523028397,0.6291530130757099,23,2 out of 5 stars,A
Kirk Cousins,QB,MIN,CHI,Away,16.98079233848444,32,0.5306497605776388,16.41541762640635,0.5129818008251984,18.3,4 out of 5 stars,B
Carson Wentz,QB,WAS,DAL,Home,10.725779533173288,25,0.4290311813269315,14.122542190247556,0.5649016876099022,2.8,2 out of 5 stars,F
Russell Wilson,QB,DEN,LAC,Home,15.706389362903629,20,0.7853194681451814,15.537699089862327,0.7768849544931163,16.1,4 out of 5 stars,C+
Lamar Jackson,QB,BAL,CIN,Away,13.010421524746116,31,0.41969101692729405,18.586316463923023,0.5995585956104201,0,3 out of 5 stars,F
Mac Jones,QB,NE,BUF,Away,12.10497673951788,20,0.605248836975894,11.335681056454115,0.5667840528227057,13.9,3 out of 5 stars,D+
Taylor Heinicke,QB,WAS,DAL,Home,9.670873235157611,24,0.40295305146490046,13.815533193082302,0.5756472163784293,0,2 out of 5 stars,F
Teddy Bridgewater,QB,MIA,NYJ,Home,7.010434091147051,23,0.30480148222378484,10.014905844495788,0.4354306888911212,0,2 out of 5 stars,F
Trevor Lawrence,QB,JAC,TEN,Home,18.585073278981028,34,0.5466198023229714,17.97867611283004,0.5287845915538247,20,3 out of 5 stars,A
Jared Goff,QB,DET,GB,Away,16.209358449917296,29,0.5589433948247343,15.613369214167568,0.5383920418678472,17.6,2 out of 5 stars,B-
Baker Mayfield,QB,LAR,SEA,Away,11.313314386226526,22,0.5142415630102967,10.590449123180754,0.48138405105367066,13,4 out of 5 stars,F
Daniel Jones,QB,NYG,PHI,Away,14.78885876802207,30,0.492961958934069,17.01265538288867,0.5670885127629557,9.6,1 out of 5 stars,F
Sam Darnold,QB,CAR,NO,Away,15.050128180783057,22,0.6840967354901389,15.414468829690083,0.700657674076822,14.2,4 out of 5 stars,C-
Davis Mills,QB,HOU,IND,Away,12.091562295087105,20,0.6045781147543552,11.916517564410151,0.5958258782205077,12.5,4 out of 5 stars,F
Andy Dalton,QB,NO,CAR,Home,13.263931260309912,20,0.6631965630154956,13.205616086157018,0.660280804307851,13.4,3 out of 5 stars,D-
Tyler Huntley,QB,BAL,CIN,Away,10.351727665732856,20,0.5175863832866427,8.959610951046937,0.4479805475523469,13.6,3 out of 5 stars,D
Tyrod Taylor,QB,NYG,PHI,Away,7.423209639990877,20,0.3711604819995439,5.547442342844111,0.27737211714220555,11.8,1 out of 5 stars,F
Geno Smith,QB,SEA,LAR,Home,18.035233212622515,29,0.6219045935387074,18.136047446603595,0.6253809464346067,17.8,3 out of 5 stars,B
Mike White,QB,NYJ,MIA,Away,13.962575148278342,31,0.45040564994446264,13.51796449754049,0.4360633708884029,15,3 out of 5 stars,C-
Cooper Rush,QB,DAL,WAS,Away,5.8920645616092475,20,0.29460322808046235,8.41723508801321,0.42086175440066054,0,4 out of 5 stars,F
Nick Mullens,QB,MIN,CHI,Away,3.512290859411764,21,0.1672519456862745,5.017558370588235,0.23893135098039217,0,4 out of 5 stars,F
Blaine Gabbert,QB,TB,ATL,Away,2.9665483446892456,22,0.1348431065767839,2.2664976352703508,0.10302261978501594,4.6,4 out of 5 stars,F
Sam Ehlinger,QB,IND,HOU,Home,9.779116254656527,20,0.48895581273282634,8.698737506652183,0.4349368753326091,12.3,2 out of 5 stars,F
David Blough,QB,ARI,SF,Away,10.319677163510823,20,0.5159838581755412,9.642395947872606,0.4821197973936303,11.9,2 out of 5 stars,F
Nathan Peterman,QB,CHI,MIN,Home,5.245146406979479,20,0.2622573203489739,2.8216377242563984,0.14108188621281992,10.9,3 out of 5 stars,F
Kenny Pickett,QB,PIT,CLE,Home,12.306324340812413,22,0.5593783791278369,11.366177629732022,0.5166444377150919,14.5,3 out of 5 stars,C-
Brock Purdy,QB,SF,ARI,Home,12.47978289,30,0.415992763,10.4568327,0.34856108999999996,17.2,4 out of 5 stars,B-
Deshaun Watson,QB,CLE,PIT,Away,13.943034443656401,21,0.6639540211264953,12.761477776652004,0.6076894179358098,16.7,4 out of 5 stars,C+
Desmond Ridder,QB,ATL,TB,Home,9.085196907169811,20,0.45425984535849057,7.578852724528303,0.3789426362264151,12.6,4 out of 5 stars,F
Jarrett Stidham,QB,LV,KC,Home,10.284950895000001,22,0.4674977679545455,8.049929850000002,0.36590590227272735,15.5,4 out of 5 stars,C
Skylar Thompson,QB,MIA,NYJ,Home,5.986533605162643,20,0.29932668025813214,3.366476578803777,0.16832382894018885,12.1,2 out of 5 stars,F
Malik Willis,QB,TEN,JAX,Away,2.8431970194193545,20,0.14215985097096773,4.061710027741936,0.20308550138709677,0,4 out of 5 stars,F
Joshua Dobbs,QB,TEN,JAX,Away,9.990800376,22,0.4541272898181818,8.786857679999999,0.39940262181818176,12.8,4 out of 5 stars,F
Jeff Driskel,QB,HOU,IND,Away,3.1695181023419865,20,0.15847590511709933,3.7993115747742663,0.18996557873871336,1.7,4 out of 5 stars,F
Kyle Trask,QB,TB,ATL,Away,1.1319542640000002,20,0.05659771320000001,1.6170775200000005,0.08085387600000002,0,4 out of 5 stars,F
Sam Howell,QB,WAS,DAL,Home,4.4291533439999995,22,0.20132515199999998,1.52736192,0.06942554181818182,11.2,2 out of 5 stars,F
