,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Kansas City Chiefs,14,29.6,429.4,66.4,6.5,1.5,0.71,25.1,26.6,39.6,309.5,2.5,0.79,7.5,16.9,25.1,119.9,0.93,4.8,6.29,5.14,51.8,1.93,47.9,11.6,14.9
2,Philadelphia Eagles,14,29.4,394.1,66.4,5.9,0.93,0.57,23.3,20.6,30.6,235.5,1.57,0.36,7.1,11.1,33.3,158.6,2.14,4.8,10.3,5.43,42.4,1.86,43.1,8.5,12.8
3,Dallas Cowboys,14,28.1,362.3,64.4,5.6,1.21,0.21,20.4,20.4,31.6,217.1,1.57,1,6.6,11,31.5,145.1,1.57,4.6,8.14,6.5,49.8,1.29,42.7,10.2,7.14
4,Buffalo Bills,14,27.5,400.6,65.8,6.1,1.5,0.71,23.5,23.4,36.9,265.7,2.14,0.79,6.8,13.8,26.7,134.9,0.86,5,7.79,5.79,44.1,1.93,46,14,10.1
5,Cincinnati Bengals,14,26.4,362.1,65.1,5.6,1,0.29,22.4,25.2,36.9,262.1,2.21,0.71,6.6,13.6,25.4,100,0.93,3.9,6.29,5,37.6,2.5,43,8.6,9.28
6,Detroit Lions,14,26.4,375.1,64.4,5.8,1,0.5,21.9,22.4,34.5,249.1,1.64,0.5,6.9,13.4,28.5,126.1,1.36,4.4,6.64,5.36,44.7,1.93,42.4,9,8.51
7,Seattle Seahawks,14,25.4,349.6,59.3,5.9,1.43,0.79,20.4,24.1,33.8,241.5,1.86,0.64,6.6,12.7,22.9,108.1,0.86,4.7,5.64,6.5,55.3,2,42.4,11.9,4.9
8,Jacksonville Jaguars,15,23.5,367.7,64.3,5.7,1.27,0.8,21.3,23.5,35.7,239.2,1.6,0.47,6.4,12.5,27,128.5,0.87,4.8,7,5.6,41.3,1.73,40,11.9,6.32
9,Minnesota Vikings,14,25.1,354.6,66,5.4,1.21,0.43,22.4,26,39.7,259.2,1.71,0.79,6.1,14.2,23.4,95.4,1.14,4.1,5.21,5.14,42.8,2.93,35.7,10.1,4.43
10,Miami Dolphins,14,24.6,370.4,59.4,6.2,1.07,0.36,20.6,22,34.9,273.6,1.93,0.71,7.4,13.4,22.4,96.9,0.71,4.3,5.36,6.36,50.1,1.86,39.9,10.1,7.29
11,San Francisco 49ers,14,24.1,362.9,62.4,5.8,1.07,0.57,20.4,20.4,31.1,229.4,1.64,0.5,7,11.1,29.6,133.4,1,4.5,7.57,5.64,44.6,1.71,38,10,7.19
12,Las Vegas Raiders,14,24.1,358.1,61.7,5.8,1,0.21,20,21.3,34.7,231.9,1.64,0.79,6.3,11.1,25.1,126.2,0.79,5,7.29,7.07,58.3,1.57,43.7,9.9,5.36
13,Cleveland Browns,14,22.4,362.6,67,5.4,1.29,0.64,21.5,20.9,33,213.6,1,0.64,6.1,11.2,31.9,149,1.29,4.7,8.71,6.14,52.5,1.57,36.2,11.4,4.29
14,Los Angeles Chargers,14,22.3,357.9,68.4,5.2,1.07,0.43,20.9,29.1,43.2,274.2,1.5,0.64,6,13.8,22.8,83.7,0.79,3.7,5.21,4.86,37.3,1.86,37.2,9,3.62
15,Atlanta Falcons,14,21.9,315,58.2,5.4,1.29,0.64,19.4,14.1,23.3,150.9,1.07,0.64,5.9,8.36,32.6,164.1,1,5,9.07,4,32.7,1.93,38.1,11.5,4.92
16,Baltimore Ravens,14,21.7,345.4,62.6,5.5,1.14,0.43,20.5,18.4,29,180.6,1.21,0.71,5.8,8.86,31.2,164.7,0.93,5.3,10.3,5.14,44.3,1.36,39.9,10.8,4.38
17,New England Patriots,14,21.4,319.5,59.4,5.4,1.36,0.57,17.1,20.8,31,207.5,0.86,0.79,6.2,9.64,26.1,112,0.86,4.3,6.14,6.14,50,1.29,34.2,12,-1.22
18,Arizona Cardinals,14,20.9,327.1,67.9,4.8,1.29,0.36,19.8,26,39.4,215.4,1.07,0.93,5.1,11.6,25.7,111.8,0.93,4.3,6.71,6.93,53,1.5,32.5,11.3,-0.96
19,Chicago Bears,14,20.7,323.9,59.6,5.4,1.36,0.57,17.5,13.2,21.5,137.1,1.14,0.79,5.5,6.57,34.6,186.9,1.21,5.4,9.64,5.21,47.9,1.29,37.7,11.6,2.15
20,Green Bay Packers,14,20.5,345.6,62,5.6,1.36,0.64,20,21.9,33.6,219.3,1.71,0.71,6.2,11.1,26.4,126.3,0.64,4.8,6.93,5.5,45.9,1.93,33.3,11.6,4.46
21,New York Giants,14,20.5,325.2,64.2,5.1,0.93,0.57,20.4,19.6,29.6,179,0.93,0.36,5.5,9.64,31.5,146.2,1.21,4.6,8.86,6.29,48.4,1.86,35.8,6.8,2.96
