,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
22,New Orleans Saints,14,20.4,343.8,59.8,5.8,1.57,0.71,18.3,21.1,32,232.5,1.64,0.86,6.8,11.4,25.6,111.3,0.64,4.3,5.71,6.57,56.5,1.21,33.8,13.6,2.03
23,New York Jets,15,18.9,329.5,63.6,5.2,1.33,0.53,17.5,21.1,36.5,224.7,1,0.8,5.8,11.2,24.5,104.9,0.87,4.3,4.87,5.53,53.5,1.47,31.2,11.6,-1.59
24,Carolina Panthers,14,19.7,288.1,56.6,5.1,1.14,0.43,15.4,16,27.4,170.6,0.86,0.71,5.8,7.71,26.9,117.5,0.93,4.4,6.36,6,50.7,1.29,35.1,8.6,-2.23
25,Washington Commanders,14,18.9,335.5,67.1,5,1.21,0.43,20.4,20.9,33.8,208.6,1.43,0.79,5.7,10.8,30.5,126.9,0.5,4.2,7.71,5.64,51.4,1.86,30.6,10.6,-0.65
26,Tennessee Titans,14,18.2,296,56.9,5.2,1.14,0.64,16.1,16.5,26.1,174.4,1,0.5,6,8.86,28.1,121.6,1,4.3,5.93,6.43,54.4,1.29,28.2,8.3,-0.05
27,Pittsburgh Steelers,14,17.9,317.9,64.7,4.9,1.21,0.29,20.1,22.1,34,201.8,0.64,0.93,5.5,11.2,28.2,116.1,1,4.1,7.14,5.79,43.8,1.71,33.6,10.1,1.41
28,Tampa Bay Buccaneers,14,17.6,342.7,68.1,5,1.29,0.71,20.6,29.4,44.6,268.4,1.43,0.57,5.8,14.3,22.2,74.3,0.29,3.3,4.57,5.93,48.7,1.71,31.4,10.3,0.21
29,Indianapolis Colts,14,17.5,319.6,66.2,4.8,1.93,0.93,18.6,24.4,36.6,214.4,1,1,5.3,11.9,26.1,105.2,0.5,4,5.36,5.57,50.9,1.36,30.3,16.4,-6.12
30,Houston Texans,14,16.8,278.4,58.6,4.7,1.64,0.5,16.5,20.2,33.1,188.2,1.14,1.14,5.3,9.07,23.1,90.2,0.5,3.9,5.5,5,37.4,1.93,29.6,13.6,-6.52
31,Los Angeles Rams,14,16.4,273.9,59.3,4.6,1.5,0.5,17.2,21.4,32.7,188.9,1,1,5.2,11,22.9,85.1,0.71,3.7,4.71,4.79,42.3,1.5,31,14.5,-1.85
32,Denver Broncos,14,15.6,316.1,63.5,5,1.14,0.5,17.1,20.5,33.9,208.4,0.93,0.64,5.6,9.64,26,107.8,0.57,4.1,5.71,7.21,61.1,1.71,27.3,8.5,-2.99
