,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
1,Josh Jacobs*,LVR,24,RB,14,14,3.93,3.29,25.9,7.9,0,1,43,3.3,25.9,83.6%,6.6,20.8,106.8,0.79,5.93,86,5.1,106.8,20.8,24.1,5.5,132.7,11,0.21
2,Derrick Henry *,TEN,28,RB,14,14,2.71,2.14,27.1,12.6,0,0.71,69,2.1,27.1,78.9%,10,21.1,93.1,0.86,4.14,56,4.4,93.1,21.1,23.3,5.2,120.1,12,0.36
3,Justin Jefferson*,MIN,23,WR,14,14,11.3,7.93,115.9,14.6,0.5,4.93,64,7.9,115.9,70.3%,10.3,0.29,1.71,0.07,0.14,10,6,1.7,0.3,8.21,14.3,117.6,8,
4,Tyreek Hill*,MIA,28,WR,14,14,10.9,7.79,109.2,14,0.5,4.86,64,7.8,109.2,71.7%,10.1,0.43,2.14,0,0.14,10,5,2.1,0.4,8.21,13.6,111.4,7,0.07
5,Christian McCaffrey,2TM,26,RB,14,13,6.71,5.29,44.5,8.4,0.29,2.21,49,5.3,44.5,78.7%,6.6,14.3,66.2,0.43,3.29,49,4.6,66.2,14.3,19.6,5.7,110.7,10,0.07
6,Saquon Barkley*,NYG,25,RB,14,14,4.43,3.36,21,6.3,0,0.57,41,3.4,21,75.8%,4.7,19.2,83.6,0.64,4,68,4.3,83.6,19.2,22.6,4.6,104.6,9,0.07
7,Nick Chubb*,CLE,27,RB,14,14,2.07,1.43,12.3,8.6,0,0.57,26,1.4,12.3,69.0%,5.9,18,89.4,0.86,4,41,5,89.4,18,19.4,5.2,101.7,12,0.07
8,Austin Ekeler,LAC,27,RB,14,14,8.21,6.79,45.4,6.7,0.36,2.29,23,6.8,45.4,82.6%,5.5,11.8,49.4,0.64,2.43,71,4.2,49.4,11.8,18.6,5.1,94.8,14,0.29
9,Dalvin Cook,MIN,27,RB,14,14,3.43,2.36,18.9,8,0.14,1.07,64,2.4,18.9,68.8%,5.5,16.4,74.6,0.57,3.21,81,4.5,74.6,16.4,18.8,5,93.6,10,0.21
10,Aaron Jones,GNB,28,RB,14,14,4.5,3.71,26,7,0.36,1.29,30,3.7,26,82.5%,5.8,12.9,66.9,0.14,3.36,36,5.2,66.9,12.9,16.6,5.6,92.9,7,0.29
11,Stefon Diggs*,BUF,29,WR,14,14,10.1,7.07,92.8,13.1,0.71,4.71,53,7.1,92.8,69.7%,9.1,0.07,-0.21,0,0,-3,-3,-0.2,0.1,7.14,13,92.6,10,0.07
12,Rhamondre Stevenson,NWE,24,RB,14,5,5.21,4.29,27.2,6.4,0.07,0.93,40,4.3,27.2,82.2%,5.2,13.1,65.3,0.36,3.21,49,5,65.3,13.1,17.4,5.3,92.5,6,0.07
13,Tony Pollard*,DAL,25,RB,14,4,3.29,2.36,22.1,9.4,0.21,1,68,2.4,22.1,71.7%,6.7,12.6,69.2,0.64,3.29,57,5.5,69.2,12.6,15,6.1,91.4,12,
14,Davante Adams*,LVR,30,WR,14,14,10.8,6.14,91.1,14.8,0.86,3.93,58,6.1,91.1,57.0%,8.4,0.21,-0.07,0,0,4,-0.3,-0.1,0.2,6.36,14.3,91,12,0.07
15,Travis Etienne,JAX,23,RB,15,10,2.67,2,17.8,8.9,0,0.87,24,2,17.8,75.0%,6.7,13.6,66.7,0.27,3.27,49,4.9,66.7,13.6,15.6,5.4,84.5,4,0.33
16,A.J. Brown*,PHI,25,WR,14,13,8.43,5.29,85.8,16.2,0.71,3.43,68,5.3,85.8,62.7%,10.2,,,0,0,,,,,5.29,16.2,85.8,10,0.14
17,Miles Sanders*,PHI,25,RB,14,12,1.71,1.36,5.14,3.8,0,0.14,16,1.4,5.1,79.2%,3,15.4,79.3,0.79,4,40,5.2,79.3,15.4,16.7,5.1,84.4,11,0.07
18,Travis Kelce*,KAN,33,TE,14,14,9.07,6.5,81.7,12.6,0.86,4.86,46,6.5,81.7,71.7%,9,0.14,0.36,0,0.07,4,2.5,0.4,0.1,6.64,12.4,82.1,12,0.07
19,CeeDee Lamb*,DAL,23,WR,14,14,8.86,5.79,77.6,13.4,0.43,3.93,39,5.8,77.6,65.3%,8.8,0.71,3.36,0,0.21,14,4.7,3.4,0.7,6.5,12.5,81,6,
20,Jaylen Waddle,MIA,24,WR,14,14,7.21,4.43,79.8,18,0.5,3.71,67,4.4,79.8,61.4%,11.1,0.14,1.21,0,0,9,8.5,1.2,0.1,4.57,17.7,81,7,0.07
21,Dameon Pierce,HOU,22,RB,13,13,3,2.31,12.7,5.5,0.08,0.54,16,2.3,12.7,76.9%,4.2,16.9,72.2,0.31,4.15,75,4.3,72.2,16.9,19.2,4.4,84.9,5,0.31
22,Alvin Kamara,NOR,27,RB,12,11,5.83,4.42,37.2,8.4,0.17,1.33,54,4.4,37.2,75.7%,6.4,13.7,53.4,0.08,2.42,27,3.9,53.4,13.7,18.1,5,90.6,3,0.33
23,Joe Mixon,CIN,26,RB,12,12,5.08,4,29.8,7.4,0.17,1.17,35,4,29.8,78.7%,5.9,15.3,60.2,0.5,3.42,40,3.9,60.2,15.3,19.3,4.7,89.9,8,
24,Amon-Ra St. Brown,DET,23,WR,13,13,9.15,6.85,74.9,10.9,0.46,4.38,49,6.8,74.9,74.8%,8.2,0.62,7.31,0,0.23,58,11.9,7.3,0.6,7.46,11,82.2,6,
25,Terry McLaurin*,WAS,27,WR,14,14,7.43,4.86,72.5,14.9,0.21,3.43,49,4.9,72.5,65.4%,9.8,0.43,1.21,0,0.07,7,2.8,1.2,0.4,5.29,13.9,73.7,3,0.07
26,Jonathan Taylor,IND,23,RB,11,11,3.64,2.55,13,5.1,0,0.36,19,2.5,13,70.0%,3.6,17.5,78.3,0.36,3.55,66,4.5,78.3,17.5,20,4.6,91.3,4,0.27
27,Justin Fields,CHI,23,QB,13,13,,,,,0,0,,,,,,11,76.9,0.62,4.77,67,7,76.9,11,11,7,76.9,8,1.15
28,Garrett Wilson,NYJ,22,WR,15,10,7.93,4.73,66.4,14,0.27,3.33,60,4.7,66.4,59.7%,8.4,0.27,0.27,0,0,7,1,0.3,0.3,5,13.3,66.7,4,0.13
29,Christian Kirk,JAX,26,WR,15,15,8.13,5.07,65.9,13,0.47,3.33,49,5.1,65.9,62.3%,8.1,0.33,0.73,0,0,5,2.2,0.7,0.3,5.4,12.3,66.6,7,0.07
30,Leonard Fournette,TAM,27,RB,13,9,5.23,4.54,31.5,6.9,0.23,1.69,25,4.5,31.5,86.8%,6,12.2,43.7,0.23,2.77,17,3.6,43.7,12.2,16.8,4.5,75.2,6,
31,David Montgomery,CHI,25,RB,13,13,2.54,2.15,21.7,10.1,0.08,0.69,32,2.2,21.7,84.8%,8.5,13.2,53.4,0.38,2.85,28,4,53.4,13.2,15.4,4.9,75.1,6,0.08
32,Tyler Lockett,SEA,30,WR,14,14,7.71,5.57,68.9,12.4,0.57,3.36,40,5.6,68.9,72.2%,8.9,,,0,0,,,,,5.57,12.4,68.9,8,0.14
33,Najee Harris,PIT,24,RB,14,14,2.86,2.29,11.8,5.2,0.14,0.86,14,2.3,11.8,80.0%,4.1,15.1,56.4,0.43,2.43,36,3.7,56.4,15.1,17.4,3.9,68.2,8,0.14
34,Devin Singletary,BUF,25,RB,14,14,3.43,2.5,18.4,7.4,0.07,1,22,2.5,18.4,72.9%,5.4,11.3,48.9,0.29,2.64,30,4.3,48.9,11.3,13.8,4.9,67.3,5,0.14
