player,pos,age,g_number,week,team,opp,home_away,yds_rec,tgt_rec,yds_2_rec,tgt_2_rec,rec_rec,yds_3_rec,y_r_rec,td_rec,ctch_percent_rec,y_tgt_rec,yds_rus,att_rus,yds_2_rus,att_2_rus,yds_3_rus,y_a_rus,td_rus,att_pas,cmp_pas,att_2_pas,inc_pas,cmp_percent_pas,yds_pas,td_pas,int_pas,pick6_pas,td_percent_pas,int_percent_pas,rate_3_pas,sk_pas,yds_2_pas,sk_percent_pas,y_a_pas,ay_a_pas,any_a_pas,y_c_pas,points
Tyreek Hill,WR,28-229,6,6,MIA,MIN,home,177,15,177,15,12,177,14.8,0,80,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7
Stefon Diggs,WR,28-321,6,6,BUF,KAN,away,148,13,148,13,10,148,14.8,1,76.9,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8
Michael Pittman Jr,WR,25-011,6,6,IND,JAX,home,134,16,134,16,13,134,10.3,0,81.3,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9
Ja Marr Chase,WR,22-229,6,6,CIN,NOR,away,132,10,132,10,7,132,18.9,2,70,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.700000000000003
Jaylen Waddle,WR,23-325,6,6,MIA,MIN,home,129,10,129,10,6,129,21.5,0,60,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9
JuJu Smith Schuster,WR,25-328,6,6,KAN,BUF,home,113,5,113,5,5,113,22.6,1,100,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8
Travis Kelce,TE,33-011,6,6,KAN,BUF,home,108,10,108,10,8,108,13.5,0,80,10.8,4,1,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.200000000000001
Justin Jefferson,WR,23-122,6,6,MIN,MIA,away,107,8,107,8,6,107,17.8,0,75,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.700000000000001
Mark Andrews,TE,27-040,6,6,BAL,NYG,away,106,11,106,11,7,106,15.1,1,63.6,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1
Chase Claypool,WR,24-101,6,6,PIT,TAM,home,96,7,96,7,7,96,13.7,1,100,13.7,8,1,8,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.900000000000002
