,,Receiving,,,,,,,,,,,,Receiving,,,,,,,,,
Rk,Player,Yds,Tgt,Yds,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Pos.,Draft
1,Tyreek Hill,177,15,177,Sun,6,6,2022-10-16,28-229,MIA,,MIN,L 16-24,15,12,177,14.8,0,80,11.8,9,WR,5-165
2,Stefon Diggs,148,13,148,Sun,6,6,2022-10-16,28-321,BUF,@,KAN,W 24-20,13,10,148,14.8,1,76.9,11.4,8,WR,5-146
3,Michael Pittman Jr.,134,16,134,Sun,6,6,2022-10-16,25-011,IND,,JAX,W 34-27,16,13,134,10.3,0,81.3,8.4,8,WR,2-34
4,Ja'Marr Chase,132,10,132,Sun,6,6,2022-10-16,22-229,CIN,@,NOR,W 30-26,10,7,132,18.9,2,70,13.2,5,WR,1-5
5,Jaylen Waddle,129,10,129,Sun,6,6,2022-10-16,23-325,MIA,,MIN,L 16-24,10,6,129,21.5,0,60,12.9,3,WR,1-6
6,JuJu Smith-Schuster,113,5,113,Sun,6,6,2022-10-16,25-328,KAN,,BUF,L 20-24,5,5,113,22.6,1,100,22.6,4,WR,2-62
7,Travis Kelce,108,10,108,Sun,6,6,2022-10-16,33-011,KAN,,BUF,L 20-24,10,8,108,13.5,0,80,10.8,6,TE,3-63
8,Justin Jefferson,107,8,107,Sun,6,6,2022-10-16,23-122,MIN,@,MIA,W 24-16,8,6,107,17.8,0,75,13.4,3,WR,1-22
9,Mark Andrews,106,11,106,Sun,6,6,2022-10-16,27-040,BAL,@,NYG,L 20-24,11,7,106,15.1,1,63.6,9.6,7,TE,3-86
10,Chase Claypool,96,7,96,Sun,6,6,2022-10-16,24-101,PIT,,TAM,W 20-18,7,7,96,13.7,1,100,13.7,6,WR,2-49
11,Chris Godwin,95,12,95,Sun,6,6,2022-10-16,26-231,TAM,@,PIT,L 18-20,12,6,95,15.8,0,50,7.9,4,WR,3-84
12,Robert Tonyan,90,12,90,Sun,6,6,2022-10-16,28-169,GNB,,NYJ,L 10-27,12,10,90,9,0,83.3,7.5,4,TE,
13,Christian McCaffrey,89,8,89,Sun,6,6,2022-10-16,26-131,CAR,@,LAR,L 10-24,8,7,89,12.7,0,87.5,11.1,4,RB,1-8
14,Dante Pettis,84,7,84,Thu,6,6,2022-10-13,26-355,CHI,,WAS,L 7-12,7,4,84,21,1,57.1,12,3,WR,2-44
15,Brandon Aiyuk,83,11,83,Sun,6,6,2022-10-16,24-213,SFO,@,ATL,L 14-28,11,8,83,10.4,2,72.7,7.5,5,WR,1-25
16,George Kittle,83,10,83,Sun,6,6,2022-10-16,29-007,SFO,@,ATL,L 14-28,10,8,83,10.4,0,80,8.3,4,TE,5-146
17,Cooper Kupp,80,8,80,Sun,6,6,2022-10-16,29-123,LAR,,CAR,W 24-10,8,7,80,11.4,0,87.5,10,5,WR,3-69
18,Deon Jackson,79,10,79,Sun,6,6,2022-10-16,23-240,IND,,JAX,W 34-27,10,10,79,7.9,0,100,7.9,3,RB,
19,Deebo Samuel,79,10,79,Sun,6,6,2022-10-16,26-274,SFO,@,ATL,L 14-28,10,7,79,11.3,0,70,7.9,3,WR,2-36
20,Allen Lazard,76,9,76,Sun,6,6,2022-10-16,26-309,GNB,,NYJ,L 10-27,9,4,76,19,1,44.4,8.4,3,WR,
21,Gabriel Davis,74,6,74,Sun,6,6,2022-10-16,23-198,BUF,@,KAN,W 24-20,6,3,74,24.7,1,50,12.3,3,WR,4-128
22,Donovan Peoples-Jones,74,5,74,Sun,6,6,2022-10-16,23-239,CLE,,NWE,L 15-38,5,4,74,18.5,0,80,14.8,3,WR,6-187
23,Zach Ertz,70,10,70,Sun,6,6,2022-10-16,31-340,ARI,@,SEA,L 9-19,10,7,70,10,0,70,7,3,TE,2-35
24,Mike Gesicki,69,7,69,Sun,6,6,2022-10-16,27-013,MIA,,MIN,L 16-24,7,6,69,11.5,2,85.7,9.9,6,TE,2-42
25,Marquise Brown,68,9,68,Sun,6,6,2022-10-16,25-134,ARI,@,SEA,L 9-19,9,5,68,13.6,0,55.6,7.6,3,WR,1-25
26,CeeDee Lamb,68,10,68,Sun,6,6,2022-10-16,23-191,DAL,@,PHI,L 17-26,10,5,68,13.6,0,50,6.8,3,WR,1-17
27,Darnell Mooney,68,12,68,Thu,6,6,2022-10-13,24-349,CHI,,WAS,L 7-12,12,7,68,9.7,0,58.3,5.7,3,WR,5-173
28,A.J. Brown,67,8,67,Sun,6,6,2022-10-16,25-108,PHI,,DAL,W 26-17,8,5,67,13.4,1,62.5,8.4,3,WR,2-51
29,Tyler Boyd,66,6,66,Sun,6,6,2022-10-16,27-335,CIN,@,NOR,W 30-26,6,6,66,11,0,100,11,4,WR,2-55
30,DeVante Parker,64,6,64,Sun,6,6,2022-10-16,29-269,NWE,@,CLE,W 38-15,6,4,64,16,0,66.7,10.7,3,WR,1-14
31,Allen Robinson,63,6,63,Sun,6,6,2022-10-16,29-053,LAR,,CAR,W 24-10,6,5,63,12.6,1,83.3,10.5,5,WR,2-61
32,Hunter Henry,61,7,61,Sun,6,6,2022-10-16,27-313,NWE,@,CLE,W 38-15,7,4,61,15.3,1,57.1,8.7,3,TE,2-35
33,Jonnu Smith,61,2,61,Sun,6,6,2022-10-16,27-055,NWE,@,CLE,W 38-15,2,2,61,30.5,0,100,30.5,1,TE,3-100
34,Jakobi Meyers,60,4,60,Sun,6,6,2022-10-16,25-341,NWE,@,CLE,W 38-15,4,4,60,15,0,100,15,2,WR,
35,David Njoku,58,6,58,Sun,6,6,2022-10-16,26-098,CLE,,NWE,L 15-38,6,3,58,19.3,0,50,9.7,2,TE,1-29
36,Olamide Zaccheaus,58,4,58,Sun,6,6,2022-10-16,25-085,ATL,,SFO,W 28-14,4,4,58,14.5,0,100,14.5,3,WR,
37,Parris Campbell,57,11,57,Sun,6,6,2022-10-16,25-092,IND,,JAX,W 34-27,11,7,57,8.1,1,63.6,5.2,4,WR,2-59
38,Josh Palmer,57,12,57,Mon,6,6,2022-10-17,24-025,LAC,,DEN,W 19-16 (OT),12,9,57,6.3,0,75,4.8,2,WR,3-77
39,Jerry Jeudy,54,7,54,Mon,6,6,2022-10-17,23-176,DEN,@,LAC,L 16-19 (OT),7,3,54,18,0,42.9,7.7,3,WR,1-15
40,Donald Parham,53,3,53,Mon,6,6,2022-10-17,25-062,LAC,,DEN,W 19-16 (OT),3,3,53,17.7,0,100,17.7,2,TE,
41,Corey Davis,52,4,52,Sun,6,6,2022-10-16,27-278,NYJ,@,GNB,W 27-10,4,2,52,26,0,50,13,2,WR,1-5
42,Connor Heyward,49,3,49,Sun,6,6,2022-10-16,23-267,PIT,,TAM,W 20-18,3,2,49,24.5,0,66.7,16.3,1,TE,6-208
43,Rondale Moore,49,10,49,Sun,6,6,2022-10-16,22-129,ARI,@,SEA,L 9-19,10,6,49,8.2,0,60,4.9,2,WR,2-49
44,Alec Pierce,49,7,49,Sun,6,6,2022-10-16,22-167,IND,,JAX,W 34-27,7,3,49,16.3,1,42.9,7,2,WR,2-53
45,Austin Ekeler,47,16,47,Mon,6,6,2022-10-17,27-153,LAC,,DEN,W 19-16 (OT),16,10,47,4.7,0,62.5,2.9,2,RB,
46,Tee Higgins,47,9,47,Sun,6,6,2022-10-16,23-271,CIN,@,NOR,W 30-26,9,6,47,7.8,0,66.7,5.2,2,WR,2-33
47,Noah Fant,45,7,45,Sun,6,6,2022-10-16,24-330,SEA,,ARI,W 19-9,7,6,45,7.5,0,85.7,6.4,1,TE,1-20
48,Amari Cooper,44,12,44,Sun,6,6,2022-10-16,28-121,CLE,,NWE,L 15-38,12,4,44,11,1,33.3,3.7,3,WR,1-4
49,Greg Dulcich,44,3,44,Mon,6,6,2022-10-17,22-205,DEN,@,LAC,L 16-19 (OT),3,2,44,22,1,66.7,14.7,2,TE,3-80
50,KJ Hamler,44,3,44,Mon,6,6,2022-10-17,23-101,DEN,@,LAC,L 16-19 (OT),3,2,44,22,0,66.7,14.7,1,WR,2-46
51,DeVonta Smith,44,5,44,Sun,6,6,2022-10-16,23-336,PHI,,DAL,W 26-17,5,5,44,8.8,1,100,8.8,3,WR,1-10
52,Tre'Quan Smith,43,3,43,Sun,6,6,2022-10-16,26-282,NOR,,CIN,L 26-30,3,3,43,14.3,1,100,14.3,3,WR,3-91
53,Mike Evans,42,4,42,Sun,6,6,2022-10-16,29-056,TAM,@,PIT,L 18-20,4,4,42,10.5,0,100,10.5,2,WR,1-7
54,Mecole Hardman,42,4,42,Sun,6,6,2022-10-16,24-218,KAN,,BUF,L 20-24,4,3,42,14,1,75,10.5,3,WR,2-56
