,,Passing,,,,,,,,,,,,Passing,,,,,,,,,,,,,,,,,,,
Rk,Player,Rate,Att,Rate,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Pos.,Draft
1,Marcus Mariota,144.6,14,144.6,Sun,6,6,2022-10-16,28-351,ATL,,SFO,W 28-14,13,14,1,92.9,129,2,0,,14.3,0,144.6,2,8,12.5,9.2,12.07,10.06,9.9,QB,1-2
2,Mitchell Trubisky,142.4,12,142.4,Sun,6,6,2022-10-16,28-057,PIT,,TAM,W 20-18,9,12,3,75,144,1,0,,8.3,0,142.4,1,6,7.69,12,13.67,12.15,16,QB,1-2
3,Joe Burrow,126,37,126,Sun,6,6,2022-10-16,25-310,CIN,@,NOR,W 30-26,28,37,9,75.7,300,3,0,,8.1,0,126,3,27,7.5,8.1,9.73,8.33,10.7,QB,1-1
4,Bailey Zappe,118.4,34,118.4,Sun,6,6,2022-10-16,23-173,NWE,@,CLE,W 38-15,24,34,10,70.6,309,2,0,,5.9,0,118.4,2,8,5.56,9.1,10.26,9.47,12.9,QB,4-137
5,Josh Allen,117.6,40,117.6,Sun,6,6,2022-10-16,26-148,BUF,@,KAN,W 24-20,27,40,13,67.5,329,3,0,,7.5,0,117.6,1,11,2.44,8.2,9.73,9.22,12.2,QB,1-7
6,Trevor Lawrence,113.1,22,113.1,Sun,6,6,2022-10-16,23-010,JAX,@,IND,L 27-34,20,22,2,90.9,165,1,0,,4.5,0,113.1,4,29,15.38,7.5,8.41,6,8.3,QB,1-1
7,Daniel Jones,112.1,27,112.1,Sun,6,6,2022-10-16,25-142,NYG,,BAL,W 24-20,19,27,8,70.4,173,2,0,,7.4,0,112.1,4,18,12.9,6.4,7.89,6.29,9.1,QB,1-6
8,Matt Ryan,107.6,58,107.6,Sun,6,6,2022-10-16,37-152,IND,,JAX,W 34-27,42,58,16,72.4,389,3,0,,5.2,0,107.6,0,0,0,6.7,7.74,7.74,9.3,QB,1-3
9,Jalen Hurts,104.6,25,104.6,Sun,6,6,2022-10-16,24-070,PHI,,DAL,W 26-17,15,25,10,60,155,2,0,,8,0,104.6,4,23,13.79,6.2,7.8,5.93,10.3,QB,2-53
10,Kirk Cousins,104.2,30,104.2,Sun,6,6,2022-10-16,34-058,MIN,@,MIA,W 24-16,20,30,10,66.7,175,2,0,,6.7,0,104.2,3,19,9.09,5.8,7.17,5.94,8.8,QB,4-102
11,Matthew Stafford,96.1,33,96.1,Sun,6,6,2022-10-16,34-251,LAR,,CAR,W 24-10,26,33,7,78.8,253,1,1,1,3,3,96.1,1,4,2.94,7.7,6.91,6.59,9.7,QB,1-1
12,Teddy Bridgewater,93.9,34,93.9,Sun,6,6,2022-10-16,29-340,MIA,,MIN,L 16-24,23,34,11,67.6,329,2,2,,5.9,5.9,93.9,5,25,12.82,9.7,8.21,6.51,14.3,QB,1-32
13,Aaron Rodgers,88.1,41,88.1,Sun,6,6,2022-10-16,38-318,GNB,,NYJ,L 10-27,26,41,15,63.4,246,1,0,,2.4,0,88.1,4,36,8.89,6,6.49,5.11,9.5,QB,1-24
14,Tom Brady,87.8,40,87.8,Sun,6,6,2022-10-16,45-074,TAM,@,PIT,L 18-20,25,40,15,62.5,243,1,0,,2.5,0,87.8,2,14,4.76,6.1,6.58,5.93,9.7,QB,6-199
15,Jimmy Garoppolo,87,41,87,Sun,6,6,2022-10-16,30-348,SFO,@,ATL,L 14-28,29,41,12,70.7,296,2,2,,4.9,4.9,87,0,0,0,7.2,6,6,10.2,QB,2-62
16,Kenny Pickett,87,18,87,Sun,6,6,2022-10-16,24-132,PIT,,TAM,W 20-18,11,18,7,61.1,67,1,0,,5.6,0,87,1,12,5.26,3.7,4.83,3.95,6.1,QB,1-20
17,Russell Wilson,86.6,28,86.6,Mon,6,6,2022-10-17,33-322,DEN,@,LAC,L 16-19 (OT),15,28,13,53.6,188,1,0,,3.6,0,86.6,4,28,12.5,6.7,7.43,5.63,12.5,QB,3-75
