,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
1,Josh Jacobs,LVR,24,RB,13,13,4,3.38,26.6,7.9,0,1,43,3.4,26.6,84.6%,6.7,20.7,107.8,0.85,5.92,86,5.2,107.8,20.7,24.1,5.6,134.5,11,0.15
2,Tyreek Hill,MIA,28,WR,12,12,10.8,8,114.9,14.4,0.42,5.17,64,8,114.9,74.4%,10.7,0.5,2.5,0,0.17,10,5,2.5,0.5,8.5,13.8,117.4,5,0.08
3,Derrick Henry,TEN,28,RB,12,12,2.42,1.92,23.8,12.4,0,0.58,69,1.9,23.8,79.3%,9.9,21.5,89.8,0.83,3.83,56,4.2,89.8,21.5,23.4,4.9,113.7,10,0.17
4,Justin Jefferson,MIN,23,WR,12,12,10.6,7.33,106.4,14.5,0.5,4.5,64,7.3,106.4,69.3%,10.1,0.33,2,0.08,0.17,10,6,2,0.3,7.67,14.1,108.4,7,
5,Saquon Barkley,NYG,25,RB,12,12,4.33,3.33,20.1,6,0,0.42,41,3.3,20.1,76.9%,4.6,20.2,87.9,0.67,3.83,68,4.4,87.9,20.2,23.5,4.6,108,8,0.08
6,Nick Chubb,CLE,27,RB,12,12,2,1.42,12.7,8.9,0,0.58,26,1.4,12.7,70.8%,6.3,18.1,93.3,1,4.17,41,5.2,93.3,18.1,19.5,5.4,105.9,12,0.08
7,Christian McCaffrey,2TM,26,RB,12,11,6.92,5.5,46.6,8.5,0.25,2.42,49,5.5,46.6,79.5%,6.7,13.3,58.3,0.33,2.92,49,4.4,58.3,13.3,18.8,5.6,104.9,7,0.08
8,Davante Adams,LVR,30,WR,13,13,10.9,6.31,95.9,15.2,0.92,4.15,58,6.3,95.9,57.7%,8.8,0.23,-0.08,0,0,4,-0.3,-0.1,0.2,6.54,14.7,95.8,12,0.08
9,Stefon Diggs,BUF,29,WR,12,12,10.7,7.58,100.2,13.2,0.83,5.08,53,7.6,100.2,71.1%,9.4,,,0,0,,,,,7.58,13.2,100.2,10,0.08
10,Aaron Jones,GNB,28,RB,13,13,4.46,3.69,25.2,6.8,0.31,1.23,30,3.7,25.2,82.8%,5.7,12.6,65.2,0.15,3.31,36,5.2,65.2,12.6,16.3,5.5,90.4,6,0.23
11,Austin Ekeler,LAC,27,RB,12,12,8.67,7.08,47,6.6,0.42,2.5,23,7.1,47,81.7%,5.4,11.5,49.1,0.58,2.08,71,4.3,49.1,11.5,18.6,5.2,96.1,12,0.33
12,Rhamondre Stevenson,NWE,24,RB,12,4,5.58,4.67,31.9,6.8,0.08,1.08,40,4.7,31.9,83.6%,5.7,13.4,61.2,0.33,3.25,49,4.6,61.2,13.4,18.1,5.1,93.1,5,0.08
13,Tony Pollard,DAL,25,RB,12,4,3,2.08,21.6,10.4,0.17,0.92,68,2.1,21.6,69.4%,7.2,12.3,71,0.67,3.08,57,5.8,71,12.3,14.4,6.4,92.6,10,
14,Dalvin Cook,MIN,27,RB,12,12,3.5,2.33,13.1,5.6,0.08,0.92,23,2.3,13.1,66.7%,3.7,16.5,77.3,0.58,3.33,81,4.7,77.3,16.5,18.8,4.8,90.3,8,0.08
15,Dameon Pierce,HOU,22,RB,12,12,3.25,2.5,13.8,5.5,0.08,0.58,16,2.5,13.8,76.9%,4.2,16.5,71.8,0.25,4.17,75,4.3,71.8,16.5,19,4.5,85.5,4,0.25
16,Miles Sanders,PHI,25,RB,12,10,1.67,1.42,6.17,4.4,0,0.08,16,1.4,6.2,85.0%,3.7,15.6,77,0.75,4,35,4.9,77,15.6,17,4.9,83.2,9,
17,Travis Etienne,JAX,23,RB,12,7,2.83,2.08,17.8,8.6,0,0.92,24,2.1,17.8,73.5%,6.3,12.2,65.2,0.33,3.17,49,5.4,65.2,12.2,14.3,5.8,83,4,0.33
18,Jonathan Taylor,IND,23,RB,10,10,3.9,2.7,13,4.8,0,0.4,19,2.7,13,69.2%,3.3,19.2,86.1,0.4,3.9,66,4.5,86.1,19.2,21.9,4.5,99.1,4,0.3
19,Jaylen Waddle,MIA,24,WR,12,12,7.5,4.75,81,17.1,0.5,3.92,59,4.8,81,63.3%,10.8,0.17,1.42,0,0,9,8.5,1.4,0.2,4.92,16.8,82.4,6,0.08
20,Alvin Kamara,NOR,27,RB,11,10,6.18,4.64,39.4,8.5,0.18,1.36,54,4.6,39.4,75.0%,6.4,13,50,0.09,2.36,27,3.8,50,13,17.6,5.1,89.4,3,0.36
21,CeeDee Lamb,DAL,23,WR,12,12,9.25,5.75,77.3,13.4,0.5,4.08,35,5.8,77.3,62.2%,8.4,0.75,3.83,0,0.25,14,5.1,3.8,0.8,6.5,12.5,81.2,6,
22,Travis Kelce,KAN,33,TE,12,12,9,6.42,80.7,12.6,1,4.83,46,6.4,80.7,71.3%,9,0.17,0.42,0,0.08,4,2.5,0.4,0.2,6.58,12.3,81.1,12,0.08
