,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Kansas City Chiefs,12,29.2,423.3,65.5,6.5,1.33,0.67,24.8,25.7,39.3,306.5,2.5,0.67,7.5,16.8,24.6,116.8,0.92,4.7,6,4.83,46.1,2.08,49.6,9.9,15.6
2,Philadelphia Eagles,12,28.2,388.3,66.1,5.9,0.83,0.58,23.3,20.4,30.1,233.7,1.67,0.25,7.2,11.3,33.5,154.6,1.92,4.6,10.1,6,46.6,1.92,41.9,7.8,12.1
3,Buffalo Bills,12,27.8,410.8,66.3,6.2,1.67,0.75,23.8,23.8,37.5,274.5,2.08,0.92,6.9,14.3,26.8,136.3,0.92,5.1,7.92,5.75,44.3,1.67,47.6,15.9,10.6
4,Dallas Cowboys,12,27.8,355.9,63.1,5.6,1,0.17,20.1,19.8,31.1,210,1.5,0.83,6.5,10.8,30.8,145.9,1.58,4.7,7.92,7.17,55.8,1.42,42.1,9,7.45
5,Seattle Seahawks,12,26.5,360.9,59.7,6,1.42,0.83,21.1,23.8,32.8,244.4,1.83,0.58,6.9,12.8,24.3,116.5,1,4.8,6.17,6.67,55,2.17,43.8,11.5,6.53
6,Detroit Lions,12,26.3,369.1,63.8,5.8,1.17,0.58,22.3,22,33.8,242.1,1.58,0.58,6.8,12.9,28.4,127,1.5,4.5,7.17,5.17,43.6,2.17,41.6,10.4,8.09
7,Cincinnati Bengals,12,26,372.4,65.7,5.7,1,0.33,22.6,25.7,37,271.5,2.08,0.67,6.8,13.8,25.7,100.9,1,3.9,6.42,5.17,38.6,2.33,43,8.6,10.1
8,Las Vegas Raiders,13,23.7,361.9,61.5,5.9,1,0.23,20.2,21.4,34.5,233.5,1.54,0.77,6.4,11.2,25.3,128.5,0.85,5.1,7.38,6.62,55.8,1.54,45,9.9,5.95
9,Miami Dolphins,12,24.9,380.2,60.4,6.3,1.25,0.42,21.3,23.4,35.8,290.5,2,0.83,7.6,14.4,22.4,89.7,0.75,4,5.08,6.25,50,1.75,39.4,11.8,7.5
